ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,90.02,90.05,89.42,89.57,2654.52,238447.7182
1785632400000,2026-08-02T01:00:00Z,89.57,89.58,88.42,89,26006.95,2314009.3709
1785636000000,2026-08-02T02:00:00Z,89,89.13,85.18,85.58,45081.81,3898635.3709
1785639600000,2026-08-02T03:00:00Z,85.58,85.58,83.27,84.56,23716.39,1993642.3516
1785643200000,2026-08-02T04:00:00Z,84.56,84.65,82.54,84.22,15556.59,1301162.8677
1785646800000,2026-08-02T05:00:00Z,84.22,84.76,84.1,84.29,3919.95,331110.9225
1785650400000,2026-08-02T06:00:00Z,84.29,84.49,83.83,84.25,8072.68,679562.2452
1785654000000,2026-08-02T07:00:00Z,84.25,84.3,83.83,83.94,5155.01,433124.681
1785657600000,2026-08-02T08:00:00Z,83.94,84.3,83.87,84.15,2326.2,195457.7822
1785661200000,2026-08-02T09:00:00Z,84.15,84.42,83.56,84.24,4487.5,377064.5273
1785664800000,2026-08-02T10:00:00Z,84.24,85.02,84.24,84.7,7080.08,599643.1311
1785668400000,2026-08-02T11:00:00Z,84.7,85.35,84.7,85.24,6241.31,531127.5269
1785672000000,2026-08-02T12:00:00Z,85.24,85.3,84.28,84.63,6236.47,529021.0171
1785675600000,2026-08-02T13:00:00Z,84.63,85.04,84.41,84.41,1967.44,166896.8333
1785679200000,2026-08-02T14:00:00Z,84.41,84.46,83.97,84.26,3160.08,266231.7764
1785682800000,2026-08-02T15:00:00Z,84.26,84.57,84.15,84.54,1975.02,166598.5921
1785686400000,2026-08-02T16:00:00Z,84.54,84.64,83.8,84.11,3423.33,287917.6602
1785690000000,2026-08-02T17:00:00Z,84.11,84.31,83.9,83.97,2800.3,235324.8807
1785693600000,2026-08-02T18:00:00Z,83.97,84.16,83.79,83.93,1788.57,150142.1301
1785697200000,2026-08-02T19:00:00Z,83.93,84.08,83.76,83.88,1120.46,94019.015
1785700800000,2026-08-02T20:00:00Z,83.88,84.59,83.84,84.14,3567.88,300761.9727
1785704400000,2026-08-02T21:00:00Z,84.14,84.52,83.21,83.43,7797.4,652555.6295
1785708000000,2026-08-02T22:00:00Z,83.43,84.54,82.01,84.44,94353.99,7848141.3781
1785711600000,2026-08-02T23:00:00Z,84.44,84.5,83.59,83.91,11101.56,932813.3406
1785715200000,2026-08-03T00:00:00Z,83.91,84.22,83.58,84.02,7191.64,603464.6874
1785718800000,2026-08-03T01:00:00Z,84.02,84.15,83.52,83.6,7227.04,605994.6742
1785722400000,2026-08-03T02:00:00Z,83.6,83.98,83.31,83.36,5532.88,462890.5082
