ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,379.16,383.33,379.14,381.03,92.6,35330.2985
1785632400000,2026-08-02T01:00:00Z,381.03,384.78,378.51,379.1,226.85,86614.9319
1785636000000,2026-08-02T02:00:00Z,379.1,381.22,378.37,380.75,20.54,7788.5089
1785639600000,2026-08-02T03:00:00Z,380.75,380.75,379.3,380.52,1.45,550.9289
1785643200000,2026-08-02T04:00:00Z,380.52,380.74,379.76,379.98,0.9,342.2322
1785646800000,2026-08-02T05:00:00Z,379.98,380.18,379.36,379.63,0.78,296.2649
1785650400000,2026-08-02T06:00:00Z,379.63,380.19,378.72,379.21,3.96,1503.1367
1785654000000,2026-08-02T07:00:00Z,379.21,380.07,378.71,379.83,2.97,1127.3407
1785657600000,2026-08-02T08:00:00Z,379.83,380.05,379.34,379.83,2.68,1017.8083
1785661200000,2026-08-02T09:00:00Z,379.83,379.89,378.72,379.47,0.89,337.7858
1785664800000,2026-08-02T10:00:00Z,379.47,379.47,378.65,379.41,0.24,90.9994
1785668400000,2026-08-02T11:00:00Z,379.41,379.73,378.03,378.09,3.57,1352.5454
1785672000000,2026-08-02T12:00:00Z,378.09,378.82,378.09,378.64,1.44,545.0554
1785675600000,2026-08-02T13:00:00Z,378.64,378.66,378.04,378.39,0.33,124.8515
1785679200000,2026-08-02T14:00:00Z,378.39,378.78,378.36,378.67,0.88,333.1619
1785682800000,2026-08-02T15:00:00Z,378.67,378.67,378.18,378.37,0.72,272.4655
1785686400000,2026-08-02T16:00:00Z,378.37,378.85,378.04,378.85,0.69,261.0622
1785690000000,2026-08-02T17:00:00Z,378.85,378.85,378.04,378.04,0.29,109.7605
1785693600000,2026-08-02T18:00:00Z,378.04,379.4,378.04,378.62,2.13,806.2573
1785697200000,2026-08-02T19:00:00Z,378.62,379.82,378.03,379.05,1.22,462.539
1785700800000,2026-08-02T20:00:00Z,379.05,382.89,378.16,382.2,56.57,21569.8688
1785704400000,2026-08-02T21:00:00Z,382.2,385.82,380.05,383.65,6.54,2511.2609
