ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,3.977,3.978,3.95,3.968,37.71,149.64059
1785632400000,2026-08-02T01:00:00Z,3.968,3.981,3.946,3.981,42,166.63246
1785636000000,2026-08-02T02:00:00Z,3.981,3.986,3.952,3.986,101.42,403.89021
1785639600000,2026-08-02T03:00:00Z,3.986,3.99,3.927,3.945,440.71,1743.46382
1785643200000,2026-08-02T04:00:00Z,3.945,3.995,3.927,3.979,4209.03,16805.87033
1785646800000,2026-08-02T05:00:00Z,3.979,4.006,3.934,3.991,156.4,624.34098
1785650400000,2026-08-02T06:00:00Z,3.991,4.008,3.988,3.988,38,151.98087
1785654000000,2026-08-02T07:00:00Z,3.988,4.008,3.985,3.985,34.73,138.80267
1785657600000,2026-08-02T08:00:00Z,3.985,4.016,3.985,4.013,6179.01,24775.99944
1785661200000,2026-08-02T09:00:00Z,4.013,4.021,4.013,4.021,1053.93,4233.68905
1785664800000,2026-08-02T10:00:00Z,4.021,4.027,4.021,4.027,590.25,2374.23833
1785668400000,2026-08-02T11:00:00Z,4.027,4.027,4.025,4.026,243.95,982.0842
1785672000000,2026-08-02T12:00:00Z,4.026,4.027,4.026,4.027,29.39,118.34195
1785675600000,2026-08-02T13:00:00Z,4.027,4.027,4.016,4.018,2581,10390.6811
1785679200000,2026-08-02T14:00:00Z,4.018,4.032,4.014,4.03,51.48,207.28613
1785682800000,2026-08-02T15:00:00Z,4.03,4.032,4.018,4.025,66.33,266.75453
1785686400000,2026-08-02T16:00:00Z,4.025,4.032,4.019,4.019,29.75,119.7857
1785690000000,2026-08-02T17:00:00Z,4.019,4.032,4.017,4.019,64.04,257.60821
1785693600000,2026-08-02T18:00:00Z,4.019,4.028,4.019,4.025,38.72,155.82186
1785697200000,2026-08-02T19:00:00Z,4.025,4.033,4.012,4.024,58.05,233.5087
1785700800000,2026-08-02T20:00:00Z,4.024,4.035,4.016,4.018,60.46,243.35253
1785704400000,2026-08-02T21:00:00Z,4.018,4.043,4.014,4.043,2066.83,8351.84041
1785708000000,2026-08-02T22:00:00Z,4.043,4.043,4.016,4.017,201.04,810.825
1785711600000,2026-08-02T23:00:00Z,4.017,4.048,4.016,4.048,76.47,308.43075
1785715200000,2026-08-03T00:00:00Z,4.048,4.056,4.028,4.053,3089.26,12514.90556
1785718800000,2026-08-03T01:00:00Z,4.053,4.062,4.051,4.06,985.7,4002.61729
1785722400000,2026-08-03T02:00:00Z,4.06,4.065,4.054,4.065,46.75,189.8487
1785726000000,2026-08-03T03:00:00Z,4.065,4.066,4.051,4.051,52.75,214.01888
1785729600000,2026-08-03T04:00:00Z,4.051,4.063,4.048,4.051,653.47,2647.1368
1785733200000,2026-08-03T05:00:00Z,4.051,4.065,4.047,4.058,92.65,375.91522
1785736800000,2026-08-03T06:00:00Z,4.058,4.067,4.051,4.051,1157.92,4693.93888
1785740400000,2026-08-03T07:00:00Z,4.051,4.052,4.019,4.025,4355.96,17588.44191
1785744000000,2026-08-03T08:00:00Z,4.025,4.025,3.931,3.987,8399.52,33424.69403
1785747600000,2026-08-03T09:00:00Z,3.987,3.989,3.897,3.94,12032.05,47412.30348
1785751200000,2026-08-03T10:00:00Z,3.94,3.94,3.86,3.876,21145.67,82286.1636
1785754800000,2026-08-03T11:00:00Z,3.876,3.945,3.876,3.885,1030.22,4011.02726
1785758400000,2026-08-03T12:00:00Z,3.885,3.885,3.849,3.871,2396.67,9307.24201
1785762000000,2026-08-03T13:00:00Z,3.871,4.004,3.692,4.004,7321.69,28308.82707
1785765600000,2026-08-03T14:00:00Z,4.004,4.164,3.926,4.164,8635.81,34879.57806
1785769200000,2026-08-03T15:00:00Z,4.164,4.183,4.073,4.157,1165.86,4816.90652
1785772800000,2026-08-03T16:00:00Z,4.157,4.247,4.128,4.222,50.51,210.84954
1785776400000,2026-08-03T17:00:00Z,4.222,4.32,4.222,4.285,5100.71,21890.97685
1785780000000,2026-08-03T18:00:00Z,4.285,4.339,4.226,4.24,3036.66,13043.40045
1785783600000,2026-08-03T19:00:00Z,4.24,4.24,4.022,4.031,1088.56,4566.13394
1785787200000,2026-08-03T20:00:00Z,4.031,4.087,4.011,4.07,230.69,941.84119
1785790800000,2026-08-03T21:00:00Z,4.07,4.102,4.052,4.076,503.13,2042.32577
1785794400000,2026-08-03T22:00:00Z,4.076,4.089,4.048,4.075,44.41,180.54578
1785798000000,2026-08-03T23:00:00Z,4.075,4.08,4.057,4.063,908.73,3697.07263
1785801600000,2026-08-04T00:00:00Z,4.063,4.068,4.057,4.068,27.24,110.58025
1785805200000,2026-08-04T01:00:00Z,4.068,4.071,4.046,4.071,29.65,120.41515
1785808800000,2026-08-04T02:00:00Z,4.071,4.071,4.054,4.059,56.94,231.25013
1785812400000,2026-08-04T03:00:00Z,4.059,4.091,4.046,4.063,36.72,149.17014
1785816000000,2026-08-04T04:00:00Z,4.063,4.103,4.046,4.082,2495.73,10225.50123
1785819600000,2026-08-04T05:00:00Z,4.082,4.104,4.082,4.103,153.92,628.9005
1785823200000,2026-08-04T06:00:00Z,4.103,4.103,4.08,4.08,21.05,86.02559
1785826800000,2026-08-04T07:00:00Z,4.08,4.095,4.054,4.09,2448.1,9948.16453
1785830400000,2026-08-04T08:00:00Z,4.09,4.125,4.059,4.065,38.76,158.00341
1785834000000,2026-08-04T09:00:00Z,4.065,4.065,4.009,4.036,333.38,1346.50233
1785837600000,2026-08-04T10:00:00Z,4.036,4.054,4,4.051,31.06,125.2187
1785841200000,2026-08-04T11:00:00Z,4.051,4.088,4.031,4.088,667.93,2720.91201
1785844800000,2026-08-04T12:00:00Z,4.088,4.093,4.062,4.08,1112.16,4537.04629
1785848400000,2026-08-04T13:00:00Z,4.08,4.306,4.028,4.028,1889.06,7709.46285
1785852000000,2026-08-04T14:00:00Z,4.028,4.151,3.997,4.151,3300.01,13532.14293
1785855600000,2026-08-04T15:00:00Z,4.151,4.294,4.123,4.27,297.53,1257.69561
1785859200000,2026-08-04T16:00:00Z,4.27,4.27,4.192,4.192,90.99,382.38591
1785862800000,2026-08-04T17:00:00Z,4.192,4.256,4.192,4.24,19.45,82.27767
1785866400000,2026-08-04T18:00:00Z,4.24,4.289,4.24,4.289,127.21,541.23649
1785870000000,2026-08-04T19:00:00Z,4.289,4.327,4.283,4.323,755.19,3266.08813
1785873600000,2026-08-04T20:00:00Z,4.323,4.323,4.189,4.27,204.04,856.32177
1785877200000,2026-08-04T21:00:00Z,4.27,4.27,4.2,4.247,368.97,1551.81485
1785880800000,2026-08-04T22:00:00Z,4.247,4.247,4.223,4.233,33.72,142.76448
1785884400000,2026-08-04T23:00:00Z,4.233,4.253,4.233,4.234,49.95,212.07777
1785888000000,2026-08-05T00:00:00Z,4.234,4.234,4.224,4.228,17.87,75.53468
1785891600000,2026-08-05T01:00:00Z,4.228,4.233,4.221,4.232,31.8,134.42135
1785895200000,2026-08-05T02:00:00Z,4.232,4.233,4.218,4.218,34.79,147.04593
1785898800000,2026-08-05T03:00:00Z,4.218,4.227,4.218,4.227,32.2,136.00865
1785902400000,2026-08-05T04:00:00Z,4.227,4.229,4.219,4.221,52.53,221.94913
1785906000000,2026-08-05T05:00:00Z,4.221,4.299,4.218,4.285,4608.58,19762.91836
1785909600000,2026-08-05T06:00:00Z,4.285,4.301,4.274,4.298,871.13,3745.46883
1785913200000,2026-08-05T07:00:00Z,4.298,4.298,4.258,4.28,182.08,776.6717
1785916800000,2026-08-05T08:00:00Z,4.28,4.318,4.22,4.22,5425.81,23187.91024
1785920400000,2026-08-05T09:00:00Z,4.22,4.265,4.216,4.262,112.39,476.44449
