ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,405.25,409.52,405.25,408.92,65.73,26748.2212
1785632400000,2026-08-02T01:00:00Z,408.92,409.61,408.92,409.04,4.95,2026.7901
1785636000000,2026-08-02T02:00:00Z,409.04,416,408.68,413,130.03,53633.4676
1785639600000,2026-08-02T03:00:00Z,413,413.43,411.59,412.53,10.76,4432.6504
1785643200000,2026-08-02T04:00:00Z,412.53,412.94,412.4,412.71,0.29,119.6445
1785646800000,2026-08-02T05:00:00Z,412.71,413.19,412.4,413.19,1.36,561.2625
1785650400000,2026-08-02T06:00:00Z,413.19,413.31,412.46,412.46,0.89,367.5097
1785654000000,2026-08-02T07:00:00Z,412.46,412.71,411.86,412.71,2.04,841.7383
1785657600000,2026-08-02T08:00:00Z,412.71,413.48,412.49,412.49,44.14,18220.9975
1785661200000,2026-08-02T09:00:00Z,412.49,414.85,412.49,413.76,20.14,8329.5861
1785664800000,2026-08-02T10:00:00Z,413.76,414.01,412.5,412.5,5.53,2282.3386
1785668400000,2026-08-02T11:00:00Z,412.5,412.84,409.62,410,128.96,52994.866
1785672000000,2026-08-02T12:00:00Z,410,410.95,409.84,410.01,18.55,7611.9863
1785675600000,2026-08-02T13:00:00Z,410.01,410.01,408.38,408.38,15.88,6489.8569
1785679200000,2026-08-02T14:00:00Z,408.38,408.65,407.9,407.9,9.99,4076.8236
1785682800000,2026-08-02T15:00:00Z,407.9,407.94,407.57,407.94,3.58,1459.9326
1785686400000,2026-08-02T16:00:00Z,407.94,409.01,407.54,408.57,1.71,698.5037
1785690000000,2026-08-02T17:00:00Z,408.57,409.76,408.17,408.56,17.03,6962.5449
1785693600000,2026-08-02T18:00:00Z,408.56,409.72,408.56,409.28,4.6,1883.1843
1785697200000,2026-08-02T19:00:00Z,409.28,409.97,409.12,409.97,2.94,1204.2832
1785700800000,2026-08-02T20:00:00Z,409.97,410.33,409.61,409.61,0.72,295.1854
1785704400000,2026-08-02T21:00:00Z,409.61,411.39,408.76,410.52,32.5,13320.7033
1785708000000,2026-08-02T22:00:00Z,410.52,411.19,409.24,410.61,11.39,4669.5768
1785711600000,2026-08-02T23:00:00Z,410.61,412.85,408.89,410.53,88.47,36330.3715
1785715200000,2026-08-03T00:00:00Z,410.53,413.55,406.55,411.63,85.99,35258.009
1785718800000,2026-08-03T01:00:00Z,411.63,415.17,410.65,412.62,28.46,11765.7665
1785722400000,2026-08-03T02:00:00Z,412.62,414.96,412.47,413.14,28.93,11975.3783
1785726000000,2026-08-03T03:00:00Z,413.14,413.86,412.47,412.93,67.65,27929.6135
1785729600000,2026-08-03T04:00:00Z,412.93,413.84,411.74,411.83,43.83,18073.8617
1785733200000,2026-08-03T05:00:00Z,411.83,412.4,410.49,412.32,36.26,14901.974
