ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1787648400000,2026-08-25T09:00:00Z,9.321,9.479,9.303,9.418,6393.15,60240.52286
1787652000000,2026-08-25T10:00:00Z,9.418,9.489,9.33,9.397,2899.86,27329.16948
1787655600000,2026-08-25T11:00:00Z,9.397,9.414,9.326,9.329,1077.98,10109.00491
1787659200000,2026-08-25T12:00:00Z,9.329,9.393,9.311,9.363,242.96,2276.50866
1787662800000,2026-08-25T13:00:00Z,9.363,9.45,9.062,9.201,4703.21,43412.86797
1787666400000,2026-08-25T14:00:00Z,9.201,9.45,9.047,9.217,12215.53,111879.16318
1787670000000,2026-08-25T15:00:00Z,9.217,9.267,9.168,9.263,2911.54,26810.89961
1787673600000,2026-08-25T16:00:00Z,9.263,9.267,9.203,9.267,1183.2,10922.90873
1787677200000,2026-08-25T17:00:00Z,9.267,9.301,9.141,9.299,1999.58,18489.84108
1787680800000,2026-08-25T18:00:00Z,9.299,9.406,9.299,9.386,1175.66,10998.23041
1787684400000,2026-08-25T19:00:00Z,9.386,9.412,9.291,9.412,1060.95,9916.03002
1787688000000,2026-08-25T20:00:00Z,9.412,9.446,9.306,9.402,407.75,3818.39867
1787691600000,2026-08-25T21:00:00Z,9.402,9.402,9.351,9.388,1121.13,10511.7949
1787695200000,2026-08-25T22:00:00Z,9.388,9.414,9.326,9.36,642.66,6030.09176
1787698800000,2026-08-25T23:00:00Z,9.36,9.404,9.36,9.363,866.19,8126.49006
1787702400000,2026-08-26T00:00:00Z,9.363,9.405,9.363,9.371,1797.49,16879.64879
1787706000000,2026-08-26T01:00:00Z,9.371,9.404,9.359,9.374,437.17,4097.37734
1787709600000,2026-08-26T02:00:00Z,9.374,9.482,9.374,9.436,809.94,7648.53449
1787713200000,2026-08-26T03:00:00Z,9.436,9.525,9.285,9.294,4172.54,39094.87201
1787716800000,2026-08-26T04:00:00Z,9.294,9.38,9.283,9.378,1787.13,16697.10941
1787720400000,2026-08-26T05:00:00Z,9.378,9.388,9.296,9.357,4928.57,46039.13457
1787724000000,2026-08-26T06:00:00Z,9.357,9.462,9.357,9.412,1285.14,12112.9909
1787727600000,2026-08-26T07:00:00Z,9.412,9.479,9.405,9.448,2018.75,19061.29466
1787731200000,2026-08-26T08:00:00Z,9.448,9.484,9.366,9.42,471.22,4445.62543
1787734800000,2026-08-26T09:00:00Z,9.42,9.487,9.398,9.487,1530.45,14425.67294
1787738400000,2026-08-26T10:00:00Z,9.487,9.573,9.411,9.518,1910.02,18182.82106
1787742000000,2026-08-26T11:00:00Z,9.518,9.518,9.393,9.422,5759.23,54369.56138
1787745600000,2026-08-26T12:00:00Z,9.422,9.465,9.389,9.422,1387.65,13087.30575
1787749200000,2026-08-26T13:00:00Z,9.422,9.473,9.345,9.473,286.39,2700.96425
1787752800000,2026-08-26T14:00:00Z,9.473,9.473,9.296,9.332,1655.53,15514.10504
1787756400000,2026-08-26T15:00:00Z,9.332,9.377,9.281,9.281,330.82,3087.59891
1787760000000,2026-08-26T16:00:00Z,9.281,9.316,9.23,9.283,923.75,8575.06149
1787763600000,2026-08-26T17:00:00Z,9.283,9.303,9.164,9.303,690.13,6364.63178
1787767200000,2026-08-26T18:00:00Z,9.303,9.402,9.303,9.402,952.7,8894.51253
1787770800000,2026-08-26T19:00:00Z,9.402,9.616,9.373,9.53,1524.08,14526.79328
1787774400000,2026-08-26T20:00:00Z,9.53,9.53,9.447,9.512,417.46,3960.34533
1787778000000,2026-08-26T21:00:00Z,9.512,9.532,9.45,9.502,2709.44,25714.03976
1787781600000,2026-08-26T22:00:00Z,9.502,9.505,9.456,9.481,1053.49,9978.18876
1787785200000,2026-08-26T23:00:00Z,9.481,9.488,9.443,9.488,632.38,5986.67905
1787788800000,2026-08-27T00:00:00Z,9.488,9.511,9.474,9.511,524.46,4983.32941
1787792400000,2026-08-27T01:00:00Z,9.511,9.524,9.489,9.501,745.85,7095.77429
1787796000000,2026-08-27T02:00:00Z,9.501,9.513,9.456,9.468,298.46,2827.773
1787799600000,2026-08-27T03:00:00Z,9.468,9.481,9.455,9.481,58.05,549.38525
1787803200000,2026-08-27T04:00:00Z,9.481,9.503,9.426,9.461,2025.71,19154.6878
1787806800000,2026-08-27T05:00:00Z,9.461,9.463,9.446,9.449,170.72,1614.02856
