ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,84.72,84.88,84.72,84.85,1.53,129.7724
1785632400000,2026-08-02T01:00:00Z,84.85,85.07,84.58,84.95,2.95,250.4382
1785636000000,2026-08-02T02:00:00Z,84.95,85.22,84.59,84.59,3.33,282.8383
1785639600000,2026-08-02T03:00:00Z,84.59,85.05,84.59,85.05,1.91,162.1365
1785643200000,2026-08-02T04:00:00Z,85.05,85.08,84.59,84.69,1.88,159.3018
1785646800000,2026-08-02T05:00:00Z,84.69,85.27,84.69,84.75,1.72,146.4382
1785650400000,2026-08-02T06:00:00Z,84.75,84.94,84.65,84.82,1.69,143.3553
1785654000000,2026-08-02T07:00:00Z,84.82,85.07,84.41,84.93,2.71,229.8814
1785657600000,2026-08-02T08:00:00Z,84.93,85.08,84.6,84.98,2.02,171.3825
1785661200000,2026-08-02T09:00:00Z,84.98,85.07,84.61,85.07,2,169.6851
1785664800000,2026-08-02T10:00:00Z,85.07,85.07,84.65,84.95,1.97,167.138
1785668400000,2026-08-02T11:00:00Z,84.95,85.25,84.65,84.81,1.95,165.5704
1785672000000,2026-08-02T12:00:00Z,84.81,85.03,84.81,85.01,2.93,248.8275
1785675600000,2026-08-02T13:00:00Z,85.01,85.09,84.84,84.88,1.48,125.7822
1785679200000,2026-08-02T14:00:00Z,84.88,85.25,84.58,85.02,2.8,238.0489
1785682800000,2026-08-02T15:00:00Z,85.02,85.22,84.91,85.18,2.14,182.1185
1785686400000,2026-08-02T16:00:00Z,85.18,85.18,84.76,84.87,1.81,153.6742
1785690000000,2026-08-02T17:00:00Z,84.87,85.02,84.87,84.93,1.83,155.4848
1785693600000,2026-08-02T18:00:00Z,84.93,85.16,84.88,84.88,2.03,172.5344
1785697200000,2026-08-02T19:00:00Z,84.88,85.15,84.88,85.15,1.09,92.7559
1785700800000,2026-08-02T20:00:00Z,85.15,85.15,85.01,85.01,1.41,119.9007
1785704400000,2026-08-02T21:00:00Z,85.01,85.24,84.88,85.2,2.03,172.8387
1785708000000,2026-08-02T22:00:00Z,85.2,85.26,84.94,85.24,0.8,68.0678
1785711600000,2026-08-02T23:00:00Z,85.24,85.25,84.92,84.96,1.82,154.7289
1785715200000,2026-08-03T00:00:00Z,84.96,85.57,84.96,85.57,3.45,294.2329
1785718800000,2026-08-03T01:00:00Z,85.57,85.59,85.1,85.31,1.83,156.0693
1785722400000,2026-08-03T02:00:00Z,85.31,85.59,85.13,85.59,2.9,247.5222
1785726000000,2026-08-03T03:00:00Z,85.59,85.6,85.09,85.16,30.98,2640.0271
1785729600000,2026-08-03T04:00:00Z,85.16,85.39,84.99,85.39,1.52,129.4455
1785733200000,2026-08-03T05:00:00Z,85.39,85.42,84.75,85.42,2.43,206.7816
1785736800000,2026-08-03T06:00:00Z,85.42,85.42,84.32,84.57,2.14,181.2492
1785740400000,2026-08-03T07:00:00Z,84.57,85.02,84.26,84.74,3,254.0536
1785744000000,2026-08-03T08:00:00Z,84.74,85.43,84.74,84.79,1.58,134.4064
1785747600000,2026-08-03T09:00:00Z,84.79,85.16,84,85.09,6.11,515.1772
1785751200000,2026-08-03T10:00:00Z,85.09,85.78,84,84,1.97,167.3382
1785754800000,2026-08-03T11:00:00Z,84,84.23,83.07,84.01,18.04,1514.6265
1785758400000,2026-08-03T12:00:00Z,84.01,84.92,83.4,84.92,2.29,191.5959
1785762000000,2026-08-03T13:00:00Z,84.92,86.64,83.07,86.64,426.57,35823.6974
1785765600000,2026-08-03T14:00:00Z,86.64,87.86,85.6,87.86,43.05,3766.2737
1785769200000,2026-08-03T15:00:00Z,87.86,87.86,86.79,87.34,33.16,2897.6633
1785772800000,2026-08-03T16:00:00Z,87.34,88.21,83.91,84.41,127.2,11018.7712
1785776400000,2026-08-03T17:00:00Z,84.41,84.92,83.57,84.41,17.26,1457.0918
1785780000000,2026-08-03T18:00:00Z,84.41,84.95,84.25,84.64,11.12,942.042
1785783600000,2026-08-03T19:00:00Z,84.64,85.95,84.64,85.95,121.52,10363.4279
1785787200000,2026-08-03T20:00:00Z,85.95,86.62,85.95,86.4,2.03,175.4184
1785790800000,2026-08-03T21:00:00Z,86.4,86.85,85.95,86.54,6.75,584.7768
