ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,91.68,91.68,91.57,91.68,4.29,393.045
1785632400000,2026-08-02T01:00:00Z,91.68,91.83,91.66,91.72,27.5,2523.3716
1785636000000,2026-08-02T02:00:00Z,91.72,92.12,91.61,92.11,86.08,7907.6396
1785639600000,2026-08-02T03:00:00Z,92.11,92.38,92,92.25,98.27,9059.9439
1785643200000,2026-08-02T04:00:00Z,92.25,92.31,92.15,92.15,6.25,576.5296
1785646800000,2026-08-02T05:00:00Z,92.15,92.28,92,92.1,21.01,1935.0636
1785650400000,2026-08-02T06:00:00Z,92.1,92.58,92.1,92.56,61.39,5674.9553
1785654000000,2026-08-02T07:00:00Z,92.56,92.58,92.36,92.48,10.52,972.6054
1785657600000,2026-08-02T08:00:00Z,92.48,92.56,92.48,92.51,18.29,1691.8926
1785661200000,2026-08-02T09:00:00Z,92.51,92.56,92.5,92.5,5.65,522.7496
1785664800000,2026-08-02T10:00:00Z,92.5,92.54,92.45,92.51,8.47,783.4333
1785668400000,2026-08-02T11:00:00Z,92.51,92.51,92.43,92.43,35.02,3238.5787
1785672000000,2026-08-02T12:00:00Z,92.43,92.52,92.4,92.47,6.42,593.6
1785675600000,2026-08-02T13:00:00Z,92.47,92.54,92.45,92.47,2.22,205.3139
1785679200000,2026-08-02T14:00:00Z,92.47,92.48,92.38,92.38,3.62,334.535
1785682800000,2026-08-02T15:00:00Z,92.38,92.56,92.38,92.42,3.37,311.5941
1785686400000,2026-08-02T16:00:00Z,92.42,92.59,92.39,92.58,4.45,411.5484
1785690000000,2026-08-02T17:00:00Z,92.58,92.58,92.52,92.52,1.55,143.4182
1785693600000,2026-08-02T18:00:00Z,92.52,92.52,92.47,92.47,7.64,706.5865
1785697200000,2026-08-02T19:00:00Z,92.47,92.76,92.43,92.54,71.03,6583.9995
1785700800000,2026-08-02T20:00:00Z,92.54,92.73,92.38,92.69,13.75,1273.2216
1785704400000,2026-08-02T21:00:00Z,92.69,92.91,92.64,92.8,2.97,275.3351
