ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,111.92,111.94,111.88,111.92,2.54,284.2529
1785632400000,2026-08-02T01:00:00Z,111.92,111.94,111.88,111.89,1.99,222.6761
1785636000000,2026-08-02T02:00:00Z,111.89,112.44,111.89,112.28,10.8,1212.3282
1785639600000,2026-08-02T03:00:00Z,112.28,112.35,111.94,112.14,2.14,239.9119
1785643200000,2026-08-02T04:00:00Z,112.14,112.14,111.87,112.05,7.25,811.2111
1785646800000,2026-08-02T05:00:00Z,112.05,112.07,111.98,112.02,1.64,183.6948
1785650400000,2026-08-02T06:00:00Z,112.02,112.07,111.87,111.87,6.47,724.1518
1785654000000,2026-08-02T07:00:00Z,111.87,111.99,111.85,111.99,4.11,459.8501
1785657600000,2026-08-02T08:00:00Z,111.99,112.17,111.9,111.9,3.96,443.7214
1785661200000,2026-08-02T09:00:00Z,111.9,112.19,111.9,112.17,2.4,268.9568
1785664800000,2026-08-02T10:00:00Z,112.17,112.29,111.93,112.22,2.33,261.355
1785668400000,2026-08-02T11:00:00Z,112.22,112.37,111.85,111.86,1.73,193.799
1785672000000,2026-08-02T12:00:00Z,111.86,112.4,111.86,112.35,1.97,220.922
1785675600000,2026-08-02T13:00:00Z,112.35,112.63,112.21,112.49,1.99,223.7944
1785679200000,2026-08-02T14:00:00Z,112.49,112.57,112.42,112.52,1.09,122.6401
1785682800000,2026-08-02T15:00:00Z,112.52,112.62,112.37,112.37,1,112.5085
1785686400000,2026-08-02T16:00:00Z,112.37,112.61,112.24,112.37,1.36,152.8599
1785690000000,2026-08-02T17:00:00Z,112.37,113.33,112.37,113.15,4.21,475.6033
1785693600000,2026-08-02T18:00:00Z,113.15,113.93,113.15,113.33,1.74,197.4013
1785697200000,2026-08-02T19:00:00Z,113.33,114.02,113.33,113.77,1.75,198.9417
1785700800000,2026-08-02T20:00:00Z,113.77,114.06,113.45,113.7,0.73,83.016
1785704400000,2026-08-02T21:00:00Z,113.7,114.07,113.52,114.07,7.78,886.3173
1785708000000,2026-08-02T22:00:00Z,114.07,114.14,113.9,114.14,1.33,151.6394
1785711600000,2026-08-02T23:00:00Z,114.14,114.14,113.89,113.93,1.93,220.0242
1785715200000,2026-08-03T00:00:00Z,113.93,114.51,113.93,114.07,220.57,25218.6454
1785718800000,2026-08-03T01:00:00Z,114.07,114.47,114.06,114.11,1.23,140.4479
1785722400000,2026-08-03T02:00:00Z,114.11,115.4,114.11,115.4,55.96,6429.3838
1785726000000,2026-08-03T03:00:00Z,115.4,115.4,115.26,115.38,0.88,101.4844
1785729600000,2026-08-03T04:00:00Z,115.38,115.46,115.36,115.46,1.74,200.7909
1785733200000,2026-08-03T05:00:00Z,115.46,115.61,115.45,115.6,2.46,284.132
1785736800000,2026-08-03T06:00:00Z,115.6,115.69,115.42,115.64,1.82,210.4171
1785740400000,2026-08-03T07:00:00Z,115.64,115.64,115.36,115.36,4.87,562.156
1785744000000,2026-08-03T08:00:00Z,115.36,115.62,113.1,113.79,7.89,898.0842
1785747600000,2026-08-03T09:00:00Z,113.79,114.29,113.43,113.83,3.08,350.545
1785751200000,2026-08-03T10:00:00Z,113.83,114.13,112.4,112.72,1.36,153.7408
1785754800000,2026-08-03T11:00:00Z,112.72,113.55,112.72,112.89,0.92,104.2313
1785758400000,2026-08-03T12:00:00Z,112.89,113.26,111.77,111.77,4.04,453.5891
1785762000000,2026-08-03T13:00:00Z,111.77,112.8,107.53,110.48,79.86,8767.0071
1785765600000,2026-08-03T14:00:00Z,110.48,115.57,110.48,115.57,53.66,6139.654
1785769200000,2026-08-03T15:00:00Z,115.57,116.54,114.96,116.52,3.75,433.7962
1785772800000,2026-08-03T16:00:00Z,116.52,116.52,115.88,116.01,1.76,204.4976
1785776400000,2026-08-03T17:00:00Z,116.01,116.93,115.82,116.65,1.19,138.6044
1785780000000,2026-08-03T18:00:00Z,116.65,117.17,115.63,116.07,1.55,180.7349
1785783600000,2026-08-03T19:00:00Z,116.07,118.07,116.07,117.6,19.5,2293.0148
1785787200000,2026-08-03T20:00:00Z,117.6,118.95,117.28,118.31,6.03,710.2881
1785790800000,2026-08-03T21:00:00Z,118.31,119.41,118.21,119.11,1.18,140.2083
1785794400000,2026-08-03T22:00:00Z,119.11,121.58,118.36,121.53,13.79,1652.1041
1785798000000,2026-08-03T23:00:00Z,121.53,122.1,120.7,121.28,6.53,792.3502
1785801600000,2026-08-04T00:00:00Z,121.28,121.28,119.22,119.47,716.81,85889.9741
1785805200000,2026-08-04T01:00:00Z,119.47,120.66,118.86,120.29,347.2,41437.1242
1785808800000,2026-08-04T02:00:00Z,120.29,120.96,119.92,120.86,18.29,2209.2119
1785812400000,2026-08-04T03:00:00Z,120.86,120.86,120.38,120.66,4.87,587.1025
1785816000000,2026-08-04T04:00:00Z,120.66,120.66,119.82,120.34,0.89,106.8454
1785819600000,2026-08-04T05:00:00Z,120.34,120.34,119.21,119.83,123.55,14746.9168
1785823200000,2026-08-04T06:00:00Z,119.83,120.16,119.21,119.75,2.15,257.3538
1785826800000,2026-08-04T07:00:00Z,119.75,120.2,119.72,119.9,1,119.9499
1785830400000,2026-08-04T08:00:00Z,119.9,121.24,119.73,121.24,19.38,2330.9255
1785834000000,2026-08-04T09:00:00Z,121.24,121.24,119.9,120.39,7.06,854.4321
1785837600000,2026-08-04T10:00:00Z,120.39,121.81,119.78,121.81,14.43,1739.5714
1785841200000,2026-08-04T11:00:00Z,121.81,123.5,121.81,123.5,6.91,848.5873
1785844800000,2026-08-04T12:00:00Z,123.5,124.57,123.5,123.66,4.53,561.8835
1785848400000,2026-08-04T13:00:00Z,123.66,124.41,122.3,123.66,189.22,23474.4188
1785852000000,2026-08-04T14:00:00Z,123.66,125.75,123.66,125.75,18.23,2277.3525
1785855600000,2026-08-04T15:00:00Z,125.75,127.78,125.75,127.73,23.49,2991.8247
1785859200000,2026-08-04T16:00:00Z,127.73,128.66,127.73,128.26,12.84,1647.3411
1785862800000,2026-08-04T17:00:00Z,128.26,128.93,128.24,128.68,18.74,2407.6955
1785866400000,2026-08-04T18:00:00Z,128.68,128.68,127.22,127.42,13.63,1742.4383
1785870000000,2026-08-04T19:00:00Z,127.42,127.9,127.02,127.03,3.36,428.1597
1785873600000,2026-08-04T20:00:00Z,127.03,127.03,125.52,126.04,55.72,7012.342
1785877200000,2026-08-04T21:00:00Z,126.04,126.51,124.67,126.13,21.23,2656.3777
1785880800000,2026-08-04T22:00:00Z,126.13,126.92,125.39,126.82,7.9,997.7788
1785884400000,2026-08-04T23:00:00Z,126.82,127.1,126.26,126.26,1.75,221.4491
1785888000000,2026-08-05T00:00:00Z,126.26,126.6,126.17,126.19,2.7,341.2349
1785891600000,2026-08-05T01:00:00Z,126.19,126.72,126.19,126.72,1.71,216.2228
1785895200000,2026-08-05T02:00:00Z,126.72,127.15,126.72,127.11,2.14,271.8607
1785898800000,2026-08-05T03:00:00Z,127.11,127.11,126.85,126.99,1.12,142.1112
1785902400000,2026-08-05T04:00:00Z,126.99,127.79,126.68,127.68,5.11,650.5101
1785906000000,2026-08-05T05:00:00Z,127.68,128.03,127.61,127.97,1.38,176.4088
1785909600000,2026-08-05T06:00:00Z,127.97,128.11,127.53,127.89,2.87,367.2315
1785913200000,2026-08-05T07:00:00Z,127.89,128.07,127.47,127.63,1.75,223.4682
1785916800000,2026-08-05T08:00:00Z,127.63,127.91,126.71,126.71,0.87,110.9073
1785920400000,2026-08-05T09:00:00Z,126.71,127.86,126.71,127.3,3.1,394.546
1785924000000,2026-08-05T10:00:00Z,127.3,127.32,126.56,127.32,18.68,2367.1094
1785927600000,2026-08-05T11:00:00Z,127.32,129.06,126.24,127.59,49.98,6356.6413
1785931200000,2026-08-05T12:00:00Z,127.59,127.59,125.86,126.98,3.15,398.6735
1785934800000,2026-08-05T13:00:00Z,126.98,128.41,125.45,128.41,6.89,869.3108
1785938400000,2026-08-05T14:00:00Z,128.41,128.41,124.15,125.34,86.24,10790.0753
1785942000000,2026-08-05T15:00:00Z,125.34,126.68,125.19,126.68,76.19,9557.0022
1785945600000,2026-08-05T16:00:00Z,126.68,126.68,125.1,125.48,2.21,278.2233
1785949200000,2026-08-05T17:00:00Z,125.48,125.67,124.65,125.64,2.34,293.288
1785952800000,2026-08-05T18:00:00Z,125.64,125.64,125.06,125.2,0.71,89.0098
1785956400000,2026-08-05T19:00:00Z,125.2,125.26,122.37,122.37,5.39,665.3511
