ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788350400000,2026-09-02T12:00:00Z,55.96,57.18,54.55,56.26,83.72,4702.407
1788354000000,2026-09-02T13:00:00Z,56.26,58.34,49.6,51.55,361.46,19226.8335
1788357600000,2026-09-02T14:00:00Z,51.55,52.57,50.17,52.05,104.6,5309.9656
1788361200000,2026-09-02T15:00:00Z,52.05,52.8,50.57,52.18,28.14,1459.9043
1788364800000,2026-09-02T16:00:00Z,52.18,52.18,50.05,50.05,28.18,1435.3081
1788368400000,2026-09-02T17:00:00Z,50.05,50.81,49.54,49.54,39.84,1990.2536
1788372000000,2026-09-02T18:00:00Z,49.54,50.12,48.84,49.72,15.58,770.668
1788375600000,2026-09-02T19:00:00Z,49.72,50.73,49.65,50.73,9.49,477.1484
1788379200000,2026-09-02T20:00:00Z,50.73,50.73,48.55,49.66,23.76,1184.4426
1788382800000,2026-09-02T21:00:00Z,49.66,50.13,49.66,49.69,103.9,5203.5119
1788386400000,2026-09-02T22:00:00Z,49.69,50.17,49.41,50.11,24.69,1234.2924
1788390000000,2026-09-02T23:00:00Z,50.11,50.12,49.8,50.06,5.55,277.7319
1788393600000,2026-09-03T00:00:00Z,50.06,50.27,49.79,49.79,7.06,353.5887
1788397200000,2026-09-03T01:00:00Z,49.79,49.9,49.7,49.89,22.46,1117.8975
1788400800000,2026-09-03T02:00:00Z,49.89,49.91,49.76,49.83,21.08,1050.4324
1788404400000,2026-09-03T03:00:00Z,49.83,50.15,49.83,49.98,4.35,217.6038
1788408000000,2026-09-03T04:00:00Z,49.98,49.99,49.98,49.99,2.14,106.9683
1788411600000,2026-09-03T05:00:00Z,49.99,49.99,49.77,49.86,12.95,646.1378
1788415200000,2026-09-03T06:00:00Z,49.86,49.86,49.19,49.21,24.15,1189.0194
1788418800000,2026-09-03T07:00:00Z,49.21,49.73,49.21,49.73,4.23,209.6211
1788422400000,2026-09-03T08:00:00Z,49.73,49.94,49.72,49.85,31.91,1593.1536
1788426000000,2026-09-03T09:00:00Z,49.85,49.85,49.71,49.75,2.02,100.5207
1788429600000,2026-09-03T10:00:00Z,49.75,50.59,49.74,50.1,140.79,7086.1117
1788433200000,2026-09-03T11:00:00Z,50.1,50.37,49.99,49.99,168.31,8473.8171
1788436800000,2026-09-03T12:00:00Z,49.99,50.41,49.81,50.39,535.01,26881.8361
1788440400000,2026-09-03T13:00:00Z,50.39,50.64,49.34,49.72,552.72,27692.6882
1788444000000,2026-09-03T14:00:00Z,49.72,50.64,49.17,49.26,970.06,48129.5845
1788447600000,2026-09-03T15:00:00Z,49.26,50.01,49.26,49.89,919.63,45804.148
1788451200000,2026-09-03T16:00:00Z,49.89,50.32,49.89,49.98,320.79,16090.0213
1788454800000,2026-09-03T17:00:00Z,49.98,50.12,49.92,49.97,173.22,8661.9431
1788458400000,2026-09-03T18:00:00Z,49.97,50.34,49.95,49.95,51.94,2603.4896
1788462000000,2026-09-03T19:00:00Z,49.95,49.95,49.45,49.48,399.14,19789.5219
1788465600000,2026-09-03T20:00:00Z,49.48,49.57,49.31,49.55,310.32,15374.8727
1788469200000,2026-09-03T21:00:00Z,49.55,49.55,49.34,49.35,60.23,2979.8855
1788472800000,2026-09-03T22:00:00Z,49.35,49.41,49.21,49.35,640.34,31593.6706
1788476400000,2026-09-03T23:00:00Z,49.35,49.53,49.34,49.34,286.62,14187.5759
1788480000000,2026-09-04T00:00:00Z,49.34,49.49,49.34,49.45,95.72,4732.9674
1788483600000,2026-09-04T01:00:00Z,49.45,49.45,49.38,49.43,169.91,8398.7621
1788487200000,2026-09-04T02:00:00Z,49.43,49.58,49.34,49.45,121.92,6037.1178
1788490800000,2026-09-04T03:00:00Z,49.45,49.52,49.36,49.52,2.26,111.8066
1788494400000,2026-09-04T04:00:00Z,49.52,49.58,49.47,49.5,44.58,2206.7463
1788498000000,2026-09-04T05:00:00Z,49.5,49.56,48.87,49.26,65.61,3235.8065
1788501600000,2026-09-04T06:00:00Z,49.26,49.39,49.21,49.39,167.56,8252.2052
1788505200000,2026-09-04T07:00:00Z,49.39,49.52,49.33,49.42,132.29,6536.5095
1788508800000,2026-09-04T08:00:00Z,49.42,49.6,49.42,49.51,81.53,4043.6107
1788512400000,2026-09-04T09:00:00Z,49.51,49.53,49.27,49.3,214.41,10597.3215
1788516000000,2026-09-04T10:00:00Z,49.3,49.55,49.3,49.5,42.52,2099.5565
1788519600000,2026-09-04T11:00:00Z,49.5,49.75,49.48,49.75,59.14,2940.6254
1788523200000,2026-09-04T12:00:00Z,49.75,49.75,48.66,48.91,293.3,14496.0868
1788526800000,2026-09-04T13:00:00Z,48.91,50,48.19,49.58,1920.52,94109.5439
1788530400000,2026-09-04T14:00:00Z,49.58,50.12,48.94,49.75,392.76,19536.6045
1788534000000,2026-09-04T15:00:00Z,49.75,49.97,49.47,49.82,522.19,26032.6438
1788537600000,2026-09-04T16:00:00Z,49.82,50.69,49.82,50.46,559.28,28189.7948
1788541200000,2026-09-04T17:00:00Z,50.46,50.52,49.98,50.18,760.49,38362.3052
1788544800000,2026-09-04T18:00:00Z,50.18,50.26,49.99,50,182.6,9145.2686
1788548400000,2026-09-04T19:00:00Z,50,50.01,49.67,49.89,208.14,10376.4969
1788552000000,2026-09-04T20:00:00Z,49.89,50.06,49.86,49.91,8.83,441.4151
1788555600000,2026-09-04T21:00:00Z,49.91,49.92,49.69,49.71,280.91,14003.6585
1788559200000,2026-09-04T22:00:00Z,49.71,49.81,49.71,49.74,91.99,4581.1519
1788562800000,2026-09-04T23:00:00Z,49.74,49.76,49.73,49.75,4.78,237.8192
1788566400000,2026-09-05T00:00:00Z,49.75,49.76,49.74,49.74,3.85,191.5599
1788570000000,2026-09-05T01:00:00Z,49.74,49.74,49.62,49.62,1.71,84.9538
1788573600000,2026-09-05T02:00:00Z,49.62,49.62,49.53,49.53,3.01,149.2736
1788577200000,2026-09-05T03:00:00Z,49.53,49.58,49.47,49.48,1.74,86.159
1788580800000,2026-09-05T04:00:00Z,49.48,49.48,49.34,49.36,1.68,83.0001
1788584400000,2026-09-05T05:00:00Z,49.36,49.36,49.33,49.34,2.99,147.5222
1788588000000,2026-09-05T06:00:00Z,49.34,49.36,49.33,49.34,1.8,88.8192
1788591600000,2026-09-05T07:00:00Z,49.34,49.34,48.95,48.95,7.62,374.0536
1788595200000,2026-09-05T08:00:00Z,48.95,49.07,48.95,49.04,3.68,180.4608
1788598800000,2026-09-05T09:00:00Z,49.04,49.12,48.96,49.12,5.84,286.2734
1788602400000,2026-09-05T10:00:00Z,49.12,49.63,49.12,49.61,6.13,302.9522
1788606000000,2026-09-05T11:00:00Z,49.61,49.66,49.6,49.66,2.15,106.6952
1788609600000,2026-09-05T12:00:00Z,49.66,49.68,49.62,49.66,2.73,135.5827
1788613200000,2026-09-05T13:00:00Z,49.66,49.77,49.54,49.75,1.13,56.1661
1788616800000,2026-09-05T14:00:00Z,49.75,49.88,49.69,49.74,5.57,277.2951
1788620400000,2026-09-05T15:00:00Z,49.74,49.78,49.57,49.72,3.61,179.289
1788624000000,2026-09-05T16:00:00Z,49.72,49.82,49.66,49.82,2.98,148.2173
1788627600000,2026-09-05T17:00:00Z,49.82,49.99,49.82,49.9,5.54,276.5471
1788631200000,2026-09-05T18:00:00Z,49.9,49.9,49.74,49.74,1.68,83.62
1788634800000,2026-09-05T19:00:00Z,49.74,49.74,49.5,49.5,1.94,96.1817
1788638400000,2026-09-05T20:00:00Z,49.5,49.63,49.44,49.54,3.33,164.9504
1788642000000,2026-09-05T21:00:00Z,49.54,49.59,49.42,49.42,2.56,126.7933
1788645600000,2026-09-05T22:00:00Z,49.42,49.47,49.25,49.34,2.94,145.0705
1788649200000,2026-09-05T23:00:00Z,49.34,49.34,49.12,49.12,3.07,151.0814
1788652800000,2026-09-06T00:00:00Z,49.12,49.13,49.06,49.06,3.25,159.588
1788656400000,2026-09-06T01:00:00Z,49.06,49.14,48.98,49.11,76.49,3746.8591
1788660000000,2026-09-06T02:00:00Z,49.11,49.15,49.01,49.12,3.08,151.3036
1788663600000,2026-09-06T03:00:00Z,49.12,49.15,49.12,49.12,3.12,153.3125
1788667200000,2026-09-06T04:00:00Z,49.12,49.16,49.04,49.05,76.9,3780.3119
1788670800000,2026-09-06T05:00:00Z,49.05,49.15,49.05,49.15,2.77,136.0686
1788674400000,2026-09-06T06:00:00Z,49.15,49.26,49.1,49.26,4.75,233.6056
1788678000000,2026-09-06T07:00:00Z,49.26,49.26,49.17,49.18,3.25,159.9039
