ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,47.39,47.51,47.33,47.43,11.18,530.3828
1785632400000,2026-08-02T01:00:00Z,47.43,47.51,47.43,47.51,3,142.3686
1785636000000,2026-08-02T02:00:00Z,47.51,47.72,47.49,47.64,39.99,1904.717
1785639600000,2026-08-02T03:00:00Z,47.64,47.64,47.49,47.5,8.76,416.5861
1785643200000,2026-08-02T04:00:00Z,47.5,47.81,47.39,47.65,461.9,21948.3947
1785646800000,2026-08-02T05:00:00Z,47.65,47.92,47.65,47.87,30.54,1462.3146
1785650400000,2026-08-02T06:00:00Z,47.87,47.96,47.77,47.77,9.97,476.6933
1785654000000,2026-08-02T07:00:00Z,47.77,47.94,47.77,47.85,4.19,200.5936
1785657600000,2026-08-02T08:00:00Z,47.85,47.99,47.85,47.92,4.31,206.5203
1785661200000,2026-08-02T09:00:00Z,47.92,48.01,47.86,48,50.04,2401.1009
1785664800000,2026-08-02T10:00:00Z,48,48.03,47.83,47.92,5.13,246.1205
1785668400000,2026-08-02T11:00:00Z,47.92,47.98,47.85,47.86,7.29,349.4578
1785672000000,2026-08-02T12:00:00Z,47.86,48.1,47.86,48.1,33.7,1618.4414
1785675600000,2026-08-02T13:00:00Z,48.1,48.11,47.92,47.99,3.46,166.0627
1785679200000,2026-08-02T14:00:00Z,47.99,48.07,47.99,48.02,2.3,110.4501
1785682800000,2026-08-02T15:00:00Z,48.02,48.12,48.02,48.08,4.7,225.9785
1785686400000,2026-08-02T16:00:00Z,48.08,48.1,47.93,48.1,12.7,609.6206
1785690000000,2026-08-02T17:00:00Z,48.1,48.12,48.09,48.12,2.86,137.57
1785693600000,2026-08-02T18:00:00Z,48.12,48.21,48.09,48.21,4.69,225.8581
1785697200000,2026-08-02T19:00:00Z,48.21,48.21,47.97,47.97,423.11,20337.9006
1785700800000,2026-08-02T20:00:00Z,47.97,48.03,47.95,48,3.47,166.5577
1785704400000,2026-08-02T21:00:00Z,48,48.22,47.9,48.18,222.08,10664.5248
1785708000000,2026-08-02T22:00:00Z,48.18,48.28,47.96,48.28,20.78,1001.2187
1785711600000,2026-08-02T23:00:00Z,48.28,48.47,48.28,48.47,78.79,3809.7723
1785715200000,2026-08-03T00:00:00Z,48.47,48.8,48.28,48.57,291.67,14129.4322
1785718800000,2026-08-03T01:00:00Z,48.57,48.57,48.37,48.53,6.33,306.7976
1785722400000,2026-08-03T02:00:00Z,48.53,48.65,48.36,48.6,9.43,457.853
1785726000000,2026-08-03T03:00:00Z,48.6,48.75,48.6,48.61,4.05,197.1315
