ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,289.08,289.84,288.9,289.12,1.44,416.7516
1785632400000,2026-08-02T01:00:00Z,289.12,289.5,289.03,289.5,0.34,98.3659
1785636000000,2026-08-02T02:00:00Z,289.5,290.45,289.44,289.5,1.85,536.5164
1785639600000,2026-08-02T03:00:00Z,289.5,289.82,289.5,289.82,0.44,127.5115
1785643200000,2026-08-02T04:00:00Z,289.82,290.64,289.58,289.88,1.11,322.1602
1785646800000,2026-08-02T05:00:00Z,289.88,289.88,289.41,289.79,0.42,121.6897
1785650400000,2026-08-02T06:00:00Z,289.79,290.6,289.79,290.25,1.17,339.7031
1785654000000,2026-08-02T07:00:00Z,290.25,290.81,290.15,290.2,1,290.5576
1785657600000,2026-08-02T08:00:00Z,290.2,290.28,289.59,289.59,0.44,127.6399
1785661200000,2026-08-02T09:00:00Z,289.59,290.36,289.49,289.64,0.89,258.2003
1785664800000,2026-08-02T10:00:00Z,289.64,290.36,289.5,290.36,1.06,307.4009
1785668400000,2026-08-02T11:00:00Z,290.36,290.5,289.53,289.69,0.71,205.8305
1785672000000,2026-08-02T12:00:00Z,289.69,290.13,289.55,289.6,0.94,272.5155
1785675600000,2026-08-02T13:00:00Z,289.6,290.17,289.46,290.17,1.14,330.4569
1785679200000,2026-08-02T14:00:00Z,290.17,290.17,289.22,289.8,0.82,237.2418
1785682800000,2026-08-02T15:00:00Z,289.8,289.8,289.22,289.46,0.7,202.6456
1785686400000,2026-08-02T16:00:00Z,289.46,290.21,289.4,289.75,1.14,330.501
1785690000000,2026-08-02T17:00:00Z,289.75,289.84,289.65,289.72,0.47,136.1772
1785693600000,2026-08-02T18:00:00Z,289.72,289.72,289.52,289.56,0.69,199.8159
1785697200000,2026-08-02T19:00:00Z,289.56,289.84,289.44,289.81,0.9,260.7213
1785700800000,2026-08-02T20:00:00Z,289.81,290.26,289.51,289.95,24.97,7238.1045
1785704400000,2026-08-02T21:00:00Z,289.95,290.06,289.66,290.06,5.98,1734.4559
1785708000000,2026-08-02T22:00:00Z,290.06,290.67,290.06,290.56,0.4,116.2522
1785711600000,2026-08-02T23:00:00Z,290.56,290.88,290.37,290.88,0.8,232.4779
1785715200000,2026-08-03T00:00:00Z,290.88,292.92,290.88,292.78,249.74,72961.553
1785718800000,2026-08-03T01:00:00Z,292.78,292.92,292.49,292.81,2.19,641.3003
1785722400000,2026-08-03T02:00:00Z,292.81,293.29,292.81,293.2,9.9,2901.572
1785726000000,2026-08-03T03:00:00Z,293.2,293.42,292.97,293.33,0.68,199.3981
1785729600000,2026-08-03T04:00:00Z,293.33,293.73,293.28,293.73,0.71,208.3819
1785733200000,2026-08-03T05:00:00Z,293.73,293.93,293.51,293.64,0.89,261.4418
1785736800000,2026-08-03T06:00:00Z,293.64,293.71,293.16,293.16,0.77,226.0064
1785740400000,2026-08-03T07:00:00Z,293.16,293.79,293.16,293.5,0.51,149.6161
