ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,23.096,23.096,23.087,23.088,4.13,95.36681
1785632400000,2026-08-02T01:00:00Z,23.088,23.096,23.087,23.094,3.79,87.5185
1785636000000,2026-08-02T02:00:00Z,23.094,23.094,23.087,23.088,8.57,197.88343
1785639600000,2026-08-02T03:00:00Z,23.088,23.091,22.893,23.081,25.42,583.87816
1785643200000,2026-08-02T04:00:00Z,23.081,23.081,22.916,23.011,4.78,109.82936
1785646800000,2026-08-02T05:00:00Z,23.011,23.078,22.926,22.926,6.98,160.52018
1785650400000,2026-08-02T06:00:00Z,22.926,23.092,22.926,23.086,6.24,144.01364
1785654000000,2026-08-02T07:00:00Z,23.086,23.092,22.908,23.092,13.8,318.07476
1785657600000,2026-08-02T08:00:00Z,23.092,23.097,22.895,23.097,45.35,1043.78489
1785661200000,2026-08-02T09:00:00Z,23.097,23.107,23.087,23.102,15.2,351.12365
1785664800000,2026-08-02T10:00:00Z,23.102,23.102,23.09,23.098,13.81,318.89636
1785668400000,2026-08-02T11:00:00Z,23.098,23.101,23.084,23.084,23.49,542.47472
1785672000000,2026-08-02T12:00:00Z,23.084,23.087,23.084,23.087,14.39,332.21636
1785675600000,2026-08-02T13:00:00Z,23.087,23.112,23.085,23.112,23.32,538.65672
1785679200000,2026-08-02T14:00:00Z,23.112,23.12,23.097,23.097,29.54,682.68183
1785682800000,2026-08-02T15:00:00Z,23.097,23.103,23.097,23.103,4.62,106.73289
1785686400000,2026-08-02T16:00:00Z,23.103,23.104,23.097,23.104,4.33,100.03387
1785690000000,2026-08-02T17:00:00Z,23.104,23.105,23.1,23.102,6.87,158.71471
1785693600000,2026-08-02T18:00:00Z,23.102,23.105,23.094,23.094,16.81,388.29326
1785697200000,2026-08-02T19:00:00Z,23.094,23.11,23.094,23.098,12.8,295.743
1785700800000,2026-08-02T20:00:00Z,23.098,23.12,23.098,23.102,50.37,1164.04659
1785704400000,2026-08-02T21:00:00Z,23.102,23.119,23.102,23.103,5.68,131.24781
1785708000000,2026-08-02T22:00:00Z,23.103,23.111,23.103,23.106,2.41,55.68931
1785711600000,2026-08-02T23:00:00Z,23.106,23.11,23.106,23.107,8.38,193.64491
1785715200000,2026-08-03T00:00:00Z,23.107,23.109,23.088,23.09,18.89,436.29333
1785718800000,2026-08-03T01:00:00Z,23.09,23.097,23.09,23.095,18.93,437.19946
1785722400000,2026-08-03T02:00:00Z,23.095,23.11,23.093,23.106,6.59,152.24208
1785726000000,2026-08-03T03:00:00Z,23.106,23.109,23.096,23.096,7.53,173.94872
1785729600000,2026-08-03T04:00:00Z,23.096,23.1,23.094,23.095,9.1,210.18483
1785733200000,2026-08-03T05:00:00Z,23.095,23.099,23.095,23.096,7.29,168.37868
1785736800000,2026-08-03T06:00:00Z,23.096,23.1,22.93,23.1,55.56,1282.93826
1785740400000,2026-08-03T07:00:00Z,23.1,23.1,23.088,23.095,4.69,108.31028
1785744000000,2026-08-03T08:00:00Z,23.095,23.101,22.902,22.902,22.24,510.52365
1785747600000,2026-08-03T09:00:00Z,22.902,22.929,22.893,22.908,11.03,252.71671
1785751200000,2026-08-03T10:00:00Z,22.908,23.102,22.32,23.064,31.49,718.36973
1785754800000,2026-08-03T11:00:00Z,23.064,23.103,22.965,23.103,6.82,157.0022
1785758400000,2026-08-03T12:00:00Z,23.103,23.12,22.948,23.103,14.56,335.85762
1785762000000,2026-08-03T13:00:00Z,23.103,23.391,22.508,23.167,18.84,436.16992
1785765600000,2026-08-03T14:00:00Z,23.167,24.144,23.167,24.096,42.05,993.9959
1785769200000,2026-08-03T15:00:00Z,24.096,24.592,23.856,24.592,31.81,776.15589
1785772800000,2026-08-03T16:00:00Z,24.592,24.913,24.436,24.534,37.54,926.46598
1785776400000,2026-08-03T17:00:00Z,24.534,24.682,24.338,24.436,7.33,179.66189
1785780000000,2026-08-03T18:00:00Z,24.436,24.436,24,24.096,28.68,689.8143
1785783600000,2026-08-03T19:00:00Z,24.096,24.639,24.056,24.338,13.25,324.15651
1785787200000,2026-08-03T20:00:00Z,24.338,24.881,24,24.42,49.61,1196.05337
1785790800000,2026-08-03T21:00:00Z,24.42,24.42,24.299,24.303,6.94,168.95203
1785794400000,2026-08-03T22:00:00Z,24.303,24.389,24.303,24.304,8.26,201.16573
1785798000000,2026-08-03T23:00:00Z,24.304,24.462,24.304,24.462,4.19,102.36032
1785801600000,2026-08-04T00:00:00Z,24.462,24.462,24.347,24.347,6.74,164.47398
1785805200000,2026-08-04T01:00:00Z,24.347,24.484,24.347,24.387,4.12,100.65098
1785808800000,2026-08-04T02:00:00Z,24.387,24.481,24.342,24.443,4.88,119.1829
1785812400000,2026-08-04T03:00:00Z,24.443,24.461,24.361,24.361,3.61,88.10475
1785816000000,2026-08-04T04:00:00Z,24.361,24.481,24.258,24.302,7.07,172.24623
1785819600000,2026-08-04T05:00:00Z,24.302,24.732,24.258,24.436,12,292.34678
1785823200000,2026-08-04T06:00:00Z,24.436,24.739,24.258,24.582,53.08,1298.82243
