ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,1150.75,1150.86,1149.94,1150.68,0.08,92.0254
1785632400000,2026-08-02T01:00:00Z,1150.68,1151.08,1149.93,1151.08,0.16,184.0726
1785636000000,2026-08-02T02:00:00Z,1151.08,1151.64,1150.68,1151.09,0.09,103.6023
1785639600000,2026-08-02T03:00:00Z,1151.09,1152.32,1150.44,1151.15,0.35,402.8445
1785643200000,2026-08-02T04:00:00Z,1151.15,1151.22,1151.06,1151.22,0.11,126.6256
1785646800000,2026-08-02T05:00:00Z,1151.22,1151.27,1151.01,1151.13,0.13,149.6459
1785650400000,2026-08-02T06:00:00Z,1151.13,1153.73,1149.37,1151.91,10.24,11792.154
1785654000000,2026-08-02T07:00:00Z,1151.91,1154.25,1151.91,1154.25,1.15,1326.4944
1785657600000,2026-08-02T08:00:00Z,1154.25,1154.25,1152.2,1153.03,22.82,26301.265
1785661200000,2026-08-02T09:00:00Z,1153.03,1155.06,1152.96,1153.77,1.7,1962.2919
1785664800000,2026-08-02T10:00:00Z,1153.77,1155.17,1153.77,1154.56,0.44,508.1821
1785668400000,2026-08-02T11:00:00Z,1154.56,1155.29,1154.5,1155.17,0.13,150.1514
1785672000000,2026-08-02T12:00:00Z,1155.17,1155.67,1155.05,1155.34,0.33,381.2856
1785675600000,2026-08-02T13:00:00Z,1155.34,1156.56,1155.01,1155.19,1.01,1167.5749
1785679200000,2026-08-02T14:00:00Z,1155.19,1155.63,1154.67,1155.12,0.28,323.4722
1785682800000,2026-08-02T15:00:00Z,1155.12,1155.68,1154.78,1155.06,0.28,323.4834
1785686400000,2026-08-02T16:00:00Z,1155.06,1155.17,1154.9,1155.17,0.1,115.5054
1785690000000,2026-08-02T17:00:00Z,1155.17,1155.6,1153.34,1155.05,0.76,877.6443
1785693600000,2026-08-02T18:00:00Z,1155.05,1155.88,1154.91,1155.12,0.15,173.2664
1785697200000,2026-08-02T19:00:00Z,1155.12,1155.98,1154.8,1155.66,0.56,647.1156
1785700800000,2026-08-02T20:00:00Z,1155.66,1155.66,1153.63,1153.63,0.42,484.8558
1785704400000,2026-08-02T21:00:00Z,1153.63,1156.93,1153.54,1155.07,1.21,1396.6437
1785708000000,2026-08-02T22:00:00Z,1155.07,1156.88,1154.6,1156.09,0.17,196.3991
1785711600000,2026-08-02T23:00:00Z,1156.09,1156.9,1155.01,1155.12,0.78,901.9722
1785715200000,2026-08-03T00:00:00Z,1155.12,1155.12,1151.12,1153.43,0.46,530.0545
1785718800000,2026-08-03T01:00:00Z,1153.43,1154.41,1151.28,1154.22,0.1,115.344
1785722400000,2026-08-03T02:00:00Z,1154.22,1154.49,1151.97,1154.49,0.3,346.0931
