ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,291.01,293.71,290.91,292.87,3.46,1013.5281
1785632400000,2026-08-02T01:00:00Z,292.87,292.96,292.29,292.29,1.6,468.6293
1785636000000,2026-08-02T02:00:00Z,292.29,295.44,292.29,294.77,52.96,15569.8704
1785639600000,2026-08-02T03:00:00Z,294.77,295.2,293.9,293.9,1.08,317.9244
1785643200000,2026-08-02T04:00:00Z,293.9,294.54,293.9,294.42,2.31,680.0481
1785646800000,2026-08-02T05:00:00Z,294.42,294.9,293.48,293.53,2.71,795.6747
1785650400000,2026-08-02T06:00:00Z,293.53,293.53,291.85,291.85,2.91,852.225
1785654000000,2026-08-02T07:00:00Z,291.85,293.39,291.8,293.29,0.71,207.639
1785657600000,2026-08-02T08:00:00Z,293.29,293.44,292.6,292.6,1.08,316.2921
1785661200000,2026-08-02T09:00:00Z,292.6,292.62,291.93,292.62,3.67,1071.936
1785664800000,2026-08-02T10:00:00Z,292.62,293.23,291.96,293.23,0.62,181.2257
1785668400000,2026-08-02T11:00:00Z,293.23,293.23,291.7,291.82,0.6,175.3655
1785672000000,2026-08-02T12:00:00Z,291.82,293.88,291.55,292.7,6.4,1870.3686
1785675600000,2026-08-02T13:00:00Z,292.7,294.44,292.7,294.44,1.65,485.146
1785679200000,2026-08-02T14:00:00Z,294.44,295.12,293.52,295.12,8.75,2581.3329
1785682800000,2026-08-02T15:00:00Z,295.12,295.14,294.84,295.05,1.7,501.5114
1785686400000,2026-08-02T16:00:00Z,295.05,296.94,294.81,296.8,36.69,10857.4744
1785690000000,2026-08-02T17:00:00Z,296.8,296.9,296.6,296.77,0.45,133.5491
1785693600000,2026-08-02T18:00:00Z,296.77,298.1,296.44,297.51,12.87,3829.1054
1785697200000,2026-08-02T19:00:00Z,297.51,297.74,297.08,297.62,0.52,154.6753
1785700800000,2026-08-02T20:00:00Z,297.62,297.84,297.29,297.36,0.35,104.1459
1785704400000,2026-08-02T21:00:00Z,297.36,298,297.05,297.84,1.5,446.6993
1785708000000,2026-08-02T22:00:00Z,297.84,298.39,296.21,296.93,54.35,16154.9734
1785711600000,2026-08-02T23:00:00Z,296.93,298.2,296.93,297.81,16.09,4792.642
1785715200000,2026-08-03T00:00:00Z,297.81,300.66,296.86,299.32,83.93,25086.2024
1785718800000,2026-08-03T01:00:00Z,299.32,299.37,297.22,299.37,12.69,3790.7029
1785722400000,2026-08-03T02:00:00Z,299.37,300.68,299.37,299.57,22.85,6856.8791
1785726000000,2026-08-03T03:00:00Z,299.57,300.39,299.28,300.39,5.08,1522.9321
1785729600000,2026-08-03T04:00:00Z,300.39,300.39,300.16,300.16,0.5,150.1274
1785733200000,2026-08-03T05:00:00Z,300.16,300.16,298.97,299.25,15.42,4615.5325
1785736800000,2026-08-03T06:00:00Z,299.25,299.25,296.78,296.78,59.78,17839.0513
1785740400000,2026-08-03T07:00:00Z,296.78,297.06,295.46,295.49,38.79,11493.9075
1785744000000,2026-08-03T08:00:00Z,295.49,296.51,291.53,295.83,107.45,31600.0088
1785747600000,2026-08-03T09:00:00Z,295.83,295.83,291.59,291.81,43.58,12787.7966
1785751200000,2026-08-03T10:00:00Z,291.81,291.96,287.09,290.47,137.85,39847.8814
1785754800000,2026-08-03T11:00:00Z,290.47,290.77,284.72,285.06,154.73,44442.504
1785758400000,2026-08-03T12:00:00Z,285.06,286.48,283.23,285.45,73.11,20835.4191
1785762000000,2026-08-03T13:00:00Z,285.45,286.31,277.78,285.68,159.81,45488.0884
1785765600000,2026-08-03T14:00:00Z,285.68,294.62,281.37,294.32,77.79,22418.3415
1785769200000,2026-08-03T15:00:00Z,294.32,295.33,288.37,291.53,110.52,32234.741
1785772800000,2026-08-03T16:00:00Z,291.53,294.14,290.23,290.93,17.01,4957.1428
1785776400000,2026-08-03T17:00:00Z,290.93,294.15,290.23,294.15,3.84,1125.4961
1785780000000,2026-08-03T18:00:00Z,294.15,295.46,292.25,292.25,5.76,1695.9868
1785783600000,2026-08-03T19:00:00Z,292.25,296.12,292.25,295.08,29.57,8742.8389
1785787200000,2026-08-03T20:00:00Z,295.08,296.16,294.04,296.16,29.53,8713.8345
1785790800000,2026-08-03T21:00:00Z,296.16,297.04,295.19,295.19,5.79,1716.0247
1785794400000,2026-08-03T22:00:00Z,295.19,296.67,295.19,296.65,2.44,722.3231
1785798000000,2026-08-03T23:00:00Z,296.65,297.66,296.3,297.66,26.16,7766.9761
1785801600000,2026-08-04T00:00:00Z,297.66,297.66,290.15,290.86,129.38,37784.577
1785805200000,2026-08-04T01:00:00Z,290.86,296.02,288.93,295.79,113.05,32866.2587
1785808800000,2026-08-04T02:00:00Z,295.79,296.26,293.74,294.83,29.45,8694.8659
1785812400000,2026-08-04T03:00:00Z,294.83,294.83,292.12,293.44,12.76,3734.2352
1785816000000,2026-08-04T04:00:00Z,293.44,295.68,293.37,295.42,55,16179.0531
1785819600000,2026-08-04T05:00:00Z,295.42,298.07,294.48,298.07,78.5,23221.3501
1785823200000,2026-08-04T06:00:00Z,298.07,298.96,298.04,298.45,0.74,220.9384
1785826800000,2026-08-04T07:00:00Z,298.45,301.02,298.45,300.86,28.82,8644.4093
1785830400000,2026-08-04T08:00:00Z,300.86,304.6,299.9,302.7,119.1,35983.7619
1785834000000,2026-08-04T09:00:00Z,302.7,302.7,300,302.11,72.78,21935.1375
1785837600000,2026-08-04T10:00:00Z,302.11,308.61,302.11,305.91,81.36,24921.3634
1785841200000,2026-08-04T11:00:00Z,305.91,310,305.68,310,79.61,24513.6697
1785844800000,2026-08-04T12:00:00Z,310,312.38,309,309.92,95.24,29528.991
1785848400000,2026-08-04T13:00:00Z,309.92,312.72,307.22,309.83,283.03,87587.6569
1785852000000,2026-08-04T14:00:00Z,309.83,311.26,307.22,310.25,27.03,8369.5036
1785855600000,2026-08-04T15:00:00Z,310.25,314.83,310.25,313.64,13.51,4230.8889
1785859200000,2026-08-04T16:00:00Z,313.64,315.53,313.64,314.81,11.72,3682.1803
1785862800000,2026-08-04T17:00:00Z,314.81,316.69,314.69,316.69,12.01,3788.1955
1785866400000,2026-08-04T18:00:00Z,316.69,316.84,315.06,316.39,3.43,1083.0818
1785870000000,2026-08-04T19:00:00Z,316.39,320.88,316.39,318.2,71.08,22638.53
1785873600000,2026-08-04T20:00:00Z,318.2,320.31,314.83,314.92,119.13,37755.9362
1785877200000,2026-08-04T21:00:00Z,314.92,316.36,314.6,315.17,14.55,4590.8787
1785880800000,2026-08-04T22:00:00Z,315.17,317.32,315.17,317.32,2.59,819.2939
1785884400000,2026-08-04T23:00:00Z,317.32,317.67,316.44,317.67,13.85,4391.235
1785888000000,2026-08-05T00:00:00Z,317.67,320.28,316.36,318.67,63.75,20360.5321
1785891600000,2026-08-05T01:00:00Z,318.67,320.96,316.23,320.7,101.4,32291.1357
1785895200000,2026-08-05T02:00:00Z,320.7,321.59,319.23,320.88,61.19,19614.3345
1785898800000,2026-08-05T03:00:00Z,320.88,321.81,320.86,321.64,11.42,3671.03
1785902400000,2026-08-05T04:00:00Z,321.64,321.64,319.64,320.5,9.38,3005.1172
1785906000000,2026-08-05T05:00:00Z,320.5,322.8,320.5,322.8,56.69,18242.1949
1785909600000,2026-08-05T06:00:00Z,322.8,324.2,321.82,322.33,69.99,22602.4953
1785913200000,2026-08-05T07:00:00Z,322.33,323.44,319.49,320.08,90.29,28983.6859
1785916800000,2026-08-05T08:00:00Z,320.08,322.32,311.84,315.76,468.34,148180.6848
1785920400000,2026-08-05T09:00:00Z,315.76,318.99,315.05,317.19,71.6,22699.8222
1785924000000,2026-08-05T10:00:00Z,317.19,317.34,315.06,315.06,5.12,1618.9234
1785927600000,2026-08-05T11:00:00Z,315.06,317.51,315.06,316.04,62.41,19731.8555
1785931200000,2026-08-05T12:00:00Z,316.04,316.04,313.75,315.46,106.67,33547.61
1785934800000,2026-08-05T13:00:00Z,315.46,323.52,312.72,323.49,818.54,260421.2266
1785938400000,2026-08-05T14:00:00Z,323.49,324.38,306.46,308.52,1363.42,427113.3538
1785942000000,2026-08-05T15:00:00Z,308.52,312.44,308.16,311.37,80.94,25056.3734
1785945600000,2026-08-05T16:00:00Z,311.37,314.11,311.18,313.87,13.21,4123.2212
1785949200000,2026-08-05T17:00:00Z,313.87,314.15,311.5,312.3,13.34,4166.4238
1785952800000,2026-08-05T18:00:00Z,312.3,313.75,311.9,312.68,3.96,1239.7804
1785956400000,2026-08-05T19:00:00Z,312.68,313.75,308.52,308.52,27.66,8608.6599
1785960000000,2026-08-05T20:00:00Z,308.52,310.27,307.73,310.27,76.13,23523.1296
1785963600000,2026-08-05T21:00:00Z,310.27,310.76,308.51,308.51,27.71,8574.4646
1785967200000,2026-08-05T22:00:00Z,308.51,310.45,308.51,310.45,3.04,942.6482
1785970800000,2026-08-05T23:00:00Z,310.45,310.45,309.36,309.47,0.72,222.9899
1785974400000,2026-08-06T00:00:00Z,309.47,309.6,305.11,307.4,100.05,30761.8116
1785978000000,2026-08-06T01:00:00Z,307.4,307.4,304.28,306.31,115.99,35444.9545
1785981600000,2026-08-06T02:00:00Z,306.31,310.95,305.46,308.49,102.88,31676.9318
1785985200000,2026-08-06T03:00:00Z,308.49,309.76,306.63,306.99,11.51,3546.972
1785988800000,2026-08-06T04:00:00Z,306.99,308.29,305.89,307.82,8.95,2747.0567
1785992400000,2026-08-06T05:00:00Z,307.82,308.52,307.51,307.91,11.8,3631.4563
1785996000000,2026-08-06T06:00:00Z,307.91,308.64,305.46,305.84,77.66,23840.1922
1785999600000,2026-08-06T07:00:00Z,305.84,307.34,305.75,307.34,6.1,1869.6194
1786003200000,2026-08-06T08:00:00Z,307.34,308.83,303.91,308.83,98.22,30082.5296
1786006800000,2026-08-06T09:00:00Z,308.83,308.83,306.37,307.41,44.11,13566.9123
1786010400000,2026-08-06T10:00:00Z,307.41,309.21,307.41,307.69,13.64,4200.3758
1786014000000,2026-08-06T11:00:00Z,307.69,310.24,304.05,309.03,143.46,44097.9603
1786017600000,2026-08-06T12:00:00Z,309.03,309.03,305.91,305.91,33.86,10385.5874
1786021200000,2026-08-06T13:00:00Z,305.91,307.42,294.67,307.42,133.93,40218.4254
1786024800000,2026-08-06T14:00:00Z,307.42,312.44,306.87,311.14,123.61,38357.1843
1786028400000,2026-08-06T15:00:00Z,311.14,313.75,309.83,311.58,65.69,20506.9154
1786032000000,2026-08-06T16:00:00Z,311.58,311.58,308.15,310.67,31.34,9692.0651
1786035600000,2026-08-06T17:00:00Z,310.67,310.67,308.12,308.12,2.83,874.9015
1786039200000,2026-08-06T18:00:00Z,308.12,310.94,306.8,309.06,205.59,63492.0608
1786042800000,2026-08-06T19:00:00Z,309.06,310.76,305.91,305.91,43.38,13377.4368
1786046400000,2026-08-06T20:00:00Z,305.91,306.75,305.49,305.49,4.6,1409.2595
1786050000000,2026-08-06T21:00:00Z,305.49,307.12,305.49,305.97,0.43,131.8255
1786053600000,2026-08-06T22:00:00Z,305.97,308.52,305.97,308.52,8.46,2600.701
1786057200000,2026-08-06T23:00:00Z,308.52,308.65,307.53,308.59,24.81,7652.7311
1786060800000,2026-08-07T00:00:00Z,308.59,310.29,307.72,308.79,142.49,44074.1274
1786064400000,2026-08-07T01:00:00Z,308.79,309.73,308,308.02,44.37,13679.8865
1786068000000,2026-08-07T02:00:00Z,308.02,308.47,307.31,307.58,35.39,10903.8028
1786071600000,2026-08-07T03:00:00Z,307.58,308,306.31,306.82,5.28,1621.7622
1786075200000,2026-08-07T04:00:00Z,306.82,307.51,306.66,306.7,0.52,159.6307
1786078800000,2026-08-07T05:00:00Z,306.7,308.86,306.7,308.66,35.61,10987.0845
1786082400000,2026-08-07T06:00:00Z,308.66,309.28,308.51,309.06,11.54,3560.7626
1786086000000,2026-08-07T07:00:00Z,309.06,310.23,308.14,309.15,16.84,5208.1787
1786089600000,2026-08-07T08:00:00Z,309.15,311.21,308.69,311.21,9.1,2819.985
1786093200000,2026-08-07T09:00:00Z,311.21,311.85,310.64,311.65,54.6,16999.633
1786096800000,2026-08-07T10:00:00Z,311.65,311.65,309.61,310.31,13.53,4191.8997
1786100400000,2026-08-07T11:00:00Z,310.31,313.22,310,311.69,3.64,1135.209
1786104000000,2026-08-07T12:00:00Z,311.69,320.28,311.54,320.28,68.88,21777.6246
1786107600000,2026-08-07T13:00:00Z,320.28,320.28,307.22,307.22,118.06,36743.6901
1786111200000,2026-08-07T14:00:00Z,307.22,309.83,304.64,308.4,491.05,150647.6718
1786114800000,2026-08-07T15:00:00Z,308.4,310.85,308.39,309.58,84.09,26032.7378
1786118400000,2026-08-07T16:00:00Z,309.58,310.59,307.71,308.8,53.01,16377.691
1786122000000,2026-08-07T17:00:00Z,308.8,310.53,308.8,309.69,15.76,4882.4964
1786125600000,2026-08-07T18:00:00Z,309.69,309.93,308.06,309.93,34.25,10593.0998
1786129200000,2026-08-07T19:00:00Z,309.93,312.1,309.93,311.78,55.92,17385.0681
1786132800000,2026-08-07T20:00:00Z,311.78,312.17,311.18,312.12,2.16,673.4393
1786136400000,2026-08-07T21:00:00Z,312.12,312.12,311.17,311.39,1.27,395.5197
1786140000000,2026-08-07T22:00:00Z,311.39,312.42,311.2,311.65,0.68,211.9258
1786143600000,2026-08-07T23:00:00Z,311.65,312.43,311.2,312.18,0.35,109.1676
1786147200000,2026-08-08T00:00:00Z,312.18,313.75,309.83,311.63,59.75,18606.3005
1786150800000,2026-08-08T01:00:00Z,311.63,312.34,311.37,312.02,1.52,473.6265
1786154400000,2026-08-08T02:00:00Z,312.02,312.13,311.37,311.97,20.04,6247.0779
1786158000000,2026-08-08T03:00:00Z,311.97,312.04,309.74,310.44,151.63,47085.848
1786161600000,2026-08-08T04:00:00Z,310.44,310.76,310.32,310.38,20.04,6221.483
1786165200000,2026-08-08T05:00:00Z,310.38,311.26,310.32,310.86,4.33,1343.9382
1786168800000,2026-08-08T06:00:00Z,310.86,310.86,310.31,310.61,44.9,13942.7262
1786172400000,2026-08-08T07:00:00Z,310.61,310.8,310.61,310.8,3.04,944.2771
1786176000000,2026-08-08T08:00:00Z,310.8,311.19,310.61,310.63,3.66,1137.8675
1786179600000,2026-08-08T09:00:00Z,310.63,311.54,310.63,311.54,0.38,118.2974
1786183200000,2026-08-08T10:00:00Z,311.54,312.4,311.37,312.29,1.95,608.9639
1786186800000,2026-08-08T11:00:00Z,312.29,312.43,311.9,312.13,3.39,1058.9563
1786190400000,2026-08-08T12:00:00Z,312.13,312.33,310.88,311.33,173.5,53971.0895
1786194000000,2026-08-08T13:00:00Z,311.33,311.88,311.08,311.53,12.4,3863.5374
