ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,271.16,271.3,271.16,271.16,0.62,168.1564
1785632400000,2026-08-02T01:00:00Z,271.16,271.25,271.14,271.15,0.4,108.4748
1785636000000,2026-08-02T02:00:00Z,271.15,271.21,271.14,271.17,0.62,168.1241
1785639600000,2026-08-02T03:00:00Z,271.17,271.33,270.73,271.03,1.27,344.4133
1785643200000,2026-08-02T04:00:00Z,271.03,271.34,271.03,271.34,0.88,238.6031
1785646800000,2026-08-02T05:00:00Z,271.34,271.34,270.97,271.06,0.63,170.8153
1785650400000,2026-08-02T06:00:00Z,271.06,271.28,270.68,270.99,1.38,373.8343
1785654000000,2026-08-02T07:00:00Z,270.99,271.64,270.99,271.23,2.52,683.6823
1785657600000,2026-08-02T08:00:00Z,271.23,271.63,270.45,270.45,4.14,1121.6332
1785661200000,2026-08-02T09:00:00Z,270.45,271.25,270.39,270.49,2.26,611.3498
1785664800000,2026-08-02T10:00:00Z,270.49,271.15,270.49,270.7,0.7,189.5222
1785668400000,2026-08-02T11:00:00Z,270.7,271.14,270.56,270.7,1.06,287.0371
1785672000000,2026-08-02T12:00:00Z,270.7,270.72,270.61,270.72,0.19,51.4278
1785675600000,2026-08-02T13:00:00Z,270.72,270.72,270.68,270.72,0.17,46.0184
1785679200000,2026-08-02T14:00:00Z,270.72,271.28,270.67,270.7,0.97,262.857
1785682800000,2026-08-02T15:00:00Z,270.7,271.23,270.66,271.23,2.81,761.7712
1785686400000,2026-08-02T16:00:00Z,271.23,271.25,270.93,270.93,3.4,922.0951
1785690000000,2026-08-02T17:00:00Z,270.93,271.23,270.91,271.23,0.72,195.1781
1785693600000,2026-08-02T18:00:00Z,271.23,271.23,270.86,270.86,0.53,143.6632
1785697200000,2026-08-02T19:00:00Z,270.86,271.14,270.55,270.71,1.68,454.6612
1785700800000,2026-08-02T20:00:00Z,270.71,270.71,270.62,270.71,0.37,100.1449
1785704400000,2026-08-02T21:00:00Z,270.71,271.15,270.61,270.95,0.66,178.7725
1785708000000,2026-08-02T22:00:00Z,270.95,271.48,270.95,271.41,1.21,328.3547
1785711600000,2026-08-02T23:00:00Z,271.41,271.44,270.96,270.96,1.55,420.2627
1785715200000,2026-08-03T00:00:00Z,270.96,271.58,270.96,271.56,0.63,171.0468
1785718800000,2026-08-03T01:00:00Z,271.56,271.56,271.17,271.25,0.37,100.402
1785722400000,2026-08-03T02:00:00Z,271.25,271.36,271.25,271.36,0.76,206.2186
1785726000000,2026-08-03T03:00:00Z,271.36,271.69,271.3,271.52,14.81,4022.8371
1785729600000,2026-08-03T04:00:00Z,271.52,271.6,271.27,271.43,2.07,562.0805
1785733200000,2026-08-03T05:00:00Z,271.43,271.51,271.19,271.19,0.75,203.5692
1785736800000,2026-08-03T06:00:00Z,271.19,271.63,271.09,271.44,1.08,293.0775
1785740400000,2026-08-03T07:00:00Z,271.44,271.46,271.33,271.42,0.48,130.2771
1785744000000,2026-08-03T08:00:00Z,271.42,272.31,271.22,272.31,12.36,3364.2304
1785747600000,2026-08-03T09:00:00Z,272.31,272.65,272.22,272.45,1.7,463.1478
1785751200000,2026-08-03T10:00:00Z,272.45,273.59,272.43,273.27,3.67,1002.3415
1785754800000,2026-08-03T11:00:00Z,273.27,274.92,273.27,274.92,7.7,2114.4359
1785758400000,2026-08-03T12:00:00Z,274.92,277.32,274.92,277.3,14.55,4022.8137
1785762000000,2026-08-03T13:00:00Z,277.3,277.3,273.51,273.51,24.55,6760.5979
1785765600000,2026-08-03T14:00:00Z,273.51,273.52,270.72,270.72,14.73,4015.908
1785769200000,2026-08-03T15:00:00Z,270.72,270.72,269.2,269.26,20.19,5449.9268
1785772800000,2026-08-03T16:00:00Z,269.26,269.26,267.93,268.79,38.01,10200.2015
1785776400000,2026-08-03T17:00:00Z,268.79,268.79,267.62,268.34,8.58,2300.2755
1785780000000,2026-08-03T18:00:00Z,268.34,269.24,268.13,268.87,2.72,731.2141
1785783600000,2026-08-03T19:00:00Z,268.87,268.93,265.75,265.75,36.11,9630.678
1785787200000,2026-08-03T20:00:00Z,265.75,267.28,265.75,267.18,24.99,6655.862
1785790800000,2026-08-03T21:00:00Z,267.18,267.37,266.8,267.09,2.94,785.6874
1785794400000,2026-08-03T22:00:00Z,267.09,267.34,266.85,267.11,1.9,507.5307
1785798000000,2026-08-03T23:00:00Z,267.11,267.14,267.08,267.12,0.66,176.293
1785801600000,2026-08-04T00:00:00Z,267.12,267.24,266.77,267.15,1.57,419.2286
1785805200000,2026-08-04T01:00:00Z,267.15,267.87,267.14,267.22,205.46,55006.345
1785808800000,2026-08-04T02:00:00Z,267.22,268,267.2,267.48,4.57,1223.6751
1785812400000,2026-08-04T03:00:00Z,267.48,267.49,267.2,267.34,1.12,299.374
1785816000000,2026-08-04T04:00:00Z,267.34,267.79,267.2,267.79,23.71,6347.6911
1785819600000,2026-08-04T05:00:00Z,267.79,267.79,267.49,267.58,0.8,214.0669
1785823200000,2026-08-04T06:00:00Z,267.58,267.79,267.35,267.79,4.61,1233.8717
1785826800000,2026-08-04T07:00:00Z,267.79,267.79,267.4,267.79,4.9,1312.1051
1785830400000,2026-08-04T08:00:00Z,267.79,269.18,267.78,268.6,384.27,103288.9571
1785834000000,2026-08-04T09:00:00Z,268.6,269.34,268.6,269.2,62.58,16846.2317
1785837600000,2026-08-04T10:00:00Z,269.2,269.33,268.02,268.14,19.76,5312.5613
1785841200000,2026-08-04T11:00:00Z,268.14,273.15,267.35,268.95,226.44,61352.5263
1785844800000,2026-08-04T12:00:00Z,268.95,269.08,265.4,267.43,580.05,154655.0751
1785848400000,2026-08-04T13:00:00Z,267.43,271.21,262.97,269.09,218.33,58137.5465
1785852000000,2026-08-04T14:00:00Z,269.09,270.08,267.83,270.08,25,6723.2989
1785855600000,2026-08-04T15:00:00Z,270.08,270.45,268.41,268.41,34.98,9438.6146
1785859200000,2026-08-04T16:00:00Z,268.41,268.81,267.53,267.53,2.89,774.7105
1785862800000,2026-08-04T17:00:00Z,267.53,268.41,266.85,267.47,8.29,2218.6654
1785866400000,2026-08-04T18:00:00Z,267.47,267.47,265.31,266.41,17.12,4559.0848
1785870000000,2026-08-04T19:00:00Z,266.41,268.85,265.77,268.35,30.38,8114.4553
1785873600000,2026-08-04T20:00:00Z,268.35,268.61,268.24,268.61,19.68,5285.8049
1785877200000,2026-08-04T21:00:00Z,268.61,268.73,267.98,268.73,9.99,2682.5799
1785880800000,2026-08-04T22:00:00Z,268.73,268.73,268.43,268.45,0.27,72.4829
1785884400000,2026-08-04T23:00:00Z,268.45,268.6,268.37,268.57,0.8,214.7935
1785888000000,2026-08-05T00:00:00Z,268.57,268.69,267.92,268.57,1.7,456.2042
1785891600000,2026-08-05T01:00:00Z,268.57,268.76,268.35,268.7,0.54,145.0384
1785895200000,2026-08-05T02:00:00Z,268.7,268.7,268.31,268.67,1.29,346.3545
1785898800000,2026-08-05T03:00:00Z,268.67,268.97,268.61,268.63,1.1,295.6782
1785902400000,2026-08-05T04:00:00Z,268.63,268.92,268.42,268.92,1.39,373.3629
1785906000000,2026-08-05T05:00:00Z,268.92,269.46,268.3,269.13,94.82,25477.5018
1785909600000,2026-08-05T06:00:00Z,269.13,269.13,268.32,269.02,12.35,3318.0701
1785913200000,2026-08-05T07:00:00Z,269.02,269.02,268.4,268.93,1.38,370.7134
1785916800000,2026-08-05T08:00:00Z,268.93,269.17,268.79,268.79,0.55,147.9341
1785920400000,2026-08-05T09:00:00Z,268.79,268.98,268.79,268.98,0.27,72.6086
1785924000000,2026-08-05T10:00:00Z,268.98,269.08,268.33,269.08,1.09,292.8621
1785927600000,2026-08-05T11:00:00Z,269.08,269.19,269.08,269.19,0.61,164.1844
1785931200000,2026-08-05T12:00:00Z,269.19,269.72,269.17,269.72,2.72,733.3387
1785934800000,2026-08-05T13:00:00Z,269.72,272.51,269.19,271.21,34.49,9324.8361
1785938400000,2026-08-05T14:00:00Z,271.21,275.23,271.21,274.24,34.78,9514.0569
1785942000000,2026-08-05T15:00:00Z,274.24,274.46,273.2,274.46,15.83,4328.0543
1785945600000,2026-08-05T16:00:00Z,274.46,274.69,273.16,273.16,12.84,3513.4005
1785949200000,2026-08-05T17:00:00Z,273.16,273.88,273.08,273.71,0.7,191.515
1785952800000,2026-08-05T18:00:00Z,273.71,273.71,271.98,272.04,4.81,1310.5127
1785956400000,2026-08-05T19:00:00Z,272.04,274.21,271.63,274.21,5.02,1370.0245
1785960000000,2026-08-05T20:00:00Z,274.21,274.31,273.81,274.05,2.74,750.8992
1785963600000,2026-08-05T21:00:00Z,274.05,274.16,273.77,273.8,0.52,142.4361
1785967200000,2026-08-05T22:00:00Z,273.8,274.21,273.5,273.5,2.18,597.4183
1785970800000,2026-08-05T23:00:00Z,273.5,274.21,273.42,273.97,1.46,399.6597
1785974400000,2026-08-06T00:00:00Z,273.97,274.57,273.97,274.57,0.64,175.6178
1785978000000,2026-08-06T01:00:00Z,274.57,274.57,273.61,274.29,2.02,553.5188
1785981600000,2026-08-06T02:00:00Z,274.29,274.52,273.72,274.12,1.04,284.9122
1785985200000,2026-08-06T03:00:00Z,274.12,274.43,274.12,274.43,1.35,370.2065
1785988800000,2026-08-06T04:00:00Z,274.43,274.43,274.16,274.16,0.32,87.7466
1785992400000,2026-08-06T05:00:00Z,274.16,274.28,274.1,274.12,3.65,1000.6091
1785996000000,2026-08-06T06:00:00Z,274.12,274.24,274.11,274.16,0.45,123.3784
1785999600000,2026-08-06T07:00:00Z,274.16,274.55,274.16,274.42,0.66,181.088
1786003200000,2026-08-06T08:00:00Z,274.42,274.71,274.42,274.69,0.82,225.1828
1786006800000,2026-08-06T09:00:00Z,274.69,274.85,274.65,274.79,17.18,4719.5354
1786010400000,2026-08-06T10:00:00Z,274.79,274.9,274.77,274.79,4.71,1294.2136
1786014000000,2026-08-06T11:00:00Z,274.79,275.45,274.79,275.44,4.91,1351.1725
1786017600000,2026-08-06T12:00:00Z,275.44,275.78,274.69,275.78,20.44,5623.8389
1786021200000,2026-08-06T13:00:00Z,275.78,276.32,272.85,272.85,27.27,7481.2689
1786024800000,2026-08-06T14:00:00Z,272.85,274.74,272,274.6,13.77,3761.5979
1786028400000,2026-08-06T15:00:00Z,274.6,274.91,273.8,273.92,5.52,1515.0931
1786032000000,2026-08-06T16:00:00Z,273.92,273.96,273.68,273.76,8.41,2302.3478
1786035600000,2026-08-06T17:00:00Z,273.76,275.3,273.76,275.07,4.38,1204.3367
1786039200000,2026-08-06T18:00:00Z,275.07,276.67,275.05,276.65,51.81,14312.4158
1786042800000,2026-08-06T19:00:00Z,276.65,276.65,275.59,276.36,1.48,408.6294
1786046400000,2026-08-06T20:00:00Z,276.36,276.36,275.8,276.22,0.47,129.7639
1786050000000,2026-08-06T21:00:00Z,276.22,276.22,275.87,276.06,1.03,284.3603
1786053600000,2026-08-06T22:00:00Z,276.06,276.17,275.68,276.17,2.2,607.176
1786057200000,2026-08-06T23:00:00Z,276.17,276.17,276.01,276.14,0.34,93.8671
1786060800000,2026-08-07T00:00:00Z,276.14,276.14,275.34,275.81,28.54,7862.2898
1786064400000,2026-08-07T01:00:00Z,275.81,275.94,275.63,275.9,0.82,226.1971
1786068000000,2026-08-07T02:00:00Z,275.9,275.9,275.39,275.43,1.01,278.3013
1786071600000,2026-08-07T03:00:00Z,275.43,275.83,275.43,275.83,0.27,74.4155
1786075200000,2026-08-07T04:00:00Z,275.83,275.88,275.39,275.52,12.27,3381.2183
1786078800000,2026-08-07T05:00:00Z,275.52,275.94,275.52,275.54,1.18,325.5063
1786082400000,2026-08-07T06:00:00Z,275.54,275.83,275.48,275.5,0.51,140.5671
1786086000000,2026-08-07T07:00:00Z,275.5,275.63,275.5,275.63,0.21,57.8823
1786089600000,2026-08-07T08:00:00Z,275.63,276.03,275.58,275.66,13.03,3596.2744
1786093200000,2026-08-07T09:00:00Z,275.66,275.97,275.63,275.73,0.51,140.6463
1786096800000,2026-08-07T10:00:00Z,275.73,276.03,275.69,275.9,4.4,1214.2121
