ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784181600000,2026-07-16T06:00:00Z,680.37,681.5,679.01,680.82,55.49,37762.4065
1784185200000,2026-07-16T07:00:00Z,680.82,680.9,679.5,680.04,60.66,41257.1916
1784188800000,2026-07-16T08:00:00Z,680.04,686.45,679.74,686.29,141.14,96289.4534
1784192400000,2026-07-16T09:00:00Z,686.29,689.79,682.49,684.44,250.78,172368.2871
1784196000000,2026-07-16T10:00:00Z,684.44,684.73,682.04,682.88,479.9,327971.035
1784199600000,2026-07-16T11:00:00Z,682.88,684.83,682.11,683.26,158.88,108499.781
1784203200000,2026-07-16T12:00:00Z,683.26,683.54,678.49,680.15,124.46,84660.4245
1784206800000,2026-07-16T13:00:00Z,680.15,682.93,666.92,671.55,1951.12,1317902.9804
1784210400000,2026-07-16T14:00:00Z,671.55,682.2,670.61,680.77,528.38,357021.1339
1784214000000,2026-07-16T15:00:00Z,680.77,681.25,674.8,675.22,433.55,293385.9678
1784217600000,2026-07-16T16:00:00Z,675.22,675.22,667.53,670.07,803.94,538727.5735
1784221200000,2026-07-16T17:00:00Z,670.07,670.15,666.89,668.46,133.93,89577.675
1784224800000,2026-07-16T18:00:00Z,668.46,673.74,666.4,668.25,555.56,371809.782
1784228400000,2026-07-16T19:00:00Z,668.25,668.25,659.56,664.13,337.2,223945.1472
1784232000000,2026-07-16T20:00:00Z,664.13,664.95,662.46,663.46,97.85,64957.9537
1784235600000,2026-07-16T21:00:00Z,663.46,665.21,661.91,665.2,104.58,69378.5944
1784239200000,2026-07-16T22:00:00Z,665.2,666.4,664.75,665.07,30.14,20063.0939
1784242800000,2026-07-16T23:00:00Z,665.07,666.84,664.1,666.35,80.77,53786.7459
1784246400000,2026-07-17T00:00:00Z,666.35,666.79,662.89,664.65,122.72,81562.5239
1784250000000,2026-07-17T01:00:00Z,664.65,664.65,660.49,660.56,476.31,315365.1867
1784253600000,2026-07-17T02:00:00Z,660.56,661.29,653.02,656.6,188.25,123475.0214
1784257200000,2026-07-17T03:00:00Z,656.6,659.8,656.35,658.12,69.23,45591.8736
1784260800000,2026-07-17T04:00:00Z,658.12,658.12,650.72,651.93,90.05,58776.0634
1784264400000,2026-07-17T05:00:00Z,651.93,656.36,651.82,655.33,150.39,98401.7343
1784268000000,2026-07-17T06:00:00Z,655.33,656.9,653.95,654.32,37.62,24658.5347
1784271600000,2026-07-17T07:00:00Z,654.32,655.53,653.33,655.24,127.45,83386.3504
1784275200000,2026-07-17T08:00:00Z,655.24,655.24,651.28,652.59,197.1,128773.7944
1784278800000,2026-07-17T09:00:00Z,652.59,654.61,651.29,653.1,124.26,81172.1103
1784282400000,2026-07-17T10:00:00Z,653.1,654.91,651.8,654.6,170.92,111680.9517
1784286000000,2026-07-17T11:00:00Z,654.6,656,652,654.77,110.57,72378.128
1784289600000,2026-07-17T12:00:00Z,654.77,655.11,649.83,650.03,229.96,149946.71
1784293200000,2026-07-17T13:00:00Z,650.03,651.17,637,642.3,1386.38,892613.1283
1784296800000,2026-07-17T14:00:00Z,642.3,642.42,626.58,626.95,891.51,565555.8546
1784300400000,2026-07-17T15:00:00Z,626.95,633.18,626.68,632.98,237.56,149687.94
1784304000000,2026-07-17T16:00:00Z,632.98,650.69,630.88,649.97,2363.55,1516072.1067
1784307600000,2026-07-17T17:00:00Z,649.97,652.33,646.35,649.64,927.92,603158.1679
1784311200000,2026-07-17T18:00:00Z,649.64,650.21,645.78,646.61,189.52,122718.9886
1784314800000,2026-07-17T19:00:00Z,646.61,648.27,641.59,645.96,362.72,233897.9496
1784318400000,2026-07-17T20:00:00Z,645.96,646.3,642.61,644.59,95.82,61762.6252
1784322000000,2026-07-17T21:00:00Z,644.59,645.5,644,644.84,15.73,10146.3964
1784325600000,2026-07-17T22:00:00Z,644.84,645.32,643.68,643.78,20.11,12958.2674
1784329200000,2026-07-17T23:00:00Z,643.78,644.11,640.06,640.65,85.07,54571.9994
1784332800000,2026-07-18T00:00:00Z,640.65,641.49,638.4,638.4,63.75,40818.4612
1784336400000,2026-07-18T01:00:00Z,638.4,639.41,638.4,639.23,14.23,9092.4394
1784340000000,2026-07-18T02:00:00Z,639.23,639.58,637.86,639.13,17.01,10862.9862
1784343600000,2026-07-18T03:00:00Z,639.13,639.67,638.68,639.55,8.79,5618.0031
1784347200000,2026-07-18T04:00:00Z,639.55,639.55,638.69,639.27,14.63,9352.0399
1784350800000,2026-07-18T05:00:00Z,639.27,639.47,639.04,639.27,6.74,4308.4709
1784354400000,2026-07-18T06:00:00Z,639.27,641.53,638.94,641.53,10.15,6498.4562
1784358000000,2026-07-18T07:00:00Z,641.53,642.52,640.56,640.97,35.45,22742.2434
1784361600000,2026-07-18T08:00:00Z,640.97,640.97,638.27,638.27,32.05,20500.8797
1784365200000,2026-07-18T09:00:00Z,638.27,638.27,636.56,636.74,16.22,10330.6433
1784368800000,2026-07-18T10:00:00Z,636.74,637.37,636.73,637.02,10.67,6797.6464
1784372400000,2026-07-18T11:00:00Z,637.02,638.05,636.34,636.85,14.67,9347.6762
1784376000000,2026-07-18T12:00:00Z,636.85,638.77,636.85,637.89,31.68,20216.8031
1784379600000,2026-07-18T13:00:00Z,637.89,639.98,637.22,638.51,124.39,79461.6563
1784383200000,2026-07-18T14:00:00Z,638.51,639.45,637.03,638.48,84.23,53773.1471
1784386800000,2026-07-18T15:00:00Z,638.48,639.59,637.92,638.4,32.1,20504.9539
1784390400000,2026-07-18T16:00:00Z,638.4,638.4,637.72,638.26,6.26,3994.0252
1784394000000,2026-07-18T17:00:00Z,638.26,638.73,638.18,638.73,6.22,3970.3331
1784397600000,2026-07-18T18:00:00Z,638.73,641.94,638.73,641.06,101.69,65131.3031
1784401200000,2026-07-18T19:00:00Z,641.06,641.07,640.58,640.7,6.66,4267.3432
1784404800000,2026-07-18T20:00:00Z,640.7,641.31,640.2,641.05,12.51,8016.7018
1784408400000,2026-07-18T21:00:00Z,641.05,642.39,640.54,641.11,21.23,13613.3133
1784412000000,2026-07-18T22:00:00Z,641.11,641.13,638.88,639.58,13.44,8601.0719
1784415600000,2026-07-18T23:00:00Z,639.58,640.67,638.39,640.13,11.76,7523.0669
1784419200000,2026-07-19T00:00:00Z,640.13,641.14,639.89,640.99,11.53,7387.564
1784422800000,2026-07-19T01:00:00Z,640.99,641.6,640.89,640.93,5,3206.2198
1784426400000,2026-07-19T02:00:00Z,640.93,642.24,640.93,641.95,7.39,4744.271
1784430000000,2026-07-19T03:00:00Z,641.95,641.95,640.81,641.71,22.23,14260.4643
1784433600000,2026-07-19T04:00:00Z,641.71,642.78,641.39,642.16,6.18,3969.5624
1784437200000,2026-07-19T05:00:00Z,642.16,642.28,641.28,641.28,51.74,33182.4292
1784440800000,2026-07-19T06:00:00Z,641.28,641.28,635.62,640.24,239.19,152775.1848
1784444400000,2026-07-19T07:00:00Z,640.24,640.99,640.24,640.99,7.66,4907.9174
1784448000000,2026-07-19T08:00:00Z,640.99,643.64,640.99,642.38,88.38,56808.1303
