ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,41.52,41.71,41.52,41.63,3.97,165.3114
1785632400000,2026-08-02T01:00:00Z,41.63,41.71,41.63,41.64,4.74,197.5078
1785636000000,2026-08-02T02:00:00Z,41.64,41.79,41.6,41.79,624.83,26088.2999
1785639600000,2026-08-02T03:00:00Z,41.79,42.09,41.32,41.69,812.92,33911.5739
1785643200000,2026-08-02T04:00:00Z,41.69,41.98,41.69,41.98,4.29,179.9291
1785646800000,2026-08-02T05:00:00Z,41.98,42,41.94,41.94,3.51,147.3179
1785650400000,2026-08-02T06:00:00Z,41.94,42.04,41.86,41.93,1.33,55.8135
1785654000000,2026-08-02T07:00:00Z,41.93,42.12,41.67,42.12,101.75,4262.0911
1785657600000,2026-08-02T08:00:00Z,42.12,42.13,41.66,41.74,1427.33,59863.0655
1785661200000,2026-08-02T09:00:00Z,41.74,42.11,41.39,41.65,1889.16,79030.9653
1785664800000,2026-08-02T10:00:00Z,41.65,42.17,41.5,41.5,669.94,27992.1186
1785668400000,2026-08-02T11:00:00Z,41.5,42.15,41.5,42.06,8.74,367.4262
1785672000000,2026-08-02T12:00:00Z,42.06,42.17,41.86,41.86,484.65,20291.0207
1785675600000,2026-08-02T13:00:00Z,41.86,42.18,41.4,42.03,660.15,27582.1824
1785679200000,2026-08-02T14:00:00Z,42.03,42.13,41.66,41.84,961.02,40293.9253
1785682800000,2026-08-02T15:00:00Z,41.84,41.96,41.84,41.93,4.18,175.1708
1785686400000,2026-08-02T16:00:00Z,41.93,42.06,41.84,41.84,5.25,220.2029
1785690000000,2026-08-02T17:00:00Z,41.84,41.97,41.84,41.89,4.17,174.7949
1785693600000,2026-08-02T18:00:00Z,41.89,41.96,41.83,41.93,5.05,211.6273
1785697200000,2026-08-02T19:00:00Z,41.93,42.17,41.4,41.4,186.07,7753.9675
1785700800000,2026-08-02T20:00:00Z,41.4,42.15,41.39,41.66,814.52,34150.5481
1785704400000,2026-08-02T21:00:00Z,41.66,42.21,41.66,41.83,1790.24,75022.2049
1785708000000,2026-08-02T22:00:00Z,41.83,42.24,41.5,41.81,83.77,3494.5004
1785711600000,2026-08-02T23:00:00Z,41.81,42.09,41.68,41.93,8.94,374.417
1785715200000,2026-08-03T00:00:00Z,41.93,42.06,41.93,41.98,2.47,103.7029
1785718800000,2026-08-03T01:00:00Z,41.98,42.25,41.49,42.2,273.53,11432.1622
1785722400000,2026-08-03T02:00:00Z,42.2,42.24,41.94,41.94,3.49,147.1629
1785726000000,2026-08-03T03:00:00Z,41.94,42.25,41.49,41.49,34.42,1448.4453
1785729600000,2026-08-03T04:00:00Z,41.49,42.28,41.49,42.04,48.47,2031.5053
1785733200000,2026-08-03T05:00:00Z,42.04,42.29,41.62,42.05,29.31,1226.6674
1785736800000,2026-08-03T06:00:00Z,42.05,42.18,41.75,42.04,66.26,2787.249
1785740400000,2026-08-03T07:00:00Z,42.04,42.04,41.99,42.02,3.1,130.2738
1785744000000,2026-08-03T08:00:00Z,42.02,42.35,41.66,42.19,3358.6,140910.9012
1785747600000,2026-08-03T09:00:00Z,42.19,42.37,41.93,42.34,909.33,38491.1303
1785751200000,2026-08-03T10:00:00Z,42.34,42.35,42.01,42.02,333.74,14063.328
1785754800000,2026-08-03T11:00:00Z,42.02,42.11,41.78,41.78,281.31,11808.2078
1785758400000,2026-08-03T12:00:00Z,41.78,42.04,41.62,41.62,79.76,3327.9753
1785762000000,2026-08-03T13:00:00Z,41.62,42.54,40.51,42.45,879.27,36649.7163
1785765600000,2026-08-03T14:00:00Z,42.45,44.13,42.45,43.94,278.43,12075.55
1785769200000,2026-08-03T15:00:00Z,43.94,43.94,43.5,43.75,2.61,113.8135
1785772800000,2026-08-03T16:00:00Z,43.75,44.36,43.65,43.93,65.74,2889.5999
1785776400000,2026-08-03T17:00:00Z,43.93,44.11,43.93,44.11,1.85,81.4107
1785780000000,2026-08-03T18:00:00Z,44.11,44.16,43.9,43.9,4.06,178.8151
1785783600000,2026-08-03T19:00:00Z,43.9,44.09,43.9,43.9,4.25,187.0607
1785787200000,2026-08-03T20:00:00Z,43.9,44.04,43.78,44.04,11.53,506.5646
1785790800000,2026-08-03T21:00:00Z,44.04,44.15,43.99,44.15,2.97,130.8295
1785794400000,2026-08-03T22:00:00Z,44.15,44.74,44.15,44.55,26.4,1175.7175
1785798000000,2026-08-03T23:00:00Z,44.55,44.8,44.38,44.63,10.95,488.3218
1785801600000,2026-08-04T00:00:00Z,44.63,44.63,44.53,44.53,1.09,48.5627
1785805200000,2026-08-04T01:00:00Z,44.53,44.83,44.53,44.83,2.24,100.1954
1785808800000,2026-08-04T02:00:00Z,44.83,44.83,44.65,44.65,1.51,67.5028
1785812400000,2026-08-04T03:00:00Z,44.65,44.65,44.52,44.52,0.45,20.0596
1785816000000,2026-08-04T04:00:00Z,44.52,44.52,44.52,44.52,0,0
1785819600000,2026-08-04T05:00:00Z,44.52,44.83,44.52,44.53,1.27,56.5951
1785823200000,2026-08-04T06:00:00Z,44.53,44.53,44.53,44.53,0,0
1785826800000,2026-08-04T07:00:00Z,44.53,44.53,44.53,44.53,0,0
1785830400000,2026-08-04T08:00:00Z,44.53,46.12,44.53,44.73,49.7,2249.3009
1785834000000,2026-08-04T09:00:00Z,44.73,44.73,44.41,44.62,4.8,213.7986
1785837600000,2026-08-04T10:00:00Z,44.62,45.37,44.62,45.32,3.34,150.6911
1785841200000,2026-08-04T11:00:00Z,45.32,46.78,45.32,46.4,10.76,498.5717
1785844800000,2026-08-04T12:00:00Z,46.4,46.4,45.79,45.84,30.01,1380.8342
1785848400000,2026-08-04T13:00:00Z,45.84,46.5,45.31,46.1,45.69,2098.0046
1785852000000,2026-08-04T14:00:00Z,46.1,46.49,46.1,46.45,3.12,144.4206
1785855600000,2026-08-04T15:00:00Z,46.45,47.22,46.45,47.19,110.87,5195.5428
1785859200000,2026-08-04T16:00:00Z,47.19,47.66,47.16,47.66,418.76,19861.3781
1785862800000,2026-08-04T17:00:00Z,47.66,48.15,47.66,47.8,239.11,11470.731
1785866400000,2026-08-04T18:00:00Z,47.8,48.18,47.8,48.18,11.07,532.7803
1785870000000,2026-08-04T19:00:00Z,48.18,48.35,47.43,47.43,49.56,2375.5646
1785873600000,2026-08-04T20:00:00Z,47.43,47.72,47.12,47.47,2,94.9521
1785877200000,2026-08-04T21:00:00Z,47.47,47.55,47.3,47.41,17.09,809.8139
1785880800000,2026-08-04T22:00:00Z,47.41,48.04,47.35,47.6,16.8,801.143
1785884400000,2026-08-04T23:00:00Z,47.6,48.04,47.52,48.04,7.99,382.155
1785888000000,2026-08-05T00:00:00Z,48.04,48.07,47.66,47.66,4.01,191.6393
1785891600000,2026-08-05T01:00:00Z,47.66,48.07,47.66,48.07,7.77,371.9844
1785895200000,2026-08-05T02:00:00Z,48.07,48.07,48.07,48.07,0,0
1785898800000,2026-08-05T03:00:00Z,48.07,48.1,48.04,48.04,207.49,9977.9799
1785902400000,2026-08-05T04:00:00Z,48.04,48.14,47.95,48.14,11.42,547.8077
1785906000000,2026-08-05T05:00:00Z,48.14,48.21,47.98,48.21,283.79,13670.1758
