ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,4.893,4.908,4.884,4.895,35.14,171.9943
1785632400000,2026-08-02T01:00:00Z,4.895,4.896,4.894,4.896,52.51,257.04981
1785636000000,2026-08-02T02:00:00Z,4.896,4.896,4.895,4.896,26.71,130.75767
1785639600000,2026-08-02T03:00:00Z,4.896,4.896,4.893,4.893,13.21,64.64556
1785643200000,2026-08-02T04:00:00Z,4.893,4.896,4.893,4.894,24.53,120.05592
1785646800000,2026-08-02T05:00:00Z,4.894,4.905,4.886,4.893,21.97,107.53577
1785650400000,2026-08-02T06:00:00Z,4.893,4.897,4.893,4.897,57.27,280.39391
1785654000000,2026-08-02T07:00:00Z,4.897,4.898,4.896,4.898,46.95,229.92673
1785657600000,2026-08-02T08:00:00Z,4.898,4.898,4.896,4.897,38.94,190.69026
1785661200000,2026-08-02T09:00:00Z,4.897,4.898,4.897,4.897,28.92,141.62882
1785664800000,2026-08-02T10:00:00Z,4.897,4.897,4.896,4.896,20.34,99.59931
1785668400000,2026-08-02T11:00:00Z,4.896,4.897,4.887,4.897,12.25,59.96089
1785672000000,2026-08-02T12:00:00Z,4.897,4.898,4.896,4.897,28.56,139.86238
1785675600000,2026-08-02T13:00:00Z,4.897,4.898,4.897,4.897,30.24,148.09278
1785679200000,2026-08-02T14:00:00Z,4.897,4.899,4.896,4.899,93.63,458.64741
1785682800000,2026-08-02T15:00:00Z,4.899,4.899,4.886,4.886,70.69,345.78097
1785686400000,2026-08-02T16:00:00Z,4.886,4.899,4.886,4.896,29.56,144.76325
1785690000000,2026-08-02T17:00:00Z,4.896,4.897,4.896,4.896,27.85,136.37106
1785693600000,2026-08-02T18:00:00Z,4.896,4.904,4.894,4.899,27.78,136.08283
1785697200000,2026-08-02T19:00:00Z,4.899,4.899,4.896,4.898,36.68,179.6366
1785700800000,2026-08-02T20:00:00Z,4.898,4.899,4.897,4.897,25.06,122.7395
1785704400000,2026-08-02T21:00:00Z,4.897,4.899,4.896,4.898,43.78,214.41081
1785708000000,2026-08-02T22:00:00Z,4.898,4.899,4.897,4.898,17.49,85.66717
1785711600000,2026-08-02T23:00:00Z,4.898,4.902,4.888,4.888,21.54,105.46838
1785715200000,2026-08-03T00:00:00Z,4.888,4.913,4.852,4.9,158.99,775.77607
1785718800000,2026-08-03T01:00:00Z,4.9,4.905,4.815,4.856,494.61,2408.15087
1785722400000,2026-08-03T02:00:00Z,4.856,4.878,4.809,4.809,75.98,367.17945
1785726000000,2026-08-03T03:00:00Z,4.809,4.941,4.809,4.874,1877.01,9143.50118
1785729600000,2026-08-03T04:00:00Z,4.874,4.876,4.778,4.847,252.47,1222.11236
1785733200000,2026-08-03T05:00:00Z,4.847,4.854,4.79,4.831,177.71,858.25569
1785736800000,2026-08-03T06:00:00Z,4.831,4.868,4.813,4.833,179.14,865.18404
1785740400000,2026-08-03T07:00:00Z,4.833,4.878,4.814,4.873,334.4,1621.92071
1785744000000,2026-08-03T08:00:00Z,4.873,4.873,4.811,4.845,132.34,639.97791
1785747600000,2026-08-03T09:00:00Z,4.845,4.846,4.812,4.82,83.46,403.08012
1785751200000,2026-08-03T10:00:00Z,4.82,4.87,4.811,4.828,185.04,895.95652
1785754800000,2026-08-03T11:00:00Z,4.828,4.874,4.79,4.814,242.98,1176.19266
1785758400000,2026-08-03T12:00:00Z,4.814,4.85,4.8,4.825,235.28,1135.78939
1785762000000,2026-08-03T13:00:00Z,4.825,4.88,4.757,4.805,654.15,3162.00486
1785765600000,2026-08-03T14:00:00Z,4.805,4.904,4.774,4.904,202.89,983.13225
1785769200000,2026-08-03T15:00:00Z,4.904,4.904,4.833,4.853,38.26,185.47497
1785772800000,2026-08-03T16:00:00Z,4.853,4.86,4.801,4.821,536.3,2590.7245
1785776400000,2026-08-03T17:00:00Z,4.821,4.842,4.812,4.84,128.12,618.39518
1785780000000,2026-08-03T18:00:00Z,4.84,4.843,4.814,4.83,60.84,293.89456
1785783600000,2026-08-03T19:00:00Z,4.83,4.86,4.825,4.825,48.46,234.7874
1785787200000,2026-08-03T20:00:00Z,4.825,4.852,4.808,4.825,191.3,923.63345
1785790800000,2026-08-03T21:00:00Z,4.825,4.833,4.823,4.825,22.23,107.31729
1785794400000,2026-08-03T22:00:00Z,4.825,4.842,4.821,4.842,35.27,170.4809
1785798000000,2026-08-03T23:00:00Z,4.842,4.86,4.83,4.839,46.78,226.60613
1785801600000,2026-08-04T00:00:00Z,4.839,4.861,4.838,4.839,49.67,240.88795
1785805200000,2026-08-04T01:00:00Z,4.839,4.851,4.8,4.803,465.27,2240.19029
1785808800000,2026-08-04T02:00:00Z,4.803,4.803,4.782,4.789,47.22,226.15175
1785812400000,2026-08-04T03:00:00Z,4.789,4.795,4.776,4.781,36.11,172.67683
1785816000000,2026-08-04T04:00:00Z,4.781,4.799,4.781,4.799,41.01,196.42958
1785819600000,2026-08-04T05:00:00Z,4.799,4.799,4.766,4.784,37.48,178.94857
1785823200000,2026-08-04T06:00:00Z,4.784,4.796,4.771,4.796,52.2,249.95349
1785826800000,2026-08-04T07:00:00Z,4.796,4.801,4.786,4.792,30.53,146.37922
1785830400000,2026-08-04T08:00:00Z,4.792,4.811,4.775,4.775,108.93,521.95667
1785834000000,2026-08-04T09:00:00Z,4.775,4.808,4.775,4.785,76.47,367.1128
1785837600000,2026-08-04T10:00:00Z,4.785,4.809,4.776,4.809,41.83,200.39407
1785841200000,2026-08-04T11:00:00Z,4.809,4.809,4.787,4.787,20.9,100.21688
1785844800000,2026-08-04T12:00:00Z,4.787,4.812,4.787,4.787,54.81,262.68489
1785848400000,2026-08-04T13:00:00Z,4.787,4.825,4.725,4.787,597.82,2848.52005
1785852000000,2026-08-04T14:00:00Z,4.787,4.825,4.787,4.8,140.52,673.2443
1785855600000,2026-08-04T15:00:00Z,4.8,4.807,4.788,4.801,34.58,165.9026
1785859200000,2026-08-04T16:00:00Z,4.801,4.806,4.764,4.767,48.98,234.44344
1785862800000,2026-08-04T17:00:00Z,4.767,4.8,4.767,4.8,15.98,76.63874
1785866400000,2026-08-04T18:00:00Z,4.8,4.803,4.765,4.765,97.19,464.79836
1785870000000,2026-08-04T19:00:00Z,4.765,4.811,4.755,4.784,762.93,3654.0781
1785873600000,2026-08-04T20:00:00Z,4.784,4.8,4.762,4.786,276.93,1323.97117
1785877200000,2026-08-04T21:00:00Z,4.786,4.786,4.774,4.778,13.05,62.35612
1785880800000,2026-08-04T22:00:00Z,4.778,4.779,4.762,4.777,29.87,142.5557
1785884400000,2026-08-04T23:00:00Z,4.777,4.794,4.764,4.794,222.67,1064.54393
1785888000000,2026-08-05T00:00:00Z,4.794,4.803,4.763,4.776,100.8,482.04528
1785891600000,2026-08-05T01:00:00Z,4.776,4.785,4.756,4.763,198.32,944.90295
1785895200000,2026-08-05T02:00:00Z,4.763,4.787,4.752,4.786,52.4,249.97427
1785898800000,2026-08-05T03:00:00Z,4.786,4.786,4.763,4.777,29.2,139.41168
1785902400000,2026-08-05T04:00:00Z,4.777,4.781,4.763,4.774,50.12,239.36447
1785906000000,2026-08-05T05:00:00Z,4.774,4.785,4.774,4.785,35.95,171.9412
1785909600000,2026-08-05T06:00:00Z,4.785,4.807,4.776,4.8,54.31,259.95075
1785913200000,2026-08-05T07:00:00Z,4.8,4.804,4.789,4.8,24.52,117.61515
1785916800000,2026-08-05T08:00:00Z,4.8,4.815,4.779,4.779,31.4,150.4034
1785920400000,2026-08-05T09:00:00Z,4.779,4.794,4.775,4.775,37.12,177.54418
1785924000000,2026-08-05T10:00:00Z,4.775,4.787,4.762,4.782,47.13,225.37708
1785927600000,2026-08-05T11:00:00Z,4.782,4.799,4.764,4.772,39.51,188.95189
1785931200000,2026-08-05T12:00:00Z,4.772,4.795,4.764,4.786,99.99,477.92554
1785934800000,2026-08-05T13:00:00Z,4.786,4.807,4.75,4.775,170.19,814.41025
1785938400000,2026-08-05T14:00:00Z,4.775,4.775,4.71,4.71,71.8,338.67453
1785942000000,2026-08-05T15:00:00Z,4.71,4.725,4.687,4.687,352.79,1658.26784
1785945600000,2026-08-05T16:00:00Z,4.687,4.687,4.663,4.663,44.33,207.01988
1785949200000,2026-08-05T17:00:00Z,4.663,4.682,4.663,4.678,17.55,82.13274
1785952800000,2026-08-05T18:00:00Z,4.678,4.678,4.66,4.671,225.51,1051.23641
1785956400000,2026-08-05T19:00:00Z,4.671,4.671,4.662,4.662,25.19,117.5417
1785960000000,2026-08-05T20:00:00Z,4.662,4.68,4.652,4.664,497.64,2318.9949
1785963600000,2026-08-05T21:00:00Z,4.664,4.686,4.65,4.653,43.72,203.96102
1785967200000,2026-08-05T22:00:00Z,4.653,4.687,4.652,4.673,41.14,192.06012
1785970800000,2026-08-05T23:00:00Z,4.673,4.681,4.663,4.672,39.66,185.23239
1785974400000,2026-08-06T00:00:00Z,4.672,4.686,4.664,4.677,18.87,88.20831
1785978000000,2026-08-06T01:00:00Z,4.677,4.7,4.677,4.687,46.78,219.22061
1785981600000,2026-08-06T02:00:00Z,4.687,4.687,4.66,4.682,38.47,180.04095
1785985200000,2026-08-06T03:00:00Z,4.682,4.699,4.677,4.699,56.64,265.43566
1785988800000,2026-08-06T04:00:00Z,4.699,4.699,4.682,4.686,25.66,120.20863
1785992400000,2026-08-06T05:00:00Z,4.686,4.693,4.677,4.693,22.91,107.28756
