ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,110.69,111,110.69,110.93,22.09,2448.1858
1785632400000,2026-08-02T01:00:00Z,110.93,111,110.76,110.99,1.06,117.5907
1785636000000,2026-08-02T02:00:00Z,110.99,111.1,110.37,110.88,176.67,19570.9185
1785639600000,2026-08-02T03:00:00Z,110.88,111.01,110.85,111.01,18.2,2018.5522
1785643200000,2026-08-02T04:00:00Z,111.01,111.23,111.01,111.18,65.21,7250.3055
1785646800000,2026-08-02T05:00:00Z,111.18,111.24,111.18,111.24,2.41,268.0491
1785650400000,2026-08-02T06:00:00Z,111.24,111.6,111.21,111.6,55.88,6225.6612
1785654000000,2026-08-02T07:00:00Z,111.6,112,111.6,111.95,102.6,11466.2732
1785657600000,2026-08-02T08:00:00Z,111.95,112.96,111.95,112.9,896.53,100723.7134
1785661200000,2026-08-02T09:00:00Z,112.9,113,112.71,112.85,81.74,9229.7436
1785664800000,2026-08-02T10:00:00Z,112.85,113.02,112.6,112.67,37.38,4214.3918
1785668400000,2026-08-02T11:00:00Z,112.67,112.77,112.64,112.67,3.62,407.9246
1785672000000,2026-08-02T12:00:00Z,112.67,113.24,112.67,112.96,73.62,8316.9842
1785675600000,2026-08-02T13:00:00Z,112.96,113.15,112.89,113.12,3.85,435.4906
1785679200000,2026-08-02T14:00:00Z,113.12,113.2,112.91,113.2,19.34,2186.4993
1785682800000,2026-08-02T15:00:00Z,113.2,113.29,113.2,113.29,50.01,5663.6603
1785686400000,2026-08-02T16:00:00Z,113.29,113.35,112.4,112.81,199.4,22476.0249
1785690000000,2026-08-02T17:00:00Z,112.81,113.04,112.81,113.04,33.87,3828.2873
1785693600000,2026-08-02T18:00:00Z,113.04,113.04,112.68,112.92,2.51,283.2964
1785697200000,2026-08-02T19:00:00Z,112.92,112.98,112.65,112.76,3.23,364.3246
1785700800000,2026-08-02T20:00:00Z,112.76,112.91,112.64,112.64,3.01,339.4084
1785704400000,2026-08-02T21:00:00Z,112.64,113.2,112.64,113.03,180.02,20329.5729
1785708000000,2026-08-02T22:00:00Z,113.03,113.08,112.83,112.83,15.08,1701.6939
1785711600000,2026-08-02T23:00:00Z,112.83,113.02,112.71,112.78,27.85,3145.5032
1785715200000,2026-08-03T00:00:00Z,112.78,113.94,111.81,112.81,2896.78,327159.6077
1785718800000,2026-08-03T01:00:00Z,112.81,112.99,112.34,112.78,87.2,9827.2803
1785722400000,2026-08-03T02:00:00Z,112.78,113.11,112.77,113.11,49.18,5558.2118
1785726000000,2026-08-03T03:00:00Z,113.11,113.11,112.47,112.47,78.08,8800.9571
1785729600000,2026-08-03T04:00:00Z,112.47,112.7,112.35,112.36,36.02,4050.9435
1785733200000,2026-08-03T05:00:00Z,112.36,112.64,112.3,112.3,8.67,974.3043
1785736800000,2026-08-03T06:00:00Z,112.3,112.76,112.12,112.17,75.96,8530.5294
1785740400000,2026-08-03T07:00:00Z,112.17,113,112.17,113,141.13,15898.8844
1785744000000,2026-08-03T08:00:00Z,113,114.42,113,113.45,221.85,25308.8882
1785747600000,2026-08-03T09:00:00Z,113.45,114.44,113.45,114.21,17.09,1951.3169
1785751200000,2026-08-03T10:00:00Z,114.21,115.2,114.21,114.69,76.29,8763.1272
1785754800000,2026-08-03T11:00:00Z,114.69,116.02,114.69,115.53,90.86,10483.6091
1785758400000,2026-08-03T12:00:00Z,115.53,115.77,114.95,115.41,106.68,12319.0485
1785762000000,2026-08-03T13:00:00Z,115.41,119.78,114.2,119.14,295.5,34664.9584
1785765600000,2026-08-03T14:00:00Z,119.14,119.35,114.58,115.19,497.45,57733.2747
1785769200000,2026-08-03T15:00:00Z,115.19,115.53,114,115.38,446.43,51127.3028
1785772800000,2026-08-03T16:00:00Z,115.38,115.71,115.06,115.71,73.96,8545.9153
1785776400000,2026-08-03T17:00:00Z,115.71,115.71,114.95,114.95,15.95,1838.289
1785780000000,2026-08-03T18:00:00Z,114.95,115.88,114.95,115.88,19.16,2213.8571
1785783600000,2026-08-03T19:00:00Z,115.88,116.07,114.44,114.44,22.17,2549.3913
1785787200000,2026-08-03T20:00:00Z,114.44,116.21,114.41,116.21,82.41,9481.9955
1785790800000,2026-08-03T21:00:00Z,116.21,116.21,115.05,115.25,31.56,3635.2941
1785794400000,2026-08-03T22:00:00Z,115.25,115.25,114.88,114.89,67.16,7719.6576
1785798000000,2026-08-03T23:00:00Z,114.89,114.89,114.68,114.68,85.63,9833.2305
1785801600000,2026-08-04T00:00:00Z,114.68,115.36,114.45,114.45,74.75,8582.9849
1785805200000,2026-08-04T01:00:00Z,114.45,114.92,114.45,114.77,48.29,5544.286
1785808800000,2026-08-04T02:00:00Z,114.77,114.99,114.76,114.99,13.18,1513.8753
1785812400000,2026-08-04T03:00:00Z,114.99,115.31,114.86,115.31,13.89,1597.7688
1785816000000,2026-08-04T04:00:00Z,115.31,115.41,115.07,115.13,24.5,2825.1937
1785819600000,2026-08-04T05:00:00Z,115.13,115.4,115.12,115.24,3.76,433.6563
1785823200000,2026-08-04T06:00:00Z,115.24,115.31,114.07,114.42,306.47,35094.1166
1785826800000,2026-08-04T07:00:00Z,114.42,114.46,113.4,113.92,470.46,53618.2656
1785830400000,2026-08-04T08:00:00Z,113.92,113.92,112.72,113.48,90.39,10225.3259
1785834000000,2026-08-04T09:00:00Z,113.48,114.14,113.41,113.47,114.73,13055.9101
1785837600000,2026-08-04T10:00:00Z,113.47,113.7,111.66,112.59,150.51,16837.9975
1785841200000,2026-08-04T11:00:00Z,112.59,112.71,111.68,112.31,75.17,8423.8882
1785844800000,2026-08-04T12:00:00Z,112.31,112.31,111.24,112.01,100.79,11269.3525
1785848400000,2026-08-04T13:00:00Z,112.01,115.79,111.48,115.53,376,43011.285
1785852000000,2026-08-04T14:00:00Z,115.53,116.66,115.05,115.5,1378.7,159536.5106
1785855600000,2026-08-04T15:00:00Z,115.5,116.12,115.45,115.88,73.28,8491.7376
1785859200000,2026-08-04T16:00:00Z,115.88,116.21,115.5,115.5,47.06,5442.5117
1785862800000,2026-08-04T17:00:00Z,115.5,116.23,115.5,116.23,18.04,2093.7106
1785866400000,2026-08-04T18:00:00Z,116.23,117.07,116.23,116.99,111.01,12943.383
1785870000000,2026-08-04T19:00:00Z,116.99,118.49,116.99,118.31,101.74,12013.528
1785873600000,2026-08-04T20:00:00Z,118.31,118.31,116.88,117.3,121.56,14267.3723
1785877200000,2026-08-04T21:00:00Z,117.3,117.6,116.57,116.77,90.11,10568.8372
1785880800000,2026-08-04T22:00:00Z,116.77,117.12,116.71,116.92,1.7,198.7985
1785884400000,2026-08-04T23:00:00Z,116.92,117.39,116.92,117.21,4.1,480.6238
1785888000000,2026-08-05T00:00:00Z,117.21,117.77,117,117.77,25.07,2939.8753
1785891600000,2026-08-05T01:00:00Z,117.77,118.34,117.52,118.26,129.49,15297.7395
1785895200000,2026-08-05T02:00:00Z,118.26,118.44,118.26,118.29,0.91,107.6886
1785898800000,2026-08-05T03:00:00Z,118.29,118.31,117.53,117.81,133.52,15705.9088
1785902400000,2026-08-05T04:00:00Z,117.81,117.81,117.01,117.01,45.9,5389.1975
1785906000000,2026-08-05T05:00:00Z,117.01,117.69,117.01,117.54,11.93,1401.5755
1785909600000,2026-08-05T06:00:00Z,117.54,117.74,117.49,117.49,36.1,4245.835
1785913200000,2026-08-05T07:00:00Z,117.49,117.99,117.23,117.99,8.38,986.2946
1785916800000,2026-08-05T08:00:00Z,117.99,119.05,117.45,118.73,83.92,9934.8809
1785920400000,2026-08-05T09:00:00Z,118.73,119.62,118.72,119.34,146.27,17442.7285
1785924000000,2026-08-05T10:00:00Z,119.34,119.55,119.21,119.51,19.88,2374.8389
1785927600000,2026-08-05T11:00:00Z,119.51,120.59,119.3,120.13,282.95,33982.1277
1785931200000,2026-08-05T12:00:00Z,120.13,120.63,120.08,120.4,81.81,9854.1903
1785934800000,2026-08-05T13:00:00Z,120.4,121.21,116.75,117.02,161.22,19110.2723
1785938400000,2026-08-05T14:00:00Z,117.02,118.67,117.02,117.81,214.81,25264.4064
1785942000000,2026-08-05T15:00:00Z,117.81,117.81,116.21,116.21,103.31,12099.41
1785945600000,2026-08-05T16:00:00Z,116.21,116.72,115.97,116.72,9.91,1153.306
1785949200000,2026-08-05T17:00:00Z,116.72,117.3,116.67,117.21,43,5038.6411
1785952800000,2026-08-05T18:00:00Z,117.21,117.63,116.97,117.23,8.16,956.3108
1785956400000,2026-08-05T19:00:00Z,117.23,117.42,116.88,117.27,8.5,996.2323
1785960000000,2026-08-05T20:00:00Z,117.27,117.98,112.25,112.46,647.61,74194.829
1785963600000,2026-08-05T21:00:00Z,112.46,113.4,112.46,112.59,32.82,3706.9838
1785967200000,2026-08-05T22:00:00Z,112.59,113.33,112.58,113.07,113.2,12804.9452
1785970800000,2026-08-05T23:00:00Z,113.07,113.24,113.07,113.07,28.85,3264.3812
1785974400000,2026-08-06T00:00:00Z,113.07,114.11,113.07,113.6,127.62,14508.5027
1785978000000,2026-08-06T01:00:00Z,113.6,113.65,113.4,113.52,66.7,7569.3283
1785981600000,2026-08-06T02:00:00Z,113.52,114.37,113.52,114.16,164.19,18724.8036
1785985200000,2026-08-06T03:00:00Z,114.16,114.47,114.16,114.47,30.34,3471.188
1785988800000,2026-08-06T04:00:00Z,114.47,114.56,113.71,114.46,103.39,11791.3806
1785992400000,2026-08-06T05:00:00Z,114.46,114.78,114.2,114.51,46.02,5266.9728
1785996000000,2026-08-06T06:00:00Z,114.51,114.51,113.95,113.95,21.31,2432.1773
1785999600000,2026-08-06T07:00:00Z,113.95,114.7,113.95,114.62,45.59,5210.4755
1786003200000,2026-08-06T08:00:00Z,114.62,114.62,113.7,114.36,16.96,1932.3521
1786006800000,2026-08-06T09:00:00Z,114.36,114.66,114.32,114.55,35.04,4013.1546
1786010400000,2026-08-06T10:00:00Z,114.55,115.16,114.21,115.16,8.31,951.6985
1786014000000,2026-08-06T11:00:00Z,115.16,115.16,112.4,113.4,368.77,41879.5974
1786017600000,2026-08-06T12:00:00Z,113.4,113.69,112.73,113.27,52.51,5940.124
1786021200000,2026-08-06T13:00:00Z,113.27,114.94,112.11,114.02,690.63,78495.6417
1786024800000,2026-08-06T14:00:00Z,114.02,115.78,113.45,115.22,524.85,60040.9233
1786028400000,2026-08-06T15:00:00Z,115.22,115.74,114.49,115.62,173.93,20016.4928
1786032000000,2026-08-06T16:00:00Z,115.62,116.18,115.3,115.98,370.45,42886.7147
1786035600000,2026-08-06T17:00:00Z,115.98,116.31,115.72,116.25,77.85,9025.2173
1786039200000,2026-08-06T18:00:00Z,116.25,117.06,116.21,116.21,55.03,6409.2588
1786042800000,2026-08-06T19:00:00Z,116.21,117.56,115.93,117.56,101.94,11834.9562
1786046400000,2026-08-06T20:00:00Z,117.56,120.75,117.04,120.41,353.75,42374.6357
1786050000000,2026-08-06T21:00:00Z,120.41,120.74,119.82,120.01,86.1,10354.1268
1786053600000,2026-08-06T22:00:00Z,120.01,120.02,119.63,119.84,14.18,1699.5874
1786057200000,2026-08-06T23:00:00Z,119.84,120.18,119.84,120.16,1.08,129.5826
1786060800000,2026-08-07T00:00:00Z,120.16,120.16,119.24,120.08,626.21,74899.2505
