ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,28.912,28.922,28.908,28.922,5.83,168.57069
1785632400000,2026-08-02T01:00:00Z,28.922,28.925,28.907,28.912,13.72,396.70826
1785636000000,2026-08-02T02:00:00Z,28.912,29.047,28.905,29.037,213.03,6181.62361
1785639600000,2026-08-02T03:00:00Z,29.037,29.086,29.037,29.085,22.67,658.97013
1785643200000,2026-08-02T04:00:00Z,29.085,29.089,29.081,29.089,87.09,2533.22894
1785646800000,2026-08-02T05:00:00Z,29.089,29.089,29.088,29.088,3.72,108.20855
1785650400000,2026-08-02T06:00:00Z,29.088,29.089,29.085,29.085,7.64,222.23566
1785654000000,2026-08-02T07:00:00Z,29.085,29.287,29.082,29.26,324.29,9463.46245
1785657600000,2026-08-02T08:00:00Z,29.26,29.264,29.246,29.253,10.62,310.67301
1785661200000,2026-08-02T09:00:00Z,29.253,29.256,29.221,29.221,20.97,613.16874
1785664800000,2026-08-02T10:00:00Z,29.221,29.228,29.192,29.194,13.52,394.91252
1785668400000,2026-08-02T11:00:00Z,29.194,29.197,29.146,29.146,22.52,656.82106
1785672000000,2026-08-02T12:00:00Z,29.146,29.159,29.126,29.144,9.82,286.12503
1785675600000,2026-08-02T13:00:00Z,29.144,29.144,29.105,29.113,14.73,428.88701
1785679200000,2026-08-02T14:00:00Z,29.113,29.113,29.09,29.09,14.37,418.12866
1785682800000,2026-08-02T15:00:00Z,29.09,29.136,29.086,29.123,29.2,850.23129
1785686400000,2026-08-02T16:00:00Z,29.123,29.134,29.1,29.1,25.94,755.41445
1785690000000,2026-08-02T17:00:00Z,29.1,29.1,29.083,29.087,23.81,692.54158
1785693600000,2026-08-02T18:00:00Z,29.087,29.136,29.084,29.136,82.72,2408.90629
1785697200000,2026-08-02T19:00:00Z,29.136,29.141,29.069,29.069,417.38,12139.41403
1785700800000,2026-08-02T20:00:00Z,29.069,29.086,29.066,29.072,7.47,217.18093
1785704400000,2026-08-02T21:00:00Z,29.072,29.19,29.072,29.19,342,9954.6575
1785708000000,2026-08-02T22:00:00Z,29.19,29.204,29.187,29.188,9.17,267.71524
1785711600000,2026-08-02T23:00:00Z,29.188,29.249,29.1,29.118,480.37,14001.3264
1785715200000,2026-08-03T00:00:00Z,29.118,29.693,28.905,29.6,853.98,25113.67668
1785718800000,2026-08-03T01:00:00Z,29.6,29.738,29.305,29.682,1043.9,30869.46169
1785722400000,2026-08-03T02:00:00Z,29.682,29.883,29.636,29.636,607,18038.01378
1785726000000,2026-08-03T03:00:00Z,29.636,30.015,29.534,29.619,2672.55,79340.19307
1785729600000,2026-08-03T04:00:00Z,29.619,29.92,29.619,29.898,106.27,3174.31324
1785733200000,2026-08-03T05:00:00Z,29.898,29.932,29.753,29.765,214.78,6402.70049
1785736800000,2026-08-03T06:00:00Z,29.765,29.788,29.684,29.691,64.01,1900.92866
1785740400000,2026-08-03T07:00:00Z,29.691,29.838,29.593,29.593,22.5,667.78461
1785744000000,2026-08-03T08:00:00Z,29.593,29.701,29.043,29.452,551.55,16283.56568
1785747600000,2026-08-03T09:00:00Z,29.452,29.458,29.401,29.405,143.7,4225.97554
1785751200000,2026-08-03T10:00:00Z,29.405,29.448,29.166,29.259,516.56,15094.12917
1785754800000,2026-08-03T11:00:00Z,29.259,29.264,28.813,28.841,616.38,17905.17257
1785758400000,2026-08-03T12:00:00Z,28.841,28.841,28.677,28.826,364.49,10502.26778
1785762000000,2026-08-03T13:00:00Z,28.826,29.789,28.525,29.789,173.27,5114.19677
1785765600000,2026-08-03T14:00:00Z,29.789,31.244,29.682,31.161,5247.84,162047.7505
1785769200000,2026-08-03T15:00:00Z,31.161,31.439,31.161,31.337,1136.28,35662.03516
1785772800000,2026-08-03T16:00:00Z,31.337,31.476,31.292,31.335,235.93,7403.02204
1785776400000,2026-08-03T17:00:00Z,31.335,31.875,31.332,31.703,1553.67,49398.67314
1785780000000,2026-08-03T18:00:00Z,31.703,31.829,31.523,31.584,639.14,20225.56492
1785783600000,2026-08-03T19:00:00Z,31.584,31.853,31.059,31.076,476.42,14986.89843
1785787200000,2026-08-03T20:00:00Z,31.076,31.46,30.764,31.175,645.85,20140.43407
1785790800000,2026-08-03T21:00:00Z,31.175,31.273,31.152,31.215,80.04,2496.32135
1785794400000,2026-08-03T22:00:00Z,31.215,31.359,31.215,31.235,430.58,13459.01942
1785798000000,2026-08-03T23:00:00Z,31.235,31.316,31.213,31.304,256.97,8030.34013
1785801600000,2026-08-04T00:00:00Z,31.304,31.406,30.912,31.094,898.73,27921.56347
1785805200000,2026-08-04T01:00:00Z,31.094,31.391,31.001,31.391,20.61,639.83275
1785808800000,2026-08-04T02:00:00Z,31.391,31.391,31.091,31.238,30.61,952.08617
1785812400000,2026-08-04T03:00:00Z,31.238,31.296,31.146,31.296,387.84,12132.61434
1785816000000,2026-08-04T04:00:00Z,31.296,31.345,31.294,31.345,21.76,681.0608
1785819600000,2026-08-04T05:00:00Z,31.345,31.554,31.285,31.554,86.11,2706.71772
1785823200000,2026-08-04T06:00:00Z,31.554,31.656,31.421,31.449,788.76,24873.38149
1785826800000,2026-08-04T07:00:00Z,31.449,31.634,31.411,31.599,281.58,8895.16997
1785830400000,2026-08-04T08:00:00Z,31.599,31.799,31.599,31.663,2050.26,64979.1444
1785834000000,2026-08-04T09:00:00Z,31.663,31.767,31.63,31.733,163.11,5172.2572
1785837600000,2026-08-04T10:00:00Z,31.733,31.86,31.733,31.845,133.37,4238.57975
1785841200000,2026-08-04T11:00:00Z,31.845,32.397,31.845,32.368,225.15,7219.37745
1785844800000,2026-08-04T12:00:00Z,32.368,32.413,32.163,32.163,479.71,15472.07008
1785848400000,2026-08-04T13:00:00Z,32.163,32.798,32.155,32.417,1299.71,41983.51218
1785852000000,2026-08-04T14:00:00Z,32.417,32.49,31.975,31.975,2344.97,75408.96711
1785855600000,2026-08-04T15:00:00Z,31.975,32.483,31.975,32.444,1004.2,32368.63958
1785859200000,2026-08-04T16:00:00Z,32.444,32.48,32.262,32.385,637.53,20639.90464
1785862800000,2026-08-04T17:00:00Z,32.385,32.719,32.365,32.701,484.46,15807.71412
1785866400000,2026-08-04T18:00:00Z,32.701,33.049,32.538,33.027,782.93,25651.69833
1785870000000,2026-08-04T19:00:00Z,33.027,33.053,32.804,32.818,428.3,14104.99447
1785873600000,2026-08-04T20:00:00Z,32.818,33.385,31.636,32.941,803.23,25944.75594
1785877200000,2026-08-04T21:00:00Z,32.941,34.326,32.941,33.727,332.09,11216.93697
1785880800000,2026-08-04T22:00:00Z,33.727,34.193,33.571,34.193,648.31,21948.96422
1785884400000,2026-08-04T23:00:00Z,34.193,34.274,34.065,34.121,1072.15,36608.47696
1785888000000,2026-08-05T00:00:00Z,34.121,34.32,34.004,34.094,201.28,6870.29337
1785891600000,2026-08-05T01:00:00Z,34.094,34.187,33.97,34.154,170.87,5819.13349
1785895200000,2026-08-05T02:00:00Z,34.154,34.154,34.051,34.12,227.06,7740.13851
1785898800000,2026-08-05T03:00:00Z,34.12,34.183,34.12,34.182,367.88,12568.44896
1785902400000,2026-08-05T04:00:00Z,34.182,34.256,34.118,34.247,450.06,15407.6089
1785906000000,2026-08-05T05:00:00Z,34.247,34.4,34.247,34.324,10.46,359.26345
1785909600000,2026-08-05T06:00:00Z,34.324,34.412,34.316,34.412,317.64,10911.11555
1785913200000,2026-08-05T07:00:00Z,34.412,34.412,34.237,34.251,267.64,9184.07576
1785916800000,2026-08-05T08:00:00Z,34.251,34.485,33.846,33.987,710.97,24310.36875
1785920400000,2026-08-05T09:00:00Z,33.987,34.085,33.924,34.036,966.73,32881.31343
1785924000000,2026-08-05T10:00:00Z,34.036,34.108,33.985,34.075,326.14,11109.52168
1785927600000,2026-08-05T11:00:00Z,34.075,34.13,33.855,33.885,864.15,29348.5293
1785931200000,2026-08-05T12:00:00Z,33.885,33.925,33.687,33.745,432.36,14606.87042
1785934800000,2026-08-05T13:00:00Z,33.745,35.592,33.745,35.538,3308.49,116068.44947
1785938400000,2026-08-05T14:00:00Z,35.538,35.883,34.908,34.97,2861.03,101605.26243
1785942000000,2026-08-05T15:00:00Z,34.97,35.375,34.872,35.093,998.69,35038.8105
1785945600000,2026-08-05T16:00:00Z,35.093,35.826,35.078,35.728,1047.45,37073.99533
1785949200000,2026-08-05T17:00:00Z,35.728,35.754,35.553,35.611,441.94,15760.41249
1785952800000,2026-08-05T18:00:00Z,35.611,35.859,35.516,35.788,523.69,18702.98946
1785956400000,2026-08-05T19:00:00Z,35.788,35.907,35.02,35.02,853.91,30551.38508
1785960000000,2026-08-05T20:00:00Z,35.02,35.452,35.02,35.227,509.76,17944.50962
1785963600000,2026-08-05T21:00:00Z,35.227,35.255,35.024,35.19,182.58,6428.91273
1785967200000,2026-08-05T22:00:00Z,35.19,35.592,35.19,35.536,341.52,12125.69742
1785970800000,2026-08-05T23:00:00Z,35.536,35.544,35.427,35.514,52.87,1878.71563
1785974400000,2026-08-06T00:00:00Z,35.514,35.514,35.087,35.176,63.03,2229.201
1785978000000,2026-08-06T01:00:00Z,35.176,35.176,34.631,34.942,617.91,21502.48476
1785981600000,2026-08-06T02:00:00Z,34.942,35.504,34.923,35.467,516.16,18256.11099
1785985200000,2026-08-06T03:00:00Z,35.467,35.467,34.789,35.129,97.12,3409.33288
1785988800000,2026-08-06T04:00:00Z,35.129,35.349,35.117,35.278,302.2,10647.48518
1785992400000,2026-08-06T05:00:00Z,35.278,35.278,35.177,35.191,19.63,691.53083
1785996000000,2026-08-06T06:00:00Z,35.191,35.191,34.995,35.016,45.92,1608.50453
1785999600000,2026-08-06T07:00:00Z,35.016,35.165,34.97,35.021,21.98,771.07119
1786003200000,2026-08-06T08:00:00Z,35.021,35.194,34.718,35.116,250.97,8797.94153
1786006800000,2026-08-06T09:00:00Z,35.116,35.116,34.829,34.966,119.17,4162.27603
1786010400000,2026-08-06T10:00:00Z,34.966,35.199,34.913,34.97,214.93,7550.39814
1786014000000,2026-08-06T11:00:00Z,34.97,35.935,34.932,35.915,1086.69,38702.78523
1786017600000,2026-08-06T12:00:00Z,35.915,35.915,35.505,35.717,1538.05,54751.14149
1786021200000,2026-08-06T13:00:00Z,35.717,36.414,35.197,36.021,1257.44,44993.86756
1786024800000,2026-08-06T14:00:00Z,36.021,36.021,34.893,35.011,738.97,25935.8342
1786028400000,2026-08-06T15:00:00Z,35.011,35.126,34.5,34.553,618.48,21472.30432
1786032000000,2026-08-06T16:00:00Z,34.553,35.009,34.548,34.996,192.46,6699.00185
1786035600000,2026-08-06T17:00:00Z,34.996,35.171,34.73,35.161,876.57,30705.41322
1786039200000,2026-08-06T18:00:00Z,35.161,35.475,35.078,35.099,762.13,26851.53206
1786042800000,2026-08-06T19:00:00Z,35.099,35.374,34.91,34.91,1954.68,68602.60887
1786046400000,2026-08-06T20:00:00Z,34.91,35.021,34.866,34.866,984.48,34396.01278
1786050000000,2026-08-06T21:00:00Z,34.866,34.936,34.82,34.82,101.12,3528.22943
1786053600000,2026-08-06T22:00:00Z,34.82,35.12,34.82,35.075,268.49,9405.93259
1786057200000,2026-08-06T23:00:00Z,35.075,35.204,35.014,35.058,183.41,6440.72249
1786060800000,2026-08-07T00:00:00Z,35.058,35.187,34.855,34.945,81.52,2852.6088
1786064400000,2026-08-07T01:00:00Z,34.945,34.992,34.818,34.899,49.76,1735.67738
