ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,39.15,39.18,39.12,39.18,7.6,297.5313
1785632400000,2026-08-02T01:00:00Z,39.18,39.2,39.1,39.11,10.3,403.2067
1785636000000,2026-08-02T02:00:00Z,39.11,39.3,39.11,39.28,1370.18,53810.0452
1785639600000,2026-08-02T03:00:00Z,39.28,39.3,39.27,39.29,5.17,203.1056
1785643200000,2026-08-02T04:00:00Z,39.29,39.29,39.27,39.28,4.32,169.6925
1785646800000,2026-08-02T05:00:00Z,39.28,39.28,39.26,39.26,2.77,108.7974
1785650400000,2026-08-02T06:00:00Z,39.26,39.26,39.22,39.26,3.49,136.9706
1785654000000,2026-08-02T07:00:00Z,39.26,39.26,39.21,39.26,8.68,340.5725
1785657600000,2026-08-02T08:00:00Z,39.26,39.29,39.24,39.24,5.96,234.045
1785661200000,2026-08-02T09:00:00Z,39.24,39.27,39.23,39.27,3.77,147.9719
1785664800000,2026-08-02T10:00:00Z,39.27,39.32,39.27,39.3,6.49,255.0262
1785668400000,2026-08-02T11:00:00Z,39.3,39.3,39.24,39.29,6.5,255.2382
1785672000000,2026-08-02T12:00:00Z,39.29,39.33,39.29,39.31,4.1,161.1833
1785675600000,2026-08-02T13:00:00Z,39.31,39.34,39.3,39.32,4.87,191.4832
1785679200000,2026-08-02T14:00:00Z,39.32,39.32,39.3,39.31,3.45,135.6222
1785682800000,2026-08-02T15:00:00Z,39.31,39.32,39.31,39.32,4.09,160.8188
1785686400000,2026-08-02T16:00:00Z,39.32,39.34,39.3,39.34,4.11,161.5979
1785690000000,2026-08-02T17:00:00Z,39.34,39.34,39.3,39.33,9.8,385.3808
1785693600000,2026-08-02T18:00:00Z,39.33,39.37,39.27,39.35,6.54,257.128
1785697200000,2026-08-02T19:00:00Z,39.35,39.35,39.31,39.33,4,157.31
1785700800000,2026-08-02T20:00:00Z,39.33,39.35,39.31,39.32,18.55,729.2754
1785704400000,2026-08-02T21:00:00Z,39.32,39.37,39.19,39.19,8.81,345.7566
1785708000000,2026-08-02T22:00:00Z,39.19,39.34,39.19,39.29,1061.04,41689.9335
1785711600000,2026-08-02T23:00:00Z,39.29,39.35,39.29,39.35,4.26,167.5297
1785715200000,2026-08-03T00:00:00Z,39.35,39.58,39.26,39.58,344.69,13555.6653
1785718800000,2026-08-03T01:00:00Z,39.58,39.59,39.57,39.59,2.68,106.0596
1785722400000,2026-08-03T02:00:00Z,39.59,39.72,39.59,39.72,3.66,145.2222
1785726000000,2026-08-03T03:00:00Z,39.72,39.72,39.7,39.71,6.6,262.1005
1785729600000,2026-08-03T04:00:00Z,39.71,39.86,39.58,39.84,3.71,147.5712
1785733200000,2026-08-03T05:00:00Z,39.84,39.87,39.75,39.8,9.93,395.2484
1785736800000,2026-08-03T06:00:00Z,39.8,39.83,39.57,39.69,23.23,922.1944
1785740400000,2026-08-03T07:00:00Z,39.69,39.92,39.44,39.6,75.42,2996.4071
1785744000000,2026-08-03T08:00:00Z,39.6,39.82,39.29,39.55,162.39,6425.7147
1785747600000,2026-08-03T09:00:00Z,39.55,39.63,39.55,39.56,20.66,818.1782
1785751200000,2026-08-03T10:00:00Z,39.56,39.71,39.19,39.29,90.02,3552.4213
1785754800000,2026-08-03T11:00:00Z,39.29,39.41,39.04,39.04,10.64,417.1252
1785758400000,2026-08-03T12:00:00Z,39.04,39.12,39.04,39.07,6.25,244.1895
