ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,129.57,129.75,129.38,129.66,47.97,6219.0579
1785632400000,2026-08-02T01:00:00Z,129.66,129.74,129.63,129.67,21,2723.9459
1785636000000,2026-08-02T02:00:00Z,129.67,130.54,129.6,130.39,325.87,42358.6907
1785639600000,2026-08-02T03:00:00Z,130.39,130.81,130.39,130.7,339.7,44337.687
1785643200000,2026-08-02T04:00:00Z,130.7,131.04,130.7,131.01,116.93,15311.1919
1785646800000,2026-08-02T05:00:00Z,131.01,131.03,130.81,130.89,11.73,1535.5702
1785650400000,2026-08-02T06:00:00Z,130.89,130.91,130.76,130.77,37.35,4888.9543
1785654000000,2026-08-02T07:00:00Z,130.77,131.13,130.75,131.1,40.62,5318.864
1785657600000,2026-08-02T08:00:00Z,131.1,131.29,131.01,131.09,33.49,4389.3706
1785661200000,2026-08-02T09:00:00Z,131.09,131.2,130.69,130.8,82.88,10846.4796
1785664800000,2026-08-02T10:00:00Z,130.8,131.02,130.62,130.97,421.21,55056.5648
1785668400000,2026-08-02T11:00:00Z,130.97,130.97,130.37,130.44,80.25,10475.7362
1785672000000,2026-08-02T12:00:00Z,130.44,130.52,130.28,130.4,59.33,7734.906
1785675600000,2026-08-02T13:00:00Z,130.4,130.55,130.36,130.46,10.55,1376.1958
1785679200000,2026-08-02T14:00:00Z,130.46,130.53,130.45,130.46,6.9,900.3526
1785682800000,2026-08-02T15:00:00Z,130.46,130.66,130.46,130.58,225.48,29449.4113
1785686400000,2026-08-02T16:00:00Z,130.58,130.87,130.51,130.83,45.46,5942.4706
1785690000000,2026-08-02T17:00:00Z,130.83,130.94,130.65,130.88,22.52,2944.9495
1785693600000,2026-08-02T18:00:00Z,130.88,130.94,130.73,130.8,15.19,1987.3907
1785697200000,2026-08-02T19:00:00Z,130.8,130.86,130.75,130.84,39.99,5230.3548
1785700800000,2026-08-02T20:00:00Z,130.84,130.98,130.84,130.93,89.44,11706.3825
1785704400000,2026-08-02T21:00:00Z,130.93,131.31,130.87,131.22,148.66,19499.2079
1785708000000,2026-08-02T22:00:00Z,131.22,131.58,131.11,131.23,138.65,18214.0041
1785711600000,2026-08-02T23:00:00Z,131.23,131.74,131.13,131.49,124.31,16328.4397
1785715200000,2026-08-03T00:00:00Z,131.49,132.44,131,132.04,558.34,73463.9727
1785718800000,2026-08-03T01:00:00Z,132.04,132.41,131.6,132.41,92.57,12221.1304
1785722400000,2026-08-03T02:00:00Z,132.41,132.85,132.24,132.64,324.11,42950.414
1785726000000,2026-08-03T03:00:00Z,132.64,132.64,131.97,132.11,129.81,17156.2461
1785729600000,2026-08-03T04:00:00Z,132.11,132.37,131.99,132.11,90.66,11990.597
1785733200000,2026-08-03T05:00:00Z,132.11,132.22,131.91,132.09,368.84,48684.539
1785736800000,2026-08-03T06:00:00Z,132.09,132.31,131.92,131.96,75.56,9978.3248
1785740400000,2026-08-03T07:00:00Z,131.96,132.09,131.67,131.81,106.75,14073.3531
1785744000000,2026-08-03T08:00:00Z,131.81,132.46,131.69,132.33,491.48,64894.3019
1785747600000,2026-08-03T09:00:00Z,132.33,132.54,132.14,132.48,946.73,125279.6882
1785751200000,2026-08-03T10:00:00Z,132.48,132.57,131.75,132.04,415.73,54914.8534
1785754800000,2026-08-03T11:00:00Z,132.04,134.44,131.89,133.26,2653.77,354239.5542
1785758400000,2026-08-03T12:00:00Z,133.26,133.6,132.86,133,990.58,131926.0383
1785762000000,2026-08-03T13:00:00Z,133,139.39,130.65,138.94,7042.67,949521.5542
1785765600000,2026-08-03T14:00:00Z,138.94,139.12,135.8,136.89,2230.08,305747.9793
1785769200000,2026-08-03T15:00:00Z,136.89,138.08,136.48,137.6,1498.15,205936.0436
1785772800000,2026-08-03T16:00:00Z,137.6,140.68,137.6,139.8,1718.64,239952.7619
1785776400000,2026-08-03T17:00:00Z,139.8,140.59,139.36,140.23,2311.85,324049.0684
1785780000000,2026-08-03T18:00:00Z,140.23,141.12,139.98,140.07,4927.25,693105.5333
1785783600000,2026-08-03T19:00:00Z,140.07,143.29,139.8,142.2,4293.7,610023.179
1785787200000,2026-08-03T20:00:00Z,142.2,143.85,141.55,142.53,3056.27,435599.0497
1785790800000,2026-08-03T21:00:00Z,142.53,143,142.27,142.27,561.04,80068.6449
1785794400000,2026-08-03T22:00:00Z,142.27,142.96,141.96,142.84,247.05,35208.9332
1785798000000,2026-08-03T23:00:00Z,142.84,142.84,142.42,142.77,207.79,29630.0043
1785801600000,2026-08-04T00:00:00Z,142.77,143.06,140.9,141.76,644.82,91632.0509
1785805200000,2026-08-04T01:00:00Z,141.76,143.46,141.39,143.16,2278.89,325808.7128
1785808800000,2026-08-04T02:00:00Z,143.16,143.17,142.17,142.78,151.74,21646.2609
1785812400000,2026-08-04T03:00:00Z,142.78,143.63,142.38,143.52,229.49,32806.9365
1785816000000,2026-08-04T04:00:00Z,143.52,144.39,142.81,144.24,1371.93,197169.8342
1785819600000,2026-08-04T05:00:00Z,144.24,144.88,143.69,144.71,700.22,101188.628
1785823200000,2026-08-04T06:00:00Z,144.71,144.75,143.5,143.82,888.01,128008.6684
1785826800000,2026-08-04T07:00:00Z,143.82,144.07,142.97,143.52,595.83,85408.988
1785830400000,2026-08-04T08:00:00Z,143.52,143.63,140.25,141.04,1493.49,211355.2234
1785834000000,2026-08-04T09:00:00Z,141.04,141.28,139.43,140.35,1058.11,148381.0421
1785837600000,2026-08-04T10:00:00Z,140.35,140.61,138.6,140.44,1779.97,248394.1297
1785841200000,2026-08-04T11:00:00Z,140.44,141.12,139.44,140.8,3236.81,453809.1544
1785844800000,2026-08-04T12:00:00Z,140.8,140.8,138.94,139.6,1158.27,161937.8358
1785848400000,2026-08-04T13:00:00Z,139.6,144.67,139.19,143.52,5361.73,764699.805
1785852000000,2026-08-04T14:00:00Z,143.52,145.56,143.35,144.17,2688.27,389339.6311
1785855600000,2026-08-04T15:00:00Z,144.17,146.44,143.79,146.4,828.43,120083.1036
1785859200000,2026-08-04T16:00:00Z,146.4,148.69,145.9,148.32,1191.76,176162.9406
1785862800000,2026-08-04T17:00:00Z,148.32,148.92,147.63,147.98,1953.63,290080.9169
1785866400000,2026-08-04T18:00:00Z,147.98,148.16,146.87,147.22,683.92,100830.84
1785870000000,2026-08-04T19:00:00Z,147.22,147.9,145.72,146.1,395.36,57871.0411
1785873600000,2026-08-04T20:00:00Z,146.1,146.32,143.26,144.47,2785.18,402355.0775
1785877200000,2026-08-04T21:00:00Z,144.47,145.1,144.16,144.45,329.86,47722.3772
1785880800000,2026-08-04T22:00:00Z,144.45,145.02,144.41,144.87,138.63,20063.2465
1785884400000,2026-08-04T23:00:00Z,144.87,145.33,144.85,145.29,202.41,29378.2048
1785888000000,2026-08-05T00:00:00Z,145.29,146.65,144.97,145.24,678.07,98833.2831
1785891600000,2026-08-05T01:00:00Z,145.24,145.31,144.25,144.92,187.44,27111.545
1785895200000,2026-08-05T02:00:00Z,144.92,145.75,144.88,145.33,311.27,45231.5125
1785898800000,2026-08-05T03:00:00Z,145.33,145.91,145.33,145.76,240.88,35093.3562
1785902400000,2026-08-05T04:00:00Z,145.76,145.95,145.29,145.92,335.84,48855.1411
1785906000000,2026-08-05T05:00:00Z,145.92,146.8,145.74,146.8,392.32,57339.3051
1785909600000,2026-08-05T06:00:00Z,146.8,146.8,145.37,145.91,1122.05,164012.7362
1785913200000,2026-08-05T07:00:00Z,145.91,146.13,145.08,145.31,533.51,77620.5476
1785916800000,2026-08-05T08:00:00Z,145.31,145.75,142.68,143.54,2001.74,288130.9226
1785920400000,2026-08-05T09:00:00Z,143.54,144.2,142.96,144.03,431.42,61883.1146
1785924000000,2026-08-05T10:00:00Z,144.03,144.07,143.33,143.99,323.17,46448.8377
1785927600000,2026-08-05T11:00:00Z,143.99,145.53,143.99,145.27,840.5,121727.8704
1785931200000,2026-08-05T12:00:00Z,145.27,147.74,145.11,146.33,1325,194179.5841
1785934800000,2026-08-05T13:00:00Z,146.33,146.78,142.72,144.72,3697.18,534800.3084
1785938400000,2026-08-05T14:00:00Z,144.72,145.76,143.66,144.57,1136.54,164578.5482
1785942000000,2026-08-05T15:00:00Z,144.57,145.15,143.26,144.76,544.58,78636.8078
1785945600000,2026-08-05T16:00:00Z,144.76,145.13,144.34,144.64,254.97,36898.3887
1785949200000,2026-08-05T17:00:00Z,144.64,145.37,143.94,145.32,208.11,30098.947
1785952800000,2026-08-05T18:00:00Z,145.32,146.07,144.37,144.43,674.69,98120.3326
1785956400000,2026-08-05T19:00:00Z,144.43,145.51,144.31,144.38,194.33,28147.7939
1785960000000,2026-08-05T20:00:00Z,144.38,144.74,143.38,143.67,2774.01,398804.9633
1785963600000,2026-08-05T21:00:00Z,143.67,143.8,142.24,142.5,1019.87,145801.8872
