ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,53.15,53.35,53.12,53.23,4.74,252.2967
1785632400000,2026-08-02T01:00:00Z,53.23,53.39,53.15,53.29,2.39,127.4209
1785636000000,2026-08-02T02:00:00Z,53.29,53.29,53.13,53.26,2.3,122.3867
1785639600000,2026-08-02T03:00:00Z,53.26,53.4,53.16,53.4,3.91,208.2882
1785643200000,2026-08-02T04:00:00Z,53.4,53.41,53.16,53.16,3.75,199.8431
1785646800000,2026-08-02T05:00:00Z,53.16,53.38,53.13,53.27,2.2,117.0317
1785650400000,2026-08-02T06:00:00Z,53.27,53.41,53.22,53.28,4.31,229.7413
1785654000000,2026-08-02T07:00:00Z,53.28,53.38,53.28,53.38,2.2,117.298
1785657600000,2026-08-02T08:00:00Z,53.38,53.4,53.19,53.36,2.34,124.6751
1785661200000,2026-08-02T09:00:00Z,53.36,53.36,53.15,53.15,2.12,112.8342
1785664800000,2026-08-02T10:00:00Z,53.15,53.38,53.15,53.38,2.77,147.66
1785668400000,2026-08-02T11:00:00Z,53.38,53.38,53.17,53.17,3.81,202.9323
1785672000000,2026-08-02T12:00:00Z,53.17,53.4,53.11,53.19,2.4,127.6915
1785675600000,2026-08-02T13:00:00Z,53.19,53.38,53.13,53.28,2.38,126.7648
1785679200000,2026-08-02T14:00:00Z,53.28,53.4,53.11,53.17,3.5,186.2876
1785682800000,2026-08-02T15:00:00Z,53.17,53.41,53.17,53.17,5.24,279.036
1785686400000,2026-08-02T16:00:00Z,53.17,53.37,53.12,53.37,1.35,71.9535
1785690000000,2026-08-02T17:00:00Z,53.37,53.37,53.13,53.2,3.48,185.1636
1785693600000,2026-08-02T18:00:00Z,53.2,53.74,53.2,53.74,1.78,94.9973
1785697200000,2026-08-02T19:00:00Z,53.74,53.83,53.6,53.83,3.21,172.4775
1785700800000,2026-08-02T20:00:00Z,53.83,53.83,53.59,53.71,2.58,138.4546
1785704400000,2026-08-02T21:00:00Z,53.71,53.82,53.59,53.72,3.85,206.7076
1785708000000,2026-08-02T22:00:00Z,53.72,53.84,53.63,53.82,2.82,151.5009
1785711600000,2026-08-02T23:00:00Z,53.82,53.82,53.58,53.58,2.67,143.2832
1785715200000,2026-08-03T00:00:00Z,53.58,53.82,53.54,53.54,2.07,111.0986
1785718800000,2026-08-03T01:00:00Z,53.54,53.81,53.54,53.6,2.74,147.1464
1785722400000,2026-08-03T02:00:00Z,53.6,53.8,52.89,52.89,5.29,283.7022
1785726000000,2026-08-03T03:00:00Z,52.89,52.89,52.33,52.49,1.53,80.1825
1785729600000,2026-08-03T04:00:00Z,52.49,52.56,52.33,52.35,2.82,147.7962
1785733200000,2026-08-03T05:00:00Z,52.35,52.9,52.27,52.9,2.88,151.0429
1785736800000,2026-08-03T06:00:00Z,52.9,52.9,52.64,52.64,1.75,92.2182
1785740400000,2026-08-03T07:00:00Z,52.64,52.84,52.59,52.84,3.96,208.7326
1785744000000,2026-08-03T08:00:00Z,52.84,52.84,52.62,52.72,2.87,151.3429
1785747600000,2026-08-03T09:00:00Z,52.72,52.88,52.59,52.78,2.93,154.356
1785751200000,2026-08-03T10:00:00Z,52.78,52.85,52.64,52.64,2.55,134.5067
1785754800000,2026-08-03T11:00:00Z,52.64,52.79,52.62,52.79,1.67,87.9855
1785758400000,2026-08-03T12:00:00Z,52.79,52.85,52.58,52.84,1.87,98.5121
1785762000000,2026-08-03T13:00:00Z,52.84,52.89,52.64,52.81,3.79,199.9796
1785765600000,2026-08-03T14:00:00Z,52.81,53.1,52.81,53.1,3,159.0068
1785769200000,2026-08-03T15:00:00Z,53.1,53.1,52.91,52.93,3.67,194.5066
