ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,7.034,7.039,7.024,7.031,53.59,376.76229
1785632400000,2026-08-02T01:00:00Z,7.031,7.066,7.009,7.039,396.41,2790.41921
1785636000000,2026-08-02T02:00:00Z,7.039,7.181,7.039,7.178,526.29,3740.65177
1785639600000,2026-08-02T03:00:00Z,7.178,7.189,7.162,7.162,96.26,690.8727
1785643200000,2026-08-02T04:00:00Z,7.162,7.18,7.142,7.157,102.3,732.62945
1785646800000,2026-08-02T05:00:00Z,7.157,7.169,7.143,7.157,42.53,304.4491
1785650400000,2026-08-02T06:00:00Z,7.157,7.178,7.157,7.172,42.09,301.88463
1785654000000,2026-08-02T07:00:00Z,7.172,7.174,7.156,7.168,42.33,303.23665
1785657600000,2026-08-02T08:00:00Z,7.168,7.173,7.141,7.146,124.13,888.0617
1785661200000,2026-08-02T09:00:00Z,7.146,7.16,7.141,7.145,35.99,257.47536
1785664800000,2026-08-02T10:00:00Z,7.145,7.163,7.145,7.162,22.78,163.00379
1785668400000,2026-08-02T11:00:00Z,7.162,7.162,7.112,7.129,124.95,891.18203
1785672000000,2026-08-02T12:00:00Z,7.129,7.133,7.125,7.125,23.58,168.11745
1785675600000,2026-08-02T13:00:00Z,7.125,7.147,7.117,7.129,38.78,276.41057
1785679200000,2026-08-02T14:00:00Z,7.129,7.133,7.129,7.133,26.33,187.77938
1785682800000,2026-08-02T15:00:00Z,7.133,7.142,7.125,7.125,89.67,639.65696
1785686400000,2026-08-02T16:00:00Z,7.125,7.166,7.124,7.166,291.4,2080.62271
1785690000000,2026-08-02T17:00:00Z,7.166,7.167,7.158,7.159,103.17,738.92318
1785693600000,2026-08-02T18:00:00Z,7.159,7.166,7.141,7.141,76.77,549.29935
1785697200000,2026-08-02T19:00:00Z,7.141,7.168,7.141,7.158,74.31,532.12101
1785700800000,2026-08-02T20:00:00Z,7.158,7.16,7.148,7.159,42.43,303.70822
1785704400000,2026-08-02T21:00:00Z,7.159,7.2,7.141,7.194,196.7,1412.10006
1785708000000,2026-08-02T22:00:00Z,7.194,7.202,7.187,7.202,226.74,1631.38658
1785711600000,2026-08-02T23:00:00Z,7.202,7.216,7.188,7.191,332.09,2391.50424
1785715200000,2026-08-03T00:00:00Z,7.191,7.197,7.05,7.132,345.59,2464.05878
1785718800000,2026-08-03T01:00:00Z,7.132,7.17,7.107,7.138,75.14,535.92156
1785722400000,2026-08-03T02:00:00Z,7.138,7.168,7.111,7.165,67.05,479.04037
1785726000000,2026-08-03T03:00:00Z,7.165,7.165,7.14,7.151,53.68,383.84188
1785729600000,2026-08-03T04:00:00Z,7.151,7.186,7.151,7.186,100.06,718.12238
1785733200000,2026-08-03T05:00:00Z,7.186,7.186,7.12,7.152,58.32,416.09294
1785736800000,2026-08-03T06:00:00Z,7.152,7.156,7.13,7.137,114.57,819.10099
1785740400000,2026-08-03T07:00:00Z,7.137,7.153,7.111,7.12,504.4,3592.38574
1785744000000,2026-08-03T08:00:00Z,7.12,7.142,7.014,7.088,626.46,4441.1312
1785747600000,2026-08-03T09:00:00Z,7.088,7.088,7.041,7.06,90.29,637.77951
1785751200000,2026-08-03T10:00:00Z,7.06,7.069,6.956,7.048,447.44,3134.65719
1785754800000,2026-08-03T11:00:00Z,7.048,7.048,6.834,6.856,707.35,4899.87131
1785758400000,2026-08-03T12:00:00Z,6.856,6.892,6.852,6.888,151.05,1037.95328
1785762000000,2026-08-03T13:00:00Z,6.888,7.067,6.659,7.066,2090.1,14302.81806
1785765600000,2026-08-03T14:00:00Z,7.066,7.327,6.987,7.288,1770.31,12551.89443
1785769200000,2026-08-03T15:00:00Z,7.288,7.288,7.118,7.241,981.32,7060.57885
1785772800000,2026-08-03T16:00:00Z,7.241,7.302,7.236,7.302,212.02,1538.85724
1785776400000,2026-08-03T17:00:00Z,7.302,7.348,7.257,7.343,687.17,4995.43555
1785780000000,2026-08-03T18:00:00Z,7.343,7.408,7.281,7.309,1432.89,10502.01282
1785783600000,2026-08-03T19:00:00Z,7.309,7.377,7.298,7.369,1295.49,9506.8463
1785787200000,2026-08-03T20:00:00Z,7.369,7.443,7.348,7.405,257.21,1902.6541
1785790800000,2026-08-03T21:00:00Z,7.405,7.457,7.405,7.457,17.48,129.84673
1785794400000,2026-08-03T22:00:00Z,7.457,7.497,7.457,7.48,187.84,1405.85926
1785798000000,2026-08-03T23:00:00Z,7.48,7.494,7.458,7.472,318.03,2375.86424
1785801600000,2026-08-04T00:00:00Z,7.472,7.516,7.414,7.414,907.16,6772.00449
1785805200000,2026-08-04T01:00:00Z,7.414,7.488,7.376,7.488,83.48,617.88916
1785808800000,2026-08-04T02:00:00Z,7.488,7.488,7.425,7.432,80.94,603.59651
1785812400000,2026-08-04T03:00:00Z,7.432,7.462,7.4,7.432,376.77,2803.15239
1785816000000,2026-08-04T04:00:00Z,7.432,7.47,7.429,7.47,83.08,618.84175
1785819600000,2026-08-04T05:00:00Z,7.47,7.518,7.44,7.513,276.76,2074.46865
1785823200000,2026-08-04T06:00:00Z,7.513,7.562,7.5,7.558,119.32,898.43825
1785826800000,2026-08-04T07:00:00Z,7.558,7.567,7.496,7.556,203.8,1539.20599
1785830400000,2026-08-04T08:00:00Z,7.556,7.723,7.556,7.676,311.45,2378.58503
1785834000000,2026-08-04T09:00:00Z,7.676,7.676,7.631,7.631,47.5,362.61219
1785837600000,2026-08-04T10:00:00Z,7.631,9.037,7.631,8.398,11208.19,96195.12629
1785841200000,2026-08-04T11:00:00Z,8.398,8.761,8.22,8.739,2303.43,19407.46423
1785844800000,2026-08-04T12:00:00Z,8.739,8.739,8.404,8.529,1474.01,12484.26976
1785848400000,2026-08-04T13:00:00Z,8.529,8.638,8.206,8.346,2593.71,21735.85845
1785852000000,2026-08-04T14:00:00Z,8.346,8.349,8.186,8.284,7211.7,59613.72851
1785855600000,2026-08-04T15:00:00Z,8.284,8.511,8.267,8.482,1493.24,12541.71549
1785859200000,2026-08-04T16:00:00Z,8.482,8.579,8.45,8.508,161.96,1376.05351
1785862800000,2026-08-04T17:00:00Z,8.508,8.614,8.503,8.553,334.36,2858.40894
1785866400000,2026-08-04T18:00:00Z,8.553,8.602,8.512,8.541,336.41,2879.58092
1785870000000,2026-08-04T19:00:00Z,8.541,8.658,8.529,8.628,874.34,7547.03032
1785873600000,2026-08-04T20:00:00Z,8.628,8.665,8.466,8.562,639.7,5439.9582
1785877200000,2026-08-04T21:00:00Z,8.562,8.614,8.502,8.566,327.36,2801.43634
1785880800000,2026-08-04T22:00:00Z,8.566,8.594,8.546,8.58,102.13,874.88743
1785884400000,2026-08-04T23:00:00Z,8.58,8.604,8.531,8.548,13.85,118.81827
1785888000000,2026-08-05T00:00:00Z,8.548,8.619,8.495,8.558,99.53,851.64776
1785891600000,2026-08-05T01:00:00Z,8.558,8.616,8.543,8.604,65.05,558.95721
1785895200000,2026-08-05T02:00:00Z,8.604,8.624,8.495,8.556,14.71,126.07069
1785898800000,2026-08-05T03:00:00Z,8.556,8.705,8.556,8.705,148.57,1282.9875
1785902400000,2026-08-05T04:00:00Z,8.705,8.777,8.669,8.766,168.35,1470.63839
1785906000000,2026-08-05T05:00:00Z,8.766,8.788,8.757,8.775,185.15,1624.48987
1785909600000,2026-08-05T06:00:00Z,8.775,8.783,8.706,8.767,141.18,1235.47137
1785913200000,2026-08-05T07:00:00Z,8.767,8.952,8.657,8.812,991.47,8778.02331
1785916800000,2026-08-05T08:00:00Z,8.812,8.871,8.522,8.631,1853.16,16012.23339
1785920400000,2026-08-05T09:00:00Z,8.631,8.708,8.563,8.645,987.76,8516.11292
1785924000000,2026-08-05T10:00:00Z,8.645,8.652,8.469,8.469,942.13,8034.69742
1785927600000,2026-08-05T11:00:00Z,8.469,8.474,8.39,8.393,695.09,5866.21008
1785931200000,2026-08-05T12:00:00Z,8.393,8.407,8.287,8.405,558.8,4665.17346
1785934800000,2026-08-05T13:00:00Z,8.405,8.531,8.247,8.531,2216.7,18434.66208
1785938400000,2026-08-05T14:00:00Z,8.531,8.532,8.2,8.289,2214.07,18508.07437
1785942000000,2026-08-05T15:00:00Z,8.289,8.36,8.216,8.239,2310.17,19191.90188
1785945600000,2026-08-05T16:00:00Z,8.239,8.396,8.239,8.335,536.66,4465.79979
1785949200000,2026-08-05T17:00:00Z,8.335,8.421,8.329,8.385,831.74,6981.00847
1785952800000,2026-08-05T18:00:00Z,8.385,8.385,8.229,8.235,134.76,1116.38462
1785956400000,2026-08-05T19:00:00Z,8.235,8.283,8.12,8.121,1251.08,10222.33321
1785960000000,2026-08-05T20:00:00Z,8.121,8.126,8.079,8.079,83.89,678.40676
