ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1778803200000,2026-05-15T00:00:00Z,298.28,298.43,297.91,298.13,6663,1987101.68
1778806800000,2026-05-15T01:00:00Z,298.14,298.16,297.38,297.73,6697,1993900.02
1778810400000,2026-05-15T02:00:00Z,297.74,299.19,297.59,298.83,15070,4499133.87
1778814000000,2026-05-15T03:00:00Z,298.85,299.01,298.73,298.91,3018,901957.24
1778817600000,2026-05-15T04:00:00Z,298.91,299.21,298.56,298.92,5709,1706320.3
1778821200000,2026-05-15T05:00:00Z,298.83,300.01,298.8,299.35,41963,12560812.15999999
1778824800000,2026-05-15T06:00:00Z,299.33,299.96,297.65,297.78,33477,9988793.67000002
1778828400000,2026-05-15T07:00:00Z,297.78,297.83,297.21,297.25,17600,5234844.53000001
1778832000000,2026-05-15T08:00:00Z,298,300,294.9168,295.44,264109.54651400005,78645008.92556915368871
1778835600000,2026-05-15T09:00:00Z,295.61,296.24,295,296,45009.233063,13304328.7112485393
1778839200000,2026-05-15T10:00:00Z,296.16,296.46,295.54,296.09,26603.543866,7876024.3875538722
1778842800000,2026-05-15T11:00:00Z,296.05,296.5,294.26,294.75,156652.16911199997,46245678.473976291143625
1778846400000,2026-05-15T12:00:00Z,294.64,295.4,293.8956,295.14,527385.355747,156751532.2380107533
1778850000000,2026-05-15T13:00:00Z,295.09,298.7,294.6042,298.11,7019046.346383001,2090625059.9840807627503
1778853600000,2026-05-15T14:00:00Z,298.09,301.25,297.53,300.95,5847927.871761001,1753320471.3762987349191
1778857200000,2026-05-15T15:00:00Z,301,302.79,300.64,301.005,8358879.994335998,2522316279.0428709708942
1778860800000,2026-05-15T16:00:00Z,301.18,302.61,300.75,302.01,3560130.6293629995,1074163325.5175300817399
1778864400000,2026-05-15T17:00:00Z,301.94,303.2,301.75,302.22,3980485.1019649995,1204330795.8684078907206
1778868000000,2026-05-15T18:00:00Z,302.245,302.47,300.51,301.67,4132235.642000999,1246114500.8604360578406
1778871600000,2026-05-15T19:00:00Z,301.73,301.76,299.63,300.2,7102502.200625,2133387109.004372
1778875200000,2026-05-15T20:00:00Z,299.67,300.2644,299.52,299.99,636217.0894329998,190985499.10322066356216
1778878800000,2026-05-15T21:00:00Z,299.96,300.13,299.75,299.9,29170.232758000002,8753552.2142077064001702
1778882400000,2026-05-15T22:00:00Z,300,300.13,299.75,299.83,13434.750856999999,4030597.2219109692999872
1778886000000,2026-05-15T23:00:00Z,299.89,299.92,299.7,299.846,23099.324675000007,6925722.6816273320987652
1779062400000,2026-05-18T00:00:00Z,299.99,301.17,298.56,300.52,40433,12143449.29000001
1779066000000,2026-05-18T01:00:00Z,300.54,301.39,299.09,299.28,12820,3840944.83
1779069600000,2026-05-18T02:00:00Z,299.3,299.36,298.36,298.48,30399,9080842.68000002
1779073200000,2026-05-18T03:00:00Z,298.45,298.62,298.36,298.47,3605,1076122.57
1779076800000,2026-05-18T04:00:00Z,298.47,298.87,298.24,298.37,12152,3627350.91999999
1779080400000,2026-05-18T05:00:00Z,298.38,298.62,298.03,298.05,22216,6626331.22
1779084000000,2026-05-18T06:00:00Z,298.19,298.41,297.58,298.41,21067,6277157.45000001
1779087600000,2026-05-18T07:00:00Z,298.45,299.11,298.3,298.59,8917,2663109.92
1779091200000,2026-05-18T08:00:00Z,299.2,299.35,297.04,298.45,163485.68186500002,48759882.541895426465034
1779094800000,2026-05-18T09:00:00Z,298.26,298.5,297.92,298.09,24387.860110999995,7272118.45505864450907
1779098400000,2026-05-18T10:00:00Z,297.98,298.36,297.62,298.05,25608.890015000008,7633615.7365652713846768
1779102000000,2026-05-18T11:00:00Z,298.66,299.58,298.29,299.05,62547.496994000016,18694189.6468170253820784
1779105600000,2026-05-18T12:00:00Z,298.83,300.49,298.5118,300.47,452937.708737,135924432.2909717624
1779109200000,2026-05-18T13:00:00Z,300.04,300.66,297.3601,298.08,4551047.286998,1359722314.2978655574
1779112800000,2026-05-18T14:00:00Z,298.07,298.58,296.69,298.28,4234644.514412,1261171992.4290164288
1779116400000,2026-05-18T15:00:00Z,298.225,298.25,295.27,295.83,3353881.294028001,993696669.8859806090826
1779120000000,2026-05-18T16:00:00Z,295.8,296.82,294.91,295.9,3353599.0163760004,991492555.27126943106012
1779123600000,2026-05-18T17:00:00Z,295.885,296.68,295.46,296.355,1940302.348178,574332987.6049147204
1779127200000,2026-05-18T18:00:00Z,296.325,296.685,295.45,295.99,4187609.9747009994,1239562284.54231619949574
1779130800000,2026-05-18T19:00:00Z,296.03,297.92,295.8,297.84,5090326.294684,1513161084.0429846764
1779134400000,2026-05-18T20:00:00Z,297.59,297.93,297,297.51,896387.4922749999,266937830.84829981772071
1779138000000,2026-05-18T21:00:00Z,297.47,297.7,297.17,297.17,13042.311969000002,3872940.623818488593904
1779141600000,2026-05-18T22:00:00Z,297.19,297.5,297.06,297.19,15504.239981000002,4610591.9694378527947524
1779145200000,2026-05-18T23:00:00Z,297.47,297.69,297.3,297.44,11190.639032000001,3329114.396268712297491
1779148800000,2026-05-19T00:00:00Z,297.43,297.76,297.32,297.33,3018,897884.11
1779152400000,2026-05-19T01:00:00Z,297.34,297.46,297.05,297.21,2907,864076.99
1779156000000,2026-05-19T02:00:00Z,297.22,297.4,296.65,297.05,5873,1745073.36
1779159600000,2026-05-19T03:00:00Z,297.09,297.35,297,297.03,1804,535951.87
1779163200000,2026-05-19T04:00:00Z,297.01,297.01,296.36,296.68,3877,1150105.02
1779166800000,2026-05-19T05:00:00Z,296.64,296.84,296.19,296.5,3117,924408.17
1779170400000,2026-05-19T06:00:00Z,296.51,297.36,296.36,297.26,4206,1248384.39
1779174000000,2026-05-19T07:00:00Z,297.18,297.61,297.02,297.58,6854,2038120.34
1779177600000,2026-05-19T08:00:00Z,297.07,297.8,296.2,297.08,52432.47545,15574746.994322255
1779181200000,2026-05-19T09:00:00Z,296.88,296.88,296,296.47,27518.605713999998,8156426.6740913146072064
1779184800000,2026-05-19T10:00:00Z,296.34,296.62,295.5,295.59,31086.104057,9203697.0228704527
1779188400000,2026-05-19T11:00:00Z,295.81,296.6,295.44,295.49,1826874.2221560006,544030720.61334631787592
1779192000000,2026-05-19T12:00:00Z,295.47,296.31,295.3,296.04,61010.35368,18053372.423281656
1779195600000,2026-05-19T13:00:00Z,295.72,300.52,294.89,299.1,5159566.201254999,1543279394.3272431273897
1779199200000,2026-05-19T14:00:00Z,299.06,299.1,296.52,297.51,4491268.575696999,1336152401.2698572025
1779202800000,2026-05-19T15:00:00Z,297.51,297.76,296.87,297.245,3503263.1050620014,1041480534.26184581560418
1779206400000,2026-05-19T16:00:00Z,297.28,298.72,296.365,298.6,2599017.4637740008,772981840.85516327733048
1779210000000,2026-05-19T17:00:00Z,298.58,298.74,297.84,298.37,2318789.564995,691737129.208091409
1779213600000,2026-05-19T18:00:00Z,298.42,298.43,297.49,297.65,1869461.1314289996,557085209.26124302040304
1779217200000,2026-05-19T19:00:00Z,297.67,299.23,297.52,298.92,5279427.723335,1575456200.516835357
1779220800000,2026-05-19T20:00:00Z,298.9,299.2,298.37,298.52,1955778.8740399997,584713929.36877880230981
1779224400000,2026-05-19T21:00:00Z,298.54,298.69,298.35,298.51,17072.736172999998,5097779.0248211808028164
1779228000000,2026-05-19T22:00:00Z,298.45,298.71,298.11,298.37,24962.284937999997,7457637.3913941147037314
1779231600000,2026-05-19T23:00:00Z,298.83,299.5,298.42,298.91,18248.474034,5456275.487691966
1779235200000,2026-05-20T00:00:00Z,298.86,298.88,297.83,298.58,4547,1356198.38
1779238800000,2026-05-20T01:00:00Z,298.52,298.98,298.17,298.86,2414,720725.48
1779242400000,2026-05-20T02:00:00Z,298.87,298.97,298.23,298.36,1730,516664.19
1779246000000,2026-05-20T03:00:00Z,298.36,298.36,297.99,298.14,2717,810114.46
1779249600000,2026-05-20T04:00:00Z,298.26,298.43,298.09,298.36,1350,402734.04
1779253200000,2026-05-20T05:00:00Z,298.37,298.72,298.24,298.57,2220,662658.02
1779256800000,2026-05-20T06:00:00Z,298.59,298.96,298.42,298.88,7313,2184916.77
1779260400000,2026-05-20T07:00:00Z,298.84,299.07,298.62,298.74,7573,2263345.93
1779264000000,2026-05-20T08:00:00Z,298.36,299.07,298.16,298.36,43491.07759400001,12989793.280758659786772
1779267600000,2026-05-20T09:00:00Z,298.33,298.5,298.12,298.25,9020.84613,2692239.052452432
1779271200000,2026-05-20T10:00:00Z,298.33,298.52,298.2,298.43,11283.238433,3367383.2178306396
1779274800000,2026-05-20T11:00:00Z,298.46,298.5364,298.08,298.27,31334.509136,9351123.0934964304
1779278400000,2026-05-20T12:00:00Z,298.23,299.33,298.15,298.16,72462.359668,21643427.1436725468
1779282000000,2026-05-20T13:00:00Z,298.09,302.37,297,300.21,4755692.156627,1428585194.2515363396
1779285600000,2026-05-20T14:00:00Z,300.31,300.47,299.09,299.92,4472116.610327999,1340504879.2309698146527
1779289200000,2026-05-20T15:00:00Z,299.925,300.53,298.66,299.17,3201309.689369999,958436586.4598256936111
1779292800000,2026-05-20T16:00:00Z,299.205,300.82,298.93,300.69,2936032.144154,880590908.851460527
1779296400000,2026-05-20T17:00:00Z,300.69,301.665,300.05,301.505,2622521.8634580006,789371213.3352678065982
1779300000000,2026-05-20T18:00:00Z,301.505,302.305,301.145,302.21,3695148.2655940014,1115080088.41555653027618
1779303600000,2026-05-20T19:00:00Z,302.23,302.81,301.485,302.19,6091459.316209001,1840356561.7805163493208
1779307200000,2026-05-20T20:00:00Z,302.23,302.35,301.5,301.79,954152.9692769998,288365159.94316108425578
1779310800000,2026-05-20T21:00:00Z,301.53,301.9675,301.5,301.51,33569.58850399999,10126239.516560793783508
1779314400000,2026-05-20T22:00:00Z,301.24,301.6768,300.26,300.95,41754.95695299999,12570484.284041373089463
1779318000000,2026-05-20T23:00:00Z,301.01,301.21,300.56,301.01,13134.330993,3953507.1811465608
1779321600000,2026-05-21T00:00:00Z,301.26,301.3,300.03,300.14,7734,2323876.49
1779325200000,2026-05-21T01:00:00Z,300.19,300.94,300.14,300.76,3521,1058019.27
1779328800000,2026-05-21T02:00:00Z,300.75,301.5,300.75,301.15,4825,1453160.34
1779332400000,2026-05-21T03:00:00Z,301.14,301.89,301.09,301.56,3862,1164303.73
1779336000000,2026-05-21T04:00:00Z,301.56,301.97,301.55,301.95,3056,922422.42
1779339600000,2026-05-21T05:00:00Z,301.96,302.1,301.02,301.5,6014,1813592.16
1779343200000,2026-05-21T06:00:00Z,301.45,301.58,300.96,300.98,2954,889986.46
1779346800000,2026-05-21T07:00:00Z,300.95,301.12,300.49,301.02,4065,1222895.61
1779350400000,2026-05-21T08:00:00Z,301.09,302.1,300.51,301.09,50276.881694,15148173.06999373
1779354000000,2026-05-21T09:00:00Z,301.52,301.75,301.2,301.52,5767.596921999998,1739589.1315514917967716
1779357600000,2026-05-21T10:00:00Z,301.14,301.65,300.2,301.14,24299.253045999994,7314121.3354267855939886
1779361200000,2026-05-21T11:00:00Z,301.41,301.54,300.98,301.07,29259.205156000004,8817088.8444501808053764
1779364800000,2026-05-21T12:00:00Z,301.04,301.89,301,301.4,1274815.596404,385278084.0657675304
1779368400000,2026-05-21T13:00:00Z,301.34,303.07,300.4,302.75,3500133.846531,1056331644.5484394725
1779372000000,2026-05-21T14:00:00Z,302.715,302.84,301.26,302.15,3271776.14911,988024702.968064062
1779375600000,2026-05-21T15:00:00Z,302.2,304.25,301.64,303.83,3573065.518324,1082905760.0463908028
1779379200000,2026-05-21T16:00:00Z,303.81,304.17,303.04,303.41,2554430.409804,775660712.6712549924
1779382800000,2026-05-21T17:00:00Z,303.425,305.06,303.41,304.95,3683469.772459,1121368279.8511017634
