ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1773676800000,2026-03-16T16:00:00Z,254.24,256.37,253.911,255.39,1220628.7611070003,311492131.48401929585697
1773680400000,2026-03-16T17:00:00Z,255.31,256.13,252.21,253.21,904688.4147890002,229557357.27654900984838
1773684000000,2026-03-16T18:00:00Z,253.25,254.655,252.21,252.81,864947.3336779998,219450804.72198066165684
1773687600000,2026-03-16T19:00:00Z,252.84,253.67,251.5801,251.925,1449384.7275859998,365950946.65247909010258
1773691200000,2026-03-16T20:00:00Z,251.86,253.5272,251.6834,252.59,441950.232404,111320855.264197742
1773694800000,2026-03-16T21:00:00Z,252.39,252.7545,252.35,252.45,2429.8857009999997,613859.8377464990242113
1773698400000,2026-03-16T22:00:00Z,252.47,252.5,252.25,252.46,1064.202142,268674.0066204584
1773702000000,2026-03-16T23:00:00Z,252.45,252.8,252.13,252.79,3934.176258,993641.9147014086
1773705600000,2026-03-17T00:00:00Z,252.69,252.79,251.9,252.04,612,154437.21
1773709200000,2026-03-17T01:00:00Z,252.26,252.68,251.72,252.17,1747,440851.21
1773712800000,2026-03-17T02:00:00Z,252.15,252.41,251.81,251.89,1087,273937.75
1773716400000,2026-03-17T03:00:00Z,252,252.05,251.82,252.01,408,102804.49
1773720000000,2026-03-17T04:00:00Z,252.21,253.02,252.01,253.02,773,195348.26
1773723600000,2026-03-17T05:00:00Z,252.53,252.71,252.12,252.12,253,63867.65
1773727200000,2026-03-17T06:00:00Z,252.11,252.12,251.22,251.49,1531,385126.09
1773730800000,2026-03-17T07:00:00Z,251.32,251.84,251.19,251.25,1106,278090.03
1773734400000,2026-03-17T08:00:00Z,251.6,251.82,251.5,251.79,1751,440679.0728
1773738000000,2026-03-17T09:00:00Z,252.03,252.03,252.03,252.03,246,61998.888
1773741600000,2026-03-17T10:00:00Z,251.99,252.09,251.8,252.03,549,138325.9302
1773745200000,2026-03-17T11:00:00Z,252.29,252.29,251.86,251.86,3459,871611.2724
1773748800000,2026-03-17T12:00:00Z,252.7,253,251.23,252.8663,14399.517021000001,3631831.783519599252219
1773752400000,2026-03-17T13:00:00Z,252.46,258.11,251.9,256.04,1482613.9775649998,378491184.92224956494272
1773756000000,2026-03-17T14:00:00Z,255.76,258.91,254.61,256.15,1106843.1762060004,284631917.2420183418626
1773759600000,2026-03-17T15:00:00Z,256.305,257.655,255.67,256.185,435335.12288000004,111840379.212658442276256
1773763200000,2026-03-17T16:00:00Z,255.98,256.175,254.6102,254.815,413503.2696170001,105574248.88749576773166
1773766800000,2026-03-17T17:00:00Z,254.91,255.43,253.85,254.53,357658.68177299993,91148707.030090018060619
1773770400000,2026-03-17T18:00:00Z,254.455,254.64,253.14,254.28,369705.8069530001,93908047.75961417290075
1773774000000,2026-03-17T19:00:00Z,254.51,254.95,253.85,254.17,1093786.4003150002,278231040.55100792387484
1773777600000,2026-03-17T20:00:00Z,254.2,254.79,254,254.25,143954.85776599997,36597960.190537257573034
1773781200000,2026-03-17T21:00:00Z,254.31,254.52,254.26,254.52,1067,271423.7801
1773784800000,2026-03-17T22:00:00Z,254.41,254.63,254.21,254.21,1463.107545,372207.536531784
1773788400000,2026-03-17T23:00:00Z,254.0477,254.29,253.16,254.25,3559.5393959999997,904504.9451611907237678
1773792000000,2026-03-18T00:00:00Z,254.34,254.7,254.27,254.43,265,67413.32
1773795600000,2026-03-18T01:00:00Z,254.46,254.65,254.35,254.35,196,49886.93
