ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1773676800000,2026-03-16T16:00:00Z,1.085,1.1,1.075,1.08,3325995.592694001,3625667.7955957304901
1773680400000,2026-03-16T17:00:00Z,1.085,1.11,1.08,1.105,4011576.9896880006,4411531.21555989425982
1773684000000,2026-03-16T18:00:00Z,1.105,1.125,1.085,1.085,5290622.670414,5851428.673477884
1773687600000,2026-03-16T19:00:00Z,1.085,1.1,1.06,1.085,4931927.219946001,5350154.6481974218848
1773691200000,2026-03-16T20:00:00Z,1.07,1.08,1.06,1.08,215806.566372,232121.5427897232
1773694800000,2026-03-16T21:00:00Z,1.08,1.08,1.06,1.0602,420713.7108340001,449658.81413937930688
1773698400000,2026-03-16T22:00:00Z,1.07,1.07,1.06,1.07,107306.10104899999,114463.417988968289333
1773702000000,2026-03-16T23:00:00Z,1.0698,1.07,1.06,1.0616,52944.01389,56501.851623408
1773705600000,2026-03-17T00:00:00Z,1.1,1.1,1.07,1.08,731,789.76
1773709200000,2026-03-17T01:00:00Z,1.07,1.08,1.05,1.08,1760,1882.7
1773712800000,2026-03-17T02:00:00Z,1.08,1.08,1.07,1.07,1006,1078.98
1773716400000,2026-03-17T03:00:00Z,1.08,1.08,1.07,1.07,311,332.8
1773720000000,2026-03-17T04:00:00Z,1.08,1.08,1.07,1.08,1067,1152.26
1773723600000,2026-03-17T05:00:00Z,1.07,1.08,1.07,1.08,3023,3264.72
1773727200000,2026-03-17T06:00:00Z,1.08,1.08,1.08,1.08,2336,2522.88
1773730800000,2026-03-17T07:00:00Z,1.08,1.08,1.07,1.08,56,60.47
1773734400000,2026-03-17T08:00:00Z,1.07,1.08,1.06,1.07,5576,5965.2048
1773738000000,2026-03-17T09:00:00Z,1.06,1.07,1.06,1.07,1607,1711.7764
1773741600000,2026-03-17T10:00:00Z,1.07,1.07,1.07,1.07,15418,16497.26
1773745200000,2026-03-17T11:00:00Z,1.07,1.07,1.06,1.07,29022,31024.518
1773748800000,2026-03-17T12:00:00Z,1.05,1.08,1.05,1.05,257725.69740600002,275199.499690126821356
1773752400000,2026-03-17T13:00:00Z,1.05,1.115,1.05,1.115,4901788.166674001,5344419.6381246632903
1773756000000,2026-03-17T14:00:00Z,1.115,1.115,1.08,1.08,7020836.478697,7708878.453609306
1773759600000,2026-03-17T15:00:00Z,1.08,1.1,1.07,1.075,4970664.271956001,5399135.5321986082862
1773763200000,2026-03-17T16:00:00Z,1.075,1.1,1.075,1.095,2886068.93317,3151298.668128323
1773766800000,2026-03-17T17:00:00Z,1.09,1.11,1.09,1.09,3718045.9901079987,4092825.02591088496896
1773770400000,2026-03-17T18:00:00Z,1.09,1.11,1.08,1.095,1975241.6445859997,2159136.64169695627207
1773774000000,2026-03-17T19:00:00Z,1.095,1.095,1.07,1.075,2148687.537284001,2329821.8966770422843
1773777600000,2026-03-17T20:00:00Z,1.0899,1.09,1.08,1.09,59195.02821399999,64321.317657332389134
1773781200000,2026-03-17T21:00:00Z,1.09,1.09,1.08,1.0893,19616.815497000003,21294.0532219935032565
1773784800000,2026-03-17T22:00:00Z,1.09,1.09,1.08,1.0897,11812.041998,12838.5084476262
1773788400000,2026-03-17T23:00:00Z,1.0892,1.09,1.08,1.09,39255.955117,42737.9583358779
1773792000000,2026-03-18T00:00:00Z,1.07,1.1,1.07,1.09,441,480.49
1773795600000,2026-03-18T01:00:00Z,1.09,1.11,1.07,1.11,657,719.75
1773799200000,2026-03-18T02:00:00Z,1.1,1.11,1.09,1.1,196,215.64
1773802800000,2026-03-18T03:00:00Z,1.08,1.1,1.08,1.1,954,1042.1
1773806400000,2026-03-18T04:00:00Z,1.1,1.1,1.09,1.09,22,23.99
1773810000000,2026-03-18T05:00:00Z,1.1,1.1,1.09,1.09,645,703.08
1773813600000,2026-03-18T06:00:00Z,1.1,1.1,1.09,1.1,9,9.89
1773817200000,2026-03-18T07:00:00Z,1.1,1.1,1.09,1.09,1160,1272.98
1773820800000,2026-03-18T08:00:00Z,1.09,1.1,1.09,1.1,3949,4315.4672
1773824400000,2026-03-18T09:00:00Z,1.1,1.11,1.09,1.09,8623,9518.9297
1773828000000,2026-03-18T10:00:00Z,1.09,1.1,1.08,1.1,1512,1653.0696
1773831600000,2026-03-18T11:00:00Z,1.1,1.1,1.08,1.09,6577,7193.2649
1773835200000,2026-03-18T12:00:00Z,1.0897,1.1,1.08,1.09,110243.42292100002,120187.379668474221804
1773838800000,2026-03-18T13:00:00Z,1.07,1.105,1.07,1.075,1628383.5565310002,1766470.48212482901696
1773842400000,2026-03-18T14:00:00Z,1.07,1.08,1.04,1.04,3153920.250683999,3346940.1700258597388
1773846000000,2026-03-18T15:00:00Z,1.04,1.07,1.04,1.06,1846254.3243650002,1959429.71444857471226
1773849600000,2026-03-18T16:00:00Z,1.06,1.07,1.05,1.05,1853136.7344820006,1958765.5283474746342
1773853200000,2026-03-18T17:00:00Z,1.05,1.065,1.04,1.055,1448018.3729529998,1524763.3467195087894
1773856800000,2026-03-18T18:00:00Z,1.05,1.065,1.03,1.035,3816362.917908,3986572.7040466968
1773860400000,2026-03-18T19:00:00Z,1.035,1.04,1.02,1.025,3029874.791934,3132587.5473805626
1773864000000,2026-03-18T20:00:00Z,1.02,1.04,1.02,1.04,515386.07999799994,527549.191485952738584
1773867600000,2026-03-18T21:00:00Z,1.0302,1.04,1.03,1.0388,156534.72407599998,162373.469284034779254
1773871200000,2026-03-18T22:00:00Z,1.0303,1.04,1.03,1.0399,77069.489308,79951.8882081192
1773874800000,2026-03-18T23:00:00Z,1.04,1.04,1.03,1.031,136042.96455499998,140886.094093157979288
1773878400000,2026-03-19T00:00:00Z,1.04,1.05,1.01,1.05,6406,6508.21
1773882000000,2026-03-19T01:00:00Z,1.05,1.05,1.03,1.03,1147,1188.39
1773885600000,2026-03-19T02:00:00Z,1.03,1.04,1.01,1.04,6309,6495.36
1773889200000,2026-03-19T03:00:00Z,1.02,1.03,1.02,1.03,1321,1360.62
1773892800000,2026-03-19T04:00:00Z,1.03,1.04,1.03,1.03,904,932.3
1773896400000,2026-03-19T05:00:00Z,1.05,1.05,1.04,1.04,387,402.98
1773900000000,2026-03-19T06:00:00Z,1.04,1.05,1.03,1.05,89,92.56
1773903600000,2026-03-19T07:00:00Z,1.05,1.05,1.04,1.04,53,55.63
1773907200000,2026-03-19T08:00:00Z,1.01,1.03,1.01,1.03,1964,2006.6188
1773910800000,2026-03-19T09:00:00Z,1.025,1.03,1.025,1.03,1558,1604.2726
1773914400000,2026-03-19T10:00:00Z,1.02,1.02,1.02,1.02,7403,7551.06
1773918000000,2026-03-19T11:00:00Z,1.02,1.03,1.02,1.02,32896,33609.8432
1773921600000,2026-03-19T12:00:00Z,1.0299,1.04,1.01,1.0118,372903.276416,379839.2773573376
1773925200000,2026-03-19T13:00:00Z,1.005,1.0599,1,1.025,4704458.780211,4838535.8554470135
1773928800000,2026-03-19T14:00:00Z,1.03,1.03,1,1.025,2703996.5012399997,2743204.45050797969565
1773932400000,2026-03-19T15:00:00Z,1.025,1.03,1,1.005,1860753.1349139996,1892572.01352102899316
1773936000000,2026-03-19T16:00:00Z,1,1.025,0.995,1.02,2313960.7718989993,2342885.28154773679125
1773939600000,2026-03-19T17:00:00Z,1.025,1.025,1,1.02,1379362.3046010002,1397569.88702173340264
1773943200000,2026-03-19T18:00:00Z,1.02,1.03,1.005,1.01,1608042.8256050001,1643741.37633343110222
1773946800000,2026-03-19T19:00:00Z,1.015,1.05,1.015,1.035,3056198.2582230004,3164082.05673827231412
1773950400000,2026-03-19T20:00:00Z,1.03,1.04,1.03,1.0398,489713.91261000006,504748.129727127061842
1773954000000,2026-03-19T21:00:00Z,1.04,1.04,1.03,1.039,67484.147329,69630.1432140622
1773957600000,2026-03-19T22:00:00Z,1.0301,1.04,1.03,1.03,45744.927938999994,47318.5534601015937936
1773961200000,2026-03-19T23:00:00Z,1.0308,1.05,1.03,1.0382,37924.492752,39308.736737448
1773964800000,2026-03-20T00:00:00Z,1.04,1.06,1.02,1.03,2940,3062.81
1773968400000,2026-03-20T01:00:00Z,1.05,1.05,1.03,1.04,1811,1900.64
1773972000000,2026-03-20T02:00:00Z,1.04,1.04,1.03,1.03,85,88.27
1773975600000,2026-03-20T03:00:00Z,1.04,1.04,1.02,1.02,406,418.15
1773979200000,2026-03-20T04:00:00Z,1.03,1.04,1.02,1.03,1318,1357.32
1773982800000,2026-03-20T05:00:00Z,1.04,1.04,1.04,1.04,4,4.16
1773986400000,2026-03-20T06:00:00Z,1.04,1.05,1.02,1.02,608,636.17
1773990000000,2026-03-20T07:00:00Z,1.02,1.04,1.02,1.03,555,571.51
1773993600000,2026-03-20T08:00:00Z,1.04,1.05,1.03,1.03,16589,17106.5768
1773997200000,2026-03-20T09:00:00Z,1.04,1.04,1.03,1.03,455,470.288
1774000800000,2026-03-20T10:00:00Z,1.04,1.04,1.04,1.04,4026,4187.04
1774004400000,2026-03-20T11:00:00Z,1.04,1.04,1.03,1.03,10967,11356.3285
1774008000000,2026-03-20T12:00:00Z,1.0395,1.04,1.02,1.02,83908.396376,86098.4055214136
1774011600000,2026-03-20T13:00:00Z,1.025,1.045,1.01,1.025,2874322.9052179987,2957390.83717879886243
1774015200000,2026-03-20T14:00:00Z,1.025,1.06,1.02,1.025,3745004.450983999,3883569.615670406963
1774018800000,2026-03-20T15:00:00Z,1.035,1.04,1.01,1.025,2046291.3348009996,2095402.3268362235904
1774022400000,2026-03-20T16:00:00Z,1.025,1.025,1,1.01,1265762.5545780002,1284369.26413029680294
1774026000000,2026-03-20T17:00:00Z,1.01,1.025,1,1.01,3294463.104529,3333996.661783348
