ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1773676800000,2026-03-16T16:00:00Z,208.98,209.85,208.6299,209.55,3347355.1292919996,700372469.46997194350736
1773680400000,2026-03-16T17:00:00Z,209.56,210.2,209.535,209.96,3086431.8084009998,647800678.39713728462268
1773684000000,2026-03-16T18:00:00Z,209.965,212.015,209.93,211.64,4761647.6243199995,1005417610.39230600642545
1773687600000,2026-03-16T19:00:00Z,211.705,212.724,211.07,211.765,8557195.108417999,1813417682.9491496194827
1773691200000,2026-03-16T20:00:00Z,211.74,212.16,211.43,211.5,479230.96653499996,101466805.774909085530864
1773694800000,2026-03-16T21:00:00Z,211.49,211.56,211.33,211.42,15367.283865000001,3260642.5843027922121808
1773698400000,2026-03-16T22:00:00Z,211.26,211.4675,211.16,211.1772,26438.060679000002,5585521.4911431082225364
1773702000000,2026-03-16T23:00:00Z,211.25,211.41,211.19,211.35,21778.04354,4601731.089262956
1773705600000,2026-03-17T00:00:00Z,211.85,211.86,211.14,211.18,5487,1159734
1773709200000,2026-03-17T01:00:00Z,211.18,211.26,211.05,211.13,9909,2092281.69
1773712800000,2026-03-17T02:00:00Z,211.1,211.32,210.81,210.81,9975,2105192.83
1773716400000,2026-03-17T03:00:00Z,210.82,211.08,210.59,210.79,6835,1440813.92
1773720000000,2026-03-17T04:00:00Z,210.75,211.28,210.75,211.2,2175,458934.98
1773723600000,2026-03-17T05:00:00Z,211.12,211.22,210.45,210.66,4437,935143.4
1773727200000,2026-03-17T06:00:00Z,210.52,210.52,210.12,210.2,9655,2030757.91
1773730800000,2026-03-17T07:00:00Z,210.15,210.81,210.07,210.44,16020,3372874.37
1773734400000,2026-03-17T08:00:00Z,211.11,211.14,210.33,210.38,11814,2487599.5518
1773738000000,2026-03-17T09:00:00Z,210.45,210.98,210.42,210.77,7677,1617410.3202
1773741600000,2026-03-17T10:00:00Z,210.8,210.89,210.7,210.85,9187,1936504.7625
1773745200000,2026-03-17T11:00:00Z,210.9,211.37,210.88,211,21668,4573984.792
1773748800000,2026-03-17T12:00:00Z,210.99,212.75,210.11,212.3,169466.437575,35864233.0239285225
1773752400000,2026-03-17T13:00:00Z,213.32,214.835,212.3538,214.2,5762122.964546999,1233025745.1497796767119
1773756000000,2026-03-17T14:00:00Z,214.2,214.49,213.235,213.98,4121772.6262969994,881496720.0640683311819
1773759600000,2026-03-17T15:00:00Z,213.92,214.29,213.23,213.4,3310135.41616,707617247.305230064
1773763200000,2026-03-17T16:00:00Z,213.4,214.0289,213.01,213.57,2611070.7963130004,557634640.1499840869262
1773766800000,2026-03-17T17:00:00Z,213.59,214.53,213.55,213.895,3655304.3516690005,781978528.8916789431649
1773770400000,2026-03-17T18:00:00Z,213.89,215.08,213.23,214.545,6615680.194974001,1416106192.774769836053
1773774000000,2026-03-17T19:00:00Z,214.49,215.7,214.2,215.345,9029657.472962,1943380940.645827564
1773777600000,2026-03-17T20:00:00Z,215.2,215.47,214.84,215.09,489358.04965499986,105298939.601248663375122
1773781200000,2026-03-17T21:00:00Z,215.07,215.16,215.04,215.05,19529.556402,4194653.8188479298
1773784800000,2026-03-17T22:00:00Z,215.07,215.15,214.7,214.77,35001.248684000006,7523913.9187359304897678
1773788400000,2026-03-17T23:00:00Z,214.86,215,214.8101,214.88,18406.539557999997,3956255.5962476243551875
1773792000000,2026-03-18T00:00:00Z,214.8,215.55,214.54,215.49,6459,1389637.08
1773795600000,2026-03-18T01:00:00Z,215.41,215.91,215.41,215.64,5403,1165284.95
