ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1773676800000,2026-03-16T16:00:00Z,286.685,287.96,286.48,287.31,105827.23609199998,30405191.453421686653806
1773680400000,2026-03-16T17:00:00Z,287.36,288.94,287.3242,288.72,94574.20398,27245636.531667852
1773684000000,2026-03-16T18:00:00Z,288.935,290.29,288.75,289.745,109148.15762299999,31617732.685389292703228
1773687600000,2026-03-16T19:00:00Z,290.03,290.175,289.14,289.21,226245.32718300002,65518180.678130511091782
1773691200000,2026-03-16T20:00:00Z,289.16,289.16,289.16,289.16,16170.6636,4676101.51747284
1773702000000,2026-03-16T23:00:00Z,292.87,292.87,292.87,292.87,100,29287
1773709200000,2026-03-17T01:00:00Z,286.92,286.92,286.92,286.92,6,1721.52
1773720000000,2026-03-17T04:00:00Z,289.16,289.16,289.09,289.09,4,1156.43
1773752400000,2026-03-17T13:00:00Z,291.57,292.01,289.42,290.375,56244.068984,16351489.4624906192
1773756000000,2026-03-17T14:00:00Z,290.09,291.3,289.88,291.205,105957.556594,30804902.6837500478
1773759600000,2026-03-17T15:00:00Z,291.275,291.43,287.28,287.75,132172.899852,38292802.11287181
1773763200000,2026-03-17T16:00:00Z,287.46,287.545,285.585,287.13,124155.41316299999,35605041.07605881113222
1773766800000,2026-03-17T17:00:00Z,286.98,287.95,286.75,287.715,70109.29346199999,20150904.268929537725787
1773770400000,2026-03-17T18:00:00Z,287.74,288.73,286.765,287.085,71365.268824,20518942.09227648
1773774000000,2026-03-17T19:00:00Z,286.95,288.08,285.57,286.1,206191.444261,59092962.7276594947
1773777600000,2026-03-17T20:00:00Z,286.15,287.4253,285.58,285.58,7881.2652,2255875.02948552
1773784800000,2026-03-17T22:00:00Z,285,285,285,285,100,28512.95
1773810000000,2026-03-18T05:00:00Z,286.32,286.32,286.32,286.32,20,5726.4
1773813600000,2026-03-18T06:00:00Z,286.99,286.99,286.99,286.99,1,286.99
1773817200000,2026-03-18T07:00:00Z,286.99,286.99,286.99,286.99,3,860.97
1773831600000,2026-03-18T11:00:00Z,287,287,287,287,50,14350
1773835200000,2026-03-18T12:00:00Z,286.33,286.33,286,286,763,218294.9867
1773838800000,2026-03-18T13:00:00Z,286.425,288.7,285.75,285.97,114061.15154999997,32761773.153591336383103
1773842400000,2026-03-18T14:00:00Z,285.78,285.9475,283.75,284.63,72442.34663000001,20624720.029998141847053
1773846000000,2026-03-18T15:00:00Z,285.09,285.6799,284.7085,285,38970.167397000005,11114942.5434199313260835
1773849600000,2026-03-18T16:00:00Z,285,287.88,284.89,287.63,53962.950940999996,15453165.2017605930545352
1773853200000,2026-03-18T17:00:00Z,287.675,287.9,285.34,285.44,96071.94019200002,27539184.978335132133034
1773856800000,2026-03-18T18:00:00Z,285.47,286.28,284.48,285.08,123118.24708700001,35134057.182021853653684
1773860400000,2026-03-18T19:00:00Z,285.2,285.4,281.33,281.44,365876.229868,103534814.0127179436
1773864000000,2026-03-18T20:00:00Z,281.42,281.49,280.86,280.86,14219.8468,4001936.98843376
1773867600000,2026-03-18T21:00:00Z,280.86,280.86,280.86,280.86,2723,764781.78
