ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1773676800000,2026-03-16T16:00:00Z,327.4,328.1,325.65,327.26,2166428.927114001,708299206.0032182517432
1773680400000,2026-03-16T17:00:00Z,327.32,328.92,327.27,328.16,2059300.0461260006,676009103.23184218076278
1773684000000,2026-03-16T18:00:00Z,328.14,328.6,326.55,326.625,1998383.63357,654537585.845899595
1773687600000,2026-03-16T19:00:00Z,326.66,329.13,323.713,325,4904294.773243999,1597171379.7833493419321
1773691200000,2026-03-16T20:00:00Z,324.64,325.1,324.25,324.47,2536463.9077140004,824142019.02744526776708
1773694800000,2026-03-16T21:00:00Z,324.42,324.85,324.29,324.84,11148.354879,3620801.7168436965
1773698400000,2026-03-16T22:00:00Z,324.65,324.9,324.25,324.38,16828.948772999996,5461387.6742397869019064
1773702000000,2026-03-16T23:00:00Z,324.38,324.8,324.25,324.6,17762.437986,5764737.079823349
1773705600000,2026-03-17T00:00:00Z,324.86,326.11,324.08,324.36,8588,2790522.8
1773709200000,2026-03-17T01:00:00Z,324.36,324.8,324.12,324.55,3952,1281951.39
1773712800000,2026-03-17T02:00:00Z,324.64,324.71,323.49,323.5,3269,1059936.87
1773716400000,2026-03-17T03:00:00Z,323.63,324.06,323.3,323.49,2378,769698.23
1773720000000,2026-03-17T04:00:00Z,323.53,324.71,323.53,324.4,2117,686157.02
1773723600000,2026-03-17T05:00:00Z,324.41,324.78,322.7,322.84,3645,1179649.26
1773727200000,2026-03-17T06:00:00Z,322.74,322.78,322.01,322.39,5580,1799053.16
1773730800000,2026-03-17T07:00:00Z,322.39,323.29,322,322.79,5183,1671744.97
1773734400000,2026-03-17T08:00:00Z,323.3,323.3,322.3,322.5,8484,2739515.8392
1773738000000,2026-03-17T09:00:00Z,323.22,323.93,322.61,323.8,6434,2080948.62
1773741600000,2026-03-17T10:00:00Z,323.65,323.65,323.12,323.37,4773,1543164.3576
1773745200000,2026-03-17T11:00:00Z,323.61,323.79,323.17,323.42,13259,4289576.8721
1773748800000,2026-03-17T12:00:00Z,324.44,325.39,322,324.45,76485.32850599999,24780871.657834317360049
1773752400000,2026-03-17T13:00:00Z,325.79,327.44,323.8,324.36,2537249.1627259995,825041877.2921061642141
1773756000000,2026-03-17T14:00:00Z,324.46,324.54,321.53,322.265,3153030.8441810003,1018062895.78945368276517
1773759600000,2026-03-17T15:00:00Z,322.175,322.59,317.7,318.97,4857821.366552999,1550663215.2888361895904
1773763200000,2026-03-17T16:00:00Z,318.93,320.68,317.25,320.35,4372467.799568,1392709698.582800224
1773766800000,2026-03-17T17:00:00Z,320.36,321.84,319.64,321.76,2921737.779476999,937560234.3154875292087
1773770400000,2026-03-17T18:00:00Z,321.81,322.84,319.65,320.1,2677017.9799680007,860795399.16050862188507
1773774000000,2026-03-17T19:00:00Z,320.07,321.73,319.33,321.27,3816444.735713,1223331591.7638635886
1773777600000,2026-03-17T20:00:00Z,321.31,322,321,321.41,9456988.940487005,3050755596.1818422578635
1773781200000,2026-03-17T21:00:00Z,321.49,321.49,320.5952,321,12093.091385999998,3885619.100144273357382
1773784800000,2026-03-17T22:00:00Z,320.87,321,320.1,320.526,23980.56032900001,7689685.610946228906633
1773788400000,2026-03-17T23:00:00Z,320.71,320.979,320.41,320.41,15260.110781999998,4895597.6659844975583798
1773792000000,2026-03-18T00:00:00Z,321.25,322.5,320.8,322.49,6974,2245544.39
1773795600000,2026-03-18T01:00:00Z,322.48,322.82,322.07,322.22,5156,1662142.73
1773799200000,2026-03-18T02:00:00Z,322.22,322.49,322.09,322.23,6116,1971141.86
1773802800000,2026-03-18T03:00:00Z,322.3,323.03,322,323.03,7574,2443519.16
1773806400000,2026-03-18T04:00:00Z,323.26,323.61,323.1,323.41,6479,2095360.1
1773810000000,2026-03-18T05:00:00Z,323.37,323.86,323.3,323.7,7176,2321870.38
1773813600000,2026-03-18T06:00:00Z,323.7,324.5,323.66,323.91,11668,3780141.68000001
1773817200000,2026-03-18T07:00:00Z,323.93,324.44,323.79,324.12,9045,2931303.59
1773820800000,2026-03-18T08:00:00Z,322.94,324,321.63,322.5,34330,11076739.284
