ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1773676800000,2026-03-16T16:00:00Z,171.6414,171.9996,171.0872,171.3,17094.934520000003,73342163.3705530888708589
1773680400000,2026-03-16T17:00:00Z,171.4956,171.878,170.6626,170.8888,16604.657709,71160007.821516405
1773684000000,2026-03-16T18:00:00Z,170.9048,171.9536,170.803,171.5016,18161.069527000003,77862416.4903800513619765
1773687600000,2026-03-16T19:00:00Z,171.7292,172,171.0744,171.8148,31653.833666,135909052.1667391968
1773691200000,2026-03-16T20:00:00Z,171.7208,171.7208,171.7208,171.7208,11750.58619,50448018.500955698
1773694800000,2026-03-16T21:00:00Z,171.8,171.8,171.8,171.8,22.000925,94493.94647389
1773698400000,2026-03-16T22:00:00Z,171.7908,171.7908,171.7908,171.7908,10.004182,42983.6102314844
1773705600000,2026-03-17T00:00:00Z,171.1712,171.838,171.1712,171.838,50,8575.23
1773709200000,2026-03-17T01:00:00Z,171.8404,171.8404,171.8404,171.8404,200,34368.08
1773712800000,2026-03-17T02:00:00Z,171.1444,171.1444,170.7196,170.7196,225,38475.75
1773723600000,2026-03-17T05:00:00Z,170.85,170.85,170.85,170.85,25,4271.25
1773727200000,2026-03-17T06:00:00Z,170.85,170.85,170.4396,170.4396,325,55502.35
1773748800000,2026-03-17T12:00:00Z,172.48,172.8,172,172.8,389.012616,1677364.0093983384
1773752400000,2026-03-17T13:00:00Z,175.3996,179.0132,172.9392,177.9612,55943.756399999984,248594842.3556521689014944
1773756000000,2026-03-17T14:00:00Z,177.8156,178.4,176.9392,177.8704,40689.800447,180795037.215733644
1773759600000,2026-03-17T15:00:00Z,177.5068,178.83,177.5044,177.8744,25561.866784999995,113871319.6267968462263295
1773763200000,2026-03-17T16:00:00Z,177.652,178.0548,176.9766,178.0544,30570.18798800001,135684541.292124530384595
1773766800000,2026-03-17T17:00:00Z,178.2712,178.9748,177.996,178.8394,20099.827919000003,89811377.696318467404798
1773770400000,2026-03-17T18:00:00Z,178.8394,178.903,177.4492,177.8328,23192.100335000006,103193533.3842066136970732
1773774000000,2026-03-17T19:00:00Z,177.8326,178.018,176.886,177.6514,54055.93139300001,239970944.897175506293083
1773777600000,2026-03-17T20:00:00Z,177.6932,177.8,177.2444,177.8,7566.532665000001,33617711.9275496909429481
1773788400000,2026-03-17T23:00:00Z,177.7692,177.7692,177.7692,177.7692,10,44442.3
1773802800000,2026-03-18T03:00:00Z,178.9436,178.9436,178.9436,178.9436,25,4473.59
1773817200000,2026-03-18T07:00:00Z,178.8872,179.0004,178.8872,179.0004,875,156556.51
1773820800000,2026-03-18T08:00:00Z,178.4,179.2,178.4,179.2,22,98349.999
1773824400000,2026-03-18T09:00:00Z,178,178,178,178,20,89000
1773828000000,2026-03-18T10:00:00Z,178.006,178.006,177.9384,177.9384,54,240250.6386
1773831600000,2026-03-18T11:00:00Z,178.28,178.4,177.818,177.818,54,240605.2998
1773835200000,2026-03-18T12:00:00Z,178.0296,178.4,176.2849,176.6528,221.273604,980796.466734822
1773838800000,2026-03-18T13:00:00Z,176.4852,178.64,175.8028,178.2596,21223.265062999995,94177398.275765983012698
1773842400000,2026-03-18T14:00:00Z,178.06,178.1784,176.7528,177.4704,28792.450182999997,127778319.8671076264862682
1773846000000,2026-03-18T15:00:00Z,177.3252,179.0949,177.3252,177.4332,26860.208614,119815182.1473015616
1773849600000,2026-03-18T16:00:00Z,177.4536,177.6354,176.4076,177.4154,24382.54276400001,107901110.066359543453428
1773853200000,2026-03-18T17:00:00Z,177.4156,178.6488,176.9699,178.2246,17396.739147999997,77416494.7401227410498266
1773856800000,2026-03-18T18:00:00Z,178.2996,178.444,177.0492,177.12,25903.197430999993,115049149.8219367067094734
1773860400000,2026-03-18T19:00:00Z,177.1246,177.2784,175.1612,175.2804,69655.81463499999,306378258.714810348015408
1773864000000,2026-03-18T20:00:00Z,175.2556,175.2556,175.2556,175.2556,1171.41299,5134241.870270623
1773867600000,2026-03-18T21:00:00Z,175.2556,175.2556,175.2556,175.2556,22,96387.7992
1773896400000,2026-03-19T05:00:00Z,175.4,175.4,175.2,175.2,400,70085
1773918000000,2026-03-19T11:00:00Z,175.92,175.92,175.28,175.28,96,421061.5584
1773921600000,2026-03-19T12:00:00Z,175.92,175.92,174.7996,174.7996,115.030293,504360.3157909617
1773925200000,2026-03-19T13:00:00Z,175.46,177.4688,174,175.1278,23678.880601000004,104290714.7369025345175076
1773928800000,2026-03-19T14:00:00Z,174.928,175.6128,172.6552,172.8272,27809.863961000003,120745665.4889654937254861
1773932400000,2026-03-19T15:00:00Z,172.6376,173.2108,171.3112,172.0332,26015.845917000002,111937748.0420201255053514
1773936000000,2026-03-19T16:00:00Z,172.0196,172.2057,171.0988,171.4918,22030.908142999997,94605564.1627426328173403
1773939600000,2026-03-19T17:00:00Z,171.2266,171.524,170.4044,171.0856,22296.997594999997,95369239.8630777101683298
1773943200000,2026-03-19T18:00:00Z,171.1514,171.9314,170.8064,171.7386,19634.894854,84111000.465717354
1773946800000,2026-03-19T19:00:00Z,172.0288,173.5136,171.6362,171.7592,56840.665162,245115807.9112447516
1773950400000,2026-03-19T20:00:00Z,171.7716,172.912,171.7716,171.8844,1915.40469,8232815.998035687
1773957600000,2026-03-19T22:00:00Z,172.2084,172.6092,172.2084,172.6092,31.000323,133614.5913633336
1773964800000,2026-03-20T00:00:00Z,173.7976,173.7976,173.7976,173.7976,50,8689.88
1773975600000,2026-03-20T03:00:00Z,172.28,172.28,172.2796,172.2796,50,8613.99
1773986400000,2026-03-20T06:00:00Z,172.12,172.12,172.12,172.12,25,4303
1773997200000,2026-03-20T09:00:00Z,171.0656,171.066,171.0656,171.066,51,218057.2422
1774000800000,2026-03-20T10:00:00Z,170.4048,170.4048,170.2348,170.2348,175,745562.8075
1774004400000,2026-03-20T11:00:00Z,171.6968,171.6968,171.6964,171.6968,118,506448.212
1774008000000,2026-03-20T12:00:00Z,170.5624,170.5624,170.56,170.56,106,451987.604
1774011600000,2026-03-20T13:00:00Z,171.6576,172.6884,170.4,171.6112,53723.74123400002,230750119.599194855102476
1774015200000,2026-03-20T14:00:00Z,171.8012,172.464,171.0816,171.5188,33062.26068300001,142021053.442284186655639
1774018800000,2026-03-20T15:00:00Z,171.4112,171.9996,170.3336,171.7832,28231.218126,120857587.8933210534
1774022400000,2026-03-20T16:00:00Z,171.8744,172.7792,171.3664,172.6634,25209.146732000005,108383497.0825376522968595
1774026000000,2026-03-20T17:00:00Z,172.374,172.698,171.6644,172.1208,16339.321924999998,70406087.5229270238820062
1774029600000,2026-03-20T18:00:00Z,172.1552,172.258,171.2296,171.5488,27744.603355,119195377.225871562
1774033200000,2026-03-20T19:00:00Z,171.5656,173.1676,171.4,172.9144,68489.837438,295225855.215523628
1774036800000,2026-03-20T20:00:00Z,172.9616,173.18,172.736,173.18,14079.02129,60878139.994543409
1774040400000,2026-03-20T21:00:00Z,173.18,174.0464,173.18,174.0464,362,1570046.9968
1774044000000,2026-03-20T22:00:00Z,174.3536,174.5704,174.04,174.5704,169.000234,736876.9496897484
1774224000000,2026-03-23T00:00:00Z,171.9996,171.9996,171.9996,171.9996,25,4299.99
1774227600000,2026-03-23T01:00:00Z,172.4,172.4,172.4,172.4,50,8620
1774234800000,2026-03-23T03:00:00Z,171.96,171.96,171.96,171.96,25,4299
1774238400000,2026-03-23T04:00:00Z,171.24,171.24,171.24,171.24,25,4281
1774242000000,2026-03-23T05:00:00Z,171.5556,171.5556,171.2404,171.2404,200,34263.84
1774245600000,2026-03-23T06:00:00Z,171.2004,171.2004,171.2,171.2,50,8560.01
1774249200000,2026-03-23T07:00:00Z,172.3064,173.2004,172.3064,172.8804,5450,942508.33
1774252800000,2026-03-23T08:00:00Z,172.26,172.26,171.8024,172,241,1036557.9182
1774263600000,2026-03-23T11:00:00Z,171.96,178,171.96,176,1472,6453678.1184
1774267200000,2026-03-23T12:00:00Z,177.996,177.996,172.7512,177.76,926.2738899999999,4076248.3205892155599306
1774270800000,2026-03-23T13:00:00Z,176.8204,178,174.9492,176.5386,45514.93608099999,200585433.873407332329756
1774274400000,2026-03-23T14:00:00Z,176.6788,177.6,176.1776,176.8476,26185.418039000007,115876397.9641354527765834
1774278000000,2026-03-23T15:00:00Z,176.8628,177.6132,174.7208,174.8772,20460.904447000004,90259439.4561758157452492
1774281600000,2026-03-23T16:00:00Z,175.018,176.1044,174.7268,175.636,31720.165458999996,139306786.0652561063330316
1774285200000,2026-03-23T17:00:00Z,175.7872,177.7024,175.4,177.3074,33721.85748200001,148843739.963530966938654
1774288800000,2026-03-23T18:00:00Z,177.2388,177.5816,176.6596,177.0484,32887.468639,145661472.9668900486
1774292400000,2026-03-23T19:00:00Z,176.9394,177.4316,175.5752,175.941,80891.72793200004,357005190.016633362134832
1774296000000,2026-03-23T20:00:00Z,175.8716,175.8716,175.8716,175.8716,2876.56149,12650093.089473411
1774303200000,2026-03-23T22:00:00Z,176.002,176.002,176.002,176.002,41,180460.7497
1774310400000,2026-03-24T00:00:00Z,175.8712,175.8712,175.6004,175.6004,225,39516.86
1774324800000,2026-03-24T04:00:00Z,174.48,174.48,174.48,174.48,25,4362
1774328400000,2026-03-24T05:00:00Z,174.44,174.44,174.004,174.004,275,47886
1774353600000,2026-03-24T12:00:00Z,175.26,176.7511,175.26,176,241,1059410.3094
1774357200000,2026-03-24T13:00:00Z,174.7,175.6916,173.4416,174.144,15879.350752,69225580.2177177184
1774360800000,2026-03-24T14:00:00Z,174.1916,174.4544,171.76,173.7032,31481.076065000005,136268655.3036603391429475
1774364400000,2026-03-24T15:00:00Z,173.7464,174.2604,172.2004,172.3084,43438.460574000004,188143861.8526531211250948
1774368000000,2026-03-24T16:00:00Z,172.4324,173.288,171.4632,171.7196,37007.216548000004,159612224.8910086968520108
1774371600000,2026-03-24T17:00:00Z,171.6384,171.97,170.6,171.61,33015.150357000006,141452728.2909541358068758
1774375200000,2026-03-24T18:00:00Z,171.6348,172.738,171.0756,172.2672,29748.759771000005,127847071.1168308501877985
1774378800000,2026-03-24T19:00:00Z,172.4828,172.768,171.0094,171.6256,78605.32838600001,337492150.357013492135022
1774382400000,2026-03-24T20:00:00Z,171.626,174.1124,171.626,173.36,2396.04165,10326667.80037689
