ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1782921600000,2026-07-01T16:00:00Z,31.045,33,30.7,32.58,5663238.957699999,178791851.83796359
1782925200000,2026-07-01T17:00:00Z,32.58,42.5,32.51,38.09,5094987.769495,190939252.15081767
1782928800000,2026-07-01T18:00:00Z,38.03,41.41,37.99,38.785,2742498.1514009996,107858338.54737421
1782932400000,2026-07-01T19:00:00Z,38.85,43.98,35.5,40.575,3227283.1836439995,126756387.96239355
1782936000000,2026-07-01T20:00:00Z,39.99,41.49,39.05,40.01,65969.4878,2649301.6453041
1782939600000,2026-07-01T21:00:00Z,42.97,43,41.25,42.97,31417,1331493.3021
1782943200000,2026-07-01T22:00:00Z,42.6,42.6,40.66,40.7,10310,427999.03
1782946800000,2026-07-01T23:00:00Z,40.65,41.3245,40,41.3245,19133,769286.2709
1782950400000,2026-07-02T00:00:00Z,40.5,40.5,38.21,39.67,16796,652656.77
1782954000000,2026-07-02T01:00:00Z,39.65,39.89,39.26,39.89,673,26681.3
1782957600000,2026-07-02T02:00:00Z,39.87,39.87,39.79,39.8,75,2989.97
1782961200000,2026-07-02T03:00:00Z,39.86,39.87,39.79,39.81,369,14708.03
1782964800000,2026-07-02T04:00:00Z,39.83,39.83,39.76,39.76,380,15133.28
1782968400000,2026-07-02T05:00:00Z,39.84,39.85,39.75,39.84,1313,52304.31
1782972000000,2026-07-02T06:00:00Z,39.76,39.84,39.76,39.84,48,1911.04
1782975600000,2026-07-02T07:00:00Z,39.84,39.84,38.83,39.75,298,11690.67
1782979200000,2026-07-02T08:00:00Z,39.27,39.99,38.44,38.5,6524,257035.1616
1782982800000,2026-07-02T09:00:00Z,38.6,39,38.0371,39,9321,359144.6547
1782986400000,2026-07-02T10:00:00Z,38.5,39.4,38.5,39.39,2371,92927.5514
1782990000000,2026-07-02T11:00:00Z,39.4,39.5,36,37.79,32712,1240026.8688
1782993600000,2026-07-02T12:00:00Z,37.84,38.11,37.57,37.84,16747,633827.0584
1782997200000,2026-07-02T13:00:00Z,39.89,40.5,37.21,37.79,996221.9289749999,38733805.95389828
1783000800000,2026-07-02T14:00:00Z,38,38.23,36.31,37.99,1264417.8556749998,47092610.82568753
1783004400000,2026-07-02T15:00:00Z,38,38.285,36.025,36.52,993178.0830179994,36509524.28516656
1783008000000,2026-07-02T16:00:00Z,36.53,36.9,35.12,35.23,750518.1210859999,27153820.67270358
1783011600000,2026-07-02T17:00:00Z,35.27,35.76,34.25,34.74,1491280.3342389995,51881195.44407452
1783015200000,2026-07-02T18:00:00Z,34.73,37,34.3,36.765,527891.1025139999,18691304.21226445
1783018800000,2026-07-02T19:00:00Z,36.63,37.055,35.595,36.5,1138411.634349,41469489.8102482
1783022400000,2026-07-02T20:00:00Z,35.93,36.39,35.11,36.39,22527,808390.4058
1783026000000,2026-07-02T21:00:00Z,35.6,35.93,35.28,35.93,602,21427.889
1783029600000,2026-07-02T22:00:00Z,35.55,35.55,35.005,35.005,3227,113150.8826
1783033200000,2026-07-02T23:00:00Z,35.5,35.5,35.5,35.5,100,3550
1783296000000,2026-07-06T00:00:00Z,36.01,36.01,35.76,35.77,549,19714.13
