ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1773676800000,2026-03-16T16:00:00Z,106.73,107,106.3,106.635,607752.056791,64843680.2728759913
1773680400000,2026-03-16T17:00:00Z,106.68,107.1,106.37,106.545,620149.6927870001,66207739.33666363897609
1773684000000,2026-03-16T18:00:00Z,106.57,107.2888,106.45,106.67,593176.3391329999,63359300.21761659811864
1773687600000,2026-03-16T19:00:00Z,106.7,107.42,106.5,107.13,1509202.5100539995,161592425.6349958020643
1773691200000,2026-03-16T20:00:00Z,107.12,107.8166,106.2,107.8166,43533.522993,4662762.4606204482
1773694800000,2026-03-16T21:00:00Z,107,107,106.99,107,1261,134924.478
1773698400000,2026-03-16T22:00:00Z,106.7847,107.6137,106.7847,107.6137,2064,221013.7392
1773702000000,2026-03-16T23:00:00Z,106.99,107.1,106.81,107.05,3362,359783.0852
1773705600000,2026-03-17T00:00:00Z,107.3,107.41,107,107.05,82,8777.28
1773709200000,2026-03-17T01:00:00Z,107.05,107.05,106.85,106.85,302,32278.56
1773712800000,2026-03-17T02:00:00Z,106.93,107.08,106.87,106.87,362,38720.85
1773716400000,2026-03-17T03:00:00Z,106.88,106.88,106.81,106.81,478,51075.18
1773720000000,2026-03-17T04:00:00Z,107.13,107.13,106.7,106.81,145,15504.96
1773723600000,2026-03-17T05:00:00Z,106.8,106.81,106.67,106.67,37,3951.52
1773727200000,2026-03-17T06:00:00Z,106.67,106.67,106.11,106.11,601,63823.66
1773730800000,2026-03-17T07:00:00Z,106.15,106.15,106.15,106.15,30,3184.5
1773741600000,2026-03-17T10:00:00Z,106.84,106.84,106.81,106.81,375,40061.3625
1773745200000,2026-03-17T11:00:00Z,106.86,107.01,106.86,107,11889,1272108.7332
1773748800000,2026-03-17T12:00:00Z,107,108.18,106.16,107.5,72624.704786,7785862.2010517448
1773752400000,2026-03-17T13:00:00Z,108.875,111.53,107.5,111.1,1313900.1810360001,145116333.2948831030447
1773756000000,2026-03-17T14:00:00Z,110.92,111.11,109.72,110.825,1287544.9683850002,142378782.67596273811632
1773759600000,2026-03-17T15:00:00Z,110.84,110.9399,110.03,110.64,981392.6135249998,108432205.22241153040238
1773763200000,2026-03-17T16:00:00Z,110.56,110.68,110.08,110.55,589013.933045,65018126.2949924115
1773766800000,2026-03-17T17:00:00Z,110.59,111.55,110.57,111.45,1079223.8429400001,119937059.57029814911327
1773770400000,2026-03-17T18:00:00Z,111.45,111.73,111.01,111.655,796984.5232379999,88750044.64957092626427
1773774000000,2026-03-17T19:00:00Z,111.62,112.08,111.425,112.01,2052287.5444049998,229555955.30561352612926
1773777600000,2026-03-17T20:00:00Z,112,112.0714,111.2909,111.88,68787.50605,7703691.65005523
1773781200000,2026-03-17T21:00:00Z,111.95,112.05,111.8328,112.05,2810,314751.472
1773784800000,2026-03-17T22:00:00Z,112,112,111.3544,111.3544,1100,122554.41
1773788400000,2026-03-17T23:00:00Z,112,112,112,112,105,11755.8525
