ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1773676800000,2026-03-16T16:00:00Z,30.085,30.305,30.085,30.245,1981094.1051959998,59860541.37319181
1773680400000,2026-03-16T17:00:00Z,30.25,30.33,30.195,30.26,1502652.2994280006,45488590.93874432
1773684000000,2026-03-16T18:00:00Z,30.26,30.41,30.22,30.32,1619952.5696319998,49125547.65986128
1773687600000,2026-03-16T19:00:00Z,30.32,30.56,30.28,30.33,5183599.013796002,157613029.97338262
1773691200000,2026-03-16T20:00:00Z,30.34,30.34,30.2617,30.32,233560.73304799997,7086209.28460301
1773694800000,2026-03-16T21:00:00Z,30.31,30.33,30.31,30.33,1489.14816,45149.48306304
1773698400000,2026-03-16T22:00:00Z,30.29,30.29,30.2554,30.2554,1085,32856.2955
1773709200000,2026-03-17T01:00:00Z,30.32,30.33,30.32,30.33,26,788.46
1773712800000,2026-03-17T02:00:00Z,30.33,30.33,30.33,30.33,3,90.99
1773716400000,2026-03-17T03:00:00Z,30.33,30.33,30.33,30.33,4,121.32
1773720000000,2026-03-17T04:00:00Z,30.35,30.35,30.35,30.35,1,30.35
1773723600000,2026-03-17T05:00:00Z,30.38,30.38,30.38,30.38,12,364.56
1773727200000,2026-03-17T06:00:00Z,30.38,30.48,30.34,30.36,221,6715.76
1773730800000,2026-03-17T07:00:00Z,30.34,30.34,30.34,30.34,3,91.02
1773748800000,2026-03-17T12:00:00Z,30.0347,30.4,30.0347,30.4,958.498675,28939.18369534
1773752400000,2026-03-17T13:00:00Z,30.575,30.79,30.339,30.58,1581741.9900079998,48356699.77012657
1773756000000,2026-03-17T14:00:00Z,30.58,30.63,30.42,30.57,1604129.771796,48968627.89170777
1773759600000,2026-03-17T15:00:00Z,30.57,30.605,30.42,30.455,1641703.199386,50121691.1882144
1773763200000,2026-03-17T16:00:00Z,30.455,30.51,30.41,30.43,1436099.9834260002,43734988.89525541
1773766800000,2026-03-17T17:00:00Z,30.42,30.495,30.37,30.425,1689783.5774160002,51443771.23085271
1773770400000,2026-03-17T18:00:00Z,30.43,30.435,30.17,30.235,2894593.651773,87623402.27028119
1773774000000,2026-03-17T19:00:00Z,30.235,30.295,30.045,30.075,6455049.65562,194500328.69831403
1773777600000,2026-03-17T20:00:00Z,30.08,30.2,30.08,30.09,206221.56117,6203845.71330158
1773781200000,2026-03-17T21:00:00Z,30.1,30.12,30.1,30.12,10417,313565.2421
1773784800000,2026-03-17T22:00:00Z,30.1,30.11,30.1,30.1,2821,84915.4852
1773788400000,2026-03-17T23:00:00Z,30.118,30.118,30.118,30.118,100,3011.8
1773792000000,2026-03-18T00:00:00Z,30.48,30.49,30.46,30.46,188,5731.51
1773795600000,2026-03-18T01:00:00Z,30.21,30.21,30.21,30.21,13,392.73
1773806400000,2026-03-18T04:00:00Z,30.21,30.21,30.21,30.21,11,332.31
1773810000000,2026-03-18T05:00:00Z,30.09,30.09,30.09,30.09,4,120.36
1773817200000,2026-03-18T07:00:00Z,30.11,30.11,30.11,30.11,25,752.75
1773828000000,2026-03-18T10:00:00Z,30.23,30.3,30.23,30.3,282,8533.3764
1773831600000,2026-03-18T11:00:00Z,30.37,30.37,30.37,30.37,100,3037
1773835200000,2026-03-18T12:00:00Z,30.3597,30.3597,30.12,30.12,5264,158719.0752
1773838800000,2026-03-18T13:00:00Z,29.93,30.11,29.3045,29.35,2284235.3594450005,67834709.04590224
1773842400000,2026-03-18T14:00:00Z,29.385,29.45,29.025,29.11,3533334.1466820007,103105163.73408346
1773846000000,2026-03-18T15:00:00Z,29.11,29.11,28.785,28.865,3355344.0677339993,96893612.78158179
1773849600000,2026-03-18T16:00:00Z,28.87,28.95,28.78,28.795,2729326.012801999,78825391.64313325
1773853200000,2026-03-18T17:00:00Z,28.795,28.85,28.71,28.805,2580006.23105,74236841.2916096
1773856800000,2026-03-18T18:00:00Z,28.81,28.835,28.7,28.785,3010518.282365999,86587623.68192615
1773860400000,2026-03-18T19:00:00Z,28.785,28.82,28.53,28.58,6972978.125101,199784190.85789377
1773864000000,2026-03-18T20:00:00Z,28.57,28.7447,28.5,28.5502,2352221.721826,67215441.3676945
1773867600000,2026-03-18T21:00:00Z,28.56,28.6425,28.5402,28.6,9039,258236.0949
1773871200000,2026-03-18T22:00:00Z,28.51,28.57,28.51,28.5601,4515.544644,129011.81980587
1773874800000,2026-03-18T23:00:00Z,28.6,28.6,28.6,28.6,239,6835.4
1773878400000,2026-03-19T00:00:00Z,28.71,28.71,28.51,28.51,12,342.66
1773882000000,2026-03-19T01:00:00Z,28.65,28.65,28.61,28.64,217,6215.74
