ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1773676800000,2026-03-16T16:00:00Z,9.675,9.74,9.5208,9.65,1468225.1350359994,14144734.12842331
1773680400000,2026-03-16T17:00:00Z,9.6,9.835,9.5501,9.835,1023759.1501080001,9941827.4826138
1773684000000,2026-03-16T18:00:00Z,9.84,10.03,9.8107,9.87,1237182.9429159998,12294010.62205058
1773687600000,2026-03-16T19:00:00Z,9.855,9.97,9.77,9.88,1174985.6486339998,11558451.32417752
1773691200000,2026-03-16T20:00:00Z,9.97,9.97,9.82,9.97,124892.326877,1235472.36516535
1773694800000,2026-03-16T21:00:00Z,9.9303,9.98,9.92,9.94,96315,958180.146
1773698400000,2026-03-16T22:00:00Z,9.95,10.02,9.94,10,196053.850194,1959146.51960362
1773702000000,2026-03-16T23:00:00Z,9.9984,10.05,9.95,10.05,158087,1579399.7909
1773705600000,2026-03-17T00:00:00Z,10.05,10.27,9.95,10.17,129980,1321954.74
1773709200000,2026-03-17T01:00:00Z,10.17,10.3,10.06,10.11,182726,1861199.55
1773712800000,2026-03-17T02:00:00Z,10.11,10.12,9.97,9.97,75611,760070.21
1773716400000,2026-03-17T03:00:00Z,9.98,10.04,9.77,9.85,113224,1119940
1773720000000,2026-03-17T04:00:00Z,9.87,9.95,9.82,9.93,76224,754244.19
1773723600000,2026-03-17T05:00:00Z,9.93,9.97,9.8,9.8,61288,605709.55
1773727200000,2026-03-17T06:00:00Z,9.8,9.85,9.74,9.79,94410,924556.52
1773730800000,2026-03-17T07:00:00Z,9.78,9.93,9.78,9.82,43255,427514.11
1773734400000,2026-03-17T08:00:00Z,9.9,10.01,9.87,9.955,116041,1155280.9878
1773738000000,2026-03-17T09:00:00Z,9.96,9.99,9.905,9.93,72121,718043.8881
1773741600000,2026-03-17T10:00:00Z,9.92,9.93,9.79,9.82,106908,1052081.628
1773745200000,2026-03-17T11:00:00Z,9.82,10.15,9.81,9.95,345043,3446876.0571
1773748800000,2026-03-17T12:00:00Z,9.96,10.1008,9.75,9.94,924857.493098,9192528.56689826
1773752400000,2026-03-17T13:00:00Z,9.94,10.41,9.75,10.07,3583996.774635,36486520.76449415
1773756000000,2026-03-17T14:00:00Z,10.115,10.37,9.98,10.285,2512570.590874001,25611134.54689687
1773759600000,2026-03-17T15:00:00Z,10.3,10.43,9.96,10.03,2129628.1450629993,21598049.75878542
1773763200000,2026-03-17T16:00:00Z,10.01,10.28,9.99,10.22,1455951.8203410003,14745443.25086755
1773766800000,2026-03-17T17:00:00Z,10.27,10.84,10.27,10.84,2634305.681119,27730282.18286727
1773770400000,2026-03-17T18:00:00Z,10.71,10.8074,10.61,10.67,1883456.5865139998,20177470.41132448
1773774000000,2026-03-17T19:00:00Z,10.695,10.695,10.43,10.52,1145412.727081,12099452.80124744
1773777600000,2026-03-17T20:00:00Z,10.54,10.6,10.52,10.54,114709.347885,1212248.38844868
1773781200000,2026-03-17T21:00:00Z,10.55,10.6,10.54,10.54,88202,931739.4674
1773784800000,2026-03-17T22:00:00Z,10.54,10.5561,10.45,10.46,130475,1368604.465
1773788400000,2026-03-17T23:00:00Z,10.46,10.509,10.46,10.509,58656,614879.1168
1773792000000,2026-03-18T00:00:00Z,10.49,10.54,10.35,10.43,63472,663007.58
1773795600000,2026-03-18T01:00:00Z,10.45,10.62,10.43,10.58,46931,494119.64
1773799200000,2026-03-18T02:00:00Z,10.59,10.75,10.57,10.68,79285,846610.19
1773802800000,2026-03-18T03:00:00Z,10.69,10.76,10.6,10.75,61551,658361.18
1773806400000,2026-03-18T04:00:00Z,10.75,10.75,10.62,10.66,29585,316113.65
1773810000000,2026-03-18T05:00:00Z,10.66,10.71,10.55,10.59,40097,426073.21
1773813600000,2026-03-18T06:00:00Z,10.6,10.73,10.57,10.64,62578,665029.12
1773817200000,2026-03-18T07:00:00Z,10.63,10.66,10.56,10.6,36529,387142.63
1773820800000,2026-03-18T08:00:00Z,10.6,10.78,10.6,10.71,278653,2985822.6256
1773824400000,2026-03-18T09:00:00Z,10.72,11.07,10.71,10.91,370835,4060161.1645
1773828000000,2026-03-18T10:00:00Z,10.91,10.96,10.78,10.8,222770,2419772.294
1773831600000,2026-03-18T11:00:00Z,10.8,10.85,10.4,10.4,598373,6323187.0029
1773835200000,2026-03-18T12:00:00Z,10.39,11.07,9.91,9.97,2354999.5763439997,24211750.64439266
1773838800000,2026-03-18T13:00:00Z,9.95,10.225,9.762,10.15,3110200.971479,31274625.86870708
1773842400000,2026-03-18T14:00:00Z,10.145,10.18,9.615,9.715,2937179.8886269997,28856911.25179368
1773846000000,2026-03-18T15:00:00Z,9.745,9.8974,9.65,9.775,1203189.9030510003,11795953.4905217
1773849600000,2026-03-18T16:00:00Z,9.825,9.836,9.64,9.725,1071289.6919880002,10431469.11779475
1773853200000,2026-03-18T17:00:00Z,9.695,10.255,9.67,10.235,1481306.558027,14873206.6265259
1773856800000,2026-03-18T18:00:00Z,10.215,10.39,9.9803,10.025,2139878.7267589998,21872556.41769444
1773860400000,2026-03-18T19:00:00Z,10.045,10.1492,9.715,9.74,1635879.493258,16282399.36024485
1773864000000,2026-03-18T20:00:00Z,9.72,9.84,9.66,9.82,445472.055326,4332349.37966195
1773867600000,2026-03-18T21:00:00Z,9.8,9.84,9.78,9.81,76717,752448.0077
1773871200000,2026-03-18T22:00:00Z,9.8097,9.81,9.63,9.6791,177071,1718544.8834
1773874800000,2026-03-18T23:00:00Z,9.68,9.8,9.68,9.73,166085,1617933.636
1773878400000,2026-03-19T00:00:00Z,9.73,9.85,9.71,9.73,52974,517240.53
1773882000000,2026-03-19T01:00:00Z,9.74,9.83,9.69,9.82,51363,500788.7
1773885600000,2026-03-19T02:00:00Z,9.82,9.9,9.73,9.82,59446,584936.16
1773889200000,2026-03-19T03:00:00Z,9.82,9.97,9.82,9.88,91364,903502.72
1773892800000,2026-03-19T04:00:00Z,9.88,9.88,9.7,9.74,47839,467343.35
1773896400000,2026-03-19T05:00:00Z,9.74,9.79,9.71,9.75,30891,300996.61
1773900000000,2026-03-19T06:00:00Z,9.72,9.77,9.63,9.63,44244,429326.91
1773903600000,2026-03-19T07:00:00Z,9.65,9.68,9.32,9.47,155610,1470729.61
1773907200000,2026-03-19T08:00:00Z,9.5,9.59,9.33,9.34,395647,3723038.27
1773910800000,2026-03-19T09:00:00Z,9.34,9.565,9.34,9.53,287144,2708715.4952
1773914400000,2026-03-19T10:00:00Z,9.53,9.55,9.42,9.435,124886,1184256.4722
1773918000000,2026-03-19T11:00:00Z,9.45,9.5,9.27,9.34,207491,1941348.0433
1773921600000,2026-03-19T12:00:00Z,9.28,9.87,9.03,9.06,1506447.439138,14010413.11821514
1773925200000,2026-03-19T13:00:00Z,9.04,9.55,8.73,9.445,5302242.018686,48272141.56231921
1773928800000,2026-03-19T14:00:00Z,9.47,9.525,9.075,9.37,2281025.769108,21268512.3737399
1773932400000,2026-03-19T15:00:00Z,9.445,9.5,9.15,9.335,1350064.1334229999,12582597.72350236
1773936000000,2026-03-19T16:00:00Z,9.325,9.42,9.08,9.12,1072837.3334070002,9896924.40067958
1773939600000,2026-03-19T17:00:00Z,9.105,9.355,9.0004,9.35,1057683.9729779998,9662577.70353781
1773943200000,2026-03-19T18:00:00Z,9.335,9.665,9.31,9.55,1122258.9626329998,10644289.58288521
1773946800000,2026-03-19T19:00:00Z,9.78,10.0197,9.625,9.77,1659404.9567599997,16368370.49348064
1773950400000,2026-03-19T20:00:00Z,9.75,9.85,9.74,9.81,146999.567874,1441360.16291814
1773954000000,2026-03-19T21:00:00Z,9.79,9.83,9.7801,9.82,81616.2,800556.98256
1773957600000,2026-03-19T22:00:00Z,9.8,9.86,9.78,9.8,85968,843036.5952
1773961200000,2026-03-19T23:00:00Z,9.7914,9.8099,9.77,9.77,39432,385794.8016
1773964800000,2026-03-20T00:00:00Z,9.78,9.84,9.7,9.8,53703,525396.62
1773968400000,2026-03-20T01:00:00Z,9.81,10,9.79,9.91,95117,942080.91
1773972000000,2026-03-20T02:00:00Z,9.91,9.92,9.79,9.89,27948,275790.54
1773975600000,2026-03-20T03:00:00Z,9.9,9.98,9.85,9.93,33848,336366.53
1773979200000,2026-03-20T04:00:00Z,9.94,9.99,9.88,9.9,59990,595493.82
1773982800000,2026-03-20T05:00:00Z,9.89,9.92,9.81,9.83,44680,441082.05
1773986400000,2026-03-20T06:00:00Z,9.85,9.87,9.76,9.79,54104,530261.3
1773990000000,2026-03-20T07:00:00Z,9.79,9.91,9.72,9.85,48676,476512.22
1773993600000,2026-03-20T08:00:00Z,9.86,9.95,9.81,9.89,159922,1582604.1042
1773997200000,2026-03-20T09:00:00Z,9.89,9.9,9.64,9.69,189170,1847207.216
1774000800000,2026-03-20T10:00:00Z,9.67,9.67,9.48,9.64,186181,1782887.8741
1774004400000,2026-03-20T11:00:00Z,9.65,9.74,9.6,9.65,156184,1507800.336
1774008000000,2026-03-20T12:00:00Z,9.67,9.99,9.48,9.67,614359.829502,5997319.21961557
1774011600000,2026-03-20T13:00:00Z,9.67,9.795,9.3301,9.37,3071049.8806680003,29404688.39741997
1774015200000,2026-03-20T14:00:00Z,9.37,9.74,9.27,9.695,3123969.685788,29740503.80567034
1774018800000,2026-03-20T15:00:00Z,9.775,9.775,9.37,9.6,1911935.9565270008,18217690.56817187
1774022400000,2026-03-20T16:00:00Z,9.675,9.7007,9.275,9.34,1353988.1810720002,12834047.77192717
1774026000000,2026-03-20T17:00:00Z,9.29,9.345,9.03,9.11,1714949.8368000009,15720087.67902721
1774029600000,2026-03-20T18:00:00Z,9.17,9.24,8.99,9.08,1278008.161777,11634347.30073692
1774033200000,2026-03-20T19:00:00Z,9.085,9.27,9.005,9.265,2299466.1291289995,21026778.1779814
1774036800000,2026-03-20T20:00:00Z,9.24,9.27,9.23,9.23,189287.441503,1750587.04525219
1774040400000,2026-03-20T21:00:00Z,9.25,9.48,9.24,9.4474,231196,2176155.4696
1774044000000,2026-03-20T22:00:00Z,9.43,9.51,9.4141,9.44,114708,1085126.2092
1774047600000,2026-03-20T23:00:00Z,9.44,9.45,9.3,9.35,62411.586961,584840.25793544
1774224000000,2026-03-23T00:00:00Z,9.18,9.2,8.48,8.58,238282,2066377.04
1774227600000,2026-03-23T01:00:00Z,8.58,8.78,8.54,8.74,143428,1243840.32
1774231200000,2026-03-23T02:00:00Z,8.73,8.89,8.73,8.84,74324,655487.05
1774234800000,2026-03-23T03:00:00Z,8.83,8.9,8.74,8.75,43187,381152.78
1774238400000,2026-03-23T04:00:00Z,8.75,8.86,8.72,8.84,20564,180544.06
1774242000000,2026-03-23T05:00:00Z,8.84,8.92,8.81,8.88,33766,299214.93
1774245600000,2026-03-23T06:00:00Z,8.88,8.89,8.51,8.54,106181,915111.34
1774249200000,2026-03-23T07:00:00Z,8.54,8.74,8.49,8.66,127628,1095116.34
1774252800000,2026-03-23T08:00:00Z,8.71,8.91,8.68,8.83,403039,3544607.0933
1774256400000,2026-03-23T09:00:00Z,8.83,8.86,8.6,8.72,370787,3237081.7461
1774260000000,2026-03-23T10:00:00Z,8.72,8.82,8.64,8.74,359832,3145795.2768
1774263600000,2026-03-23T11:00:00Z,8.755,9.79,8.73,9.26,3058779,28951343.235
1774267200000,2026-03-23T12:00:00Z,9.25,9.7791,8.5,9.43,2819547.66728,26152714.38785564
1774270800000,2026-03-23T13:00:00Z,9.49,9.78,9.17,9.74,3221680.478964,30662988.29463566
1774274400000,2026-03-23T14:00:00Z,9.585,9.82,9.49,9.635,2591670.1335619995,25011690.12498014
1774278000000,2026-03-23T15:00:00Z,9.635,9.785,9.125,9.15,2507104.947408,23722979.14385872
1774281600000,2026-03-23T16:00:00Z,9.195,9.48,9.11,9.26,1977153.8470840002,18388321.63942004
1774285200000,2026-03-23T17:00:00Z,9.29,9.75,9.1795,9.735,1606252.2970160001,15164467.31089836
1774288800000,2026-03-23T18:00:00Z,9.71,9.79,9.57,9.75,1311898.6657660003,12738536.04458786
1774292400000,2026-03-23T19:00:00Z,9.79,9.835,9.525,9.545,1477415.1562719997,14306992.89030679
1774296000000,2026-03-23T20:00:00Z,9.49,9.57,9.43,9.55,129389.892292,1230446.11974
1774299600000,2026-03-23T21:00:00Z,9.54,9.56,9.5,9.53,27443,261507.0913
1774303200000,2026-03-23T22:00:00Z,9.52,9.52,9.47,9.52,36251,344279.3721
1774306800000,2026-03-23T23:00:00Z,9.54,9.5899,9.47,9.5899,49867,474005.7818
1774310400000,2026-03-24T00:00:00Z,9.59,9.62,9.39,9.4,67367,637150.29
1774314000000,2026-03-24T01:00:00Z,9.4,9.43,9.28,9.3,64612,605514.43
1774317600000,2026-03-24T02:00:00Z,9.3,9.39,9.3,9.36,35433,331139.49
1774321200000,2026-03-24T03:00:00Z,9.35,9.42,9.34,9.4,12071,113129.69
1774324800000,2026-03-24T04:00:00Z,9.4,9.45,9.33,9.37,14713,138048.09
1774328400000,2026-03-24T05:00:00Z,9.34,9.39,9.3,9.36,24004,224066.21
1774332000000,2026-03-24T06:00:00Z,9.36,9.46,9.34,9.44,21936,206211.71
1774335600000,2026-03-24T07:00:00Z,9.43,9.63,9.43,9.59,78443,750102.37
1774339200000,2026-03-24T08:00:00Z,9.6,9.73,9.5,9.51,243385,2336252.615
1774342800000,2026-03-24T09:00:00Z,9.51,9.68,9.45,9.645,142205,1356706.8025
1774346400000,2026-03-24T10:00:00Z,9.65,9.67,9.53,9.575,124473,1194542.4864
1774350000000,2026-03-24T11:00:00Z,9.58,9.63,9.45,9.58,153811,1470140.9191
1774353600000,2026-03-24T12:00:00Z,9.6,9.71,9.3,9.45,552165.21806,5251422.52288144
1774357200000,2026-03-24T13:00:00Z,9.43,9.635,8.935,9.07,4139212.314057,38293508.80226693
1774360800000,2026-03-24T14:00:00Z,9.06,9.17,7.8,7.975,11678128.642124001,96609654.81769922
1774364400000,2026-03-24T15:00:00Z,8.045,8.15,7.69,7.85,6201206.772886003,49374628.44639564
1774368000000,2026-03-24T16:00:00Z,7.875,7.9397,7.62,7.64,2683817.3594389996,20938874.65660713
1774371600000,2026-03-24T17:00:00Z,7.64,7.7,7.345,7.38,3452688.031183002,25852001.63348273
1774375200000,2026-03-24T18:00:00Z,7.385,7.97,7.385,7.695,3144671.167338,24203590.57365038
1774378800000,2026-03-24T19:00:00Z,7.68,7.83,7.635,7.65,2208138.632257,17075977.67096983
1774382400000,2026-03-24T20:00:00Z,7.65,7.89,7.6,7.81,562937.7766269998,4365132.10752108
1774386000000,2026-03-24T21:00:00Z,7.8198,7.85,7.79,7.83,283335.255649,2215115.02866388
1774389600000,2026-03-24T22:00:00Z,7.84,7.87,7.81,7.8499,186183,1459879.5213
1774393200000,2026-03-24T23:00:00Z,7.8401,7.9,7.84,7.8697,200755.847328,1581514.41408052
1774396800000,2026-03-25T00:00:00Z,7.91,8.08,7.86,8.05,215546,1725192.18
1774400400000,2026-03-25T01:00:00Z,8.05,8.06,7.95,8,141303,1131970.94
1774404000000,2026-03-25T02:00:00Z,7.98,8,7.88,7.89,70030,555331.35
1774407600000,2026-03-25T03:00:00Z,7.88,7.98,7.86,7.96,55999,443440.96
1774411200000,2026-03-25T04:00:00Z,7.96,8.03,7.94,8.03,57383,458568.81
1774414800000,2026-03-25T05:00:00Z,8.03,8.08,8,8.01,69936,562384.64
1774418400000,2026-03-25T06:00:00Z,8.03,8.08,7.98,8.02,56126,449868.53
1774422000000,2026-03-25T07:00:00Z,8.03,8.08,8,8.04,41107,330586.03
1774425600000,2026-03-25T08:00:00Z,8.09,8.185,8.04,8.09,196265,1592670.8485
1774429200000,2026-03-25T09:00:00Z,8.1,8.135,8.05,8.11,88186,714659.344
1774432800000,2026-03-25T10:00:00Z,8.11,8.14,8.075,8.075,62926,510449.4194
1774436400000,2026-03-25T11:00:00Z,8.075,8.13,8.025,8.08,136128,1100159.2704
1774440000000,2026-03-25T12:00:00Z,8.06,8.19,7.93,8.08,1134760.760801,9129944.65317661
1774443600000,2026-03-25T13:00:00Z,8.05,8.475,7.97,8.225,3595669.0631199996,29661033.66858319
1774447200000,2026-03-25T14:00:00Z,8.26,8.41,8.1334,8.175,2377032.796968,19611471.38810479
1774450800000,2026-03-25T15:00:00Z,8.16,8.1901,7.815,7.865,2472635.462965,19732620.04864589
1774454400000,2026-03-25T16:00:00Z,7.815,8.1,7.7803,7.955,1849960.9837980003,14653355.95656558
1774458000000,2026-03-25T17:00:00Z,7.94,7.955,7.58,7.73,2251710.00068,17343571.10923763
1774461600000,2026-03-25T18:00:00Z,7.66,7.74,7.6079,7.62,915704.383454,7025925.02292751
1774465200000,2026-03-25T19:00:00Z,7.6,7.83,7.59,7.675,1133482.9976169998,8768964.5144644
1774468800000,2026-03-25T20:00:00Z,7.66,7.6976,7.64,7.66,147824.834818,1132929.53404515
1774472400000,2026-03-25T21:00:00Z,7.685,7.7,7.66,7.6701,89425.529258,686823.83491314
1774476000000,2026-03-25T22:00:00Z,7.67,7.72,7.66,7.69,133166.8177,1023520.1608422
1774479600000,2026-03-25T23:00:00Z,7.6937,7.7,7.62,7.671,126150.267015,966411.96554851
1774483200000,2026-03-26T00:00:00Z,7.69,7.76,7.65,7.72,38541,296972.33
1774486800000,2026-03-26T01:00:00Z,7.71,7.75,7.69,7.71,34127,263117.22
1774490400000,2026-03-26T02:00:00Z,7.71,7.72,7.54,7.59,71394,544349.91
1774494000000,2026-03-26T03:00:00Z,7.58,7.65,7.57,7.65,28685,218136.63
1774497600000,2026-03-26T04:00:00Z,7.65,7.66,7.58,7.6,18069,137450.61
1774501200000,2026-03-26T05:00:00Z,7.59,7.6,7.42,7.43,90818,682438.77
1774504800000,2026-03-26T06:00:00Z,7.43,7.5,7.4,7.49,99470,739786.98
1774508400000,2026-03-26T07:00:00Z,7.49,7.5,7.41,7.43,54170,403077.74
1774512000000,2026-03-26T08:00:00Z,7.46,7.54,7.345,7.44,233853,1736335.1397
