ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1773676800000,2026-03-16T16:00:00Z,123.08,124.42,122.47,123.82,1018137.1700149997,125695447.90252281
1773680400000,2026-03-16T17:00:00Z,124.1,124.98,123.3,124.75,881682.703487,109650910.2605125
1773684000000,2026-03-16T18:00:00Z,124.79,126.48,124.635,125.32,1742402.4368569995,219041243.62265449
1773687600000,2026-03-16T19:00:00Z,125.36,126.51,124.455,125.91,2301483.677475,289175210.06880457
1773691200000,2026-03-16T20:00:00Z,125.99,126.7897,125.5302,126.59,390630.70407899993,49240601.83504467
1773694800000,2026-03-16T21:00:00Z,126.66,127.15,126.65,126.78,64992.329308,8247929.54162691
1773698400000,2026-03-16T22:00:00Z,126.8353,126.98,126.61,126.7,24106.852542000004,3056753.72369611
1773702000000,2026-03-16T23:00:00Z,126.77,127.9,126.65,127.85,80556.380669,10250654.43864505
1773705600000,2026-03-17T00:00:00Z,126.77,129.71,126.77,129.6,81356,10500246.38
1773709200000,2026-03-17T01:00:00Z,129.61,129.64,128.5,128.85,60420,7798776.43
1773712800000,2026-03-17T02:00:00Z,128.81,129.12,128.19,128.2,52907,6815951.21
1773716400000,2026-03-17T03:00:00Z,128.21,128.39,126.87,127.84,44139,5631319.64
1773720000000,2026-03-17T04:00:00Z,127.95,128.64,127.48,128.33,27541,3526087.84
1773723600000,2026-03-17T05:00:00Z,128.32,128.49,127.01,127.15,29080,3713014.76
1773727200000,2026-03-17T06:00:00Z,127.18,127.36,126,126.39,62247,7878613.86
1773730800000,2026-03-17T07:00:00Z,126.24,127.58,126.16,126.68,20432,2592317.24
1773734400000,2026-03-17T08:00:00Z,127.67,128.01,126.75,126.85,88009,11212496.2153
1773738000000,2026-03-17T09:00:00Z,127.1,127.3,126.56,126.75,59390,7542850.706
1773741600000,2026-03-17T10:00:00Z,126.83,126.88,126.12,126.68,50527,6390048.636
1773745200000,2026-03-17T11:00:00Z,126.81,127.34,126.6,126.77,90580,11505553.122
1773748800000,2026-03-17T12:00:00Z,126.82,128.58,124.97,125.01,525771.6934780001,66535724.30643939
1773752400000,2026-03-17T13:00:00Z,124,125.83,122.7401,125.035,2306703.266947,287400694.83101443
1773756000000,2026-03-17T14:00:00Z,124.94,128.2,124.1205,127.94,2731852.6333809993,346336627.67266962
1773759600000,2026-03-17T15:00:00Z,127.77,129.1,127.34,127.88,2131569.078125,273517188.86848906
1773763200000,2026-03-17T16:00:00Z,127.77,130.645,127.71,130.63,1713822.945017,221492078.06187406
