ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1773676800000,2026-03-16T16:00:00Z,84.64,84.95,83.1,83.34,2274513.2171799997,191619095.39718969072614
1773680400000,2026-03-16T17:00:00Z,83.405,84.01,83.29,83.88,1427379.6606649994,119411727.6519125198052
1773684000000,2026-03-16T18:00:00Z,83.86,86,83.76,85.66,2646962.939162,226006430.7233507946
1773687600000,2026-03-16T19:00:00Z,85.72,87.58,85.52,85.79,4796805.969069,414173016.1903092015
1773691200000,2026-03-16T20:00:00Z,85.61,86.01,85.35,85.61,215501.12034199998,18458532.96177366628692
1773694800000,2026-03-16T21:00:00Z,85.64,85.67,85.4,85.52,32856.205606999996,2812550.3411292922575928
1773698400000,2026-03-16T22:00:00Z,85.4,85.6,85.25,85.25,17614.032675,1505663.3656884075
1773702000000,2026-03-16T23:00:00Z,85.45,85.6,85.271,85.6,25495.012243,2178694.1177341351
1773705600000,2026-03-17T00:00:00Z,85.96,86.11,85.05,85.08,11482,979828.13
1773709200000,2026-03-17T01:00:00Z,85.14,85.55,85.14,85.35,6620,565336.96
1773712800000,2026-03-17T02:00:00Z,85.37,85.52,85.22,85.23,4479,382340.96
1773716400000,2026-03-17T03:00:00Z,85.23,85.25,84.8,84.88,9124,776172.17
1773720000000,2026-03-17T04:00:00Z,84.9,85.36,84.86,85.3,3367,286424.76
1773723600000,2026-03-17T05:00:00Z,85.29,85.39,84.9,84.91,5247,447109.14
1773727200000,2026-03-17T06:00:00Z,84.91,84.92,84.47,84.67,18003,1525627.36
1773730800000,2026-03-17T07:00:00Z,84.67,85,84.52,84.71,6189,524632.28
1773734400000,2026-03-17T08:00:00Z,85.1,85.1,84.5,84.7,18423,1560306.5082
1773738000000,2026-03-17T09:00:00Z,84.78,85.18,84.78,85.1,10854,922689.8568
1773741600000,2026-03-17T10:00:00Z,85.11,85.11,84.41,84.95,25987,2200308.8952
1773745200000,2026-03-17T11:00:00Z,84.94,84.94,82.78,83.1,121216,10118808.64
1773748800000,2026-03-17T12:00:00Z,83.66,85.41,82.8095,83.83,414308.43250699993,34709020.380019924735694
1773752400000,2026-03-17T13:00:00Z,83.84,84.74,82.9,84.16,3039099.2993789995,254697187.1631959352966
1773756000000,2026-03-17T14:00:00Z,84.11,85.1,83.29,83.9,2894860.112758001,243618689.7052172289556
1773759600000,2026-03-17T15:00:00Z,83.9,84.255,82.6801,83.15,2167632.7791489996,181010559.61889427549756
1773763200000,2026-03-17T16:00:00Z,83.11,84,83.06,83.28,1727453.2966969998,144380546.537935243284
1773766800000,2026-03-17T17:00:00Z,83.415,83.59,82.72,83.24,1137881.7959990003,94664938.1363408309582
1773770400000,2026-03-17T18:00:00Z,83.02,83.74,82.62,83,1415140.3916979998,117740529.67350860215988
1773774000000,2026-03-17T19:00:00Z,82.99,83.13,81.56,82.095,2759561.7036929997,226572433.90086189386865
1773777600000,2026-03-17T20:00:00Z,82.12,82.46,82,82.25,216218.61864599996,17775829.941710542511508
1773781200000,2026-03-17T21:00:00Z,82.1369,82.4,82.12,82.23,38045.039963,3130079.572875899
1773784800000,2026-03-17T22:00:00Z,82.2247,82.3,82.07,82.15,25987.013341,2134999.4628485324
1773788400000,2026-03-17T23:00:00Z,82.24,82.39,82.12,82.2417,34801.013341,2863618.7832708555
1773792000000,2026-03-18T00:00:00Z,82.32,82.91,82.32,82.9,3239,267858.92
1773795600000,2026-03-18T01:00:00Z,82.9,82.99,82.73,82.74,4495,372494.34
1773799200000,2026-03-18T02:00:00Z,82.85,83.18,82.8,82.89,7768,644722.64
1773802800000,2026-03-18T03:00:00Z,82.9,83.03,82.81,83.01,2056,170507.94
1773806400000,2026-03-18T04:00:00Z,83.01,83.18,82.87,83.18,5492,456138.47
1773810000000,2026-03-18T05:00:00Z,83.2,83.49,83.13,83.46,10160,846311.05
1773813600000,2026-03-18T06:00:00Z,83.46,83.77,83.42,83.7,8417,703824.34
1773817200000,2026-03-18T07:00:00Z,83.7,83.73,82.96,83.36,23495,1953175.54
1773820800000,2026-03-18T08:00:00Z,83.19,84.2,83.19,83.87,44936,3767946.5104
1773824400000,2026-03-18T09:00:00Z,83.88,84.02,83.69,83.85,8159,684311.648
1773828000000,2026-03-18T10:00:00Z,83.76,83.77,83.4,83.4,8424,704568.1968
1773831600000,2026-03-18T11:00:00Z,83.13,83.55,82.78,82.78,62219,5170678.8855
1773835200000,2026-03-18T12:00:00Z,83.195,84.1,80.8,80.86,379237.123559,31234765.8942787139
1773838800000,2026-03-18T13:00:00Z,80.795,83.37,80.04,83.16,2681578.853246,219251518.3569847766
1773842400000,2026-03-18T14:00:00Z,83.095,84.57,82.78,84.51,3815764.8564440003,320273933.76671329878032
1773846000000,2026-03-18T15:00:00Z,84.545,84.77,83.2,84.41,1835702.5669090005,154106679.78124051927485
1773849600000,2026-03-18T16:00:00Z,84.44,84.47,82.6854,83.395,1432434.5113430002,119658416.905037521707
