ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,8.613,8.618,8.602,8.618,22.91,197.29571
1785632400000,2026-08-02T01:00:00Z,8.618,8.618,8.571,8.612,352.07,3028.67703
1785636000000,2026-08-02T02:00:00Z,8.612,8.731,8.608,8.722,803.91,6975.34084
1785639600000,2026-08-02T03:00:00Z,8.722,8.731,8.714,8.717,70.65,616.08471
1785643200000,2026-08-02T04:00:00Z,8.717,8.717,8.705,8.717,64.06,557.95203
1785646800000,2026-08-02T05:00:00Z,8.717,8.727,8.713,8.725,40.66,354.65653
1785650400000,2026-08-02T06:00:00Z,8.725,8.827,8.661,8.702,2900.73,25400.31345
1785654000000,2026-08-02T07:00:00Z,8.702,8.702,8.627,8.674,325.85,2817.88549
1785657600000,2026-08-02T08:00:00Z,8.674,8.68,8.609,8.623,343.19,2964.81508
1785661200000,2026-08-02T09:00:00Z,8.623,8.654,8.611,8.629,36.12,311.8362
1785664800000,2026-08-02T10:00:00Z,8.629,8.653,8.619,8.643,33.78,291.40405
1785668400000,2026-08-02T11:00:00Z,8.643,8.671,8.619,8.643,115.55,999.787
1785672000000,2026-08-02T12:00:00Z,8.643,8.67,8.643,8.646,30.18,261.20339
1785675600000,2026-08-02T13:00:00Z,8.646,8.671,8.64,8.64,44.09,381.24635
1785679200000,2026-08-02T14:00:00Z,8.64,8.681,8.64,8.671,346.33,3001.42125
1785682800000,2026-08-02T15:00:00Z,8.671,8.682,8.667,8.673,332.11,2880.75078
1785686400000,2026-08-02T16:00:00Z,8.673,8.692,8.673,8.687,54.16,470.24062
1785690000000,2026-08-02T17:00:00Z,8.687,8.707,8.655,8.707,56.74,492.54037
1785693600000,2026-08-02T18:00:00Z,8.707,8.718,8.696,8.718,244.43,2128.45657
1785697200000,2026-08-02T19:00:00Z,8.718,8.735,8.702,8.735,161.23,1405.49293
1785700800000,2026-08-02T20:00:00Z,8.735,8.735,8.729,8.73,17.01,148.51822
1785704400000,2026-08-02T21:00:00Z,8.73,8.745,8.73,8.745,51.62,450.9004
1785708000000,2026-08-02T22:00:00Z,8.745,8.774,8.734,8.736,316.99,2772.66529
1785711600000,2026-08-02T23:00:00Z,8.736,8.742,8.621,8.624,1098.53,9569.87386
1785715200000,2026-08-03T00:00:00Z,8.624,8.81,8.594,8.768,9669.24,83837.06162
