ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1773676800000,2026-03-16T16:00:00Z,364.92,365.16,360.5501,361.21,416870.623341,151090421.9754627036
1773680400000,2026-03-16T17:00:00Z,361.145,362.4,359.47,360.27,300648.61336300004,108587033.515133566147036
1773684000000,2026-03-16T18:00:00Z,360.6,363.1,359.81,362.99,235187.40984000004,85125918.360401126477972
1773687600000,2026-03-16T19:00:00Z,363.175,363.66,359.36,361.09,791969.4324600002,286418279.55134294433064
1773691200000,2026-03-16T20:00:00Z,361.04,370,358.57,362.13,17482.76967,6336329.163253176
1773694800000,2026-03-16T21:00:00Z,363,363,361.8,361.8,464,168111.0512
1773698400000,2026-03-16T22:00:00Z,361.04,364.38,361.04,363.41,1438,522518.5824
1773702000000,2026-03-16T23:00:00Z,364.26,364.45,364.26,364.45,282,102759.249
1773705600000,2026-03-17T00:00:00Z,365.01,365.01,363.39,364.37,435,158322.22
1773709200000,2026-03-17T01:00:00Z,363.72,365.2,363.68,365.2,360,131056.64
1773712800000,2026-03-17T02:00:00Z,366.74,368.27,366.52,367.69,476,175166.07
1773716400000,2026-03-17T03:00:00Z,367.7,367.7,366.11,366.29,187,68501.92
1773720000000,2026-03-17T04:00:00Z,366.27,366.4,366.27,366.35,77,28208.49
1773723600000,2026-03-17T05:00:00Z,366.5,366.92,365.49,365.5,440,161098.37
1773727200000,2026-03-17T06:00:00Z,365.59,366.26,364.61,365.17,358,130715.67
1773730800000,2026-03-17T07:00:00Z,365.13,365.59,364.59,364.61,59,21528.74
1773741600000,2026-03-17T10:00:00Z,365.85,366.25,365.85,366.25,251,91935.6525
1773745200000,2026-03-17T11:00:00Z,365.2,366.5,365.2,365.36,778,284780.2092
1773748800000,2026-03-17T12:00:00Z,365.36,368,365.03,366.77,3391.215895,1243389.6470233395
1773752400000,2026-03-17T13:00:00Z,362.72,367.5,361.5001,363.19,158082.58510299993,57456111.475971473458059
1773756000000,2026-03-17T14:00:00Z,362.72,363.62,355.26,361.32,241751.96488200003,86757213.359649004166061
1773759600000,2026-03-17T15:00:00Z,361.33,361.37,358.27,359.18,172576.32196099998,62080189.99374267880548
1773763200000,2026-03-17T16:00:00Z,359.36,361.27,358.21,360.77,195385.06617200008,70332312.884282673197416
1773766800000,2026-03-17T17:00:00Z,360.96,362.74,360.6569,362.65,118612.90828300001,42900853.709770879316879
1773770400000,2026-03-17T18:00:00Z,362.77,363.83,361.94,363.38,186082.89964400002,67542398.434042900859388
1773774000000,2026-03-17T19:00:00Z,363.45,364.04,362.57,363.93,475828.510606,172883058.2555843436
1773777600000,2026-03-17T20:00:00Z,363.95,364.38,363.95,364.38,5679.8357,2067503.92953489
1773781200000,2026-03-17T21:00:00Z,363.5895,363.5895,363.5895,363.5895,100,36358.95
1773784800000,2026-03-17T22:00:00Z,364.38,365.7335,363.95,363.95,917,334797.4336
1773788400000,2026-03-17T23:00:00Z,362.5573,362.5573,362.5573,362.5573,503,182373.5148
1773792000000,2026-03-18T00:00:00Z,364.77,365.92,364.77,365.72,84,30696.54
1773795600000,2026-03-18T01:00:00Z,365.96,366.7,365.96,366.51,198,72528.33
