ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1773676800000,2026-03-16T16:00:00Z,84.68,84.83,84.52,84.64,597085.1573059999,50560215.78442038193216
1773680400000,2026-03-16T17:00:00Z,84.695,84.92,84.6626,84.805,777070.1323879999,65897179.07378040631979
1773684000000,2026-03-16T18:00:00Z,84.82,85.16,84.8,85.07,765387.1454660001,65063494.69077191030073
1773687600000,2026-03-16T19:00:00Z,85.11,85.32,84.86,85.09,2019402.9302059999,171741939.66200644689541
1773691200000,2026-03-16T20:00:00Z,85.07,85.08,85.02,85.08,2829.4873,240748.05871542
1773694800000,2026-03-16T21:00:00Z,85.03,85.03,85.03,85.03,1300,110539
1773698400000,2026-03-16T22:00:00Z,85.08,85.08,85.08,85.08,300,25524
1773702000000,2026-03-16T23:00:00Z,85.2127,85.2127,85.2127,85.2127,500,42606.35
1773705600000,2026-03-17T00:00:00Z,85.06,85.08,85,85,154,13093.94
1773709200000,2026-03-17T01:00:00Z,85,85.08,84.55,84.62,1220,103498.09
1773712800000,2026-03-17T02:00:00Z,84.65,84.73,84.6,84.6,87,7367.61
1773716400000,2026-03-17T03:00:00Z,84.63,84.71,84.42,84.42,74,6264.67
1773720000000,2026-03-17T04:00:00Z,84.41,84.55,84.39,84.51,59,4985.98
1773723600000,2026-03-17T05:00:00Z,84.37,84.37,84.13,84.13,588,49567.97
1773727200000,2026-03-17T06:00:00Z,84,84.06,83.9,83.93,747,62746.24
1773730800000,2026-03-17T07:00:00Z,84.09,84.25,84.09,84.25,203,17077.65
1773734400000,2026-03-17T08:00:00Z,84.36,84.47,84.36,84.47,505,42634.928
1773738000000,2026-03-17T09:00:00Z,84.15,84.45,84.15,84.45,384,32382.2976
1773741600000,2026-03-17T10:00:00Z,84.66,84.66,84.66,84.66,260,22011.6
1773745200000,2026-03-17T11:00:00Z,84.66,84.66,84.66,84.66,171,14477.8176
1773748800000,2026-03-17T12:00:00Z,84.15,85.04,83.99,84.95,7776.759729,658305.0440877687
1773752400000,2026-03-17T13:00:00Z,85.545,85.635,85.23,85.53,719449.2797789999,61540180.54880811554621
1773756000000,2026-03-17T14:00:00Z,85.52,85.64,85.33,85.575,675997.248658,57814935.0903749132
1773759600000,2026-03-17T15:00:00Z,85.58,85.6299,84.97,85.08,640255.4492290003,54600024.32707530208355
1773763200000,2026-03-17T16:00:00Z,85.03,85.125,84.85,84.99,668881.994885,56857377.540406586
1773766800000,2026-03-17T17:00:00Z,84.99,85.24,84.965,85.24,486004.8799580001,41376803.06303227131366
