ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1773676800000,2026-03-16T16:00:00Z,23.605,23.605,22.77,23.085,424982.2898019999,9825973.02428306
1773680400000,2026-03-16T17:00:00Z,23.11,23.6899,22.9,23.64,288757.35796299996,6752908.44905851
1773684000000,2026-03-16T18:00:00Z,23.69,24.08,23.59,23.97,303284.891152,7233617.61037724
1773687600000,2026-03-16T19:00:00Z,24.03,24.32,23.76,23.94,510194.9889770001,12224629.07238121
1773691200000,2026-03-16T20:00:00Z,23.93,24,23.91,23.91,6929.136715000001,165885.61169811
1773694800000,2026-03-16T21:00:00Z,23.94,24.02,23.9103,24.02,3136,75176.8192
1773698400000,2026-03-16T22:00:00Z,24.02,24.1,24.02,24.1,2192,52721.1072
1773702000000,2026-03-16T23:00:00Z,24.1,24.1,24.02,24.0443,3970,95528.919
1773705600000,2026-03-17T00:00:00Z,24.1,24.11,23.86,24.08,489,11723.8
1773709200000,2026-03-17T01:00:00Z,23.9,24.02,23.9,24,642,15357.23
1773712800000,2026-03-17T02:00:00Z,24,24,23.92,23.92,94,2252.41
1773716400000,2026-03-17T03:00:00Z,23.94,24.01,23.93,24.01,371,8885.61
1773720000000,2026-03-17T04:00:00Z,24.02,24.05,24.02,24.05,74,1778.23
1773723600000,2026-03-17T05:00:00Z,24.02,24.31,24.02,24.03,1796,43386.47
1773727200000,2026-03-17T06:00:00Z,24.02,24.03,23.89,23.89,3158,75719.09
1773730800000,2026-03-17T07:00:00Z,23.98,24,23.8,23.93,150,3584.77
1773734400000,2026-03-17T08:00:00Z,23.93,23.93,23.93,23.93,100,2393
1773738000000,2026-03-17T09:00:00Z,23.76,23.97,23.76,23.97,660,15762.582
1773745200000,2026-03-17T11:00:00Z,23.9,23.92,23.86,23.86,946,22615.1706
1773748800000,2026-03-17T12:00:00Z,23.93,24.3,23.75,23.96,31361,752974.4739
1773752400000,2026-03-17T13:00:00Z,23.71,24.57,23.5777,24.51,392676.246146,9458353.47329409
1773756000000,2026-03-17T14:00:00Z,24.5,25.035,24.2601,24.73,762404.199351,18874078.35913336
1773759600000,2026-03-17T15:00:00Z,24.91,24.9599,24.08,24.18,303090.09346400003,7416432.733008
1773763200000,2026-03-17T16:00:00Z,24.06,24.23,23.74,23.96,242468.97912900004,5811035.80070353
1773766800000,2026-03-17T17:00:00Z,23.955,24.3153,23.88,24.175,233062.63765400002,5597465.36853612
