ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1773676800000,2026-03-16T16:00:00Z,798,800.4672,792.84,794.49,149545.00871400005,119113571.483257680825325
1773680400000,2026-03-16T17:00:00Z,794.94,796.43,792,792.6,193252.57138699992,153468669.428929458869184
1773684000000,2026-03-16T18:00:00Z,795.06,796.3204,793.3338,793.595,124608.28166300002,99079371.791371718002534
1773687600000,2026-03-16T19:00:00Z,793.53,797.51,792.71,794.52,253836.680429,201627171.2433426365
1773691200000,2026-03-16T20:00:00Z,794.77,797,794.1125,794.77,7599.77934,6041204.433305856
1773694800000,2026-03-16T21:00:00Z,794.77,794.77,794.01,794.01,261,207270.801
1773698400000,2026-03-16T22:00:00Z,793.52,794.7743,793.52,794,398,316024.736
1773702000000,2026-03-16T23:00:00Z,794.58,794.58,794.3989,794.3989,112,88981.7264
1773705600000,2026-03-17T00:00:00Z,795.36,795.36,795.21,795.21,23,18292.53
1773709200000,2026-03-17T01:00:00Z,795.36,796.5,795.02,795.02,114,90659.56
1773712800000,2026-03-17T02:00:00Z,796.01,796.01,795,795,177,140759.24
1773716400000,2026-03-17T03:00:00Z,795.02,795.02,791.33,791.33,80,63592.82
1773720000000,2026-03-17T04:00:00Z,792.67,795.01,791.59,795.01,91,72260.24
1773723600000,2026-03-17T05:00:00Z,794.5,794.5,792.67,792.67,87,68991.83
1773727200000,2026-03-17T06:00:00Z,792.67,793.89,790.71,793.89,985,779739.57
1773730800000,2026-03-17T07:00:00Z,790.1,790.67,789.68,789.89,786,620954.43
1773738000000,2026-03-17T09:00:00Z,793,793.7,792.2,792.2,373,295751.2151
1773745200000,2026-03-17T11:00:00Z,793.42,796,793.42,795.91,1703,1353829.8228
1773748800000,2026-03-17T12:00:00Z,795.01,801.4657,789.84,800.01,5730.873773,4553272.6258909999
1773752400000,2026-03-17T13:00:00Z,804.49,820.44,800.11,815.26,315201.92078,256534963.2748225
1773756000000,2026-03-17T14:00:00Z,812.98,814.39,806.162,809.42,191104.23513500008,154856673.108733534326056
1773759600000,2026-03-17T15:00:00Z,810.16,810.305,803.47,805.785,176204.680446,142070115.9248523894
1773763200000,2026-03-17T16:00:00Z,806.225,807.99,804.335,806.56,102677.40978,82770703.746010764
1773766800000,2026-03-17T17:00:00Z,806.63,808.9999,806.195,807.27,98083.49517199998,79220685.498191010246276
1773770400000,2026-03-17T18:00:00Z,806,808.1599,805.14,805.79,103526.69308399998,83524124.717862101064234
1773774000000,2026-03-17T19:00:00Z,806.8,809.81,805.83,807.33,334471.91409800004,270017436.997362122691792
1773777600000,2026-03-17T20:00:00Z,807.04,808,807,808,71648.27421,57823359.965327187
1773784800000,2026-03-17T22:00:00Z,807.4415,807.5,807.4415,807.5,209,168761.2509
1773788400000,2026-03-17T23:00:00Z,805.3207,807,805.3207,806,373,300679.5895
1773792000000,2026-03-18T00:00:00Z,808.6,809.49,808.33,809.49,62,50146.31
1773795600000,2026-03-18T01:00:00Z,809.08,809.4,809.08,809.4,27,21848.94
1773799200000,2026-03-18T02:00:00Z,811.61,811.61,811.39,811.59,16,12984.86
1773802800000,2026-03-18T03:00:00Z,810.98,810.98,810.98,810.98,1,810.98
1773806400000,2026-03-18T04:00:00Z,810,814.5,810,814.23,288,234182.62
1773810000000,2026-03-18T05:00:00Z,814.74,814.74,813.18,813.18,40,32580.06
1773813600000,2026-03-18T06:00:00Z,813.01,816.49,813.01,816.42,529,431535.25
1773817200000,2026-03-18T07:00:00Z,814.51,815.83,814.43,815.83,41,33403.07
1773820800000,2026-03-18T08:00:00Z,815.04,815.04,815.04,815.04,90,73352.997
1773824400000,2026-03-18T09:00:00Z,815.75,816,815.75,816,181,147670.1532
1773828000000,2026-03-18T10:00:00Z,814.81,814.85,814.81,814.85,117,95335.695
1773831600000,2026-03-18T11:00:00Z,813.46,813.75,811,811,968,786954.1856
1773835200000,2026-03-18T12:00:00Z,813.085,816.8269,800.76,801.8,7196.41197,5818065.194355975
1773838800000,2026-03-18T13:00:00Z,801.21,816.2,800,814.47,181404.194135,146772464.556042458
1773842400000,2026-03-18T14:00:00Z,815.29,815.3,805.94,809.96,176686.52175100008,142902733.6432957322034
1773846000000,2026-03-18T15:00:00Z,811.36,814.1,808.91,810.685,124942.88143700002,101395521.2869758112307
1773849600000,2026-03-18T16:00:00Z,810.125,812.7599,808.9401,811.24,102852.621578,83438942.4088607128
1773853200000,2026-03-18T17:00:00Z,809.815,813.99,809.3775,810.46,114981.50174600001,93333106.545468016917228
1773856800000,2026-03-18T18:00:00Z,811.1,813.27,804.68,805.43,143978.58574299997,116626873.024392245599121
1773860400000,2026-03-18T19:00:00Z,805.09,807.66,803.36,805.435,266472.045845,214550447.361784271
1773864000000,2026-03-18T20:00:00Z,805.48,805.48,800.4496,800.95,5161.1084,4153344.69659676
1773867600000,2026-03-18T21:00:00Z,802.45,804.13,802.45,804.01,731,587231.3791
1773871200000,2026-03-18T22:00:00Z,804.01,804.545,800.55,801.89,1088,872475.5776
