ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1773676800000,2026-03-16T16:00:00Z,217.97,218.18,215.95,217.12,521994.479056,113198783.1380218592
1773680400000,2026-03-16T17:00:00Z,217.45,217.79,216.84,217.66,531438.4180290002,115446440.15827002654678
1773684000000,2026-03-16T18:00:00Z,217.46,218.18,217.19,218.02,982465.50438,213992285.20726437
1773687600000,2026-03-16T19:00:00Z,218.21,220.04,217.69,219.525,2242132.532881,490653709.6342143135
1773691200000,2026-03-16T20:00:00Z,219.4,219.97,219.4,219.4,296083.28296,64965054.314011808
1773694800000,2026-03-16T21:00:00Z,219.5217,219.5217,219.25,219.39,717,157321.989
1773698400000,2026-03-16T22:00:00Z,219.5,219.5,219.0558,219.0558,18689,4100318.0086
1773702000000,2026-03-16T23:00:00Z,219.0507,219.5,219.0507,219.5,210,46049.577
1773705600000,2026-03-17T00:00:00Z,219.02,219.96,218.24,218.24,1365,299278.93
1773709200000,2026-03-17T01:00:00Z,218.45,218.97,218.45,218.54,396,86625.24
1773712800000,2026-03-17T02:00:00Z,218.54,219.49,218.25,218.92,1594,349373.91
1773716400000,2026-03-17T03:00:00Z,218.8,218.8,217.59,217.59,364,79336.46
1773720000000,2026-03-17T04:00:00Z,217.89,218.95,217.82,218.94,579,126476.46
1773723600000,2026-03-17T05:00:00Z,219,219,217.81,217.81,313,68399.82
1773727200000,2026-03-17T06:00:00Z,217.79,217.79,216.5,216.68,1069,231868.67
1773730800000,2026-03-17T07:00:00Z,216.7,217.51,216.7,216.75,558,121114.08
1773734400000,2026-03-17T08:00:00Z,218.51,218.51,217.2,217.2,733,159607.8913
1773741600000,2026-03-17T10:00:00Z,217.78,217.78,217.78,217.78,378,82324.7334
1773745200000,2026-03-17T11:00:00Z,218.69,218.69,218.24,218.24,2130,465543.237
1773748800000,2026-03-17T12:00:00Z,218.9,220.4153,216.5,220,12984.868392,2843146.0073228928
1773752400000,2026-03-17T13:00:00Z,220,223.98,218.55,223.84,1056661.2984570004,234626886.3465338823182
1773756000000,2026-03-17T14:00:00Z,224,225.18,222.33,223.015,1035163.568986,231826226.9870543818
1773759600000,2026-03-17T15:00:00Z,222.31,223.15,221.71,221.955,1165194.103806,258838781.6464932132
1773763200000,2026-03-17T16:00:00Z,221.9,223.38,221.64,222.88,1173922.0339499996,260964746.42233923107936
1773766800000,2026-03-17T17:00:00Z,222.79,223.81,222.45,223.14,556711.0941759999,124244276.79827586568245
1773770400000,2026-03-17T18:00:00Z,223.235,224.78,223.02,224.63,649601.0733369999,145378576.52927856552033
1773774000000,2026-03-17T19:00:00Z,224.52,226.71,223.97,226.44,2284580.4902019994,515155994.64492336990444
1773777600000,2026-03-17T20:00:00Z,226.47,227.25,226.11,227.25,467407.133791,105856404.5510237578
