ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786021200000,2026-08-06T13:00:00Z,25,25.58,24.54,25.275,206536.46223499998,5165352.99862001
1786024800000,2026-08-06T14:00:00Z,25.325,25.98,25.28,25.865,868227.1425910001,22329673.41215515
1786028400000,2026-08-06T15:00:00Z,25.865,26.01,25.75,25.81,603147.446277,15626766.24135691
1786032000000,2026-08-06T16:00:00Z,25.835,25.835,25.48,25.73,277942.475381,7120719.45377599
1786035600000,2026-08-06T17:00:00Z,25.82,25.84,25.57,25.6,195644.966881,5038953.50900028
1786039200000,2026-08-06T18:00:00Z,25.54,25.68,25.47,25.47,251878.031583,6437750.6092299
1786042800000,2026-08-06T19:00:00Z,25.565,25.58,25.3,25.37,410323.5432949999,10453443.62133775
1786046400000,2026-08-06T20:00:00Z,25.48,25.95,25.0301,25.81,95521.321734,2434657.00048837
1786050000000,2026-08-06T21:00:00Z,25.69,25.95,25.5,25.69,15836,407822.9244
1786053600000,2026-08-06T22:00:00Z,25.67,25.88,25.51,25.88,13834,356116.2114
1786057200000,2026-08-06T23:00:00Z,25.88,26.55,25.8,26,48718,1267730.0524
1786060800000,2026-08-07T00:00:00Z,26.07,26.56,25.79,25.99,28792,750774.63
1786064400000,2026-08-07T01:00:00Z,25.98,26.1,25.94,26.1,36278,943466.18
1786068000000,2026-08-07T02:00:00Z,26.14,26.65,26.13,26.65,10248,271259.81
1786071600000,2026-08-07T03:00:00Z,26.6,26.66,26.31,26.36,24358,648193.51
1786075200000,2026-08-07T04:00:00Z,26.48,26.86,26.44,26.46,8763,233834.09
1786078800000,2026-08-07T05:00:00Z,26.64,26.74,26.39,26.4,18101,480194.98
1786082400000,2026-08-07T06:00:00Z,26.36,26.36,25.51,26.02,56423,1468534.88
1786086000000,2026-08-07T07:00:00Z,26.02,26.02,24.81,25.93,34554,877220.58
1786089600000,2026-08-07T08:00:00Z,25.96,26.33,25.72,26.18,237973,6163524.4973
1786093200000,2026-08-07T09:00:00Z,26.14,26.218,26.01,26.06,61299,1603342.7739
1786096800000,2026-08-07T10:00:00Z,25.99,26.099,25.891,25.96,51244,1333343.258
1786100400000,2026-08-07T11:00:00Z,26.02,26.1,25.945,26.06,36889,959888.669
1786104000000,2026-08-07T12:00:00Z,25.994,26.62,25.906,26.457,220821,5807828.9414
1786107600000,2026-08-07T13:00:00Z,26.43,26.855,25.968,26.41,1277877.12813,33769947.71424026
1786111200000,2026-08-07T14:00:00Z,26.47,26.739,25.922,25.95,866605.3231059996,22764855.2326715
1786114800000,2026-08-07T15:00:00Z,25.94,26.48,25.91,26.47,428266.198188,11270243.6065458591
1786118400000,2026-08-07T16:00:00Z,26.47,26.651,26.31,26.42,399960.718803,10594847.3633836757
1786122000000,2026-08-07T17:00:00Z,26.44,26.52,26.293,26.32,183489.8026,4845928.98870548
1786125600000,2026-08-07T18:00:00Z,26.315,26.38,26.245,26.37,140539.28119100002,3697827.40491324
