ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1773676800000,2026-03-16T16:00:00Z,268.11,269.3,265.16,265.88,121593.65029499997,32496061.113084125482461
1773680400000,2026-03-16T17:00:00Z,265.86,267.365,264.27,264.27,88169.62350999999,23465445.967026695338602
1773684000000,2026-03-16T18:00:00Z,264.1,268.31,263.62,266.485,117867.31637300002,31388797.127491417926124
1773687600000,2026-03-16T19:00:00Z,266.74,267.51,264.59,266.84,286952.79192,76356645.775394016
1773691200000,2026-03-16T20:00:00Z,266.95,268.51,266,266,2679.23892,715618.0174347
1773694800000,2026-03-16T21:00:00Z,266.37,266.94,266.37,266.94,329,87754.7293
1773698400000,2026-03-16T22:00:00Z,266.59,266.59,266.0542,266.25,1070,284888.57
1773702000000,2026-03-16T23:00:00Z,266.38,266.38,266.03,266.03,133,35402.6582
1773709200000,2026-03-17T01:00:00Z,265.09,265.09,265.09,265.09,2,530.18
1773712800000,2026-03-17T02:00:00Z,265.53,266.02,265.06,265.06,36,9566.02
1773720000000,2026-03-17T04:00:00Z,265.49,265.49,265.01,265.01,27,7157.67
1773723600000,2026-03-17T05:00:00Z,265.2,266.94,265.11,265.56,224,59586.02
1773727200000,2026-03-17T06:00:00Z,265.17,265.17,264.08,265,224,59319.5
1773730800000,2026-03-17T07:00:00Z,264.06,265.22,263.78,265.22,283,74927.92
1773738000000,2026-03-17T09:00:00Z,265,266,264.99,266,400,106259.6
1773748800000,2026-03-17T12:00:00Z,267,267,264.99,264.99,1204,319310.9136
1773752400000,2026-03-17T13:00:00Z,265.465,278.68,265,276.25,177421.761146,48695052.3688983578
1773756000000,2026-03-17T14:00:00Z,276.35,276.98,270.531,273.51,166202.538012,45465402.3238422504
1773759600000,2026-03-17T15:00:00Z,273.15,273.28,270.925,272.48,89585.00942799996,24373724.979610832717052
1773763200000,2026-03-17T16:00:00Z,272.12,273.7,271.62,273.535,99076.60553400002,27016595.195772708053678
1773766800000,2026-03-17T17:00:00Z,273.58,274.8,272.74,273.36,94371.63047700001,25860733.396916694340308
1773770400000,2026-03-17T18:00:00Z,273.21,273.93,271.94,272.91,107278.63494400002,29283409.138260415059318
1773774000000,2026-03-17T19:00:00Z,273.12,273.17,270.7,272.3,396239.66604499996,107792246.27154969911848
1773777600000,2026-03-17T20:00:00Z,272.27,273.27,272,272.28,12554.233806,3418884.4490009352
1773781200000,2026-03-17T21:00:00Z,271.89,272,271.8,272,1408,382838.1568
1773784800000,2026-03-17T22:00:00Z,271.25,271.25,271.25,271.25,1500,406875
1773788400000,2026-03-17T23:00:00Z,272,272,271.3,272,358,97295.9512
1773792000000,2026-03-18T00:00:00Z,273.56,273.77,273.46,273.69,205,56101.84
1773795600000,2026-03-18T01:00:00Z,273.28,273.99,273.28,273.99,188,51465.64
1773799200000,2026-03-18T02:00:00Z,273.53,273.89,273.52,273.54,28,7660.59
1773802800000,2026-03-18T03:00:00Z,273.88,274.51,273.87,274.51,72,19753.37
1773806400000,2026-03-18T04:00:00Z,274.96,274.96,274.94,274.94,16,4399.16
1773810000000,2026-03-18T05:00:00Z,274.93,275.09,274.9,275,134,36849.44
1773813600000,2026-03-18T06:00:00Z,275.02,275.02,274.76,274.76,45,12367.18
1773817200000,2026-03-18T07:00:00Z,275.46,276.34,275.44,276.03,247,68101.91
1773820800000,2026-03-18T08:00:00Z,275.23,275.25,275.23,275.25,110,30275.399
1773824400000,2026-03-18T09:00:00Z,274,274.44,273.84,274.44,226,61942.871
1773828000000,2026-03-18T10:00:00Z,274.44,274.44,274.43,274.43,573,157248.0462
1773835200000,2026-03-18T12:00:00Z,273.9901,275.7,269.83,270,4967,1348322.4487
1773838800000,2026-03-18T13:00:00Z,271.55,275.91,268.2,274.33,103496.866753,28294977.3525426441
1773842400000,2026-03-18T14:00:00Z,273.415,274.45,269.54,270.87,130791.411618,35479406.9345211678
1773846000000,2026-03-18T15:00:00Z,271,273.615,270.98,272.14,78509.709993,21375430.4893021464
1773849600000,2026-03-18T16:00:00Z,271.2,272.9699,269.97,270.62,134880.47870500002,36623300.587944295930482
1773853200000,2026-03-18T17:00:00Z,270.79,274.44,270.35,274.14,113855.97178799998,31089283.94448769853884
1773856800000,2026-03-18T18:00:00Z,274.5,274.91,270.34,270.495,128441.422211,35018205.1308959345
1773860400000,2026-03-18T19:00:00Z,270.67,271.81,267.89,268.55,299316.581619,80738373.0857049456
1773864000000,2026-03-18T20:00:00Z,268.52,270.56,267.7,268.52,3790.2834,1018041.31508616
1773867600000,2026-03-18T21:00:00Z,268.48,268.52,267.3802,267.3802,241,64650.5636
1773871200000,2026-03-18T22:00:00Z,270.2745,270.2745,267.01,267.01,1436,383931.4012
1773874800000,2026-03-18T23:00:00Z,268.5188,268.5188,267.16,267.99,1137,304793.316
1773878400000,2026-03-19T00:00:00Z,268.42,268.9,268.1,268.1,567,152042.99
1773882000000,2026-03-19T01:00:00Z,268.09,268.09,268.09,268.09,200,53618
1773885600000,2026-03-19T02:00:00Z,268.06,269,268.06,269,21,5640.65
1773889200000,2026-03-19T03:00:00Z,268.59,268.59,268.59,268.59,1,268.59
1773896400000,2026-03-19T05:00:00Z,268.62,268.62,268.6,268.6,41,11013.4
1773900000000,2026-03-19T06:00:00Z,268.07,268.07,268.01,268.02,25,6700.51
1773903600000,2026-03-19T07:00:00Z,268.02,268.02,268.02,268.02,3,804.06
1773910800000,2026-03-19T09:00:00Z,265.85,266.5,265.85,266.5,111,29547.0123
1773914400000,2026-03-19T10:00:00Z,267.8,268.04,267.8,267.86,300,80369.61
1773918000000,2026-03-19T11:00:00Z,268,268,268,268,150,40200
1773921600000,2026-03-19T12:00:00Z,264,266.3405,264,264.01,897.251587,238038.5131769738
1773925200000,2026-03-19T13:00:00Z,266,273,265.87,269.03,98389.00555200002,26536970.954656574994296
1773928800000,2026-03-19T14:00:00Z,268.93,268.93,264,267.69,134488.816907,35799591.6213560207
1773932400000,2026-03-19T15:00:00Z,267.44,268.98,264.08,265.8,132181.30299499998,35200660.857256165173882
1773936000000,2026-03-19T16:00:00Z,265.79,267.96,265.34,267.545,148885.67883200003,39721969.572551331203853
1773939600000,2026-03-19T17:00:00Z,267.75,267.75,265.82,266.74,132489.72751,35330691.161800174
1773943200000,2026-03-19T18:00:00Z,266.76,268.23,266.5,268.2,140565.55046299996,37566832.132434008009804
1773946800000,2026-03-19T19:00:00Z,268.09,271.21,267.84,269.92,388255.04067899997,104763090.579438969305082
1773950400000,2026-03-19T20:00:00Z,270.16,270.18,269.05,270.16,6006.017400000001,1621389.8627196602699609
1773954000000,2026-03-19T21:00:00Z,270.15,270.86,269.06,270.86,1196,323084.45
1773957600000,2026-03-19T22:00:00Z,270,270,270,270,150,40500
1773961200000,2026-03-19T23:00:00Z,271.3,271.3,270.94,271,200,54218.56
1773979200000,2026-03-20T04:00:00Z,270.62,270.62,270.61,270.61,32,8659.63
1774000800000,2026-03-20T10:00:00Z,268.01,268.01,268,268,1322,354305.254
1774004400000,2026-03-20T11:00:00Z,268,270,267.99,270,780,209450.982
1774008000000,2026-03-20T12:00:00Z,267.94,268.4,266,268.4,586.8145830000001,157316.9503425129268086
1774011600000,2026-03-20T13:00:00Z,262.74,268.97,261.48,262.51,97693.575175,25786453.63202167
1774015200000,2026-03-20T14:00:00Z,263.62,268.14,261.73,265.65,92166.86257999999,24496790.771295489342126
1774018800000,2026-03-20T15:00:00Z,266.115,266.83,264,266.13,65205.882402999996,17328371.9603618847370056
1774022400000,2026-03-20T16:00:00Z,266.16,267.15,265.01,266.58,67568.40943100001,17982676.756489171961403
1774026000000,2026-03-20T17:00:00Z,266.485,266.64,264.515,266.05,45964.87563,12217969.55608593
