ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1773676800000,2026-03-16T16:00:00Z,58.35,58.4159,57.31,58.11,601647.2830300002,34786945.0811530965639
1773680400000,2026-03-16T17:00:00Z,58.24,58.6799,57.885,58.39,365561.72392,21317439.481015664
1773684000000,2026-03-16T18:00:00Z,58.39,59.7199,58.31,59.38,440884.292105,26082450.190356537
1773687600000,2026-03-16T19:00:00Z,59.44,60.16,59.265,59.37,1312282.145893,78336945.1555118136
1773691200000,2026-03-16T20:00:00Z,59.36,59.7126,59.2,59.4358,17762.551823,1054782.9573741152
1773694800000,2026-03-16T21:00:00Z,59.36,59.39,59.03,59.03,1577,93489.291
1773698400000,2026-03-16T22:00:00Z,59.05,59.37,59.05,59.2,1924.6,114078.93286
1773702000000,2026-03-16T23:00:00Z,59.2,59.27,59.05,59.15,2113,124949.5081
1773705600000,2026-03-17T00:00:00Z,59.35,59.35,59.08,59.26,1324,78386.01
1773709200000,2026-03-17T01:00:00Z,59.16,59.27,59,59.17,1818,107419.85
1773712800000,2026-03-17T02:00:00Z,59.09,59.1,59.04,59.05,1120,66169.84
1773716400000,2026-03-17T03:00:00Z,59.01,59.05,58.92,58.99,232,13688.64
1773720000000,2026-03-17T04:00:00Z,58.98,59.1,58.89,59.1,1735,102400.74
1773723600000,2026-03-17T05:00:00Z,59.11,59.27,58.97,58.97,1850,109432
1773727200000,2026-03-17T06:00:00Z,59,59,58.8,58.84,1619,95338.91
1773730800000,2026-03-17T07:00:00Z,58.88,58.99,58.79,58.96,1043,61400.16
1773734400000,2026-03-17T08:00:00Z,59,59.36,59,59.18,3352,198669.3528
1773738000000,2026-03-17T09:00:00Z,59.16,59.31,59.16,59.3,1685,99864.3895
1773745200000,2026-03-17T11:00:00Z,59.21,59.24,59.12,59.24,1480,87595.132
1773748800000,2026-03-17T12:00:00Z,59.0041,59.55,58.9,59.38,20769.320623,1228605.0075894404
1773752400000,2026-03-17T13:00:00Z,59.38,60.2,59,59.935,408513.8795889999,24414137.54004127772367
1773756000000,2026-03-17T14:00:00Z,59.83,60.72,59.475,60.29,651389.931956,39244028.6745803496
1773759600000,2026-03-17T15:00:00Z,60.3,60.36,58.71,59.17,494742.3022620001,29370030.45417205253643
1773763200000,2026-03-17T16:00:00Z,59.11,59.36,58.925,59.06,322719.41815100005,19077848.851472703855795
1773766800000,2026-03-17T17:00:00Z,59.06,59.4,58.92,59.38,266727.384477,15771830.2987710393
1773770400000,2026-03-17T18:00:00Z,59.39,59.68,58.87,59.26,324769.89947000006,19254113.398038741557124
1773774000000,2026-03-17T19:00:00Z,59.32,59.77,59.02,59.315,953672.6018209999,56530469.34910268267234
1773777600000,2026-03-17T20:00:00Z,59.3,59.3,59.05,59.2,9799.785984,580439.3638751232
1773781200000,2026-03-17T21:00:00Z,59.22,59.36,59.12,59.1326,4496,265994.1504
1773784800000,2026-03-17T22:00:00Z,59.15,59.21,59.1,59.11,1075,63593.6675
1773788400000,2026-03-17T23:00:00Z,59.0557,59.1394,59.0557,59.1,3444,203558.3088
1773792000000,2026-03-18T00:00:00Z,59.11,59.28,59.09,59.23,756,44737.22
1773795600000,2026-03-18T01:00:00Z,59.23,59.44,59.23,59.39,1817,107832.34
1773799200000,2026-03-18T02:00:00Z,59.45,59.46,59.35,59.44,1195,70969.35
1773802800000,2026-03-18T03:00:00Z,59.41,59.48,59.4,59.42,1023,60807.99
1773806400000,2026-03-18T04:00:00Z,59.43,59.48,59.42,59.44,929,55241.03
1773810000000,2026-03-18T05:00:00Z,59.46,59.57,59.45,59.53,546,32489.13
1773813600000,2026-03-18T06:00:00Z,59.58,59.61,59.5,59.52,1215,72381.41
1773817200000,2026-03-18T07:00:00Z,59.52,59.54,59.41,59.54,854,50792.42
1773820800000,2026-03-18T08:00:00Z,59.25,59.59,59.25,59.59,1930,114829.21
1773824400000,2026-03-18T09:00:00Z,59.43,59.6,59.43,59.6,484,28792.676
1773831600000,2026-03-18T11:00:00Z,59.56,59.56,59.3,59.45,1984,117923.2064
1773835200000,2026-03-18T12:00:00Z,59.53,59.89,58.55,58.8,31532.873457,1862861.2586444976
1773838800000,2026-03-18T13:00:00Z,59.49,59.7,58.46,58.84,454951.2423930001,26883842.33011444400917
1773842400000,2026-03-18T14:00:00Z,58.795,59.24,58.2,58.67,495407.8782399998,29047993.2366632682731
1773846000000,2026-03-18T15:00:00Z,58.775,59.12,57.8,57.9,431999.868631,25139713.9551386878
1773849600000,2026-03-18T16:00:00Z,57.89,58.5302,57.6414,58.4,282718.481997,16422296.7356079387
1773853200000,2026-03-18T17:00:00Z,58.27,58.84,58.1123,58.65,257526.32301499997,15058903.243566726245744
1773856800000,2026-03-18T18:00:00Z,58.53,58.74,57.9475,57.98,327830.97359400004,19142312.812932537535632
