ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1773676800000,2026-03-16T16:00:00Z,128.21,132.3,127.64,131.4,4636674.911994001,603891204.8903962764423
1773680400000,2026-03-16T17:00:00Z,131.335,131.5983,129.12,129.22,2691638.477972,350261030.9915617796
1773684000000,2026-03-16T18:00:00Z,129.205,130.9,129.16,130.295,1719570.6563560003,223979236.7023381070759
1773687600000,2026-03-16T19:00:00Z,130.285,132.11,128.3113,129.805,4262029.051263999,555685904.9212309480194
1773691200000,2026-03-16T20:00:00Z,129.85,130.45,129.56,130.0273,210171.28694400002,27317118.10618987459951
1773694800000,2026-03-16T21:00:00Z,130.011,130.25,129.94,130.03,40650.75059799999,5286959.386349742499419
1773698400000,2026-03-16T22:00:00Z,130.03,130.2,129.55,129.68,38054.666665000004,4939990.443783645519252
1773702000000,2026-03-16T23:00:00Z,129.68,130.46,129.5,130.12,53350.27655900001,6929747.447663349798915
1773705600000,2026-03-17T00:00:00Z,130.01,130.49,129.56,129.56,16097,2090662.91
1773709200000,2026-03-17T01:00:00Z,129.56,129.88,129.51,129.65,6584,853605.66
1773712800000,2026-03-17T02:00:00Z,129.65,129.84,129,129,13273,1719802.59
1773716400000,2026-03-17T03:00:00Z,128.99,129.22,128.52,128.79,10374,1337343.39
1773720000000,2026-03-17T04:00:00Z,128.84,129.75,128.75,129.58,4048,523670.11
1773723600000,2026-03-17T05:00:00Z,129.56,129.87,128.62,128.62,9256,1198559.94
1773727200000,2026-03-17T06:00:00Z,128.6,128.67,127.99,128.1,16671,2139294.71
1773730800000,2026-03-17T07:00:00Z,128.14,128.76,127.97,128.08,12429,1595056.74
1773734400000,2026-03-17T08:00:00Z,129.28,129.28,128.18,128.26,18201,2339955.1419
1773738000000,2026-03-17T09:00:00Z,128.41,129.94,128.34,129.7,27506,3558376.9538
1773741600000,2026-03-17T10:00:00Z,129.7,129.7,128.98,129.5,30745,3975223.967
1773745200000,2026-03-17T11:00:00Z,129.35,129.5,120.21,121.9,1106143,136143084.9113
1773748800000,2026-03-17T12:00:00Z,121.93,129.99,119.6,122.29,1721300.5444269995,209344916.4733205645899
1773752400000,2026-03-17T13:00:00Z,122.44,122.5,116.7,116.99,10706853.410248999,1269096182.9409061502688
1773756000000,2026-03-17T14:00:00Z,116.89,117.1,114.41,115.765,10490295.070852997,1215293340.7517701053521
1773759600000,2026-03-17T15:00:00Z,115.75,116.7,114.04,114.31,4703357.0991790015,540699813.4644576840406
1773763200000,2026-03-17T16:00:00Z,114.255,116.0299,113.72,115.375,3341549.3533720025,384383100.2874761683785
1773766800000,2026-03-17T17:00:00Z,115.365,116.7,114.575,114.62,3393506.4266080013,392250996.29326427986531
1773770400000,2026-03-17T18:00:00Z,114.6,115.12,113.31,113.505,3939966.33588,450306238.463763372
1773774000000,2026-03-17T19:00:00Z,113.495,116.58,113.11,116.275,12648402.53167,1450852720.158751688
1773777600000,2026-03-17T20:00:00Z,116.62,116.93,115.701,116.56,636038.3959870001,73997088.61216518383406
1773781200000,2026-03-17T21:00:00Z,115.7501,116,115.6,115.8,99031.00393400001,11462848.608460894557501
1773784800000,2026-03-17T22:00:00Z,115.85,115.99,115.7,115.9283,26285.542717,3046058.0608911978
1773788400000,2026-03-17T23:00:00Z,115.93,115.98,115.64,115.9,40497.905825,4691350.306998485
1773792000000,2026-03-18T00:00:00Z,115.87,116.81,115.81,116.56,11973,1393387.64
1773795600000,2026-03-18T01:00:00Z,116.61,116.93,116.61,116.87,10445,1219922.22
1773799200000,2026-03-18T02:00:00Z,116.87,117.16,116.7,116.81,20404,2386273.44
1773802800000,2026-03-18T03:00:00Z,116.81,117.01,116.53,117.01,15054,1757944.29
1773806400000,2026-03-18T04:00:00Z,117.11,117.46,117.01,117.32,18441,2162258.29
1773810000000,2026-03-18T05:00:00Z,117.31,117.99,117.26,117.92,30679,3608861.82
1773813600000,2026-03-18T06:00:00Z,117.91,118.17,117.76,117.83,20374,2403195.7
1773817200000,2026-03-18T07:00:00Z,117.84,117.88,117.01,117.41,22308,2619766.38
1773820800000,2026-03-18T08:00:00Z,117.79,119.26,117,118.1,139771,16572913.0349
1773824400000,2026-03-18T09:00:00Z,118.3,119.07,117.78,117.8,83376,9873052.416
1773828000000,2026-03-18T10:00:00Z,117.74,118.6,116.71,116.73,80783,9509483.9412
1773831600000,2026-03-18T11:00:00Z,116.89,117,115.58,116.79,281294,32743718.6466
1773835200000,2026-03-18T12:00:00Z,116.67,119.2,112.6,114.02,1717517.178379,197095916.5772140377
1773838800000,2026-03-18T13:00:00Z,114.775,116.8,113.51,116.64,5364401.837600999,618279498.194540740744
1773842400000,2026-03-18T14:00:00Z,116.64,119.27,116.44,118.89,8016008.218136998,946155902.8138297260334
1773846000000,2026-03-18T15:00:00Z,119,120.34,118.64,119.835,5087565.316079004,608056648.9601936158728
1773849600000,2026-03-18T16:00:00Z,119.78,121.01,118.93,120.22,3766244.615798,452336523.8422640344
1773853200000,2026-03-18T17:00:00Z,120.37,121.65,119.8,121.46,2462489.723379,297217584.632398542
1773856800000,2026-03-18T18:00:00Z,121.49,122.7736,120.3614,120.73,3824174.033500001,466013465.3049067718599
1773860400000,2026-03-18T19:00:00Z,121.1,121.31,118.02,118.51,3947579.0596130006,470103373.6826035959519
1773864000000,2026-03-18T20:00:00Z,117.32,118.75,116.47,117.32,391115.0323809998,46185679.05178159958256
1773867600000,2026-03-18T21:00:00Z,117.86,118.2,117.63,117.961,29664.714947,3497514.3893237205
1773871200000,2026-03-18T22:00:00Z,117.8,117.85,117,117.2,37435.503605,4390095.1997115945
1773874800000,2026-03-18T23:00:00Z,117.37,117.8,117.2,117.6,29180.078056000002,3423844.45870076023467
1773878400000,2026-03-19T00:00:00Z,117.58,118.58,117.3,117.89,9976,1178349.8
1773882000000,2026-03-19T01:00:00Z,117.72,118.6,117.58,118.58,11231,1326032.9
1773885600000,2026-03-19T02:00:00Z,118.44,119.52,118.14,119.34,15415,1832952.32
1773889200000,2026-03-19T03:00:00Z,119.19,119.45,118.8,118.8,5929,706492.7
1773892800000,2026-03-19T04:00:00Z,118.8,118.8,117.99,118.11,4251,502899.22
1773896400000,2026-03-19T05:00:00Z,118.27,118.39,117.51,117.72,8395,990301.83
1773900000000,2026-03-19T06:00:00Z,117.72,118.11,117.31,117.39,8882,1045349.73
1773903600000,2026-03-19T07:00:00Z,117.38,117.67,116.23,116.34,18916,2213722.71
1773907200000,2026-03-19T08:00:00Z,116.7,117.47,115.2,115.8,34993,4070522.2327
1773910800000,2026-03-19T09:00:00Z,116,117.11,115.41,116.84,31119,3617692.6665
1773914400000,2026-03-19T10:00:00Z,116.67,116.99,116.12,116.26,17587,2049256.5857
1773918000000,2026-03-19T11:00:00Z,116.63,116.75,115.31,116.16,41759,4838719.7275
1773921600000,2026-03-19T12:00:00Z,117.16,118.8,114.31,114.48,514951.26778099994,59468529.218167440870972
1773925200000,2026-03-19T13:00:00Z,114.26,120.6,114.01,119.82,2721301.223272,319427698.238278996
1773928800000,2026-03-19T14:00:00Z,119.96,121.75,117.53,118.93,2976141.591618999,355667967.5046567420936
1773932400000,2026-03-19T15:00:00Z,118.79,119.5,116.7,118.61,2021583.5839860004,238382103.8482531881674
1773936000000,2026-03-19T16:00:00Z,118.71,120.63,118.4,119.635,1137123.6184259998,135831121.9064133151097
1773939600000,2026-03-19T17:00:00Z,119.735,119.7899,118,118.67,777205.3349959999,92214402.63033989333513
1773943200000,2026-03-19T18:00:00Z,118.9,119.69,118.01,118.69,682816.1681849998,81205414.99697110821456
1773946800000,2026-03-19T19:00:00Z,118.74,121.75,118.63,121.53,2763780.4592069993,333212980.03992450500506
1773950400000,2026-03-19T20:00:00Z,121.48,121.8,121,121.48,117404.88582800001,14257402.784692082414379
1773954000000,2026-03-19T21:00:00Z,121.43,121.52,121.3,121.35,12196.263504999999,1481367.9223281038785392
1773957600000,2026-03-19T22:00:00Z,121.5,121.91,121.25,121.61,21955.548755,2670293.1195647385
1773961200000,2026-03-19T23:00:00Z,121.8,121.92,121.4,121.85,20350.360771,2477200.5757879796
1773964800000,2026-03-20T00:00:00Z,121.7,121.88,121.4,121.45,8931,1086918.73
