ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1777680000000,2026-05-02T00:00:00Z,198.096,198.096,198.086,198.086,0,0
1777881600000,2026-05-04T08:00:00Z,198.375,199.842,198.375,199.582,704791.531137,140689287.2999650071
1777885200000,2026-05-04T09:00:00Z,199.577,199.769,199.223,199.25,217672.8270739999,43420744.29352298545229
1777888800000,2026-05-04T10:00:00Z,199.254,199.273,196.551,197.884,823857.1709999999,162910752.77929648022585
1777892400000,2026-05-04T11:00:00Z,197.884,198.59,197.884,198.3,643785.3921269999,127626462.51974654277562
1777896000000,2026-05-04T12:00:00Z,198.302,199.243,198.302,198.96,1003544.4647149999,199537455.48933816061673
1777899600000,2026-05-04T13:00:00Z,198.969,201.616,197.726,198.609,20298507.985355,4051915089.407817822
1777903200000,2026-05-04T14:00:00Z,198.605,198.995,197.246,197.25,18420299.097273003,3648772052.4739547081529
1777906800000,2026-05-04T15:00:00Z,197.246,197.966,194.856,195.695,22213517.172909994,4357179172.1145780321006
1777910400000,2026-05-04T16:00:00Z,195.696,196.869,195.058,196.751,12273317.878215,2406269883.249198255
1777914000000,2026-05-04T17:00:00Z,196.75,198.384,196.75,198.337,10583226.398737002,2090139589.231763578491
1777917600000,2026-05-04T18:00:00Z,198.332,199.172,197.393,198.212,12531947.683976995,2484241825.6535064567365
1777921200000,2026-05-04T19:00:00Z,198.21,199.143,197.884,198.516,14053718.341203002,2789119211.8289913408226
1777924800000,2026-05-04T20:00:00Z,198.52,198.534,197.746,197.815,1589329.193948001,315278887.6606110387723
1777928400000,2026-05-04T21:00:00Z,197.815,198.07,197.81,198.065,197839.082041,39179379.1545207006
1777932000000,2026-05-04T22:00:00Z,198.065,198.246,197.61,197.745,211626.72082200003,41885329.886466903537624
1777935600000,2026-05-04T23:00:00Z,197.745,197.849,197.635,197.669,161450.711337,31924908.4682134386
1777968000000,2026-05-05T08:00:00Z,197.858,198.999,197.858,198.682,407212.4076459999,80925688.26265644152691
1777971600000,2026-05-05T09:00:00Z,198.683,198.882,198.629,198.751,143535.09575000004,28528389.72333913295022
1777975200000,2026-05-05T10:00:00Z,198.75,199.168,198.741,198.847,225064.21183199994,44786652.8335088280603
1777978800000,2026-05-05T11:00:00Z,198.846,198.846,198.295,198.67,598169.7322970001,118780776.97022480875737
1777982400000,2026-05-05T12:00:00Z,198.666,199.328,198.537,199.171,1217812.6350309998,242111016.12650651133838
1777986000000,2026-05-05T13:00:00Z,199.171,200.165,198.311,198.367,16620699.547432994,3314031200.0218500530492
1777989600000,2026-05-05T14:00:00Z,198.385,198.991,196.829,197.183,20829331.047097,4123924268.4229654808
1777993200000,2026-05-05T15:00:00Z,197.174,197.891,196.725,197.398,12069670.040928002,2380548093.8853894536678
1777996800000,2026-05-05T16:00:00Z,197.403,198.472,197.32,197.616,9745750.414157,1927478457.6354390791
1778000400000,2026-05-05T17:00:00Z,197.616,197.939,197.15,197.227,7092089.643216001,1400511820.7120084406752
1778004000000,2026-05-05T18:00:00Z,197.225,197.778,196.407,196.694,10058870.106824,1983513625.799677972
1778007600000,2026-05-05T19:00:00Z,196.7,196.865,196.054,196.476,15825093.034757998,3108529354.8547274503392
1778011200000,2026-05-05T20:00:00Z,196.476,196.987,195.851,196.77,2327071.3362149987,457358178.98415703600047
1778014800000,2026-05-05T21:00:00Z,196.771,197.517,196.041,196.143,999278.285764,196845631.1004216792
1778018400000,2026-05-05T22:00:00Z,196.142,197.142,195.536,196.773,1012804.2422570001,198763845.3471785266251
1778022000000,2026-05-05T23:00:00Z,196.772,197.471,196.418,197.435,819429.2733259995,161431500.1057338662976
1778025600000,2026-05-06T00:00:00Z,197.438,197.448,197.438,197.448,0,0
1778054400000,2026-05-06T08:00:00Z,197.449,198.83,196.369,198.727,1134146.7927330001,223470923.06395906010388
1778058000000,2026-05-06T09:00:00Z,198.727,199.984,198.161,199.735,926816.2364960001,184738573.1558017159326
1778061600000,2026-05-06T10:00:00Z,199.735,201.581,199.447,200.788,1175429.3008229998,236030905.3224616518392
1778065200000,2026-05-06T11:00:00Z,200.784,202.634,200.679,201.297,2991725.8727819994,602891401.19267940628824
1778068800000,2026-05-06T12:00:00Z,201.294,201.35,200.026,200.181,1860907.3116470003,372812309.9080483931017
1778072400000,2026-05-06T13:00:00Z,200.175,204.494,198.805,204.323,28934381.028361,5833532895.0804321125
1778076000000,2026-05-06T14:00:00Z,204.35,205.711,203.026,204.728,31937604.960135996,6530745181.470929074062
1778079600000,2026-05-06T15:00:00Z,204.729,207.109,203.6,204.871,21406724.346857995,4398867786.03584939255
1778083200000,2026-05-06T16:00:00Z,204.868,205.769,204.016,204.777,12116431.158463003,2484042864.0935974822432
1778086800000,2026-05-06T17:00:00Z,204.786,205.948,204.519,205.444,10025675.99596,2057729895.46680616
1778090400000,2026-05-06T18:00:00Z,205.448,208.028,205.427,206.744,16178546.139043003,3347703595.6015118839672
1778094000000,2026-05-06T19:00:00Z,206.735,208.23,206.571,207.879,25307664.021393005,5250611423.715232418956
1778097600000,2026-05-06T20:00:00Z,207.857,208.627,207.042,207.1,3319353.523509001,689671707.7046833138729
1778101200000,2026-05-06T21:00:00Z,207.099,207.54,205.482,205.835,1634306.5840310003,338673104.21162571156822
1778104800000,2026-05-06T22:00:00Z,205.835,206.789,205.835,206.353,411339.2844649998,84873074.2511590362333
1778108400000,2026-05-06T23:00:00Z,206.354,207.294,206.304,207.261,354648.74134699994,73406047.640981280381056
1778112000000,2026-05-07T00:00:00Z,207.259,207.259,207.257,207.257,0,0
1778140800000,2026-05-07T08:00:00Z,207.507,209.871,207.425,209.1,1039849.1461160004,217157832.29336644793436
1778144400000,2026-05-07T09:00:00Z,209.105,209.249,208.505,208.725,309844.554652,64721538.9694729028
1778148000000,2026-05-07T10:00:00Z,208.725,209.147,208.195,208.632,322756.66364600015,67356604.54694560490374
1778151600000,2026-05-07T11:00:00Z,208.629,209.244,207.603,208.153,1137831.1403109997,237057332.73599011289758
1778155200000,2026-05-07T12:00:00Z,208.14,208.372,207.025,208.372,1557919.706546,323641616.6699834216
1778158800000,2026-05-07T13:00:00Z,208.377,210.287,206.595,208.876,25092221.621209007,5225011020.2940803083261
1778162400000,2026-05-07T14:00:00Z,208.882,214.116,208.881,212.768,35882192.212629,7627585245.215184417
1778166000000,2026-05-07T15:00:00Z,212.759,213.631,210.825,212.662,20930492.18122699,4444414198.549229019784
1778169600000,2026-05-07T16:00:00Z,212.668,214.091,210.822,212.364,19330392.488280997,4107236742.1829978061732
1778173200000,2026-05-07T17:00:00Z,212.364,212.911,211.075,212.416,14200701.499579007,3011767138.0994133628006
1778176800000,2026-05-07T18:00:00Z,212.417,213.225,211.912,212.334,12054370.167522002,2564159815.4286436818324
1778180400000,2026-05-07T19:00:00Z,212.344,212.82,211.344,211.458,16611362.448464997,3522034089.9532600679232
1778184000000,2026-05-07T20:00:00Z,211.463,212.218,211.375,211.9,1898148.519318,401715990.5898284526
1778187600000,2026-05-07T21:00:00Z,211.9,211.955,209.275,209.898,746499.670949,157239182.1402438997
1778191200000,2026-05-07T22:00:00Z,209.905,211.253,209.905,210.26,569130.0844779998,119894935.5514311108673
1778194800000,2026-05-07T23:00:00Z,210.258,211.472,210.256,211.469,290246.40237799997,61209309.156850230873378
1778198400000,2026-05-08T00:00:00Z,211.468,211.468,211.467,211.467,0,0
1778227200000,2026-05-08T08:00:00Z,211.466,214.189,211.465,213.742,766241.45913,163482136.129994367
1778230800000,2026-05-08T09:00:00Z,213.739,214.17,213.43,213.635,239547.19147800002,51230879.87903821327731
1778234400000,2026-05-08T10:00:00Z,213.635,213.85,213.161,213.2,220348.73451200002,47057984.230611041071228
1778238000000,2026-05-08T11:00:00Z,213.2,213.633,213.2,213.433,784619.2972650001,167494015.23996492184717
1778241600000,2026-05-08T12:00:00Z,213.433,214.015,213.027,213.431,1142195.6808079998,243919428.44315886208938
1778245200000,2026-05-08T13:00:00Z,213.429,217.691,213.018,217.591,26413711.063164998,5699022298.98847996848
1778248800000,2026-05-08T14:00:00Z,217.6,217.696,214.446,215.981,23515255.777827,5075960784.7413361314
1778252400000,2026-05-08T15:00:00Z,215.969,217.17,215.474,215.524,15867151.570608996,3432342559.87521149223
1778256000000,2026-05-08T16:00:00Z,215.516,216.158,215.071,215.278,10321716.339549,2225440487.8509449724
1778259600000,2026-05-08T17:00:00Z,215.274,216.038,214.89,214.976,9287262.397015998,2000519970.4505119443906
1778263200000,2026-05-08T18:00:00Z,214.972,215.777,214.956,215.081,7708409.330214,1659755425.958352945
1778266800000,2026-05-08T19:00:00Z,215.078,215.779,214.699,215.126,17315441.143191,3725915846.6624675508
1778270400000,2026-05-08T20:00:00Z,215.135,215.165,214.911,214.98,1297535.9166659995,279134490.1302398080367
1778274000000,2026-05-08T21:00:00Z,214.98,215.165,214.965,214.97,225293.76048099998,48453320.773495366998654
1778277600000,2026-05-08T22:00:00Z,214.97,215.125,214.94,215.025,180257.275259,38766111.5914730141
1778281200000,2026-05-08T23:00:00Z,215.025,215.05,214.925,215.038,198185.052513,42610995.2191153293
1778284800000,2026-05-09T00:00:00Z,215.039,215.039,215.039,215.039,0,0
1778457600000,2026-05-11T00:00:00Z,215.4,215.77,213.84,214.05,251529,54065459.54
1778461200000,2026-05-11T01:00:00Z,214.06,214.71,213.71,214.46,153583,32893102.73
1778464800000,2026-05-11T02:00:00Z,214.45,215,214.39,214.66,59511,12775870.16
1778468400000,2026-05-11T03:00:00Z,214.69,214.78,214.41,214.73,37577,8063891.55
1778472000000,2026-05-11T04:00:00Z,214.73,214.95,214.44,214.91,34224,7350185.57
1778475600000,2026-05-11T05:00:00Z,214.91,214.94,214.42,214.55,39653,8512704.71
1778479200000,2026-05-11T06:00:00Z,214.55,214.61,214.2,214.36,40518,8689052.38
1778482800000,2026-05-11T07:00:00Z,214.38,214.82,214.06,214.67,61277,13136269.25
1778486400000,2026-05-11T08:00:00Z,215.008,215.008,213.301,213.766,704079.6358229999,150818152.87906509887939
1778490000000,2026-05-11T09:00:00Z,213.766,214.2,213.312,213.57,233055.11391299995,49806557.977018088814425
1778493600000,2026-05-11T10:00:00Z,213.57,213.837,213.031,213.455,262444.92498799996,55997821.155704553865208
1778497200000,2026-05-11T11:00:00Z,213.455,214.441,213.455,214.061,774147.0868299999,165743497.82554668459018
1778500800000,2026-05-11T12:00:00Z,214.058,214.193,213.39,213.461,752356.1056609997,160784744.33543262218751
1778504400000,2026-05-11T13:00:00Z,213.463,220.89,213.229,217.01,31790223.044831,6915346293.0759143286
1778508000000,2026-05-11T14:00:00Z,216.883,222.165,216.883,221.655,31867751.92780501,6992176746.309131195623
1778511600000,2026-05-11T15:00:00Z,221.647,222.29,220.61,221.966,18495341.108342998,4095173694.515427416667
1778515200000,2026-05-11T16:00:00Z,221.98,222.29,220.41,220.637,13376233.672886001,2962763526.8824156370946
1778518800000,2026-05-11T17:00:00Z,220.634,221.27,219.89,220.46,8920058.470319001,1967651613.8097985692873
1778522400000,2026-05-11T18:00:00Z,220.46,221.565,219.97,220.09,10317496.824988,2279402271.8076163892
1778526000000,2026-05-11T19:00:00Z,220.085,220.58,218.925,219.45,17383731.462948002,3815678643.2958438897942
1778529600000,2026-05-11T20:00:00Z,219.383,219.732,219.029,219.203,1145983.7493180002,250920820.00429657439134
1778533200000,2026-05-11T21:00:00Z,219.204,219.398,218.97,219.324,2855900.161158,626628190.6305309174
1778536800000,2026-05-11T22:00:00Z,219.324,219.88,219.324,219.603,343898.7646930001,75553148.61811688066959
1778540400000,2026-05-11T23:00:00Z,219.602,220.08,219.601,219.679,349384.23267800006,76823513.480243615992956
1778544000000,2026-05-12T00:00:00Z,219.679,219.92,218.79,219.13,60997,13370413.35
1778547600000,2026-05-12T01:00:00Z,219.12,219.22,216.71,217.64,211080,45966772.22
1778551200000,2026-05-12T02:00:00Z,217.62,218.75,217.47,218.74,100713,21963635.05
1778554800000,2026-05-12T03:00:00Z,218.75,218.75,218.02,218.19,37750,8248577.06
1778558400000,2026-05-12T04:00:00Z,218.23,218.41,217.5,217.55,39632,8642905.08
1778562000000,2026-05-12T05:00:00Z,217.55,218.29,217.53,218.15,62809,13684220.04
1778565600000,2026-05-12T06:00:00Z,218.15,218.22,217.35,217.36,60606,13198889.94
1778569200000,2026-05-12T07:00:00Z,217.35,217.75,216.89,217.34,104679,22747905.85
1778572800000,2026-05-12T08:00:00Z,219.31,219.31,216.388,217.36,777302.2363400001,168948895.24498440773529
1778576400000,2026-05-12T09:00:00Z,217.358,218.24,217.08,218.031,260829.46078,56795432.504222454
1778580000000,2026-05-12T10:00:00Z,218.031,218.396,217.381,217.65,195643.61039799996,42622603.931531634485664
1778583600000,2026-05-12T11:00:00Z,217.65,217.92,217.306,217.714,673956.2420750003,146684958.59264283529428
1778587200000,2026-05-12T12:00:00Z,217.713,219.205,217.074,218.956,1243189.1109180003,271473217.04858625671052
1778590800000,2026-05-12T13:00:00Z,218.96,223.74,217.035,220.32,28935320.653246995,6404141672.4326097400695
1778594400000,2026-05-12T14:00:00Z,220.35,221.76,217.24,217.404,24790438.553310994,5439317224.8152164844286
1778598000000,2026-05-12T15:00:00Z,217.4,217.97,214.96,216.88,24482450.571911,5307621458.5912442319
1778601600000,2026-05-12T16:00:00Z,216.93,218.23,215.7,215.869,12519619.585970001,2720219124.9710109222765
1778605200000,2026-05-12T17:00:00Z,216.01,218.78,215.58,218.635,14950859.471627,3248232699.3213649962
1778608800000,2026-05-12T18:00:00Z,218.628,220.325,217.785,219.519,11882001.265182998,2603674420.4365139125448
1778612400000,2026-05-12T19:00:00Z,219.56,221.71,219.525,220.88,20286094.124145996,4478656344.4300950231012
1778616000000,2026-05-12T20:00:00Z,220.837,220.852,219.94,220.142,1154896.108428,254657941.1070884412
1778619600000,2026-05-12T21:00:00Z,220.141,220.179,219.906,220.004,246658.692954,54286026.4339968624
1778623200000,2026-05-12T22:00:00Z,220.004,220.304,219.766,219.94,221407.87063299998,48723835.220619317698726
1778626800000,2026-05-12T23:00:00Z,219.94,220.138,219.258,219.435,306782.252239,67391348.2009447124
1778630400000,2026-05-13T00:00:00Z,219.87,220.13,219.3,219.96,74711,16416026.34
1778634000000,2026-05-13T01:00:00Z,219.99,223.59,219.73,223.06,427575,95006901.25
1778637600000,2026-05-13T02:00:00Z,223.07,224.53,223.05,223.58,391528,87595961.99
1778641200000,2026-05-13T03:00:00Z,223.54,224.9,223.44,224.19,193819,43464986.47
1778644800000,2026-05-13T04:00:00Z,224.18,224.22,223.41,223.64,189324,42379600.51
1778648400000,2026-05-13T05:00:00Z,223.68,224.1,223.5,224.09,135581,30358141.39
1778652000000,2026-05-13T06:00:00Z,224.1,224.91,224.06,224.44,203525,45701551.11
1778655600000,2026-05-13T07:00:00Z,224.41,224.86,223.77,224.78,176433,39564291.16
1778659200000,2026-05-13T08:00:00Z,220.324,226.25,220.324,225.795,1824634.9916599998,410286876.83417005702806
1778662800000,2026-05-13T09:00:00Z,225.794,226.633,225.511,226.278,575810.2216649998,130199443.43382576277696
1778666400000,2026-05-13T10:00:00Z,226.277,226.64,225.979,226.062,563456.5335289999,127479505.15653534687545
1778670000000,2026-05-13T11:00:00Z,226.06,226.06,224.81,225.683,1877143.2611270007,423160838.78366362649967
1778673600000,2026-05-13T12:00:00Z,225.678,226.175,223.819,223.98,2315203.608329001,520573762.8531367077501
1778677200000,2026-05-13T13:00:00Z,223.975,227.13,221.63,224.118,28950234.036985993,6503548485.4259479862794
1778680800000,2026-05-13T14:00:00Z,224.1,226.47,223.11,226.372,21526880.65236,4835012738.60233926
1778684400000,2026-05-13T15:00:00Z,226.377,227.55,225.72,226.57,20800744.65695099,4716119554.879046841116
1778688000000,2026-05-13T16:00:00Z,226.608,227.8,226.43,226.811,13824132.383699004,3140548423.5566409200148
1778691600000,2026-05-13T17:00:00Z,226.82,227.33,225.42,225.469,10501509.013388002,2379230283.2803964435216
1778695200000,2026-05-13T18:00:00Z,225.467,227.43,225.44,226.45,10735000.829523003,2434671350.6337432728925
1778698800000,2026-05-13T19:00:00Z,226.441,227.15,225.09,225.91,16493505.069300003,3729968236.3605362884431
1778702400000,2026-05-13T20:00:00Z,225.904,226.73,225.733,226.525,2413960.542061999,545565945.3284510529955
1778706000000,2026-05-13T21:00:00Z,226.525,226.847,226.25,226.844,354011.5213249999,80198761.27322518734572
1778709600000,2026-05-13T22:00:00Z,226.842,227.433,226.662,227.357,630510.004563,143193676.9632924351
1778713200000,2026-05-13T23:00:00Z,227.351,227.78,227.143,227.78,667010.336473,151714569.2783316258
1778716800000,2026-05-14T00:00:00Z,227.53,228.99,227.39,228.93,201979,46142250.27999999
1778720400000,2026-05-14T01:00:00Z,228.93,228.94,228,228.12,180710,41307231.06999999
1778724000000,2026-05-14T02:00:00Z,228.13,228.46,227.69,228.02,149447,34091945.49000001
1778727600000,2026-05-14T03:00:00Z,228.06,228.4,226.05,226.39,217890,49524962.35
1778731200000,2026-05-14T04:00:00Z,226.48,228.42,226.25,227.87,118227,26902182.38
1778734800000,2026-05-14T05:00:00Z,227.87,231.82,227.41,231.81,433356,99447545.03999995
1778738400000,2026-05-14T06:00:00Z,231.84,233.22,230.6,232.26,1139440,264267358.48000007
1778742000000,2026-05-14T07:00:00Z,232.25,232.46,231.41,231.62,414311,96090098.92000002
1778745600000,2026-05-14T08:00:00Z,227.78,232.27,227.78,230.8,3856066.5287560006,891455100.2841341087095
1778749200000,2026-05-14T09:00:00Z,230.806,231.19,229.419,230.282,799747.1029909996,184078910.34138256533144
1778752800000,2026-05-14T10:00:00Z,230.276,231.274,229.625,229.835,922274.4997650003,212373624.70008624308148
1778756400000,2026-05-14T11:00:00Z,229.834,230.58,229.203,230.114,1880457.3035189996,432175347.59833267547016
1778760000000,2026-05-14T12:00:00Z,230.095,231.284,229.836,229.932,1964854.881973,453039537.4188375695
1778763600000,2026-05-14T13:00:00Z,229.925,233.22,229.4,230.69,32199730.994044006,7451397708.8475127076708
1778767200000,2026-05-14T14:00:00Z,230.884,236.04,230.645,234.556,35379986.170778014,8270821823.1261812663968
1778770800000,2026-05-14T15:00:00Z,234.55,236.45,234.04,234.909,22017499.065626994,5181052196.1278292185088
1778774400000,2026-05-14T16:00:00Z,234.88,236.005,234.5,235.512,13528554.983877996,3182143411.9318338095328
1778778000000,2026-05-14T17:00:00Z,235.52,235.91,232.7,234.817,16249346.789831,3805720513.2140229156
1778781600000,2026-05-14T18:00:00Z,234.7,236.44,233.815,236.053,13299363.519414002,3129466580.071549103619
1778785200000,2026-05-14T19:00:00Z,235.74,235.82,235.61,235.79,19755285.993148006,4657543760.7879608757714
1778788800000,2026-05-14T20:00:00Z,235.75,236.124,234.863,235.38,3789160.078291999,892964452.6145195311371
1778792400000,2026-05-14T21:00:00Z,235.383,236.033,235.112,235.941,528078.1227560001,124419007.88379746676072
1778796000000,2026-05-14T22:00:00Z,235.942,236.49,235.91,236.432,729631.9457919999,172484189.39008840516011
1778799600000,2026-05-14T23:00:00Z,236.431,237.948,236.431,237.861,1160724.2069080002,275453086.55522719866228
1778803200000,2026-05-15T00:00:00Z,237.6,241.01,237.34,239.28,730817,175166400.77999999
1778806800000,2026-05-15T01:00:00Z,239.27,239.28,235.88,235.9,434209,103067370.73
1778810400000,2026-05-15T02:00:00Z,235.87,236.92,233.74,236.26,513390,120743399.41000005
1778814000000,2026-05-15T03:00:00Z,236.25,236.76,235.58,236.17,113810,26878568.85
1778817600000,2026-05-15T04:00:00Z,236.16,236.16,234.15,234.18,204125,48016813.86
1778821200000,2026-05-15T05:00:00Z,234.18,234.24,230.09,230.21,603571,140081806.92
1778824800000,2026-05-15T06:00:00Z,230.21,233.84,230.05,233.43,511241,118544415.28000004
1778828400000,2026-05-15T07:00:00Z,233.47,233.6,231.91,232.72,193329,45017095.41
1778832000000,2026-05-15T08:00:00Z,237.861,237.861,229.847,230.075,2801574.8192379987,650287259.00994614445063
1778835600000,2026-05-15T09:00:00Z,230.069,230.316,228.104,228.372,944276.2881349998,216343518.08512505817792
1778839200000,2026-05-15T10:00:00Z,228.391,231.463,228.391,231.039,1065794.838303,245166172.1881288839
1778842800000,2026-05-15T11:00:00Z,231.035,232.002,230.374,230.374,1784566.5313040006,412665484.63522779394478
1778846400000,2026-05-15T12:00:00Z,230.374,230.443,228.33,229.31,2363424.968354,541744980.2735943862
1778850000000,2026-05-15T13:00:00Z,229.308,230.085,224.29,225.202,36113412.326684006,8211417136.0641519266716
1778853600000,2026-05-15T14:00:00Z,225.2,228.67,224.93,226.09,23963877.671974007,5439900879.8243218798294
1778857200000,2026-05-15T15:00:00Z,226.069,229.175,225.735,228.094,16254228.492344007,3699109688.0992121282481
1778860800000,2026-05-15T16:00:00Z,228.19,228.585,227.06,227.884,9777047.348998997,2229126709.6776404201123
1778864400000,2026-05-15T17:00:00Z,227.887,230.91,227.75,230.81,13365961.440805998,3064696001.3199921680178
1778868000000,2026-05-15T18:00:00Z,230.85,231.5,228.16,228.984,14507300.350125004,3334996233.688136419536
1778871600000,2026-05-15T19:00:00Z,229.01,229.07,224.975,225.315,24872481.365718994,5633062373.0008966074338
1778875200000,2026-05-15T20:00:00Z,225.276,225.292,224.684,225.101,5485900.844403001,1236141328.8098348571306
1778878800000,2026-05-15T21:00:00Z,225.1,225.175,224.696,224.758,2603219.786260001,586410400.3221797352635
1778882400000,2026-05-15T22:00:00Z,224.759,224.958,224.515,224.671,362810.22791299986,81531440.03706515453892
1778886000000,2026-05-15T23:00:00Z,224.671,224.748,224.301,224.417,524196.29364,117703874.487995424
1778889600000,2026-05-16T00:00:00Z,224.419,224.424,224.419,224.424,0,0
1779062400000,2026-05-18T00:00:00Z,225.2,225.77,220.87,222.28,389891,86639010.96
1779066000000,2026-05-18T01:00:00Z,222.28,223.01,221.44,222.88,207213,46035538.11
1779069600000,2026-05-18T02:00:00Z,222.81,224.29,222.5,223.31,159981,35736348.9
1779073200000,2026-05-18T03:00:00Z,223.31,224.11,223.24,223.88,61811,13827897.22
1779076800000,2026-05-18T04:00:00Z,223.88,224.66,223.88,224.31,97321,21832904.87
1779080400000,2026-05-18T05:00:00Z,224.35,224.6,223.27,223.38,104173,23323530.53
1779084000000,2026-05-18T06:00:00Z,223.36,224.12,222.79,224.08,107683,24046805.95
1779087600000,2026-05-18T07:00:00Z,224.14,225,223.55,224.5,80739,18113265.21
1779091200000,2026-05-18T08:00:00Z,224.424,228.5,224.163,228.474,1475321.6636049997,332871515.80120710431208
1779094800000,2026-05-18T09:00:00Z,228.464,228.485,227.167,227.519,395156.0582840001,90009121.14319948357812
1779098400000,2026-05-18T10:00:00Z,227.521,227.545,225.897,226.042,377213.9834330001,85471596.25714147715865
1779102000000,2026-05-18T11:00:00Z,226.041,228.5,225.63,228.096,1556292.6126989997,353572718.01573431274327
1779105600000,2026-05-18T12:00:00Z,228.099,230.584,227.909,229.918,2201267.186896,504828490.8136689184
1779109200000,2026-05-18T13:00:00Z,229.915,230.027,223.58,225.589,26433825.41416901,5989209629.242305021037
1779112800000,2026-05-18T14:00:00Z,225.568,226.26,220.43,222.15,26558042.490605995,5924573430.412883485799
1779116400000,2026-05-18T15:00:00Z,222.25,223.42,221.54,222.466,13678187.721748,3045046357.5281728088
1779120000000,2026-05-18T16:00:00Z,222.57,223.145,219.635,222.093,14271907.296240997,3158164714.8116075175438
1779123600000,2026-05-18T17:00:00Z,222.099,222.52,220.72,221.523,9010063.397812001,1995675883.2413111306941
1779127200000,2026-05-18T18:00:00Z,221.518,221.518,218.38,219.58,15508284.435739001,3406894043.0689023654822
1779130800000,2026-05-18T19:00:00Z,222.215,222.36,222.15,222.35,19103751.802886005,4225320064.3828193708875
1779134400000,2026-05-18T20:00:00Z,222.276,222.472,222.051,222.333,1425996.117745,316956870.0892400225
1779138000000,2026-05-18T21:00:00Z,222.332,223.092,222.28,223.024,373487.198471,83178250.8586008441
1779141600000,2026-05-18T22:00:00Z,223.027,223.744,223.027,223.348,493852.918982,110350842.1230251216
1779145200000,2026-05-18T23:00:00Z,223.351,223.635,222.725,222.729,408159.61110700003,91094082.405888034195475
1779148800000,2026-05-19T00:00:00Z,222.729,223.43,222.14,222.2,72075,16059036.82
1779152400000,2026-05-19T01:00:00Z,222.15,222.22,220.45,221.61,105089,23272356.38
1779156000000,2026-05-19T02:00:00Z,221.57,221.59,220.39,220.51,121739,26883466.71
