ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1773676800000,2026-03-16T16:00:00Z,17.48,17.525,17.12,17.355,2766809.228472,47817933.8529130344
1773680400000,2026-03-16T17:00:00Z,17.37,17.495,17.255,17.33,1497686.0605590004,25993989.03566806684244
1773684000000,2026-03-16T18:00:00Z,17.33,17.725,17.3,17.65,2456267.2226199997,43206477.32605258072291
1773687600000,2026-03-16T19:00:00Z,17.65,17.885,17.33,17.46,5785329.226533999,101493766.2198539046567
1773691200000,2026-03-16T20:00:00Z,17.47,17.51,17.32,17.51,133304.91097199998,2324557.707038638451242
1773694800000,2026-03-16T21:00:00Z,17.5,17.5,17.4502,17.47,15193.8954,265498.1282196
1773698400000,2026-03-16T22:00:00Z,17.46,17.51,17.4372,17.4601,40683.883295,711138.006443282
1773702000000,2026-03-16T23:00:00Z,17.46,17.47,17.4502,17.4687,15811.810237,276129.5480738495
1773705600000,2026-03-17T00:00:00Z,17.44,17.51,17.39,17.48,3891,67990.84
1773709200000,2026-03-17T01:00:00Z,17.47,17.48,17.38,17.41,2264,39403.14
1773712800000,2026-03-17T02:00:00Z,17.42,17.44,17.38,17.43,4420,76981.47
1773716400000,2026-03-17T03:00:00Z,17.39,17.41,17.36,17.38,1346,23401.44
1773720000000,2026-03-17T04:00:00Z,17.41,17.46,17.41,17.44,210,3659.43
1773723600000,2026-03-17T05:00:00Z,17.45,17.49,17.45,17.45,1297,22654.51
1773727200000,2026-03-17T06:00:00Z,17.44,17.44,17.34,17.34,4016,69752.54
1773730800000,2026-03-17T07:00:00Z,17.34,17.4,17.29,17.29,4263,73966.83
1773734400000,2026-03-17T08:00:00Z,17.44,17.44,17.27,17.36,27011,468584.1269
1773738000000,2026-03-17T09:00:00Z,17.33,17.41,17.33,17.39,14333,249167.7386
1773741600000,2026-03-17T10:00:00Z,17.4,17.41,17.33,17.35,16902,293783.8032
1773745200000,2026-03-17T11:00:00Z,17.38,17.4,17.34,17.35,25571,444045.5292
1773748800000,2026-03-17T12:00:00Z,17.39,17.4728,17.27,17.39,131229.009848,2285130.1171861784
1773752400000,2026-03-17T13:00:00Z,17.46,17.69,17.295,17.55,2466436.7227479997,43135758.48781204155327
1773756000000,2026-03-17T14:00:00Z,17.5,17.735,17.415,17.59,2946695.4083350003,51835908.26710265727736
1773759600000,2026-03-17T15:00:00Z,17.565,17.606,17.11,17.45,3041831.141831001,52774553.5783111349496
1773763200000,2026-03-17T16:00:00Z,17.43,17.51,17.315,17.395,1352928.2753260003,23557051.83714878462357
1773766800000,2026-03-17T17:00:00Z,17.385,17.64,17.345,17.615,1168359.75137,20442907.405696027
1773770400000,2026-03-17T18:00:00Z,17.62,17.745,17.375,17.72,1823909.5647330002,32082751.63460994681802
1773774000000,2026-03-17T19:00:00Z,17.725,17.75,17.455,17.48,2840290.8323,49924928.07567002
1773777600000,2026-03-17T20:00:00Z,17.48,17.62,17.35,17.48,502047.811864,8770323.4302334024
1773781200000,2026-03-17T21:00:00Z,17.4787,17.48,17.41,17.46,12407.162958,216565.7887155942
1773784800000,2026-03-17T22:00:00Z,17.41,17.4689,17.4002,17.4208,13024,227108.6048
1773788400000,2026-03-17T23:00:00Z,17.42,17.47,17.42,17.47,10267.315207,179145.1424632567
1773792000000,2026-03-18T00:00:00Z,17.45,17.58,17.43,17.55,2122,37157.97
1773795600000,2026-03-18T01:00:00Z,17.54,17.61,17.54,17.59,4131,72577.92
1773799200000,2026-03-18T02:00:00Z,17.57,17.6,17.56,17.6,3234,56869.66
1773802800000,2026-03-18T03:00:00Z,17.59,17.64,17.59,17.64,2242,39451.91
1773806400000,2026-03-18T04:00:00Z,17.64,17.64,17.59,17.64,710,12510.03
1773810000000,2026-03-18T05:00:00Z,17.62,17.69,17.62,17.65,3006,53083.38
1773813600000,2026-03-18T06:00:00Z,17.67,17.76,17.67,17.71,3684,65270.26
1773817200000,2026-03-18T07:00:00Z,17.71,17.76,17.7,17.76,4007,70995.03
1773820800000,2026-03-18T08:00:00Z,17.7,17.71,17.63,17.68,11601,205010.5518
1773824400000,2026-03-18T09:00:00Z,17.66,17.72,17.66,17.7,8229,145670.5809
1773828000000,2026-03-18T10:00:00Z,17.68,17.73,17.66,17.69,10962,193882.7016
1773831600000,2026-03-18T11:00:00Z,17.69,17.7,17.6,17.61,38586,680599.161
1773835200000,2026-03-18T12:00:00Z,17.689,17.74,17.32,17.32,180119.17569200002,3148213.01233262234957
1773838800000,2026-03-18T13:00:00Z,17.24,17.38,16.9,17.15,2988671.438498,51211781.7000947794
1773842400000,2026-03-18T14:00:00Z,17.14,17.25,17.04,17.17,2000811.6428790004,34314519.91886772056012
1773846000000,2026-03-18T15:00:00Z,17.225,17.305,16.6,16.75,3907589.64025,66226610.74088505
1773849600000,2026-03-18T16:00:00Z,16.75,16.89,16.585,16.785,2077915.1184260002,34751675.81509195514486
1773853200000,2026-03-18T17:00:00Z,16.81,17.04,16.655,16.85,2103497.5226780004,35434257.16851998793816
1773856800000,2026-03-18T18:00:00Z,16.89,17.025,16.65,16.665,2044110.5870949992,34494161.74616940200008
1773860400000,2026-03-18T19:00:00Z,16.67,16.75,16.455,16.46,3546866.0076819994,58820871.18479750984966
1773864000000,2026-03-18T20:00:00Z,16.46,16.53,16.33,16.4514,597980.040412,9845741.36538358
1773867600000,2026-03-18T21:00:00Z,16.46,16.53,16.43,16.5,44812.40984200001,738616.063979780964824
1773871200000,2026-03-18T22:00:00Z,16.51,16.58,16.47,16.48,56522.46634,934231.58490069
1773874800000,2026-03-18T23:00:00Z,16.48,16.57,16.46,16.49,17303.121212,285380.378149516
1773878400000,2026-03-19T00:00:00Z,16.5,16.57,16.46,16.46,3572,58989.12
1773882000000,2026-03-19T01:00:00Z,16.47,16.56,16.41,16.51,5910,97331.12
1773885600000,2026-03-19T02:00:00Z,16.52,16.68,16.52,16.6,5901,98146.17
1773889200000,2026-03-19T03:00:00Z,16.6,16.62,16.55,16.59,2919,48451.49
1773892800000,2026-03-19T04:00:00Z,16.58,16.58,16.48,16.51,2033,33554.52
1773896400000,2026-03-19T05:00:00Z,16.52,16.52,16.4,16.4,5664,93251.9
1773900000000,2026-03-19T06:00:00Z,16.41,16.48,16.4,16.43,1597,26227.7
1773903600000,2026-03-19T07:00:00Z,16.43,16.45,16.26,16.29,6557,106971.4
1773907200000,2026-03-19T08:00:00Z,16.4,16.4,16.12,16.16,29412,477094.9932
1773910800000,2026-03-19T09:00:00Z,16.16,16.23,16.03,16.2,52753,851591.679
1773914400000,2026-03-19T10:00:00Z,16.17,16.2,16.11,16.16,15091,243742.2865
1773918000000,2026-03-19T11:00:00Z,16.18,16.22,16.07,16.13,47801,771575.0614
1773921600000,2026-03-19T12:00:00Z,15.96,16.53,15.8602,15.99,428599.124838,6869629.6328159478
1773925200000,2026-03-19T13:00:00Z,15.9,16,15.53,15.63,3431462.8891509995,53862300.3858475787517
1773928800000,2026-03-19T14:00:00Z,15.62,15.9,15.355,15.855,3734626.633372,58288558.6430168272
1773932400000,2026-03-19T15:00:00Z,15.865,16.16,15.775,16.115,2729288.439103,43617304.4029928636
1773936000000,2026-03-19T16:00:00Z,16.105,16.3,16.07,16.13,1894548.3839550002,30693199.45877816724016
1773939600000,2026-03-19T17:00:00Z,16.12,16.15,15.9001,16.02,1203934.8585219998,19312198.67206554659182
1773943200000,2026-03-19T18:00:00Z,16.035,16.3,15.92,15.965,1572325.0832590002,25331257.71886077452214
1773946800000,2026-03-19T19:00:00Z,15.95,16.38,15.92,16.09,4660912.718205,75227131.2718287
1773950400000,2026-03-19T20:00:00Z,16.09,16.23,15.97,16.09,208058.61222199997,3352115.524953530316658
1773954000000,2026-03-19T21:00:00Z,16.19,16.22,16.14,16.14,16537,267610.0025
1773957600000,2026-03-19T22:00:00Z,16.13,16.19,16.1,16.15,16042,258847.2952
1773961200000,2026-03-19T23:00:00Z,16.14,16.19,16.0708,16.173,24459,394264.4046
1773964800000,2026-03-20T00:00:00Z,16.11,16.33,16.08,16.15,11358,183852.85
1773968400000,2026-03-20T01:00:00Z,16.15,16.26,16.14,16.2,4396,71201.33
1773972000000,2026-03-20T02:00:00Z,16.2,16.24,16.19,16.24,927,15026.45
1773975600000,2026-03-20T03:00:00Z,16.21,16.23,16.17,16.17,1500,24285.37
1773979200000,2026-03-20T04:00:00Z,16.17,16.18,16.16,16.16,303,4899.58
1773982800000,2026-03-20T05:00:00Z,16.15,16.16,16.07,16.13,1088,17544.45
1773986400000,2026-03-20T06:00:00Z,16.12,16.14,16.01,16.05,3768,60608.08
1773990000000,2026-03-20T07:00:00Z,16.05,16.1,16.01,16.05,6842,109948.39
1773993600000,2026-03-20T08:00:00Z,16.23,16.23,16.06,16.18,24173,390048.2761
1773997200000,2026-03-20T09:00:00Z,16.18,16.2,15.98,16,13577,218508.238
1774000800000,2026-03-20T10:00:00Z,15.96,15.96,15.92,15.96,6596,105163.9856
1774004400000,2026-03-20T11:00:00Z,15.94,15.98,15.78,15.83,35412,561882.204
1774008000000,2026-03-20T12:00:00Z,16.21,16.21,15.77,15.8302,133382.589557,2119035.8620331033
1774011600000,2026-03-20T13:00:00Z,15.98,16.01,15.56,15.615,1996992.2059040004,31424469.65288475989436
1774015200000,2026-03-20T14:00:00Z,15.635,16.02,15.6,15.895,3704250.631040001,58823870.4459783198801
1774018800000,2026-03-20T15:00:00Z,15.905,16.055,15.74,15.91,1557689.1618030006,24756353.8485350885358
1774022400000,2026-03-20T16:00:00Z,15.95,16.03,15.63,15.75,1459269.711782,23132927.1790529768
1774026000000,2026-03-20T17:00:00Z,15.76,15.89,15.52,15.665,1634474.7798860003,25595548.15805878749794
1774029600000,2026-03-20T18:00:00Z,15.68,15.7,15.34,15.365,1805986.5196280004,28014101.69516561660472
1774033200000,2026-03-20T19:00:00Z,15.37,15.77,15.22,15.77,4885291.391539998,75766961.2496721369816
1774036800000,2026-03-20T20:00:00Z,15.73,15.8568,15.69,15.73,2260736.8915919997,35567495.29434945368019
1774040400000,2026-03-20T21:00:00Z,15.74,15.88,15.73,15.77,43950,694097.955
1774044000000,2026-03-20T22:00:00Z,15.84,15.89,15.8,15.8,35650,564831.47
1774047600000,2026-03-20T23:00:00Z,15.85,15.86,15.79,15.83,19229,304068.177
1774224000000,2026-03-23T00:00:00Z,15.57,15.57,15.32,15.39,7751,119795.13
1774227600000,2026-03-23T01:00:00Z,15.4,15.56,15.36,15.56,10090,156061.01
1774231200000,2026-03-23T02:00:00Z,15.52,15.6,15.46,15.47,3906,60710.43
1774234800000,2026-03-23T03:00:00Z,15.47,15.51,15.38,15.38,2014,31072.82
1774238400000,2026-03-23T04:00:00Z,15.38,15.48,15.38,15.47,840,12937.4
1774242000000,2026-03-23T05:00:00Z,15.45,15.51,15.34,15.36,6316,97614.75
1774245600000,2026-03-23T06:00:00Z,15.37,15.39,15.05,15.06,25633,389440.33
1774249200000,2026-03-23T07:00:00Z,15.07,15.25,14.93,15.1,66097,996711.81
1774252800000,2026-03-23T08:00:00Z,15.14,15.5,15,15.14,139954,2113809.2344
1774256400000,2026-03-23T09:00:00Z,15.2,15.2,15.05,15.1,26925,407353.71
1774260000000,2026-03-23T10:00:00Z,15.13,15.15,15.04,15.09,29801,450010.0005
1774263600000,2026-03-23T11:00:00Z,15.13,16.01,15.08,15.86,434794,6855440.4774
1774267200000,2026-03-23T12:00:00Z,15.09,16.03,14.95,15.94,438560.7044,6812645.83822004
1774270800000,2026-03-23T13:00:00Z,15.73,16,15.55,15.775,2903391.0945650004,45757443.650344406304
1774274400000,2026-03-23T14:00:00Z,15.79,15.985,15.62,15.95,2911586.1497210003,46016163.30326554924135
1774278000000,2026-03-23T15:00:00Z,15.95,16.32,15.77,15.82,2930963.007112,47141022.8137879856
1774281600000,2026-03-23T16:00:00Z,15.87,16.17,15.805,15.98,1816778.9785880006,29037033.38107843718962
1774285200000,2026-03-23T17:00:00Z,16.03,16.15,15.7713,16.01,1627763.6796419998,25999292.59671387760552
1774288800000,2026-03-23T18:00:00Z,16.005,16.315,15.95,16.245,1730471.315013,27931018.3542303291
1774292400000,2026-03-23T19:00:00Z,16.255,16.465,16.25,16.3,3818438.2887790008,62528072.51024277180024
1774296000000,2026-03-23T20:00:00Z,16.3103,16.32,16.21,16.31,121750.25282400001,1983518.593932760962917
1774299600000,2026-03-23T21:00:00Z,16.26,16.31,16.26,16.3,15186,247443.7212
1774303200000,2026-03-23T22:00:00Z,16.2601,16.3,16.26,16.28,16461.782,267979.7029998
1774306800000,2026-03-23T23:00:00Z,16.29,16.3,16.25,16.2584,16410,266998.905
1774310400000,2026-03-24T00:00:00Z,16.56,16.57,16.15,16.22,3763,61182.37
1774314000000,2026-03-24T01:00:00Z,16.21,16.24,16.11,16.11,7475,120759.23
1774317600000,2026-03-24T02:00:00Z,16.16,16.17,16.09,16.16,1922,30980.06
1774321200000,2026-03-24T03:00:00Z,16.17,16.21,16.15,16.21,3007,48617.15
1774324800000,2026-03-24T04:00:00Z,16.2,16.22,16.18,16.18,2780,45040.74
1774328400000,2026-03-24T05:00:00Z,16.18,16.18,16.06,16.06,4411,71160.22
1774332000000,2026-03-24T06:00:00Z,16.14,16.21,16.12,16.2,3750,60579.32
1774335600000,2026-03-24T07:00:00Z,16.26,16.44,16.2,16.43,21349,348231.21
1774339200000,2026-03-24T08:00:00Z,16.33,16.4,16.25,16.25,17895,292028.505
1774342800000,2026-03-24T09:00:00Z,16.2,16.24,16.12,16.24,9393,151869.7812
1774346400000,2026-03-24T10:00:00Z,16.25,16.28,16.21,16.28,3291,53454.7257
1774350000000,2026-03-24T11:00:00Z,16.25,16.27,16.16,16.21,10906,176913.8602
1774353600000,2026-03-24T12:00:00Z,16.15,16.44,16.02,16.15,126386.703628,2041322.2049772792
1774357200000,2026-03-24T13:00:00Z,16.05,16.281,15.725,15.91,1952467.5755349994,31195355.44135289941356
1774360800000,2026-03-24T14:00:00Z,15.915,16.16,15.425,15.66,3587361.9123299993,56351357.12745332800419
1774364400000,2026-03-24T15:00:00Z,15.69,16.008,15.635,15.695,2202580.6931079994,34834254.17764163211088
1774368000000,2026-03-24T16:00:00Z,15.69,15.935,15.62,15.78,1173018.4204610002,18514688.14487233495676
1774371600000,2026-03-24T17:00:00Z,15.82,15.92,15.585,15.8,1818223.2627890005,28577742.3105598364587
1774375200000,2026-03-24T18:00:00Z,15.79,16.14,15.77,16,1595429.363504,25504055.1761658928
1774378800000,2026-03-24T19:00:00Z,16.015,16.24,15.875,15.91,2864119.9102929994,45987168.51563748626622
1774382400000,2026-03-24T20:00:00Z,15.94,16.14,15.85,16.0899,842790.0909419999,13434495.44466094940595
1774386000000,2026-03-24T21:00:00Z,16.09,16.09,16,16.02,22575,361710.195
1774389600000,2026-03-24T22:00:00Z,16.03,16.09,16.03,16.08,15264.938886,245040.431467515
1774393200000,2026-03-24T23:00:00Z,16.09,16.09,16.04,16.08,13123,210918.1052
1774396800000,2026-03-25T00:00:00Z,16.05,16.2,16.05,16.16,7438,119987.42
1774400400000,2026-03-25T01:00:00Z,16.15,16.15,16.1,16.12,3061,49375.43
1774404000000,2026-03-25T02:00:00Z,16.09,16.11,16.05,16.07,1952,31369.69
1774407600000,2026-03-25T03:00:00Z,16.05,16.09,16.01,16.09,2302,36927.82
1774411200000,2026-03-25T04:00:00Z,16.08,16.14,16.08,16.1,2720,43801.38
1774414800000,2026-03-25T05:00:00Z,16.13,16.15,16.11,16.12,1640,26459.7
1774418400000,2026-03-25T06:00:00Z,16.1,16.1,16,16.09,2670,42849.57
1774422000000,2026-03-25T07:00:00Z,16.1,16.17,16.09,16.17,6868,110739.95
1774425600000,2026-03-25T08:00:00Z,16.16,16.3,16.1,16.21,24210,393180.084
1774429200000,2026-03-25T09:00:00Z,16.2,16.21,16.12,16.12,7126,115348.562
1774432800000,2026-03-25T10:00:00Z,16.21,16.21,16.15,16.18,5022,81213.273
1774436400000,2026-03-25T11:00:00Z,16.17,16.34,16.17,16.29,20727,336643.7886
1774440000000,2026-03-25T12:00:00Z,16.21,16.35,16.01,16.23,165472.87898,2679866.369656896
