ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1782306000000,2026-06-24T13:00:00Z,31.66,33.11,23.05,24,1115325.7704999999,26885931.49109595
1782309600000,2026-06-24T14:00:00Z,24.005,24.51,23.33,24.1,3321368.1988000004,80070215.98939089
1782313200000,2026-06-24T15:00:00Z,24.25,24.32,23.46,23.665,590803.7546,14077317.38235604
1782316800000,2026-06-24T16:00:00Z,23.74,23.86,23.23,23.24,348921.9436,8224822.94673356
1782320400000,2026-06-24T17:00:00Z,23.2,23.43,22.19,22.26,450821.7575,10221977.61173075
1782324000000,2026-06-24T18:00:00Z,22.21,23.15,22.2,22.43,364754.3969,8273322.75504611
1782327600000,2026-06-24T19:00:00Z,22.29,23.79,21.81,23.7,730167.6882000001,16594448.03295258
1782331200000,2026-06-24T20:00:00Z,24.23,30.5,23.6,29.77,2655933.6108999997,76422630.50011986
1782334800000,2026-06-24T21:00:00Z,29.84,30.39,29,30.35,1440975.4367,42712673.40694305
1782338400000,2026-06-24T22:00:00Z,30.14,31.94,30,31.27,2066243,64186599.0492
1782342000000,2026-06-24T23:00:00Z,31.21,31.24,29.86,30.79,1154340,35538434.712
1782345600000,2026-06-25T00:00:00Z,30.64,31.09,27.57,28.4,1442484,41874906.47000006
1782349200000,2026-06-25T01:00:00Z,28.42,29.07,28.08,28.76,440773,12616181.56999999
1782352800000,2026-06-25T02:00:00Z,28.77,29.14,28.42,28.96,294333,8471954.53
1782356400000,2026-06-25T03:00:00Z,28.97,29.37,28.93,29.3,257650,7512587.04000001
1782360000000,2026-06-25T04:00:00Z,29.32,30.07,29.23,29.95,414523,12313745.06999998
1782363600000,2026-06-25T05:00:00Z,29.95,30.38,29.58,29.83,537311,16137623.63999998
1782367200000,2026-06-25T06:00:00Z,29.81,30.01,29.45,29.57,337972,10047337
1782370800000,2026-06-25T07:00:00Z,29.58,29.94,29.56,29.69,149104,4434395.43
1782374400000,2026-06-25T08:00:00Z,30.13,30.81,29.22,29.39,2254611,67260457.1964
1782378000000,2026-06-25T09:00:00Z,29.32,29.59,29.22,29.42,205650,6048433.845
1782381600000,2026-06-25T10:00:00Z,29.65,29.94,29.4,29.86,334213,9939327.5135
1782385200000,2026-06-25T11:00:00Z,29.95,30.16,29.57,29.65,698829,20897153.4699
1782388800000,2026-06-25T12:00:00Z,29.61,30.46,29.5,30.36,783689,23512864.3292
1782392400000,2026-06-25T13:00:00Z,30.29,30.36,26.1,26.125,7645590.335849001,218491857.82272483
1782396000000,2026-06-25T14:00:00Z,26.16,28.14,26.1238,27.92,5671698.33489,154852110.95816771
1782399600000,2026-06-25T15:00:00Z,27.91,28.35,27.07,27.945,2757617.2006180007,76719392.37667334
1782403200000,2026-06-25T16:00:00Z,27.96,28.9,27.91,28.47,2068431.0843409996,58988965.56499567
1782406800000,2026-06-25T17:00:00Z,28.46,28.98,28.33,28.98,1314752.0023930008,37714055.61424395
1782410400000,2026-06-25T18:00:00Z,28.885,28.98,28.23,28.56,788745.177536,22556692.33621004
1782414000000,2026-06-25T19:00:00Z,28.59,28.64,27.825,28.61,1407438.6955829998,39687097.08191899
1782417600000,2026-06-25T20:00:00Z,28.59,28.94,28.191,28.44,353316.6798,10111252.07418438
1782421200000,2026-06-25T21:00:00Z,28.59,28.72,28,28,169728,4833480.0384
1782424800000,2026-06-25T22:00:00Z,27.83,28.1101,27.37,27.84,242795,6725057.3075
1782428400000,2026-06-25T23:00:00Z,28.39,28.63,27.8,27.87,161869,4576765.0405
1782432000000,2026-06-26T00:00:00Z,27.86,28.25,26.35,26.93,458459,12444676.56999998
1782435600000,2026-06-26T01:00:00Z,26.93,27.38,26.19,26.29,293607,7866018.23
1782439200000,2026-06-26T02:00:00Z,26.34,26.43,24.48,24.93,1060157,27022041.81000001
1782442800000,2026-06-26T03:00:00Z,24.93,25.36,24,25.36,651562,16002426.14
1782446400000,2026-06-26T04:00:00Z,25.35,25.59,24.26,24.57,417638,10448423.13999999
1782450000000,2026-06-26T05:00:00Z,24.59,26.25,24.53,25.09,557317,14209500.45999999
1782453600000,2026-06-26T06:00:00Z,25.09,26.44,24.69,26.24,346863,8958655.86999999
1782457200000,2026-06-26T07:00:00Z,26.24,26.62,26.03,26.51,179981,4745325.02
1782460800000,2026-06-26T08:00:00Z,26.37,26.61,24.27,25.5,1986024,50856513.7728
1782464400000,2026-06-26T09:00:00Z,25.42,25.83,25.3,25.79,195309,4990223.0736
1782468000000,2026-06-26T10:00:00Z,25.4,25.59,25.1052,25.19,175660,4445164.13
1782471600000,2026-06-26T11:00:00Z,25.75,25.96,25.2,25.3,266714,6819823.6372
1782475200000,2026-06-26T12:00:00Z,25.53,25.69,24.8,25,370106,9297543.8578
1782478800000,2026-06-26T13:00:00Z,24.8,25.8499,24.14,25.71,2687980.329605999,66798192.7769398
1782482400000,2026-06-26T14:00:00Z,25.715,26.85,25.46,25.71,3440228.454573001,90189717.21077671
1782486000000,2026-06-26T15:00:00Z,25.73,26.41,25.2,25.97,1136257.119271,29351566.65358462
1782489600000,2026-06-26T16:00:00Z,25.84,26.55,25.79,26.3,1018695.3033380001,26783842.5239537
1782493200000,2026-06-26T17:00:00Z,26.29,26.61,25.97,26.1,653966.60223,17216913.34024899
1782496800000,2026-06-26T18:00:00Z,25.98,26.0899,25.15,25.19,846841.948277,21573044.57977209
1782500400000,2026-06-26T19:00:00Z,25.21,25.64,24.8,24.805,2055136.6718569999,51608386.5900058
1782504000000,2026-06-26T20:00:00Z,24.81,25.0588,24.68,24.87,164662.818868,4089401.10658678
1782507600000,2026-06-26T21:00:00Z,24.66,25.02,24.65,24.81,110929,2748044.117
1782511200000,2026-06-26T22:00:00Z,25.07,25.1,24.85,25.07,72477,1813541.2371
1782514800000,2026-06-26T23:00:00Z,25.1,25.54,25,25.54,75682,1908783.2902
1782518400000,2026-06-27T00:00:00Z,25.167,25.167,25.001,25.001,0,0
1782691200000,2026-06-29T00:00:00Z,25.3,27,23.19,24.19,1055481,25442525.58999997
1782694800000,2026-06-29T01:00:00Z,24.19,24.5,23.39,23.93,224515,5399628.57000001
1782698400000,2026-06-29T02:00:00Z,23.93,24.05,23.47,23.7,117859,2796394.02
1782702000000,2026-06-29T03:00:00Z,23.75,23.94,23.3,23.87,176474,4159590.38
1782705600000,2026-06-29T04:00:00Z,23.85,23.88,23.14,23.17,198162,4632028.47
1782709200000,2026-06-29T05:00:00Z,23.18,25.04,23.09,24.94,416819,10088605.23999998
1782712800000,2026-06-29T06:00:00Z,24.95,24.97,24.28,24.45,185273,4548177.40000001
1782716400000,2026-06-29T07:00:00Z,24.43,24.72,24.29,24.64,61773,1515548.53
1782720000000,2026-06-29T08:00:00Z,24.74,25.05,23.1,24.44,1187508,28728668.5392
1782723600000,2026-06-29T09:00:00Z,24.33,24.48,24,24,105326,2551364.361
1782727200000,2026-06-29T10:00:00Z,24.3,24.56,24.1806,24.3,130942,3189197.1636
1782730800000,2026-06-29T11:00:00Z,24.4,24.47,23.82,23.83,269945,6511505.312
1782734400000,2026-06-29T12:00:00Z,24.12,24.2,23.7204,24.06,202063,4850077.7764
1782738000000,2026-06-29T13:00:00Z,24.21,24.21,22.07,22.175,2896573.4657429997,66735314.70663927
1782741600000,2026-06-29T14:00:00Z,22.135,22.3,20.995,22.2,4078530.575693,88632179.35261486
1782745200000,2026-06-29T15:00:00Z,22.23,23.29,22.12,23.22,1976478.0288150006,44887594.8646146
1782748800000,2026-06-29T16:00:00Z,23.21,24.109,23.16,24.06,1081522.7713859999,25670591.89250954
1782752400000,2026-06-29T17:00:00Z,24.02,24.21,23.585,23.9,638956.3697359998,15294123.56163786
1782756000000,2026-06-29T18:00:00Z,24.01,24.545,23.86,24.45,551309.317856,13382427.25070476
1782759600000,2026-06-29T19:00:00Z,24.24,24.76,24.1301,24.66,546665.088127,13362298.7486147
1782763200000,2026-06-29T20:00:00Z,24.66,24.84,24.66,24.76,139834.770225,3463567.42370303
1782766800000,2026-06-29T21:00:00Z,24.7,24.74,24.5,24.7,65333,1610647.9157
1782770400000,2026-06-29T22:00:00Z,24.65,24.73,24.53,24.65,76223,1879834.4929
1782774000000,2026-06-29T23:00:00Z,24.74,24.79,24.61,24.79,94043,2323341.7193
1782777600000,2026-06-30T00:00:00Z,24.64,25.25,23.5,23.89,211171,5122432.28000001
1782781200000,2026-06-30T01:00:00Z,23.97,24.46,23.65,24.41,76490,1845361.02
1782784800000,2026-06-30T02:00:00Z,24.4,24.92,24.19,24.85,82822,2031346.6
1782788400000,2026-06-30T03:00:00Z,24.85,25.1,24.77,24.8,84986,2118448.99
1782792000000,2026-06-30T04:00:00Z,24.79,26.08,24.79,25.9,206269,5300201.28999999
1782795600000,2026-06-30T05:00:00Z,25.86,26.07,25.34,25.59,130287,3347353.06
1782799200000,2026-06-30T06:00:00Z,25.62,25.62,24.99,25.14,69135,1739818.99
1782802800000,2026-06-30T07:00:00Z,25.14,25.21,24.706,24.9,35438,888784.4
1782806400000,2026-06-30T08:00:00Z,24.79,25.019,24.552,24.78,950990,23644274.172
1782810000000,2026-06-30T09:00:00Z,24.91,24.946,24.6,24.65,64531,1598387.6983
1782813600000,2026-06-30T10:00:00Z,24.62,24.895,24.421,24.84,81814,2012910.749
1782817200000,2026-06-30T11:00:00Z,24.83,25.071,24.705,24.78,154075,3835388.975
1782820800000,2026-06-30T12:00:00Z,25,25.063,24.532,24.56,249537,6187294.8687
1782824400000,2026-06-30T13:00:00Z,24.58,25.66,24.549,25.51,1845672.675322,46339488.42657699
1782828000000,2026-06-30T14:00:00Z,25.54,25.873,25.128,25.23,1934094.466215999,49361572.14787148
1782831600000,2026-06-30T15:00:00Z,25.23,25.596,25.21,25.54,1108085.479319,28194016.1272447
1782835200000,2026-06-30T16:00:00Z,25.52,26.02,25.473,25.8,1699728.1331419998,43841597.65657154
1782838800000,2026-06-30T17:00:00Z,25.765,26.035,25.686,25.87,1017563.9499969999,26317765.22074741
1782842400000,2026-06-30T18:00:00Z,25.81,26.06,25.733,26.06,563463.9541999998,14580193.27887919
1782846000000,2026-06-30T19:00:00Z,26.07,26.21,25.835,25.96,1070772.1327139996,27893078.67113333
1782849600000,2026-06-30T20:00:00Z,25.97,26.05,25.705,25.72,117318.326389,3031798.84970773
1782853200000,2026-06-30T21:00:00Z,25.73,25.935,25.73,25.89,73288,1895572.1336
1782856800000,2026-06-30T22:00:00Z,25.945,26.044,25.862,25.87,66345,1720757.0925
