ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1783695600000,2026-07-10T15:00:00Z,170.87,176.37,166.26,172.38,52121363.71111601,8934034347.40408638
1783699200000,2026-07-10T16:00:00Z,172.37,177.01,172.26,173.52,21340578.946062,3719483649.43545968
1783702800000,2026-07-10T17:00:00Z,173.61,173.73,170.68,171.37,9808966.174968997,1688190760.57877167
1783706400000,2026-07-10T18:00:00Z,171.39,172.41,168.24,169.94,9794170.867011,1662128581.73988206
1783710000000,2026-07-10T19:00:00Z,169.85,170.965,167.935,168.31,11903965.045264998,2012997391.44595148
1783713600000,2026-07-10T20:00:00Z,168.301,169.566,167.99,169.372,1877934.3143399999,316694041.72063220977021
1783717200000,2026-07-10T21:00:00Z,169.31,170.29,169.29,169.36,308403.32927199994,52339252.37208282
1783720800000,2026-07-10T22:00:00Z,170.47,171.191,169.822,171.09,327688.65923099994,55890250.02978012
1783724400000,2026-07-10T23:00:00Z,171.91,173.631,171.192,172.71,577258.779367,99627995.93926973
1783728000000,2026-07-11T00:00:00Z,172.089,172.099,172.089,172.099,0,0
1783929600000,2026-07-13T08:00:00Z,152.19,174.2,150,151.67,1112753.342717,169943362.58577121
1783933200000,2026-07-13T09:00:00Z,152.42,155,151.89,154.3,688467.7395590002,105530056.28895245
1783936800000,2026-07-13T10:00:00Z,153.39,155,153.13,154.51,395294.37562299997,60924073.64245631
1783940400000,2026-07-13T11:00:00Z,154.99,155.06,152.5,153.41,791037.580261,121791468.21482066
1783944000000,2026-07-13T12:00:00Z,153.01,153.6,150.26,152.6,1585662.0161139998,240857620.39407145
1783947600000,2026-07-13T13:00:00Z,152.76,159.4,152.21,156.88,13263222.449439995,2056662915.44465777
1783951200000,2026-07-13T14:00:00Z,156.87,162.28,155,157.055,9433574.610014997,1490531202.39127757
1783954800000,2026-07-13T15:00:00Z,157.055,158.85,151.3,153,7720482.027479999,1195867923.88752819
1783958400000,2026-07-13T16:00:00Z,153.04,155.5726,152.12,155.29,5105909.350195999,784959016.31612198
1783962000000,2026-07-13T17:00:00Z,155.25,157.77,155.0301,157.17,4164041.195957001,652620182.94347047
1783965600000,2026-07-13T18:00:00Z,157.12,158.55,153.1,153.49,4571166.618382999,713119362.9008977
1783969200000,2026-07-13T19:00:00Z,153.68,157,151.41,153.405,7168240.685618,1096773081.98263928
1783972800000,2026-07-13T20:00:00Z,153.43,153.43,152,152.41,200162.00546300004,30532071.79490854
1783976400000,2026-07-13T21:00:00Z,152.5061,152.59,152.2076,152.25,104688.856342,15953807.00898387
1783980000000,2026-07-13T22:00:00Z,152.27,153,152.1,152.27,95088.463743,14510879.92103677
1783983600000,2026-07-13T23:00:00Z,151,152.77,149.55,150.71,427011.499672,64383213.97799537
1783987200000,2026-07-14T00:00:00Z,153,158.61,150.19,158.55,184712,28508400.51999999
1783990800000,2026-07-14T01:00:00Z,158.57,160.67,155.23,155.36,201989,32018721.35
1783994400000,2026-07-14T02:00:00Z,155.52,155.8,150.99,153.28,250195,38330571.96000002
1783998000000,2026-07-14T03:00:00Z,153.09,156.82,149.99,154.25,275586,42004791.15
1784001600000,2026-07-14T04:00:00Z,154.29,160,152.21,159.74,237723,37248763.13000001
1784005200000,2026-07-14T05:00:00Z,159.72,165.78,158.36,161.84,410591,66735193.77000003
1784008800000,2026-07-14T06:00:00Z,161.82,163.86,161.82,163.45,104175,16972207.80999999
1784012400000,2026-07-14T07:00:00Z,163.51,165.5,162.33,162.33,142963,23449914.79000001
1784016000000,2026-07-14T08:00:00Z,161.41,165.77,152.3024,162.81,1571542.953524,253929124.65893116
1784019600000,2026-07-14T09:00:00Z,162,162.76,162,162.35,156327.832598,25390938.53118302
1784023200000,2026-07-14T10:00:00Z,162.79,163.3,161.8859,162.82,196291.944467,31931222.81953027
1784026800000,2026-07-14T11:00:00Z,162.81,163.09,161.4563,162.6,590330.6195500001,95955821.85231236
1784030400000,2026-07-14T12:00:00Z,162.4,166,160.76,164.8,1136697.51928,186675400.47102921
1784034000000,2026-07-14T13:00:00Z,165.73,173.14,164.47,170.21,10201919.143720001,1726663592.96355208
1784037600000,2026-07-14T14:00:00Z,170.42,175.79,165.5,174.89,10426350.360413997,1774496017.43008356
1784041200000,2026-07-14T15:00:00Z,174.88,182.76,174.43,178.55,11888939.313467003,2127777735.65836569
1784044800000,2026-07-14T16:00:00Z,178.6,187.48,177.84,182.605,8882439.592301002,1629948094.79829616
1784048400000,2026-07-14T17:00:00Z,182.41,186.62,182.14,183.88,5255978.625523001,970290971.7197872
1784052000000,2026-07-14T18:00:00Z,183.92,189.7,183.43,186.37,6633657.825287,1242688427.33727394
1784055600000,2026-07-14T19:00:00Z,186.22,194.8,184.39,193.91,9861909.611736998,1874256907.90157764
1784059200000,2026-07-14T20:00:00Z,194.305,195.5984,181.5805,190.12,1181005.3010520001,225380807.7426917
1784062800000,2026-07-14T21:00:00Z,188.965,189.75,181.75,182.58,1119877.37753,208008375.84491501
1784066400000,2026-07-14T22:00:00Z,183.49,186.72,181.6,186.01,699788.82983,128593545.26397572
1784070000000,2026-07-14T23:00:00Z,186.69,187.7943,185,185.8,670553.9201819999,124977772.58812912
1784073600000,2026-07-15T00:00:00Z,186.01,195.5,185.5,192.04,660672,126024564.41000002
1784077200000,2026-07-15T01:00:00Z,192.02,192.02,186.5,188.76,368512,69418433.95999999
1784080800000,2026-07-15T02:00:00Z,188.76,190.48,187.63,187.68,213717,40463995.71999999
1784084400000,2026-07-15T03:00:00Z,187.68,191.45,187.07,190.95,243350,46175148.26
1784088000000,2026-07-15T04:00:00Z,190.99,192.29,188.41,189.82,183123,34824953.28000001
1784091600000,2026-07-15T05:00:00Z,189.82,190.45,185.99,187.95,281036,52779232.49000001
1784095200000,2026-07-15T06:00:00Z,187.99,188.75,186.9,187.51,169604,31820222.44000001
1784098800000,2026-07-15T07:00:00Z,187.51,188.41,183.13,184.96,211263,39240497.57
1784102400000,2026-07-15T08:00:00Z,185,192.27,181.4,183.41,1660203.0531380002,308727707.31482561
1784106000000,2026-07-15T09:00:00Z,183.14,183.5,180.62,181.1,491546.827992,89401209.89874938
1784109600000,2026-07-15T10:00:00Z,181.35,183,180.01,182.02,490078.226528,88903522.82411959
1784113200000,2026-07-15T11:00:00Z,181.79,183.34,181.5,182.2,556222.827752,101564119.07848697
1784116800000,2026-07-15T12:00:00Z,181.15,182.36,178.46,178.99,1133574.704383,204706474.63353362
1784120400000,2026-07-15T13:00:00Z,178.6,185.01,176.01,184,12614859.505996998,2276236602.63565372
1784124000000,2026-07-15T14:00:00Z,184.01,187.9499,171.2,174.76,16667773.697858002,2973012459.93586417
1784127600000,2026-07-15T15:00:00Z,174.72,176.34,170.36,171.11,7855639.739636002,1363396552.90816182
1784131200000,2026-07-15T16:00:00Z,171.2,173.27,166.48,172.9,9517261.876203997,1607629227.7951258
1784134800000,2026-07-15T17:00:00Z,172.9,176.19,172.79,175.99,6379189.706628001,1113324256.0354279
1784138400000,2026-07-15T18:00:00Z,175.96,180.91,174.2,175.49,7927864.305122,1414945401.51741176
1784142000000,2026-07-15T19:00:00Z,175.5,177.08,172.8209,176.44,7225071.948106998,1266543552.38803978
1784145600000,2026-07-15T20:00:00Z,175.6,176.6,173.3401,173.75,508385.410925,88964091.5681629
1784149200000,2026-07-15T21:00:00Z,173.4,174.46,172.81,173.71,149736.91706299997,25978037.42556034
1784152800000,2026-07-15T22:00:00Z,172.9,173.6,170.24,170.81,269944.65610100003,46326687.12910117
1784156400000,2026-07-15T23:00:00Z,171.16,171.7929,169.5,169.9,291152.45439800003,49638902.21801486
1784160000000,2026-07-16T00:00:00Z,170.02,172.91,166.55,166.96,345264,58376434.9
1784163600000,2026-07-16T01:00:00Z,167.04,170.56,165.19,168.96,431895,72430406.85000001
1784167200000,2026-07-16T02:00:00Z,168.96,171.18,167.58,170.77,199568,33820601.92
1784170800000,2026-07-16T03:00:00Z,170.75,171.89,168.81,170,131052,22306469.2
1784174400000,2026-07-16T04:00:00Z,170.03,170.05,166.57,168.31,139231,23358047.06
1784178000000,2026-07-16T05:00:00Z,168.42,172.65,167.92,171.12,248749,42490362.48
1784181600000,2026-07-16T06:00:00Z,171.26,172,168.07,168.92,130265,22047730.75
1784185200000,2026-07-16T07:00:00Z,168.84,168.92,165.59,166.41,119156,19933995.24
1784188800000,2026-07-16T08:00:00Z,166.89,172.63,162.79,165.85,1373928.1570279999,229905855.97783325
1784192400000,2026-07-16T09:00:00Z,166.76,167.2,165.0262,165.22,196797.230774,32660448.73952996
1784196000000,2026-07-16T10:00:00Z,164.99,166.31,164.97,164.99,152146.91840199998,25167793.30414651
1784199600000,2026-07-16T11:00:00Z,165.83,166.19,163.4,164.99,571269.581281,94021490.00380334
1784203200000,2026-07-16T12:00:00Z,163.91,164.3,162.2,163.1,701533.7736010001,114420088.32094576
1784206800000,2026-07-16T13:00:00Z,164.16,168.2,161,164.11,7521227.889848,1237120896.11096945
1784210400000,2026-07-16T14:00:00Z,163.67,166.1574,160.5,161.91,7286710.483027,1189425782.90755987
