ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1778551200000,2026-05-12T02:00:00Z,181.15,186.21,180.84,186.18,430546,79222448.83000002
1778554800000,2026-05-12T03:00:00Z,186.21,186.28,183.99,184.01,137867,25475700.46
1778558400000,2026-05-12T04:00:00Z,184.02,184.9,182.09,182.15,209428,38433509.52
1778562000000,2026-05-12T05:00:00Z,182.11,183.28,181.54,182.2,272385,49650945.67
1778565600000,2026-05-12T06:00:00Z,182.27,182.56,180.16,180.19,187774,34051726.6
1778569200000,2026-05-12T07:00:00Z,180.19,181.79,179,181.43,320141,57766850.22000001
1778572800000,2026-05-12T08:00:00Z,181.4,184.87,178.65,181.87,1768511.1327030004,320729751.28025879994232
1778576400000,2026-05-12T09:00:00Z,181.82,182.8,180.5984,181.78,381312.857123,69304984.5083908928
1778580000000,2026-05-12T10:00:00Z,181.74,183,180.7051,181.36,467784.54574699997,85133606.391042914940204
1778583600000,2026-05-12T11:00:00Z,181.44,181.8,178.02,178.41,1142801.293744,204731480.4126851072
1778587200000,2026-05-12T12:00:00Z,178.1,180.13,174.65,177.48,2436352.229049999,432309506.7805295875587
1778590800000,2026-05-12T13:00:00Z,176.15,182.2399,171.49,171.9,11311289.746349,2001372100.3020573942
1778594400000,2026-05-12T14:00:00Z,171.76,176.61,164.02,164.49,16955088.689867005,2879804858.885220932245
1778598000000,2026-05-12T15:00:00Z,164.45,165.65,154.09,154.43,15019044.624344004,2392209397.2941140067136
1778601600000,2026-05-12T16:00:00Z,153.75,158.1,150.58,151.16,9548164.223274,1470951032.7642770166
1778605200000,2026-05-12T17:00:00Z,151.91,160.97,151.22,160.35,10209192.002391998,1610912489.7342343212192
1778608800000,2026-05-12T18:00:00Z,160.26,165.4,160.13,161.27,8073344.766882999,1316369359.5884699348487
1778612400000,2026-05-12T19:00:00Z,161.4,172.7488,161.4,172.54,11251632.740133,1901498929.1639006808
1778616000000,2026-05-12T20:00:00Z,172.5,172.56,170.51,171.57,912806.4574450002,156515637.15484738229328
1778619600000,2026-05-12T21:00:00Z,171.57,172.35,171.1178,172.1478,326784.253332,56123071.412124342
1778623200000,2026-05-12T22:00:00Z,172.13,172.75,170.72,171.14,451326.96496500005,77619482.23085968759903
1778626800000,2026-05-12T23:00:00Z,170.95,171.32,167.2,167.6505,776725.818499,131352025.4937840401
1778630400000,2026-05-13T00:00:00Z,168,172.31,167.81,172.2,405660,69081090.27000001
1778634000000,2026-05-13T01:00:00Z,172.17,177.63,172.12,176.09,942967,165104983.58000002
1778637600000,2026-05-13T02:00:00Z,176.09,176.91,175.22,175.68,293483,51718308.78
1778641200000,2026-05-13T03:00:00Z,175.62,177.51,174.42,177.06,274842,48469969.01
1778644800000,2026-05-13T04:00:00Z,177.05,179.44,176.92,178.93,447922,79967155.73999999
1778648400000,2026-05-13T05:00:00Z,178.91,180,178.09,178.75,318881,57147689.3
1778652000000,2026-05-13T06:00:00Z,178.75,180.65,178.57,179.44,250718,45044730.16999999
1778655600000,2026-05-13T07:00:00Z,179.44,181.88,179.17,181.46,229726,41471447.84000001
1778659200000,2026-05-13T08:00:00Z,181.6,186.59,176.91,185.34,3397639.6479819994,620251689.00581152386778
1778662800000,2026-05-13T09:00:00Z,185.28,186.11,182.88,185.83,829393.4809669997,153037777.50302456054469
1778666400000,2026-05-13T10:00:00Z,185.8458,185.93,183.4147,183.84,392929.29148,72522723.570888712
1778670000000,2026-05-13T11:00:00Z,183.85,184.58,182.1,184.4,1010288.2067330003,185226643.93771096820212
1778673600000,2026-05-13T12:00:00Z,184.51,185.26,175.86,178.37,3067762.197453,552353037.8611706124
1778677200000,2026-05-13T13:00:00Z,179.56,184.85,173.01,176.31,13075024.971872997,2339169037.5579779060892
1778680800000,2026-05-13T14:00:00Z,176.54,184.27,172.26,183.71,11045873.377672998,1969495792.049162052897
1778684400000,2026-05-13T15:00:00Z,183.595,184.3,178.95,179.86,5890024.545472,1072060448.5925405888
1778688000000,2026-05-13T16:00:00Z,179.64,185.08,179.49,183.97,4988452.2892269995,915802519.29159408970775
1778691600000,2026-05-13T17:00:00Z,184.09,187,184,185.29,3493675.7718629995,649821597.3610547892003
1778695200000,2026-05-13T18:00:00Z,185.68,188.488,184.0201,184.31,3352939.9241700014,625780636.86336204929096
1778698800000,2026-05-13T19:00:00Z,184.58,186.95,182.67,184.345,6525823.008108,1206919641.3991356816
1778702400000,2026-05-13T20:00:00Z,184.26,185.17,183.48,184.95,509184.2459470001,93862922.06102080903398
1778706000000,2026-05-13T21:00:00Z,184.98,185.05,184.48,184.8,231890.18849399997,42834894.752724770858382
1778709600000,2026-05-13T22:00:00Z,184.77,187.165,184.6,186.91,371627.836581,69086581.0527830106
1778713200000,2026-05-13T23:00:00Z,186.9,188.8,186.9,188,637029.1995550002,119714094.54389314558512
1778716800000,2026-05-14T00:00:00Z,187.54,189.75,186.3,189.5,378249,71230617.21
1778720400000,2026-05-14T01:00:00Z,189.46,189.46,186.24,186.33,331339,62268679.00000001
1778724000000,2026-05-14T02:00:00Z,186.31,187.82,184.8,185.09,328922,61268882.80000001
1778727600000,2026-05-14T03:00:00Z,185.06,186.06,182.17,182.79,424884,78146664.98
1778731200000,2026-05-14T04:00:00Z,182.75,186.47,181.98,184.59,388935,71748349.14000001
1778734800000,2026-05-14T05:00:00Z,184.58,186.8,183.56,186.61,238682,44198928.46000001
1778738400000,2026-05-14T06:00:00Z,186.61,187.99,186.54,187.11,288329,54008444.49
1778742000000,2026-05-14T07:00:00Z,187.12,187.8,185.7,186.2,146686,27405144.77
1778745600000,2026-05-14T08:00:00Z,186.57,187.98,182,184.52,1905260.3972349998,353699780.13221485587124
1778749200000,2026-05-14T09:00:00Z,184.6,185.31,180.57,182.43,552725.7927509999,100902691.27792096144453
1778752800000,2026-05-14T10:00:00Z,182.43,184.24,181.52,182.82,360535.25980299996,65917634.994983950786692
1778756400000,2026-05-14T11:00:00Z,182.99,184.95,182.7772,183.22,558431.536989,102743975.6665340463
1778760000000,2026-05-14T12:00:00Z,183.98,184.95,181.7023,183.38,637517.0361739999,116890979.89212949066465
1778763600000,2026-05-14T13:00:00Z,181.74,189.43,178.2775,184.27,9229489.801118001,1707774953.5539488678346
1778767200000,2026-05-14T14:00:00Z,184.42,189.42,182.1,186.75,7910020.424216997,1473172486.8327250033761
1778770800000,2026-05-14T15:00:00Z,186.75,189.56,186.3401,187.56,3470991.0976759996,652441502.43193810961208
1778774400000,2026-05-14T16:00:00Z,187.01,188.92,186.14,187.64,2525010.9383159997,473606454.15727263133017
1778778000000,2026-05-14T17:00:00Z,187.95,188.81,181.25,187.61,6507238.881586002,1202271599.2468363021182
