ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1781276400000,2026-06-12T15:00:00Z,135,168.75,135,161.45,152012378.923052,23765204887.4068574396
1781280000000,2026-06-12T16:00:00Z,161.5,174.01,155.49,173.75,145143647.032998,23920195548.1673891928
1781283600000,2026-06-12T17:00:00Z,173.789,176.5,168,173.266,70570127.657886,12195527212.1082085698
1781287200000,2026-06-12T18:00:00Z,173.31,173.34,165.07,169.067,50739349.43806202,8595961219.634782862482
1781290800000,2026-06-12T19:00:00Z,168.96,169.17,157.42,161.129,77151010.86563402,12521825086.322825221256
1781294400000,2026-06-12T20:00:00Z,161.163,164.453,160.14,163.36,9792820.961522,1585246188.7376429248
1781298000000,2026-06-12T21:00:00Z,163.358,166.909,162.782,166.265,5051989.2773710005,839752772.0610179193111
1781301600000,2026-06-12T22:00:00Z,166.259,167.823,165.294,167.234,1610769.3333,268663116.48590694
1781305200000,2026-06-12T23:00:00Z,167.232,167.973,166.642,166.759,1399322,234057594.33
1781308800000,2026-06-13T00:00:00Z,166.76,166.764,166.76,166.764,0,0
1781481600000,2026-06-15T00:00:00Z,166.98,170.22,166.82,167.8,876227,147137580.71
1781485200000,2026-06-15T01:00:00Z,167.79,167.97,166.83,167.4,400806,67027388.04
1781488800000,2026-06-15T02:00:00Z,167.4,167.89,167.06,167.64,202847,33977415.09
1781492400000,2026-06-15T03:00:00Z,167.64,168.46,167.32,168.35,231101,38753680.35
1781496000000,2026-06-15T04:00:00Z,168.34,169.71,168.02,169.35,366909,61969673.17
1781499600000,2026-06-15T05:00:00Z,169.35,169.51,168.25,168.88,341214,57577584.96
1781503200000,2026-06-15T06:00:00Z,168.88,171.01,168.88,170.84,651401,110828775.34
1781506800000,2026-06-15T07:00:00Z,170.83,173.35,170.25,170.99,802417,138108376.87
1781510400000,2026-06-15T08:00:00Z,167.41,170.858,167.41,169.809,4625014.166646,787281473.981898735
1781514000000,2026-06-15T09:00:00Z,169.815,172.49,169.543,170.61,1226735.083689,209925409.2168052317
1781517600000,2026-06-15T10:00:00Z,170.608,171.101,168.442,168.488,1107217,188035009.2939
1781521200000,2026-06-15T11:00:00Z,168.39,170.236,167.158,169.197,3275856.1352669997,553616411.0039876823003
1781524800000,2026-06-15T12:00:00Z,169.209,171.471,169.13,170.286,3167082.233547,539616655.4902151463
1781528400000,2026-06-15T13:00:00Z,170.282,175,168.39,173.672,46606606.696922995,8016285084.6033885247055
1781532000000,2026-06-15T14:00:00Z,173.666,175.88,169.24,173.551,35547697.403675996,6138561235.6932701044592
1781535600000,2026-06-15T15:00:00Z,173.557,178.38,172.52,175.816,24620808.730268992,4302998438.4360959470336
1781539200000,2026-06-15T16:00:00Z,175.813,179.51,173.79,179.309,23775958.395863995,4220701001.6462576332015
1781542800000,2026-06-15T17:00:00Z,179.285,188.46,179,188.38,32574943.559452996,5971752665.621381312206
1781546400000,2026-06-15T18:00:00Z,188.37,188.76,182.32,187.31,24415627.234887004,4536135435.8406336765528
1781550000000,2026-06-15T19:00:00Z,192.855,192.9,192.11,192.46,36370128.410421,6806662257.9846080658
1781553600000,2026-06-15T20:00:00Z,192.402,195.48,189.99,193.211,4939279.826608001,952022478.0355244743452
1781557200000,2026-06-15T21:00:00Z,193.209,197.95,191.636,197.486,3071481.8837390007,600612003.51117777018129
1781560800000,2026-06-15T22:00:00Z,197.474,199.519,196.36,199.458,2453106.8723259997,485759561.95493704119457
1781564400000,2026-06-15T23:00:00Z,199.453,202.1,198.512,199.043,3349621.13813,670776371.243540272
1781568000000,2026-06-16T00:00:00Z,199.7,229.41,199.06,229.39,3374354,708144602.36000006
1781571600000,2026-06-16T01:00:00Z,229.38,229.86,208.89,214.96,3621393,780869844.83000003
1781575200000,2026-06-16T02:00:00Z,214.96,219.75,210.54,213,1826889,393439491.66
1781578800000,2026-06-16T03:00:00Z,213.06,214.4,212.17,213.6,605879,129365629.33
1781582400000,2026-06-16T04:00:00Z,213.6,213.91,210.51,212.51,598351,127001455.05
1781586000000,2026-06-16T05:00:00Z,212.47,213.62,206.85,210.39,1148301,241488223.62
1781589600000,2026-06-16T06:00:00Z,210.4,215.42,210.28,214.95,1063146,227010704.91
1781593200000,2026-06-16T07:00:00Z,214.92,215.53,213,213.36,619846,132851005.35
1781596800000,2026-06-16T08:00:00Z,201.449,214.33,201.449,212.039,8284004.706316,1754384859.9026612168
1781600400000,2026-06-16T09:00:00Z,212.033,213.77,210.49,211.1,1676689.6350430006,356076230.42859297722116
1781604000000,2026-06-16T10:00:00Z,211.092,212.79,207.364,207.364,2346984.9741900004,493890599.42564176217448
1781607600000,2026-06-16T11:00:00Z,207.476,212,199.553,203.003,8721116.104185,1790468683.2026617995
1781611200000,2026-06-16T12:00:00Z,203.003,204.365,199.821,201.983,5119285.149295,1032035087.8849987625
1781614800000,2026-06-16T13:00:00Z,201.986,220.01,196.58,218.773,67479284.19634402,14193538654.431644091584
1781618400000,2026-06-16T14:00:00Z,218.755,225.57,204.11,207.647,72698819.68447702,15518391828.196022957028
1781622000000,2026-06-16T15:00:00Z,207.75,214.76,206.14,211.347,30405423.575705994,6399101121.4042229324448
1781625600000,2026-06-16T16:00:00Z,211.311,217.46,210.64,217.141,27243591.948512,5859527237.0532072992
1781629200000,2026-06-16T17:00:00Z,217.151,218.16,210.65,211.77,19180205.25353401,4108424899.573814536213
1781632800000,2026-06-16T18:00:00Z,211.757,214.78,207.8,208.615,18230142.527929,3849002912.491761486
