ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1778605200000,2026-05-12T17:00:00Z,732.23,735.2,732.01,735.08,5692477.4063829975,4180666410.55709783245125
1778608800000,2026-05-12T18:00:00Z,735.02,736.57,734.66,735.99,5340797.685128999,3931007615.2167006241662
1778612400000,2026-05-12T19:00:00Z,736.02,738.84,735.99,738.19,10612953.853872,7831861135.326404016
1778616000000,2026-05-12T20:00:00Z,737.91,738.23,737.02,737.58,5275888.728555,3893119444.732817229
1778619600000,2026-05-12T21:00:00Z,737.47,737.47,737.05,737.36,569250.4938989999,420153884.58825798359174
1778623200000,2026-05-12T22:00:00Z,737.42,738.17,737.42,737.63,116307.994244,85816411.3338067744
1778626800000,2026-05-12T23:00:00Z,737.66,737.79,736.67,736.67,58621.56987899999,43234439.525392363024824
1778630400000,2026-05-13T00:00:00Z,736.98,737.78,736.68,737.64,8410,6200019.77
1778634000000,2026-05-13T01:00:00Z,737.64,739.15,737.56,738.45,16154,11927033.33
1778637600000,2026-05-13T02:00:00Z,738.46,738.73,738.15,738.5,7775,5741906.61
1778641200000,2026-05-13T03:00:00Z,738.5,739.1,738.17,738.89,5549,4098936.36
1778644800000,2026-05-13T04:00:00Z,738.92,739.39,738.9,739.24,5185,3832432.05
1778648400000,2026-05-13T05:00:00Z,739.19,739.68,739.16,739.49,7020,5191226.64
1778652000000,2026-05-13T06:00:00Z,739.43,739.87,739,739.28,9197,6801207.02
1778655600000,2026-05-13T07:00:00Z,739.29,740.18,739.03,740.06,11470,8485390.26000001
1778659200000,2026-05-13T08:00:00Z,739.17,740.92,738.98,740.26,105221.04560099998,77883144.85922177119628
1778662800000,2026-05-13T09:00:00Z,740.26,740.28,739.49,740.26,34057.642908999995,25206010.4304865327995075
1778666400000,2026-05-13T10:00:00Z,740.28,740.34,739.45,739.76,43642.946042,32295457.1132792892
1778670000000,2026-05-13T11:00:00Z,739.775,740,739.35,739.6895,84340.58513400001,62401363.915140556398735
1778673600000,2026-05-13T12:00:00Z,738.82,740.2,737.19,737.62,883934.8762130003,652518692.57022153155931
1778677200000,2026-05-13T13:00:00Z,737.87,739.04,735.47,737,4026062.289009001,2967390287.6213258447453
1778680800000,2026-05-13T14:00:00Z,736.96,738.99,736.791,738.84,4886587.802073999,3606643370.4179762345301
1778684400000,2026-05-13T15:00:00Z,738.88,740.28,738.69,739.74,4114659.3350419994,3042126883.71281628179678
1778688000000,2026-05-13T16:00:00Z,739.7,742.3,739.53,742.015,4238735.290101001,3141614109.7465206889678
1778691600000,2026-05-13T17:00:00Z,742.17,742.895,742.07,742.13,3312945.3259079983,2460142179.66126055440618
