ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1773676800000,2026-03-16T16:00:00Z,73.03,73.68,72.9001,73.11,4616376.879465,338288559.36488315
1773680400000,2026-03-16T17:00:00Z,73.15,73.3701,72.72,73.05,4271046.097556001,311627909.31136875
1773684000000,2026-03-16T18:00:00Z,73.11,73.15,72.62,72.9,3539632.811301999,257730221.99948906
1773687600000,2026-03-16T19:00:00Z,72.88,73.51,71.86,73.14,9914266.676873,722900737.59753017
1773691200000,2026-03-16T20:00:00Z,73.21,73.409,73.07,73.3,348117.066443,25508660.97238391
1773694800000,2026-03-16T21:00:00Z,73.31,73.38,73.31,73.3187,79214.088084,5808507.67270904
1773698400000,2026-03-16T22:00:00Z,73.31,73.63,73.3,73.59,196204.25,14420364.900975
1773702000000,2026-03-16T23:00:00Z,73.5726,73.61,73.26,73.26,174657.75,12830777.4936
1773705600000,2026-03-17T00:00:00Z,73.33,73.9,73.33,73.81,97092,7150667.85
1773709200000,2026-03-17T01:00:00Z,73.84,73.85,73.53,73.66,116515,8588818.72
1773712800000,2026-03-17T02:00:00Z,73.64,74.05,73.62,74,95056,7018410.55
1773716400000,2026-03-17T03:00:00Z,74.01,74.12,73.84,74.05,74969,5547042.19
1773720000000,2026-03-17T04:00:00Z,74.03,74.03,73.53,73.62,81832,6035482.88
1773723600000,2026-03-17T05:00:00Z,73.64,74.35,73.48,74.34,97334,7187984.06
1773727200000,2026-03-17T06:00:00Z,74.31,74.56,74.17,74.37,127984,9520668.49
1773730800000,2026-03-17T07:00:00Z,74.35,74.49,73.8,74.18,75027,5560449.04
1773734400000,2026-03-17T08:00:00Z,74,74.47,73.89,74.23,202925,15049202.095
1773738000000,2026-03-17T09:00:00Z,74.2,74.2,73.52,73.57,261270,19278982.665
1773741600000,2026-03-17T10:00:00Z,73.56,73.99,73.56,73.67,200451,14792562.1764
1773745200000,2026-03-17T11:00:00Z,73.67,73.82,73.43,73.81,324885,23917741.3035
1773748800000,2026-03-17T12:00:00Z,73.73,74.55,72.73,72.85,1654008.5870800002,121551437.05592213
1773752400000,2026-03-17T13:00:00Z,72.71,72.8,71.2,71.39,8104211.274024002,581268070.26035232
1773756000000,2026-03-17T14:00:00Z,71.39,72.25,71.38,71.57,8055045.179103001,577564460.4410792
1773759600000,2026-03-17T15:00:00Z,71.55,72.64,71.44,72.23,6825993.400774,492298835.25590181
1773763200000,2026-03-17T16:00:00Z,72.34,72.68,71.97,72.22,4387827.815958,316962640.37579485
1773766800000,2026-03-17T17:00:00Z,72.22,72.24,71.8399,71.91,2808023.156994,202274544.10248429
1773770400000,2026-03-17T18:00:00Z,71.89,72.3,71.7,72.2,2917898.487046,210236044.94090782
1773774000000,2026-03-17T19:00:00Z,72.2,72.385,71.9816,72.09,3677454.065743,265361407.92994914
1773777600000,2026-03-17T20:00:00Z,72.03,72.18,71.98,72.03,250768.168893,18065815.34657262
1773781200000,2026-03-17T21:00:00Z,72.0302,72.099,72.0302,72.07,41707.579484,3005752.64294727
1773784800000,2026-03-17T22:00:00Z,72.07,72.279,72.02,72.17,144886.798568,10459349.01126421
1773788400000,2026-03-17T23:00:00Z,72.1339,72.25,72.0111,72.18,123425.723227,8906881.54838091
1773792000000,2026-03-18T00:00:00Z,72.24,72.24,71.51,71.54,151324,10860311.16
1773795600000,2026-03-18T01:00:00Z,71.52,71.53,71.38,71.41,271611,19403339.25000001
1773799200000,2026-03-18T02:00:00Z,71.39,71.41,71.1,71.21,185600,13219818.5
1773802800000,2026-03-18T03:00:00Z,71.2,71.31,70.99,71.07,140854,10018500.99
1773806400000,2026-03-18T04:00:00Z,71.05,71.11,70.96,71.05,96662,6865690.98
