ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1773676800000,2026-03-16T16:00:00Z,71.5,72.2,71.3,71.7,3132925.051003,224573393.62848175
1773680400000,2026-03-16T17:00:00Z,71.7,71.865,70.9,71.5,2666506.6831489997,190392310.28619499
1773684000000,2026-03-16T18:00:00Z,71.5,71.65,70.4,70.75,3205880.0243299995,227258743.75270744
1773687600000,2026-03-16T19:00:00Z,70.7,71.8,70,71.65,2975876.274206001,211798173.42490724
1773691200000,2026-03-16T20:00:00Z,71.7,71.998,71.501,71.7,21780.467339,1562049.37857167
1773694800000,2026-03-16T21:00:00Z,71.8,72,71.7,71.896,6089.23,438049.463432
1773698400000,2026-03-16T22:00:00Z,71.9,72.3,71.9,72.288,8754.399999999998,631887.33936
1773702000000,2026-03-16T23:00:00Z,72.297,72.3,71.9,72,6937.9,499802.15326
1773705600000,2026-03-17T00:00:00Z,71.8,72.9,71.8,72.9,1263.8,91635.5
1773709200000,2026-03-17T01:00:00Z,72.9,72.9,72.4,72.5,4118.4,299093.83
1773712800000,2026-03-17T02:00:00Z,72.7,73.2,72.6,73.2,2703.1,196864.27
1773716400000,2026-03-17T03:00:00Z,73.1,73.3,72.8,73.3,5494.1,402328.33
1773720000000,2026-03-17T04:00:00Z,73.3,73.3,72.5,72.6,201.7,14695.07
1773723600000,2026-03-17T05:00:00Z,72.7,73.7,72.6,73.7,2119.4,155109.65
1773727200000,2026-03-17T06:00:00Z,73.7,74.2,73.7,73.9,4787,354143.23
1773730800000,2026-03-17T07:00:00Z,73.8,74.1,73.2,73.6,5382.6,397953.76
1773734400000,2026-03-17T08:00:00Z,73.4,73.6,72.8,73.5,10009.800000000001,732642.2865
1773738000000,2026-03-17T09:00:00Z,73,73.2,72.1,72.2,13679.6,992323.65584
1773741600000,2026-03-17T10:00:00Z,72.2,73,72.1,72.4,20658.3,1504965.41832
1773745200000,2026-03-17T11:00:00Z,72.4,72.5,72.1,72.4,10899.3,787700.04051
1773748800000,2026-03-17T12:00:00Z,71.6,74.1,70.9,71.3,161941.81167400003,11622013.22168329
1773752400000,2026-03-17T13:00:00Z,70.9,71.1,68.9,69.2,1139200.3024910002,79297226.81573304
1773756000000,2026-03-17T14:00:00Z,68.9,70.2,68.9,69.1,2202243.066522,153104342.47074248
1773759600000,2026-03-17T15:00:00Z,69.2,71.2,69.1,70.6,3206400.753705999,225697587.13313916
1773763200000,2026-03-17T16:00:00Z,70.7,71.3,70.3,70.7,2642002.1593909995,186935919.58857393
1773766800000,2026-03-17T17:00:00Z,70.6,70.71,70,70,2186532.2060319996,153949359.56230103
1773770400000,2026-03-17T18:00:00Z,70,70.6,69.7,70.2,2899806.930641,203518019.7552565
1773774000000,2026-03-17T19:00:00Z,70.1,70.6,69.933,70.4,2087690.761974,146721236.59892314
1773777600000,2026-03-17T20:00:00Z,70.3,70.4,70.1,70.3,11961.806048999999,839856.34540936
