ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1773676800000,2026-03-16T16:00:00Z,308.32,308.67,307.38,308.17,488960.530764,150697635.5814648
1773680400000,2026-03-16T17:00:00Z,308.42,308.895,307.595,308.05,422046.240746,130100396.218602706
1773684000000,2026-03-16T18:00:00Z,308.06,309.7172,307.95,309.19,458143.36430200003,141492217.787310375865149
1773687600000,2026-03-16T19:00:00Z,309.01,310.36,308.65,310.25,1291706.894901,400144186.8782948394
1773691200000,2026-03-16T20:00:00Z,310.27,310.27,309.81,310.27,32160.799273,9973629.8846245048
1773698400000,2026-03-16T22:00:00Z,309.4687,309.97,309.4687,309.97,482.995901,149935.6447539884
1773705600000,2026-03-17T00:00:00Z,308.59,309.36,308.59,308.88,62,19156.09
1773709200000,2026-03-17T01:00:00Z,309.16,309.97,309.14,309.97,49,15163.75
1773712800000,2026-03-17T02:00:00Z,309.29,309.97,309.29,309.43,46,14233.44
1773716400000,2026-03-17T03:00:00Z,309.44,309.97,309.42,309.6,39,12073.32
1773720000000,2026-03-17T04:00:00Z,309.59,309.99,309.59,309.99,25,7746.89
1773723600000,2026-03-17T05:00:00Z,309.97,309.98,309.5,309.5,206,63816.3
1773727200000,2026-03-17T06:00:00Z,309.47,309.49,309.31,309.46,309,95609.93
1773730800000,2026-03-17T07:00:00Z,309.67,309.68,309.53,309.67,13,4025.28
1773734400000,2026-03-17T08:00:00Z,309.98,309.98,309.98,309.98,112,34715.9456
1773738000000,2026-03-17T09:00:00Z,310.26,310.26,310.26,310.26,100,31025.68
1773741600000,2026-03-17T10:00:00Z,309.8,309.8,309.8,309.8,170,52664.045
1773745200000,2026-03-17T11:00:00Z,310.48,310.5,310.48,310.5,568,176353.776
1773748800000,2026-03-17T12:00:00Z,310.196,311.6564,309.335,311.6564,1924.448306,597434.5845768476
1773752400000,2026-03-17T13:00:00Z,310.9,312.69,309.78,311.415,706362.3337179997,220160848.71529381329522
1773756000000,2026-03-17T14:00:00Z,311.24,311.87,309.91,310.81,802271.439225,249256429.81851249
1773759600000,2026-03-17T15:00:00Z,310.755,310.94,309.98,310.12,490899.77551899984,152420894.910243265421136
1773763200000,2026-03-17T16:00:00Z,310.02,310.28,309.4,309.42,473956.3898580001,146850079.08593492138388
1773766800000,2026-03-17T17:00:00Z,309.45,310.34,309.16,309.56,480297.66749400005,148789637.311596547689315
1773770400000,2026-03-17T18:00:00Z,309.49,309.64,307.38,308.04,708981.722261,218477751.4849552031
1773774000000,2026-03-17T19:00:00Z,308.05,309.19,307.45,308.44,1635544.7288099998,504423420.00095134931738
1773777600000,2026-03-17T20:00:00Z,308.46,309.0008,308.45,308.5,55599.236147999996,17151774.9997548299660424
1773784800000,2026-03-17T22:00:00Z,308.5,308.5,308.45,308.45,355.006483,109511.6188615774
1773788400000,2026-03-17T23:00:00Z,308.5,308.5,308.3,308.3,357,110112.6159
1773792000000,2026-03-18T00:00:00Z,309.02,309.02,309.02,309.02,4,1236.08
1773795600000,2026-03-18T01:00:00Z,309.02,309.81,308.88,309.81,122,37723.41
1773799200000,2026-03-18T02:00:00Z,309.8,309.8,309.34,309.55,56,17339.74
1773802800000,2026-03-18T03:00:00Z,309.73,309.73,309.55,309.67,8,2477.39
1773806400000,2026-03-18T04:00:00Z,309.66,309.7,309.56,309.56,268,82989.91
1773810000000,2026-03-18T05:00:00Z,309.57,310,309.57,310,266,82419.91
1773813600000,2026-03-18T06:00:00Z,309.91,310.2,309.57,310.13,1080,334485.89
1773817200000,2026-03-18T07:00:00Z,309.71,309.73,309.71,309.73,7,2167.99
1773820800000,2026-03-18T08:00:00Z,309.84,309.84,309.52,309.52,111,34372.7151
1773828000000,2026-03-18T10:00:00Z,309.56,309.56,309,309,1027,317772.4914
1773831600000,2026-03-18T11:00:00Z,309.44,309.65,309.06,309.3,1056,326765.6832
1773835200000,2026-03-18T12:00:00Z,309.84,310.03,307.59,307.59,6597.8623019999995,2036857.7409894694456426
1773838800000,2026-03-18T13:00:00Z,307.04,308.44,305.13,306.87,350659.71921899985,107613610.57139964496665
1773842400000,2026-03-18T14:00:00Z,306.96,306.99,300.3,301.315,841000.726573,254927924.7420773385
1773846000000,2026-03-18T15:00:00Z,301.29,302.98,300.4072,301.22,891453.7923379999,268921567.15557277923337
1773849600000,2026-03-18T16:00:00Z,301.17,302.69,300.5,301.31,470692.3667520001,142067006.01034248138256
1773853200000,2026-03-18T17:00:00Z,301.24,301.32,299.2526,300.57,856098.980822,257004937.7079742634
1773856800000,2026-03-18T18:00:00Z,300.49,300.7299,299.21,299.33,788753.264869,236454425.6255909925
1773860400000,2026-03-18T19:00:00Z,299.285,300.3075,298.5,298.995,1655658.514117,495663098.7954796984
1773864000000,2026-03-18T20:00:00Z,299.02,299.17,298.69,298.99,21806.633423000003,6520885.5670732214970966
1773867600000,2026-03-18T21:00:00Z,298.99,299.55,298.99,299.34,2363.9948600000002,707575.1027296380598627
1773871200000,2026-03-18T22:00:00Z,299.32,299.33,298.97,299,2610.865883,781230.0777625558
1773874800000,2026-03-18T23:00:00Z,299.15,299.48,298.8637,299.11,1594.1229640000001,477105.380720152829929
1773878400000,2026-03-19T00:00:00Z,299.81,300.29,299.01,299.38,632,189280.73
1773882000000,2026-03-19T01:00:00Z,299.34,300.25,299.34,300.11,259,77711.07
1773885600000,2026-03-19T02:00:00Z,300.1,300.49,300,300.42,197,59110.72
1773889200000,2026-03-19T03:00:00Z,300.38,300.49,300.26,300.41,266,79892.89
1773892800000,2026-03-19T04:00:00Z,300.41,300.47,300.01,300.12,440,132077.22
1773896400000,2026-03-19T05:00:00Z,300.31,300.39,299.84,299.9,409,122708.08
1773900000000,2026-03-19T06:00:00Z,299.9,300.31,299.81,300.18,341,102357.27
