ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785758400000,2026-08-03T12:00:00Z,120.1,120.61,120.1,120.55,1.67,201.0416
1785762000000,2026-08-03T13:00:00Z,120.55,120.93,119.57,120.79,1.89,227.6815
1785765600000,2026-08-03T14:00:00Z,120.79,120.79,117.67,117.67,1.55,183.7219
1785769200000,2026-08-03T15:00:00Z,117.67,118,117.39,117.39,50.44,5937.9347
1785772800000,2026-08-03T16:00:00Z,117.39,118.27,116.65,118.05,1.39,163.2324
1785776400000,2026-08-03T17:00:00Z,118.05,118.47,117.49,117.56,13.74,1622.5075
1785780000000,2026-08-03T18:00:00Z,117.56,117.9,117.49,117.89,6.13,722.4597
1785783600000,2026-08-03T19:00:00Z,117.89,117.89,117.44,117.63,19.66,2314.5066
1785787200000,2026-08-03T20:00:00Z,117.63,117.73,116.85,117.73,0.84,98.717
1785790800000,2026-08-03T21:00:00Z,117.73,117.73,117.56,117.69,0.94,110.5781
1785794400000,2026-08-03T22:00:00Z,117.69,117.69,117.44,117.56,1.5,176.2814
1785798000000,2026-08-03T23:00:00Z,117.56,117.82,117.44,117.8,1.61,189.3818
1785801600000,2026-08-04T00:00:00Z,117.8,117.84,117.68,117.68,0.89,104.7744
1785805200000,2026-08-04T01:00:00Z,117.68,117.9,117.68,117.9,1.18,139.0304
1785808800000,2026-08-04T02:00:00Z,117.9,117.9,117.75,117.77,1.78,209.7216
1785812400000,2026-08-04T03:00:00Z,117.77,117.88,117.72,117.86,1.52,179.0606
1785816000000,2026-08-04T04:00:00Z,117.86,117.88,117.68,117.83,0.8,94.2395
1785819600000,2026-08-04T05:00:00Z,117.83,117.84,117.72,117.78,1.63,191.9857
1785823200000,2026-08-04T06:00:00Z,117.78,117.9,117.69,117.72,1.85,217.9426
1785826800000,2026-08-04T07:00:00Z,117.72,117.88,117.67,117.84,1.39,163.7557
1785830400000,2026-08-04T08:00:00Z,117.84,118.26,117.04,118.26,26.81,3140.3032
1785834000000,2026-08-04T09:00:00Z,118.26,118.26,117.4,117.4,1.38,162.4491
1785837600000,2026-08-04T10:00:00Z,117.4,117.93,115.76,115.76,25.22,2952.1483
1785841200000,2026-08-04T11:00:00Z,115.76,117.22,115.76,117.22,24.5,2853.4446
1785844800000,2026-08-04T12:00:00Z,117.22,117.22,116.71,117.2,0.9,105.188
1785848400000,2026-08-04T13:00:00Z,117.2,120.51,116.74,118.73,47.63,5615.9208
1785852000000,2026-08-04T14:00:00Z,118.73,120.09,118.73,119.52,14.56,1743.1821
1785855600000,2026-08-04T15:00:00Z,119.52,120.75,119.52,120.75,24.23,2919.9278
1785859200000,2026-08-04T16:00:00Z,120.75,120.79,119.97,120.79,11.29,1361.0198
1785862800000,2026-08-04T17:00:00Z,120.79,120.88,120.39,120.8,60.35,7280.6569
1785866400000,2026-08-04T18:00:00Z,120.8,121.51,120.76,121.51,12.9,1562.346
1785870000000,2026-08-04T19:00:00Z,121.51,123.57,121.51,122.69,69.24,8487.1656
1785873600000,2026-08-04T20:00:00Z,122.69,123.79,122.69,123.76,24.3,3007.1978
1785877200000,2026-08-04T21:00:00Z,123.76,124.64,123.76,124.64,2.9,359.5348
1785880800000,2026-08-04T22:00:00Z,124.64,125.49,124.64,125.08,50.34,6304.9741
1785884400000,2026-08-04T23:00:00Z,125.08,125.76,125.08,125.7,1.26,158.0643
1785888000000,2026-08-05T00:00:00Z,125.7,125.98,125.7,125.87,1.39,174.9909
1785891600000,2026-08-05T01:00:00Z,125.87,126.03,125.79,125.98,1.93,243.1115
1785895200000,2026-08-05T02:00:00Z,125.98,126.03,125.98,125.99,1.86,234.3792
1785898800000,2026-08-05T03:00:00Z,125.99,126.12,125.98,126.1,1.82,229.4532
1785902400000,2026-08-05T04:00:00Z,126.1,126.11,126.09,126.11,1,126.0986
1785906000000,2026-08-05T05:00:00Z,126.11,126.12,125.45,125.46,504.91,63413.6358
1785909600000,2026-08-05T06:00:00Z,125.46,125.47,124.59,124.62,900.35,112578.4902
1785913200000,2026-08-05T07:00:00Z,124.62,124.64,123.9,123.9,729.37,90584.815
1785916800000,2026-08-05T08:00:00Z,123.9,127.2,123.25,124.41,1897.02,236685.145
1785920400000,2026-08-05T09:00:00Z,124.41,126.72,118.44,120.52,825.9,101946.6505
1785924000000,2026-08-05T10:00:00Z,120.52,124.59,117.28,123.63,1028.96,124242.6384
1785927600000,2026-08-05T11:00:00Z,123.63,164.61,123.12,157.08,4686.72,713331.6571
1785931200000,2026-08-05T12:00:00Z,157.08,157.76,142.65,149.08,3267.69,491281.5669
1785934800000,2026-08-05T13:00:00Z,149.08,155.55,143.3,148.87,2281.61,343719.6334
1785938400000,2026-08-05T14:00:00Z,148.87,149.63,143.13,146.02,690.06,100793.8944
1785942000000,2026-08-05T15:00:00Z,146.02,148.91,144.48,145.9,575.38,84496.5659
1785945600000,2026-08-05T16:00:00Z,145.9,147.41,144.17,147.3,384.68,55800.8673
1785949200000,2026-08-05T17:00:00Z,147.3,149.18,147.09,148.92,304.89,45141.5655
1785952800000,2026-08-05T18:00:00Z,148.92,149.52,145.08,148.49,386.04,57121.1984
1785956400000,2026-08-05T19:00:00Z,148.49,149.15,145.4,146.22,325.62,47983.7742
1785960000000,2026-08-05T20:00:00Z,146.22,148.47,144.98,146.45,470.08,68676.6145
1785963600000,2026-08-05T21:00:00Z,146.45,146.74,145.14,146.24,384.8,56168.2109
1785967200000,2026-08-05T22:00:00Z,146.24,146.44,145.12,145.48,575.99,83733.6359
1785970800000,2026-08-05T23:00:00Z,145.48,146.14,145.11,145.65,91.91,13373.0356
1785974400000,2026-08-06T00:00:00Z,145.65,146.2,145.65,145.79,58.23,8498.8185
1785978000000,2026-08-06T01:00:00Z,145.79,146,145.3,145.94,743.58,108334.8023
1785981600000,2026-08-06T02:00:00Z,145.94,147.14,145.94,147.05,71.3,10449.7705
1785985200000,2026-08-06T03:00:00Z,147.05,147.14,146.71,146.83,70.23,10315.4748
1785988800000,2026-08-06T04:00:00Z,146.83,147.12,146.02,146.07,151,22146.0551
1785992400000,2026-08-06T05:00:00Z,146.07,146.25,146.04,146.19,17.29,2526.3151
1785996000000,2026-08-06T06:00:00Z,146.19,146.6,145.81,145.88,135.59,19797.5463
1785999600000,2026-08-06T07:00:00Z,145.88,146.2,145.73,145.76,137.11,19997.8001
1786003200000,2026-08-06T08:00:00Z,145.76,146.22,144.42,144.89,346.12,50351.871
1786006800000,2026-08-06T09:00:00Z,144.89,145.59,144.22,145.07,252.74,36665.1903
1786010400000,2026-08-06T10:00:00Z,145.07,145.61,144.7,145.57,225.54,32766.9938
1786014000000,2026-08-06T11:00:00Z,145.57,145.79,143.34,143.56,95.31,13781.2315
1786017600000,2026-08-06T12:00:00Z,143.56,145.56,143.16,144.7,165.53,23833.7479
1786021200000,2026-08-06T13:00:00Z,144.7,149,142.66,146.49,521.39,75820.3348
1786024800000,2026-08-06T14:00:00Z,146.49,148.42,145.9,147.15,602.53,88669.8063
1786028400000,2026-08-06T15:00:00Z,147.15,147.57,146.09,146.93,181.47,26647.4187
1786032000000,2026-08-06T16:00:00Z,146.93,147.8,145.62,147.69,371.16,54391.2907
1786035600000,2026-08-06T17:00:00Z,147.69,148.44,147.1,147.1,258.58,38249.8134
1786039200000,2026-08-06T18:00:00Z,147.1,147.96,146.82,147.2,269.36,39657.1923
1786042800000,2026-08-06T19:00:00Z,147.2,148.08,145.86,147.97,189.65,27866.9947
1786046400000,2026-08-06T20:00:00Z,147.97,148.17,146.45,147.14,350.23,51514.9142
1786050000000,2026-08-06T21:00:00Z,147.14,147.25,146.72,146.94,304.25,44676.6034
1786053600000,2026-08-06T22:00:00Z,146.94,147.47,146.76,147.22,147.37,21685.4599
1786057200000,2026-08-06T23:00:00Z,147.22,147.63,146.84,147.59,481.14,70796.8006
1786060800000,2026-08-07T00:00:00Z,147.59,147.96,146.89,147.73,35.89,5298.8025
1786064400000,2026-08-07T01:00:00Z,147.73,148.19,146.77,147.83,210.75,31086.2647
1786068000000,2026-08-07T02:00:00Z,147.83,147.86,147.09,147.18,78.63,11602.3999
1786071600000,2026-08-07T03:00:00Z,147.18,147.45,146.87,147.11,38.33,5634.8617
1786075200000,2026-08-07T04:00:00Z,147.11,147.51,146.9,146.99,21.34,3140.2831
1786078800000,2026-08-07T05:00:00Z,146.99,147.39,146.99,147.1,3.12,459.4766
1786082400000,2026-08-07T06:00:00Z,147.1,147.81,146.99,147.7,21.14,3120.3605
1786086000000,2026-08-07T07:00:00Z,147.7,147.72,147.47,147.6,8.02,1184.1324
1786089600000,2026-08-07T08:00:00Z,147.6,147.71,146.25,146.51,204.75,30031.7429
1786093200000,2026-08-07T09:00:00Z,146.51,146.87,145.35,146.87,138.87,20331.0197
1786096800000,2026-08-07T10:00:00Z,146.87,147.13,146.39,146.39,12.64,1854.1125
1786100400000,2026-08-07T11:00:00Z,146.39,147.2,146.21,147.09,68.63,10085.2062
1786104000000,2026-08-07T12:00:00Z,147.09,149.35,147.06,149.09,239.07,35307.6789
1786107600000,2026-08-07T13:00:00Z,149.09,150.48,146.22,149.74,205.11,30411.3806
1786111200000,2026-08-07T14:00:00Z,149.74,152.99,149.74,152.57,380.65,57750.884
1786114800000,2026-08-07T15:00:00Z,152.57,153,150.53,150.59,456.73,69292.5597
1786118400000,2026-08-07T16:00:00Z,150.59,151.09,149.36,150.77,139.34,20933.6651
1786122000000,2026-08-07T17:00:00Z,150.77,151.41,150.65,151.14,163.7,24716.4326
1786125600000,2026-08-07T18:00:00Z,151.14,151.14,149.64,149.65,124.69,18709.1729
1786129200000,2026-08-07T19:00:00Z,149.65,152.45,149.65,151.92,262.24,39722.5046
1786132800000,2026-08-07T20:00:00Z,151.92,151.92,151.24,151.6,33.39,5062.3222
1786136400000,2026-08-07T21:00:00Z,151.6,151.89,151.5,151.77,24.5,3716.0352
1786140000000,2026-08-07T22:00:00Z,151.77,151.91,151.44,151.5,64.58,9796.6441
1786143600000,2026-08-07T23:00:00Z,151.5,151.68,151.45,151.64,22.79,3453.0038
1786147200000,2026-08-08T00:00:00Z,151.64,151.64,151.26,151.51,7.84,1186.3017
1786150800000,2026-08-08T01:00:00Z,151.51,151.69,151.25,151.25,21.78,3297.0867
1786154400000,2026-08-08T02:00:00Z,151.25,151.39,151.2,151.37,95.99,14516.7722
1786158000000,2026-08-08T03:00:00Z,151.37,151.45,151.23,151.25,3.83,579.5757
1786161600000,2026-08-08T04:00:00Z,151.25,152.08,151.25,151.91,153.44,23300.4372
1786165200000,2026-08-08T05:00:00Z,151.91,158.58,151.88,156.91,2578.37,401963.8184
1786168800000,2026-08-08T06:00:00Z,156.91,156.91,150.98,152.63,4406.96,676720.8948
1786172400000,2026-08-08T07:00:00Z,152.63,153.04,152.06,152.12,435.83,66484.7749
1786176000000,2026-08-08T08:00:00Z,152.12,152.14,151.82,152.13,225.9,34329.0879
1786179600000,2026-08-08T09:00:00Z,152.13,152.15,151.63,151.9,78.8,11974.4808
1786183200000,2026-08-08T10:00:00Z,151.9,152.24,151.85,152.23,65.37,9942.7852
1786186800000,2026-08-08T11:00:00Z,152.23,152.23,151.97,152.04,23.89,3633.564
1786190400000,2026-08-08T12:00:00Z,152.04,152.28,151.98,152.23,74.41,11319.477
1786194000000,2026-08-08T13:00:00Z,152.23,152.97,152.11,152.82,314.79,48083.5995
1786197600000,2026-08-08T14:00:00Z,152.82,153.19,152.62,153.11,113.72,17378.9728
1786201200000,2026-08-08T15:00:00Z,153.11,153.26,152.75,152.92,79.38,12145.7546
1786204800000,2026-08-08T16:00:00Z,152.92,153.35,152.9,153.09,28.5,4361.6344
1786208400000,2026-08-08T17:00:00Z,153.09,153.17,153.06,153.06,2.06,315.4585
1786212000000,2026-08-08T18:00:00Z,153.06,153.08,152.99,152.99,31.19,4772.975
1786215600000,2026-08-08T19:00:00Z,152.99,153.07,152.99,153.07,5.6,857.0293
1786219200000,2026-08-08T20:00:00Z,153.07,153.15,153.07,153.13,12.58,1925.7914
1786222800000,2026-08-08T21:00:00Z,153.13,153.31,153.01,153.24,31.73,4859.3372
1786226400000,2026-08-08T22:00:00Z,153.24,153.27,153,153,18.47,2828.1097
1786230000000,2026-08-08T23:00:00Z,153,154.33,153,154,105.38,16222.6338
1786233600000,2026-08-09T00:00:00Z,154,154,153.02,153.13,74.64,11446.7069
1786237200000,2026-08-09T01:00:00Z,153.13,153.5,153.13,153.46,17.02,2610.9901
1786240800000,2026-08-09T02:00:00Z,153.46,153.56,153.03,153.33,51.42,7878.7404
1786244400000,2026-08-09T03:00:00Z,153.33,153.67,153.24,153.31,15.94,2446.2573
1786248000000,2026-08-09T04:00:00Z,153.31,153.66,153,153.59,40.62,6231.4293
1786251600000,2026-08-09T05:00:00Z,153.59,153.66,153.03,153.28,94.29,14465.5132
1786255200000,2026-08-09T06:00:00Z,153.28,153.39,152.93,153.04,80.59,12338.4544
1786258800000,2026-08-09T07:00:00Z,153.04,153.21,152.93,153.02,18.22,2789.1756
1786262400000,2026-08-09T08:00:00Z,153.02,153.35,152.93,153.24,50.98,7802.8106
1786266000000,2026-08-09T09:00:00Z,153.24,153.24,153.01,153.13,14.31,2191.3201
1786269600000,2026-08-09T10:00:00Z,153.13,153.2,153.01,153.2,30.18,4620.1516
1786273200000,2026-08-09T11:00:00Z,153.2,153.31,153.08,153.22,20.13,3084.0265
1786276800000,2026-08-09T12:00:00Z,153.22,153.22,153.14,153.21,2.42,370.7021
1786280400000,2026-08-09T13:00:00Z,153.21,153.23,152.96,153.06,18.27,2796.1411
1786284000000,2026-08-09T14:00:00Z,153.06,153.14,152.73,152.8,48.72,7451.8254
1786287600000,2026-08-09T15:00:00Z,152.8,152.94,152.7,152.8,4.28,654.094
1786291200000,2026-08-09T16:00:00Z,152.8,152.97,152.54,152.97,23.32,3560.038
1786294800000,2026-08-09T17:00:00Z,152.97,153.02,152.97,153.01,5.28,807.8178
1786298400000,2026-08-09T18:00:00Z,153.01,153.03,152.98,152.98,1.23,188.1954
1786302000000,2026-08-09T19:00:00Z,152.98,153.02,152.96,153.02,1.94,296.7584
1786305600000,2026-08-09T20:00:00Z,153.02,153.44,152.98,153.38,71.38,10935.2547
1786309200000,2026-08-09T21:00:00Z,153.38,153.47,153.14,153.14,36.93,5658.4259
1786312800000,2026-08-09T22:00:00Z,153.14,153.27,153.08,153.15,54.9,8409.2779
1786316400000,2026-08-09T23:00:00Z,153.15,153.6,153.1,153.46,221.31,33938.3233
1786320000000,2026-08-10T00:00:00Z,153.46,153.46,152.55,152.81,130.65,19968.8506
1786323600000,2026-08-10T01:00:00Z,152.81,152.81,152.56,152.77,52.83,8063.449
1786327200000,2026-08-10T02:00:00Z,152.77,152.87,152.72,152.72,6.11,933.5483
1786330800000,2026-08-10T03:00:00Z,152.72,152.86,152.72,152.82,1.1,168.0816
1786334400000,2026-08-10T04:00:00Z,152.82,152.86,152.65,152.65,4.46,681.2598
1786338000000,2026-08-10T05:00:00Z,152.65,152.72,152.6,152.71,7.15,1091.5692
1786341600000,2026-08-10T06:00:00Z,152.71,152.72,152.58,152.58,10.08,1538.3685
1786345200000,2026-08-10T07:00:00Z,152.58,153.03,152.57,152.9,15.36,2347.8779
1786348800000,2026-08-10T08:00:00Z,152.9,152.9,150.33,150.71,115.32,17497.4038
1786352400000,2026-08-10T09:00:00Z,150.71,151.47,150.21,150.23,78.83,11904.8326
1786356000000,2026-08-10T10:00:00Z,150.23,151.83,150.23,150.57,67.4,10209.2402
1786359600000,2026-08-10T11:00:00Z,150.57,151.45,150.57,151.4,107.59,16279.9217
1786363200000,2026-08-10T12:00:00Z,151.4,151.4,150.67,150.97,31.44,4750.8994
1786366800000,2026-08-10T13:00:00Z,150.97,154.5,149.83,153.22,637.27,97187.7983
1786370400000,2026-08-10T14:00:00Z,153.22,154.81,153.22,153.79,345.34,53296.0949
1786374000000,2026-08-10T15:00:00Z,153.79,155.34,153.7,155.31,74.56,11480.3701
1786377600000,2026-08-10T16:00:00Z,155.31,155.31,153.62,153.63,54.12,8368.3911
1786381200000,2026-08-10T17:00:00Z,153.63,154.64,153.63,154.39,26.42,4077.1486
1786384800000,2026-08-10T18:00:00Z,154.39,155.42,154.39,155.01,29.36,4542.2432
1786388400000,2026-08-10T19:00:00Z,155.01,155.6,154.85,155.6,33.37,5179.817
1786392000000,2026-08-10T20:00:00Z,155.6,155.6,154.69,155.13,108.54,16857.7251
1786395600000,2026-08-10T21:00:00Z,155.13,155.36,154.94,155.16,31.35,4865.67
1786399200000,2026-08-10T22:00:00Z,155.16,155.39,155.16,155.31,2.25,349.4338
1786402800000,2026-08-10T23:00:00Z,155.31,155.36,154.9,155,23.3,3613.6925
1786406400000,2026-08-11T00:00:00Z,155,155.13,154.39,154.89,59.47,9202.9601
1786410000000,2026-08-11T01:00:00Z,154.89,154.89,154.39,154.89,13.81,2136.6415
1786413600000,2026-08-11T02:00:00Z,154.89,155.11,154.4,155.11,15.07,2332.6678
1786417200000,2026-08-11T03:00:00Z,155.11,155.39,154.56,155.17,70.48,10934.0926
1786420800000,2026-08-11T04:00:00Z,155.17,155.29,155.13,155.25,10.48,1626.6083
1786424400000,2026-08-11T05:00:00Z,155.25,155.25,154.31,154.54,82.38,12739.9577
1786428000000,2026-08-11T06:00:00Z,154.54,155.1,154.47,154.47,1.08,167.086
1786431600000,2026-08-11T07:00:00Z,154.47,154.79,154.28,154.63,17.72,2734.3872
1786435200000,2026-08-11T08:00:00Z,154.63,154.71,153.82,154.04,50.85,7834.9699
1786438800000,2026-08-11T09:00:00Z,154.04,154.2,153.6,153.6,2.07,318.6102
1786442400000,2026-08-11T10:00:00Z,153.6,153.9,153.38,153.59,2.14,328.7897
1786446000000,2026-08-11T11:00:00Z,153.59,154.95,153.39,154.49,108.88,16822.7139
1786449600000,2026-08-11T12:00:00Z,154.49,154.57,153.39,153.64,33.9,5230.072
1786453200000,2026-08-11T13:00:00Z,153.64,154.72,152.09,153.82,45.31,6964.7003
1786456800000,2026-08-11T14:00:00Z,153.82,154.47,152.52,154.25,53.36,8183.1244
1786460400000,2026-08-11T15:00:00Z,154.25,154.38,151.86,152.88,158.38,24276.9187
1786464000000,2026-08-11T16:00:00Z,152.88,153.19,152.57,153.05,43.15,6600.5076
1786467600000,2026-08-11T17:00:00Z,153.05,153.13,152.67,152.7,32.51,4971.0126
1786471200000,2026-08-11T18:00:00Z,152.7,152.97,152.56,152.56,1.97,301.0934
1786474800000,2026-08-11T19:00:00Z,152.56,153.46,152.29,152.7,39.24,5989.3065
1786478400000,2026-08-11T20:00:00Z,152.7,153.02,151.88,152.95,22.98,3494.3407
