ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,145.06,146.03,145.06,145.41,3209.16,467078.6478
1785632400000,2026-08-02T01:00:00Z,145.41,145.47,144.86,145.16,2561.93,372009.9481
1785636000000,2026-08-02T02:00:00Z,145.16,149.58,145.03,147.96,23084.72,3418587.6972
1785639600000,2026-08-02T03:00:00Z,147.96,148.56,147.49,148,6617.14,978547.615
1785643200000,2026-08-02T04:00:00Z,148,149.09,148,148.13,4128.89,612809.6374
1785646800000,2026-08-02T05:00:00Z,148.13,148.35,147.65,148.26,4382.66,648241.8826
1785650400000,2026-08-02T06:00:00Z,148.26,148.53,147.97,148.07,2627.94,389494.513
1785654000000,2026-08-02T07:00:00Z,148.07,149.14,147.92,148.81,3883.16,577268.531
1785657600000,2026-08-02T08:00:00Z,148.81,149.45,148.81,148.84,6330.27,944233.8869
1785661200000,2026-08-02T09:00:00Z,148.84,149.23,148.26,149.06,4312.57,641443.4696
1785664800000,2026-08-02T10:00:00Z,149.06,149.16,148.18,148.27,2472.72,367811.6086
1785668400000,2026-08-02T11:00:00Z,148.27,148.27,145.25,145.86,15344.64,2249774.58
1785672000000,2026-08-02T12:00:00Z,145.86,147.01,145.74,146.36,4099.33,600281.5727
1785675600000,2026-08-02T13:00:00Z,146.36,146.72,145.96,146.46,3751.16,549116.7809
1785679200000,2026-08-02T14:00:00Z,146.46,146.8,146.22,146.49,3439.6,503870.316
1785682800000,2026-08-02T15:00:00Z,146.49,146.85,146.35,146.81,670.35,98268.2566
1785686400000,2026-08-02T16:00:00Z,146.81,147.83,146.51,147.5,3002.57,441961.9586
1785690000000,2026-08-02T17:00:00Z,147.5,149.3,147.46,148.17,9937.7,1476154.6924
1785693600000,2026-08-02T18:00:00Z,148.17,149.23,148.01,148.5,3715.71,551946.0192
1785697200000,2026-08-02T19:00:00Z,148.5,149.87,148.5,149.45,2821.34,421198.494
1785700800000,2026-08-02T20:00:00Z,149.45,149.8,148.56,148.7,2778.86,414715.9892
1785704400000,2026-08-02T21:00:00Z,148.7,150.14,148.17,149.24,8156.06,1218533.0561
1785708000000,2026-08-02T22:00:00Z,149.24,149.94,147.97,149.31,9938.28,1481595.9161
1785711600000,2026-08-02T23:00:00Z,149.31,152.09,148.76,150.25,37368.92,5622671.6072
1785715200000,2026-08-03T00:00:00Z,150.25,150.3,145.26,148.69,87432.64,12873220.151
1785718800000,2026-08-03T01:00:00Z,148.69,148.93,144.12,146.73,63434.76,9270115.1683
1785722400000,2026-08-03T02:00:00Z,146.73,147.65,145.6,146.3,31330.31,4595990.1903
1785726000000,2026-08-03T03:00:00Z,146.3,146.64,145.18,145.75,18215.24,2657960.5052
1785729600000,2026-08-03T04:00:00Z,145.75,146.69,144.83,144.91,13652.59,1991005.1567
1785733200000,2026-08-03T05:00:00Z,144.91,146.16,144.62,145.35,14150.41,2058926.0049
1785736800000,2026-08-03T06:00:00Z,145.35,145.76,144.2,144.46,14887.27,2156130.7586
1785740400000,2026-08-03T07:00:00Z,144.46,144.82,143.25,143.75,14701.02,2114868.8684
1785744000000,2026-08-03T08:00:00Z,143.75,143.99,140.44,142.87,67825.06,9640213.0772
1785747600000,2026-08-03T09:00:00Z,142.87,144.08,141.06,141.86,42754.37,6087473.285
1785751200000,2026-08-03T10:00:00Z,141.86,141.89,138.73,140.18,55206.75,7724307.6708
1785754800000,2026-08-03T11:00:00Z,140.18,140.45,137.39,137.77,74577.77,10352801.9774
1785758400000,2026-08-03T12:00:00Z,137.77,139.71,137.3,138.81,41686.17,5775512.2348
1785762000000,2026-08-03T13:00:00Z,138.81,141.81,134.77,138.65,182611.74,25158535.2159
1785765600000,2026-08-03T14:00:00Z,138.65,141.97,135.56,141.48,118410.49,16416240.0914
1785769200000,2026-08-03T15:00:00Z,141.48,141.51,137.92,139.43,55889.54,7783198.483
1785772800000,2026-08-03T16:00:00Z,139.43,141.48,139.37,139.96,27685.29,3886167.0733
1785776400000,2026-08-03T17:00:00Z,139.96,143.6,139.87,143.46,26838.2,3809342.8173
1785780000000,2026-08-03T18:00:00Z,143.46,144.33,142.2,142.55,33679.85,4825927.802
1785783600000,2026-08-03T19:00:00Z,142.55,143.56,141.29,142.85,26995.28,3841993.1118
1785787200000,2026-08-03T20:00:00Z,142.85,143.83,142.44,143.82,16033.48,2293314.4038
1785790800000,2026-08-03T21:00:00Z,143.82,144.6,143.49,144.07,9515.34,1371497.4997
1785794400000,2026-08-03T22:00:00Z,144.07,146.03,143.99,145.67,21862.52,3168082.9064
1785798000000,2026-08-03T23:00:00Z,145.67,147.14,145.49,147.02,51313.43,7506301.8928
1785801600000,2026-08-04T00:00:00Z,147.02,147.76,139.57,139.89,89269.29,12813292.9243
1785805200000,2026-08-04T01:00:00Z,139.89,144.96,139.36,144.68,68775.82,9757493.6041
1785808800000,2026-08-04T02:00:00Z,144.68,144.85,141.74,141.95,33195.52,4743413.2515
1785812400000,2026-08-04T03:00:00Z,141.95,142.45,140.39,141.48,17779.93,2512469.0981
1785816000000,2026-08-04T04:00:00Z,141.48,141.65,139.88,140.96,18131.3,2551005.4565
1785819600000,2026-08-04T05:00:00Z,140.96,144.26,140.6,144.18,31057.54,4429330.9888
1785823200000,2026-08-04T06:00:00Z,144.18,145.89,143.37,145.88,30818.86,4460529.9368
1785826800000,2026-08-04T07:00:00Z,145.88,146.25,145.02,145.77,23415,3412024.1204
1785830400000,2026-08-04T08:00:00Z,145.77,147.81,145.49,146.21,45471.05,6666244.5723
1785834000000,2026-08-04T09:00:00Z,146.21,146.24,143.9,145.55,33741.39,4901861.603
1785837600000,2026-08-04T10:00:00Z,145.55,147.86,145.36,146.85,38014.39,5577111.0615
1785841200000,2026-08-04T11:00:00Z,146.85,149.99,146.82,149.89,49059.63,7294265.618
1785844800000,2026-08-04T12:00:00Z,149.89,149.95,148,149.65,44692.85,6660313.6314
1785848400000,2026-08-04T13:00:00Z,149.65,152.73,147.59,148.4,159415.49,23957311.8721
1785852000000,2026-08-04T14:00:00Z,148.4,149.83,146.89,148.44,99683.76,14786247.5513
1785855600000,2026-08-04T15:00:00Z,148.44,151.49,148.3,150.5,40028.07,6002949.893
1785859200000,2026-08-04T16:00:00Z,150.5,152.19,150.25,152.12,32237.84,4878277.8293
1785862800000,2026-08-04T17:00:00Z,152.12,154.87,151.43,154.3,28291.22,4332538.815
1785866400000,2026-08-04T18:00:00Z,154.3,155.56,153,153.22,27642.25,4268245.6204
1785870000000,2026-08-04T19:00:00Z,153.22,154.94,153.07,154.51,23932.8,3685918.91
1785873600000,2026-08-04T20:00:00Z,154.51,155.54,150.32,151.73,57184.84,8703219.8209
1785877200000,2026-08-04T21:00:00Z,151.73,153.12,150.97,152.22,31518.88,4790462.5922
