ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,541.55,543.05,541.55,542.82,0.57,309.1387
1785632400000,2026-08-02T01:00:00Z,542.82,543.59,542.82,543.58,0.92,499.9734
1785636000000,2026-08-02T02:00:00Z,543.58,548.49,543.58,548.49,62.13,33879.5448
1785639600000,2026-08-02T03:00:00Z,548.49,549.2,545.84,547.56,19.91,10911.3997
1785643200000,2026-08-02T04:00:00Z,547.56,548.03,546.1,548.03,0.67,366.6302
1785646800000,2026-08-02T05:00:00Z,548.03,548.84,547.59,547.84,0.82,449.388
1785650400000,2026-08-02T06:00:00Z,547.84,548.9,547.7,548.27,1.6,877.0496
1785654000000,2026-08-02T07:00:00Z,548.27,548.7,548.02,548.49,0.44,241.2814
1785657600000,2026-08-02T08:00:00Z,548.49,549.29,547.76,549.29,3.12,1712.5136
1785661200000,2026-08-02T09:00:00Z,549.29,549.4,548.17,549.1,1.23,675.1423
1785664800000,2026-08-02T10:00:00Z,549.1,550,548.81,550,1.07,587.6686
1785668400000,2026-08-02T11:00:00Z,550,550.81,549.18,549.62,1.76,967.6564
1785672000000,2026-08-02T12:00:00Z,549.62,550.13,549.36,549.36,0.82,450.7184
1785675600000,2026-08-02T13:00:00Z,549.36,550.82,549.21,549.21,0.39,214.5467
1785679200000,2026-08-02T14:00:00Z,549.21,550.2,548.69,549.45,1.33,730.6809
1785682800000,2026-08-02T15:00:00Z,549.45,549.67,548.7,549.43,1.78,977.2361
1785686400000,2026-08-02T16:00:00Z,549.43,549.73,548.74,549.2,1.15,631.5548
1785690000000,2026-08-02T17:00:00Z,549.2,550.01,548.2,548.2,2.3,1262.09
1785693600000,2026-08-02T18:00:00Z,548.2,548.71,547.65,548.55,0.92,504.4574
1785697200000,2026-08-02T19:00:00Z,548.55,549.92,548.42,549.65,5.74,3151.3065
1785700800000,2026-08-02T20:00:00Z,549.65,549.97,548.52,549.11,4.55,2499.3556
1785704400000,2026-08-02T21:00:00Z,549.11,550.57,547.45,548.97,1.31,719.6367
1785708000000,2026-08-02T22:00:00Z,548.97,550.22,548.74,549.45,3.18,1748.1556
1785711600000,2026-08-02T23:00:00Z,549.45,550.23,549.35,549.35,2.3,1264.5572
1785715200000,2026-08-03T00:00:00Z,549.35,549.35,545.6,547.3,2.45,1341.9006
1785718800000,2026-08-03T01:00:00Z,547.3,547.82,546.2,547.82,1,546.899
