ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,1218.73,1226.14,1217.19,1217.86,1315.681,1607335.84179
1785632400000,2026-08-02T01:00:00Z,1217.86,1219.47,1213.78,1215.95,640.133,778431.32996
1785636000000,2026-08-02T02:00:00Z,1215.95,1248.97,1214.08,1235.25,5301.706,6557141.49297
1785639600000,2026-08-02T03:00:00Z,1235.25,1240.65,1233.07,1238.22,1621.301,2003923.54764
1785643200000,2026-08-02T04:00:00Z,1238.22,1248.81,1238.22,1239.39,1520.826,1888977.59621
1785646800000,2026-08-02T05:00:00Z,1239.39,1247.64,1238.71,1245.27,1133.513,1406466.6542
1785650400000,2026-08-02T06:00:00Z,1245.27,1246.63,1242.42,1243.46,615.71,766161.91587
1785654000000,2026-08-02T07:00:00Z,1243.46,1246.82,1239.11,1245.38,1172.865,1457881.40711
1785657600000,2026-08-02T08:00:00Z,1245.38,1255.43,1242.23,1245.82,2195.743,2741102.24946
1785661200000,2026-08-02T09:00:00Z,1245.82,1248.72,1239.35,1245.27,2327.94,2895338.43939
1785664800000,2026-08-02T10:00:00Z,1245.27,1248.02,1241.34,1242.4,1637.902,2037788.52042
1785668400000,2026-08-02T11:00:00Z,1242.4,1244.09,1222.52,1228.62,2096.984,2581755.81225
1785672000000,2026-08-02T12:00:00Z,1228.62,1244.23,1227.64,1236.97,1152.364,1423718.69264
1785675600000,2026-08-02T13:00:00Z,1236.97,1238.68,1232.07,1235.93,630.895,779263.29193
1785679200000,2026-08-02T14:00:00Z,1235.93,1241,1232.58,1236.08,752.499,931261.10444
1785682800000,2026-08-02T15:00:00Z,1236.08,1240.47,1232.91,1238.72,328.605,406861.34749
1785686400000,2026-08-02T16:00:00Z,1238.72,1259.82,1235.02,1246.4,1346.385,1679298.37246
1785690000000,2026-08-02T17:00:00Z,1246.4,1259.27,1242.72,1245.78,2332.84,2921487.52023
1785693600000,2026-08-02T18:00:00Z,1245.78,1248.76,1241.41,1241.61,829.183,1032631.09311
1785697200000,2026-08-02T19:00:00Z,1241.61,1252.22,1241.61,1251.02,767.362,958833.13459
1785700800000,2026-08-02T20:00:00Z,1251.02,1251.78,1242.34,1243.37,1355.534,1693502.73502
1785704400000,2026-08-02T21:00:00Z,1243.37,1247.36,1232.45,1240.28,1399.926,1737981.12733
1785708000000,2026-08-02T22:00:00Z,1240.28,1247.19,1232.98,1244.96,2350.095,2917035.37901
1785711600000,2026-08-02T23:00:00Z,1244.96,1257.22,1237.14,1243.18,4966.334,6193506.66342
1785715200000,2026-08-03T00:00:00Z,1243.18,1265.77,1224.84,1260.21,21815.658,27104773.57048
1785718800000,2026-08-03T01:00:00Z,1260.21,1267,1240.7,1256.58,4880.01,6111031.85939
1785722400000,2026-08-03T02:00:00Z,1256.58,1263.83,1251.35,1257.77,4007.375,5042409.54242
1785726000000,2026-08-03T03:00:00Z,1257.77,1260.32,1248,1257.98,2378.807,2984084.16633
1785729600000,2026-08-03T04:00:00Z,1257.98,1259.91,1241.53,1243.29,2216.723,2776339.05622
1785733200000,2026-08-03T05:00:00Z,1243.29,1256.65,1238.1,1253.69,2146.858,2681942.65874
1785736800000,2026-08-03T06:00:00Z,1253.69,1255,1237.18,1239.68,2443.258,3041714.99504
1785740400000,2026-08-03T07:00:00Z,1239.68,1245.49,1232.47,1236.96,1911.785,2368239.39473
1785744000000,2026-08-03T08:00:00Z,1236.96,1238.22,1204,1232.72,14648.143,17882312.90221
1785747600000,2026-08-03T09:00:00Z,1232.72,1234.03,1208.69,1219.4,7330.197,8948743.33326
1785751200000,2026-08-03T10:00:00Z,1219.4,1219.72,1171.97,1193.45,19812.83,23566017.78293
1785754800000,2026-08-03T11:00:00Z,1193.45,1195.05,1158,1163.79,11242.81,13160198.95293
1785758400000,2026-08-03T12:00:00Z,1163.79,1179.72,1151.35,1170.67,10652.938,12440716.29997
1785762000000,2026-08-03T13:00:00Z,1170.67,1222.17,1123.72,1221.04,69203.199,81629344.10713
1785765600000,2026-08-03T14:00:00Z,1221.04,1274.57,1192.23,1262.38,45172.589,55682685.10797
1785769200000,2026-08-03T15:00:00Z,1262.38,1262.42,1236.05,1255.48,17221.599,21569698.31299
1785772800000,2026-08-03T16:00:00Z,1255.48,1288.6,1255.48,1275.85,13520.237,17245280.98686
1785776400000,2026-08-03T17:00:00Z,1275.85,1316.42,1272.16,1312.65,10223.234,13224423.07555
1785780000000,2026-08-03T18:00:00Z,1312.65,1316.94,1289.08,1292.53,11942.227,15519166.28635
1785783600000,2026-08-03T19:00:00Z,1292.53,1307,1281.79,1289.46,13133.567,16990383.47731
1785787200000,2026-08-03T20:00:00Z,1289.46,1299.93,1274.13,1293.35,5367.282,6910179.82293
1785790800000,2026-08-03T21:00:00Z,1293.35,1328,1290.35,1308.13,3718.183,4860238.85882
1785794400000,2026-08-03T22:00:00Z,1308.13,1316.41,1304.12,1313.29,2892.351,3791512.95145
1785798000000,2026-08-03T23:00:00Z,1313.29,1330,1308.08,1328.58,3777.81,4971095.78837
1785801600000,2026-08-04T00:00:00Z,1328.58,1333.65,1273.78,1278.8,15265.875,19834074.53506
1785805200000,2026-08-04T01:00:00Z,1278.8,1314.79,1266.6,1309.56,8680.421,11182951.12155
1785808800000,2026-08-04T02:00:00Z,1309.56,1310.9,1286.07,1292.13,5279.498,6839051.88591
1785812400000,2026-08-04T03:00:00Z,1292.13,1297.62,1282.98,1292.07,3323.268,4289982.05202
1785816000000,2026-08-04T04:00:00Z,1292.07,1294.85,1283,1289.47,2687.185,3466013.22648
1785819600000,2026-08-04T05:00:00Z,1289.47,1309.07,1281.45,1306.19,3771.569,4892049.5299
1785823200000,2026-08-04T06:00:00Z,1306.19,1317.08,1303.12,1315.61,4541.105,5950507.6293
1785826800000,2026-08-04T07:00:00Z,1315.61,1326.37,1310.38,1315.31,4533.836,5981085.65334
1785830400000,2026-08-04T08:00:00Z,1315.31,1342.43,1314.72,1321.55,9672.456,12862147.88522
1785834000000,2026-08-04T09:00:00Z,1321.55,1322.07,1304.05,1317.83,6817.931,8959123.5045
1785837600000,2026-08-04T10:00:00Z,1317.83,1348.65,1315.11,1335.8,9525.229,12694853.71304
1785841200000,2026-08-04T11:00:00Z,1335.8,1370.83,1335.11,1369.22,13312.954,18031643.3393
1785844800000,2026-08-04T12:00:00Z,1369.22,1370.38,1350.72,1357.9,7834.154,10631041.45171
1785848400000,2026-08-04T13:00:00Z,1357.9,1415.79,1339.7,1382.9,46529.408,64190934.84069
1785852000000,2026-08-04T14:00:00Z,1382.9,1400,1369.32,1394.51,17576.806,24375605.23667
1785855600000,2026-08-04T15:00:00Z,1394.51,1431.42,1392.2,1409.57,14931.004,21130664.01218
1785859200000,2026-08-04T16:00:00Z,1409.57,1443.15,1409.15,1439.19,10270.103,14659899.91004
1785862800000,2026-08-04T17:00:00Z,1439.19,1446.68,1428.67,1434.24,7449.447,10714726.76007
1785866400000,2026-08-04T18:00:00Z,1434.24,1438.55,1420.03,1423.64,6499.362,9293981.10144
1785870000000,2026-08-04T19:00:00Z,1423.64,1439.28,1415,1428.84,7117.476,10151359.61736
1785873600000,2026-08-04T20:00:00Z,1428.84,1444.22,1379.42,1398.16,15738.587,22123221.66063
1785877200000,2026-08-04T21:00:00Z,1398.16,1432.75,1395.02,1413.11,5159.32,7289159.59551
1785880800000,2026-08-04T22:00:00Z,1413.11,1421.81,1404.56,1414.15,3523.623,4978720.31516
1785884400000,2026-08-04T23:00:00Z,1414.15,1438,1409.44,1435.68,4522.767,6441185.07349
1785888000000,2026-08-05T00:00:00Z,1435.68,1443.34,1413.35,1421.77,11499.173,16416549.66892
1785891600000,2026-08-05T01:00:00Z,1421.77,1429.1,1400.51,1424.31,5400.412,7641257.51371
1785895200000,2026-08-05T02:00:00Z,1424.31,1429.5,1413.54,1417.23,2766.294,3928093.52365
1785898800000,2026-08-05T03:00:00Z,1417.23,1429.36,1417.23,1426.98,2129.75,3033746.60858
1785902400000,2026-08-05T04:00:00Z,1426.98,1442.47,1425.69,1442.24,3935.299,5649763.34619
1785906000000,2026-08-05T05:00:00Z,1442.24,1481.76,1440.9,1465.39,13735.345,20127548.36477
1785909600000,2026-08-05T06:00:00Z,1465.39,1467.76,1442.29,1450.1,4525.031,6571025.13543
1785913200000,2026-08-05T07:00:00Z,1450.1,1459.73,1431.99,1444.72,5020.345,7245721.58265
1785916800000,2026-08-05T08:00:00Z,1444.72,1454.66,1400.87,1414.27,14406.626,20441969.1273
1785920400000,2026-08-05T09:00:00Z,1414.27,1425.45,1405,1417.54,4860.816,6883357.93508
1785924000000,2026-08-05T10:00:00Z,1417.54,1420.04,1384.64,1397.55,6708.105,9403898.79538
1785927600000,2026-08-05T11:00:00Z,1397.55,1418.63,1396.11,1404.12,6829.347,9608165.91736
1785931200000,2026-08-05T12:00:00Z,1404.12,1418.6,1394.39,1408.6,7625.594,10734153.28083
1785934800000,2026-08-05T13:00:00Z,1408.6,1442.02,1373.74,1437.81,41159.12,57991002.67472
1785938400000,2026-08-05T14:00:00Z,1437.81,1437.81,1365,1393.56,32296.117,45091263.10404
1785942000000,2026-08-05T15:00:00Z,1393.56,1427.29,1391.12,1405.41,13832.259,19504289.2966
1785945600000,2026-08-05T16:00:00Z,1405.41,1429,1403.44,1421.48,8921.259,12643691.34032
1785949200000,2026-08-05T17:00:00Z,1421.48,1423.85,1408.22,1417.39,4311.247,6109071.80577
1785952800000,2026-08-05T18:00:00Z,1417.39,1418.82,1396.1,1399.75,5585.833,7875524.82569
1785956400000,2026-08-05T19:00:00Z,1399.75,1410.88,1348.24,1353.03,16046.547,22092390.78165
1785960000000,2026-08-05T20:00:00Z,1353.03,1388.57,1251.41,1306.08,121761.881,159181783.60839
1785963600000,2026-08-05T21:00:00Z,1306.08,1312.08,1255.71,1268.07,17613.756,22591014.19257
1785967200000,2026-08-05T22:00:00Z,1268.07,1289.76,1257.53,1270.39,8646.843,11032568.58687
1785970800000,2026-08-05T23:00:00Z,1270.39,1274,1241.29,1246.95,9980.748,12548151.79952
1785974400000,2026-08-06T00:00:00Z,1246.95,1268.33,1236.03,1246.95,16209.083,20323452.1333
1785978000000,2026-08-06T01:00:00Z,1246.95,1257.55,1226.78,1247.4,14145.011,17572692.64058
1785981600000,2026-08-06T02:00:00Z,1247.4,1256,1241.7,1245.01,6936.811,8662558.2088
1785985200000,2026-08-06T03:00:00Z,1245.01,1249.58,1235.42,1246.39,4501.832,5597127.99119
1785988800000,2026-08-06T04:00:00Z,1246.39,1249.81,1232,1241.81,7099.01,8808942.81878
1785992400000,2026-08-06T05:00:00Z,1241.81,1249.53,1232.86,1240.39,4428.298,5503803.11464
1785996000000,2026-08-06T06:00:00Z,1240.39,1246.59,1228,1243.74,5251.065,6500549.97054
1785999600000,2026-08-06T07:00:00Z,1243.74,1247.5,1234.31,1235.81,3366.378,4173894.25029
1786003200000,2026-08-06T08:00:00Z,1235.81,1253.57,1217.67,1241,16263.742,20127644.40758
1786006800000,2026-08-06T09:00:00Z,1241,1241,1225.77,1235.93,10133.518,12470346.6318
1786010400000,2026-08-06T10:00:00Z,1235.93,1238.85,1212.37,1217.06,7790.654,9536018.17158
1786014000000,2026-08-06T11:00:00Z,1217.06,1229.35,1196.16,1226.36,14500.02,17607624.48398
1786017600000,2026-08-06T12:00:00Z,1226.36,1228.57,1201.51,1214.99,12275.606,14919351.35024
1786021200000,2026-08-06T13:00:00Z,1214.99,1279.53,1168.34,1277.69,85634.259,104520747.4018
1786024800000,2026-08-06T14:00:00Z,1277.69,1296.24,1254.11,1278.19,37811.677,48216156.17592
1786028400000,2026-08-06T15:00:00Z,1278.19,1324.38,1277.17,1284.21,27353.269,35744178.14718
1786032000000,2026-08-06T16:00:00Z,1284.21,1298.32,1268.64,1294.44,15953.747,20457253.30216
1786035600000,2026-08-06T17:00:00Z,1294.44,1299.88,1277.31,1285.67,7463.709,9613265.64764
1786039200000,2026-08-06T18:00:00Z,1285.67,1297.33,1271,1280.68,10628.881,13662249.20675
1786042800000,2026-08-06T19:00:00Z,1280.68,1294.14,1256.46,1259.91,8726.96,11145183.20406
1786046400000,2026-08-06T20:00:00Z,1259.91,1267.36,1240.14,1266.81,9041.8,11331316.39496
1786050000000,2026-08-06T21:00:00Z,1266.81,1278.91,1266.21,1272.55,3599.125,4584856.41289
1786053600000,2026-08-06T22:00:00Z,1272.55,1283.29,1270.38,1279.37,2166.695,2766963.35118
1786057200000,2026-08-06T23:00:00Z,1279.37,1279.79,1272.19,1277.59,2560.18,3267993.06484
1786060800000,2026-08-07T00:00:00Z,1277.59,1289.3,1264.18,1273.21,5782.393,7366171.37211
1786064400000,2026-08-07T01:00:00Z,1273.21,1274.49,1252.79,1257.78,4227.566,5330310.928
1786068000000,2026-08-07T02:00:00Z,1257.78,1271.7,1255.2,1270.12,5348.737,6758946.2211
1786071600000,2026-08-07T03:00:00Z,1270.12,1273.86,1260.91,1261.5,2130.612,2699654.35645
1786075200000,2026-08-07T04:00:00Z,1261.5,1267.57,1255.88,1260.53,1634.512,2063013.57226
1786078800000,2026-08-07T05:00:00Z,1260.53,1275,1260.1,1273.22,2724.711,3454038.91506
1786082400000,2026-08-07T06:00:00Z,1273.22,1282.88,1268.06,1269.11,3868.744,4930365.44725
1786086000000,2026-08-07T07:00:00Z,1269.11,1285.92,1266.84,1285.33,5430.111,6957554.33341
1786089600000,2026-08-07T08:00:00Z,1285.33,1312.72,1284.2,1303.69,10764.832,13982183.98913
1786093200000,2026-08-07T09:00:00Z,1303.69,1307.24,1293.71,1294.97,5054.138,6575359.49433
1786096800000,2026-08-07T10:00:00Z,1294.97,1297.48,1284.99,1286.05,5382.831,6959090.06806
1786100400000,2026-08-07T11:00:00Z,1286.05,1297.69,1285.79,1287.75,4554.984,5885296.39299
1786104000000,2026-08-07T12:00:00Z,1287.75,1329.3,1286.32,1318.48,16867.779,22130720.61991
1786107600000,2026-08-07T13:00:00Z,1318.48,1320.09,1217,1224.78,56909.228,72292158.65229
1786111200000,2026-08-07T14:00:00Z,1224.78,1227.33,1187.26,1205.49,43327.902,52293601.59289
1786114800000,2026-08-07T15:00:00Z,1205.49,1245.21,1203.16,1232.93,28845.56,35444285.89425
1786118400000,2026-08-07T16:00:00Z,1232.93,1246.82,1220.07,1232.24,18506.124,22814771.27442
1786122000000,2026-08-07T17:00:00Z,1232.24,1237.39,1226.49,1229.02,5864.022,7228050.09281
1786125600000,2026-08-07T18:00:00Z,1229.02,1233,1223.6,1231.4,5804.836,7128757.55657
1786129200000,2026-08-07T19:00:00Z,1231.4,1236.5,1211.38,1214.63,12185.671,14858312.04813
1786132800000,2026-08-07T20:00:00Z,1214.63,1220.34,1208.58,1219.26,3821.464,4644306.46569
1786136400000,2026-08-07T21:00:00Z,1219.26,1219.67,1212.4,1214.19,723.573,879372.53345
1786140000000,2026-08-07T22:00:00Z,1214.19,1215.6,1209.8,1214.51,474.705,575800.67103
1786143600000,2026-08-07T23:00:00Z,1214.51,1221.06,1211.96,1220.76,717.045,872019.65965
1786147200000,2026-08-08T00:00:00Z,1220.76,1223.4,1216.81,1218.61,899.782,1097387.43864
1786150800000,2026-08-08T01:00:00Z,1218.61,1221.1,1216.95,1220.4,411.622,501696.05083
1786154400000,2026-08-08T02:00:00Z,1220.4,1221.12,1217.38,1218.36,371.362,452717.21348
1786158000000,2026-08-08T03:00:00Z,1218.36,1219.24,1213.85,1217.4,570.991,694692.59811
1786161600000,2026-08-08T04:00:00Z,1217.4,1219,1213.56,1214.6,424.968,516636.99439
1786165200000,2026-08-08T05:00:00Z,1214.6,1216.33,1210.78,1211.95,521.194,632435.06425
