ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,292.24,292.32,292.22,292.23,5.34,1560.6866
1785632400000,2026-08-02T01:00:00Z,292.23,292.28,292.23,292.23,0.48,140.2826
1785636000000,2026-08-02T02:00:00Z,292.23,292.36,292.23,292.23,19.34,5653.5058
1785639600000,2026-08-02T03:00:00Z,292.23,292.45,292.23,292.45,2.27,663.8112
1785643200000,2026-08-02T04:00:00Z,292.45,293.97,292.39,293.97,34.65,10153.5493
1785646800000,2026-08-02T05:00:00Z,293.97,295.29,293.97,294.44,234.41,69066.1973
1785650400000,2026-08-02T06:00:00Z,294.44,294.46,294.09,294.46,21.79,6414.0548
1785654000000,2026-08-02T07:00:00Z,294.46,295.26,293.92,294.99,212.04,62394.4278
1785657600000,2026-08-02T08:00:00Z,294.99,296.62,294.99,296.62,47.5,14060.6752
1785661200000,2026-08-02T09:00:00Z,296.62,296.93,296.62,296.93,5.42,1608.2664
1785664800000,2026-08-02T10:00:00Z,296.93,297.28,296.85,297.21,2.87,852.6822
1785668400000,2026-08-02T11:00:00Z,297.21,297.25,297.13,297.13,0.61,181.2806
1785672000000,2026-08-02T12:00:00Z,297.13,297.24,297.09,297.09,0.16,47.5496
1785675600000,2026-08-02T13:00:00Z,297.09,297.31,297.07,297.21,0.49,145.6158
1785679200000,2026-08-02T14:00:00Z,297.21,297.26,297.1,297.19,1.54,457.7082
1785682800000,2026-08-02T15:00:00Z,297.19,297.33,296.6,296.6,6.05,1797.3339
1785686400000,2026-08-02T16:00:00Z,296.6,296.76,296.34,296.34,6.74,1999.0019
1785690000000,2026-08-02T17:00:00Z,296.34,297.09,296.31,297,70.41,20891.0652
1785693600000,2026-08-02T18:00:00Z,297,300.57,297,300.46,178.65,53464.2043
1785697200000,2026-08-02T19:00:00Z,300.46,304.04,297.07,301.21,2079.06,623390.1313
1785700800000,2026-08-02T20:00:00Z,301.21,304.92,300.43,304.14,1261.77,381257.2004
1785704400000,2026-08-02T21:00:00Z,304.14,314.77,303.74,314.76,476.04,147172.6688
1785708000000,2026-08-02T22:00:00Z,314.76,318.33,301.81,310.28,2400.27,740941.905
1785711600000,2026-08-02T23:00:00Z,310.28,312.72,303.08,303.89,1539.1,472539.3919
1785715200000,2026-08-03T00:00:00Z,303.89,304.53,300.4,301.5,1497.4,452427.9148
1785718800000,2026-08-03T01:00:00Z,301.5,301.93,300.45,300.5,1121.04,337541.8849
1785722400000,2026-08-03T02:00:00Z,300.5,301.32,300.5,300.88,236.09,71065.2406
1785726000000,2026-08-03T03:00:00Z,300.88,301.36,300.41,300.56,258.24,77672.2152
1785729600000,2026-08-03T04:00:00Z,300.56,300.81,300.43,300.43,67.93,20419.0781
1785733200000,2026-08-03T05:00:00Z,300.43,300.68,300.43,300.48,48.33,14523.3121
1785736800000,2026-08-03T06:00:00Z,300.48,301.01,300.4,300.51,290.12,87192.1595
1785740400000,2026-08-03T07:00:00Z,300.51,301.03,300.29,300.5,544.19,163519.3324
1785744000000,2026-08-03T08:00:00Z,300.5,304.77,295.89,299.8,280.94,84420.83
1785747600000,2026-08-03T09:00:00Z,299.8,301.15,298.9,300.34,324.24,97348.7469
1785751200000,2026-08-03T10:00:00Z,300.34,300.71,299.57,300.71,125.07,37542.3614
1785754800000,2026-08-03T11:00:00Z,300.71,306.31,300.71,304.89,183.4,55837.3436
1785758400000,2026-08-03T12:00:00Z,304.89,305.37,303.79,303.79,315.23,96005.6003
1785762000000,2026-08-03T13:00:00Z,303.79,315.4,296.37,311.73,349.44,106661.33
1785765600000,2026-08-03T14:00:00Z,311.73,314.87,309.17,311.35,334.51,104256.1073
1785769200000,2026-08-03T15:00:00Z,311.35,315.86,309.83,314.66,154.07,48351.0638
1785772800000,2026-08-03T16:00:00Z,314.66,316.13,313.21,313.32,76.14,23977.3281
1785776400000,2026-08-03T17:00:00Z,313.32,313.7,309.42,309.98,203.7,63486.2347
1785780000000,2026-08-03T18:00:00Z,309.98,310.99,308.81,310.03,143.68,44545.3054
1785783600000,2026-08-03T19:00:00Z,310.03,311.46,308.05,308.56,167.75,52099.7571
1785787200000,2026-08-03T20:00:00Z,308.56,311.88,308.16,310.26,158.06,49004.9982
1785790800000,2026-08-03T21:00:00Z,310.26,310.8,308.78,309.64,80.2,24831.6383
1785794400000,2026-08-03T22:00:00Z,309.64,310.09,308.96,309.67,165.22,51197.8795
1785798000000,2026-08-03T23:00:00Z,309.67,309.74,308.79,309.41,63.08,19527.5344
1785801600000,2026-08-04T00:00:00Z,309.41,309.41,308.29,309.4,150.26,46336.695
1785805200000,2026-08-04T01:00:00Z,309.4,310.36,308.33,310.36,37.25,11542.4857
1785808800000,2026-08-04T02:00:00Z,310.36,310.8,309.68,310.44,47.75,14816.8065
1785812400000,2026-08-04T03:00:00Z,310.44,312,310.31,311.74,193.41,60171.8848
1785816000000,2026-08-04T04:00:00Z,311.74,312.06,311.21,311.27,50.94,15861.2918
1785819600000,2026-08-04T05:00:00Z,311.27,312,311.27,312,27.04,8423.7093
1785823200000,2026-08-04T06:00:00Z,312,312,311.2,311.55,61.44,19133.259
1785826800000,2026-08-04T07:00:00Z,311.55,311.63,311.11,311.14,41.32,12861.7677
1785830400000,2026-08-04T08:00:00Z,311.14,311.14,307.55,308.51,134.56,41517.5904
1785834000000,2026-08-04T09:00:00Z,308.51,309.37,307.32,307.32,0.58,178.8291
1785837600000,2026-08-04T10:00:00Z,307.32,308.42,305.84,305.84,7.97,2444.6094
1785841200000,2026-08-04T11:00:00Z,305.84,307.21,305.36,306.61,8.22,2518.4205
1785844800000,2026-08-04T12:00:00Z,306.61,306.61,305.52,305.59,13.61,4169.4976
1785848400000,2026-08-04T13:00:00Z,305.59,317.96,302.86,314.66,150.61,46601.9751
1785852000000,2026-08-04T14:00:00Z,314.66,319.16,314,315.75,78.01,24617.8983
1785855600000,2026-08-04T15:00:00Z,315.75,317.6,315.4,317.59,168.71,53404.4055
1785859200000,2026-08-04T16:00:00Z,317.59,319.14,316.87,319.14,66.61,21162.0343
