ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784181600000,2026-07-16T06:00:00Z,163.31,165.71,160.42,162.62,25411.5,4145352.8886
1784185200000,2026-07-16T07:00:00Z,162.62,162.71,157.29,157.92,20926.01,3325618.6718
1784188800000,2026-07-16T08:00:00Z,157.92,158.46,151.35,155.3,60010.7,9244334.1023
1784192400000,2026-07-16T09:00:00Z,155.3,157.78,152.62,152.71,25849.07,4020426.4119
1784196000000,2026-07-16T10:00:00Z,152.71,154.06,151.4,153.01,20291.35,3099106.068
1784199600000,2026-07-16T11:00:00Z,153.01,153.15,147.07,148.52,61545.23,9192771.4641
1784203200000,2026-07-16T12:00:00Z,148.52,149.35,146.25,147.68,41801.31,6172834.3131
1784206800000,2026-07-16T13:00:00Z,147.68,154.16,144.71,148.37,130303.85,19420725.4724
1784210400000,2026-07-16T14:00:00Z,148.37,156.09,146.22,149.15,134509.72,20306090.637
1784214000000,2026-07-16T15:00:00Z,149.15,150.33,144.61,145.7,69474.45,10210810.5284
1784217600000,2026-07-16T16:00:00Z,145.7,145.78,140.74,143.4,60002.04,8573184.2871
1784221200000,2026-07-16T17:00:00Z,143.4,143.55,138.37,139.15,39218.18,5514429.2891
1784224800000,2026-07-16T18:00:00Z,139.15,144.06,138.83,140.2,43037.04,6083249.0883
1784228400000,2026-07-16T19:00:00Z,140.2,143.21,138.56,142.77,50238.69,7056361.8664
1784232000000,2026-07-16T20:00:00Z,142.77,143.53,142.38,143.2,11830.41,1691117.9533
1784235600000,2026-07-16T21:00:00Z,143.2,143.7,142.73,143.53,2984.02,427492.9302
1784239200000,2026-07-16T22:00:00Z,143.53,144.07,140.4,141.33,15462.07,2197911.1076
1784242800000,2026-07-16T23:00:00Z,141.33,141.44,138.08,138.84,22729.8,3169330.3834
1784246400000,2026-07-17T00:00:00Z,138.84,141.22,135.54,139.14,57699.63,7943856.7719
1784250000000,2026-07-17T01:00:00Z,139.14,141.55,135.47,136.61,27123.37,3745522.0252
1784253600000,2026-07-17T02:00:00Z,136.61,137.24,133.68,134.73,36455.14,4918734.5574
1784257200000,2026-07-17T03:00:00Z,134.73,138.87,134.49,134.9,26170.55,3570652.9148
1784260800000,2026-07-17T04:00:00Z,134.9,135.08,129.28,130.58,56822.52,7488523.1302
1784264400000,2026-07-17T05:00:00Z,130.58,131.4,127.01,127.75,51284.92,6603307.925
1784268000000,2026-07-17T06:00:00Z,127.75,130.75,127.09,128.02,40256.89,5189941.4227
1784271600000,2026-07-17T07:00:00Z,128.02,128.97,125.1,125.34,33056.71,4192386.4906
1784275200000,2026-07-17T08:00:00Z,125.34,128.82,122.13,125.04,95444.63,11951498.0307
1784278800000,2026-07-17T09:00:00Z,125.04,129.44,124.51,128.62,89102.32,11312790.1614
1784282400000,2026-07-17T10:00:00Z,128.62,133.95,128.02,131.1,72488.99,9526693.7203
1784286000000,2026-07-17T11:00:00Z,131.1,132.47,128.57,129.67,47162.67,6144033.596
1784289600000,2026-07-17T12:00:00Z,129.67,130.03,125.5,127.23,57545.73,7318459.9918
1784293200000,2026-07-17T13:00:00Z,127.23,128.44,116.7,128,202003.3,24821202.2107
1784296800000,2026-07-17T14:00:00Z,128,137.4,127.47,130.48,253049.77,33733625.7659
1784300400000,2026-07-17T15:00:00Z,130.48,140.24,127.83,139.34,124880.41,16491719.4348
1784304000000,2026-07-17T16:00:00Z,139.34,142.39,137.83,141.1,88715.66,12427490.0446
1784307600000,2026-07-17T17:00:00Z,141.1,144.53,138.23,138.8,49990.37,7111735.1899
1784311200000,2026-07-17T18:00:00Z,138.8,139.97,135.19,137.14,55324.36,7579335.2736
1784314800000,2026-07-17T19:00:00Z,137.14,138.47,132.7,135.53,59188.82,8045306.0685
1784318400000,2026-07-17T20:00:00Z,135.53,136.01,133.02,134.41,18711.39,2515057.9988
1784322000000,2026-07-17T21:00:00Z,134.41,134.86,133.44,133.77,3792.04,509282.2633
1784325600000,2026-07-17T22:00:00Z,133.77,135.23,133.23,134.37,4615.65,620182.5342
1784329200000,2026-07-17T23:00:00Z,134.37,134.85,133.91,134.17,3305.4,444013.866
1784332800000,2026-07-18T00:00:00Z,134.17,135.52,133.08,134.17,9042.28,1216216.6186
1784336400000,2026-07-18T01:00:00Z,134.17,135.68,133.88,135.09,3971.23,535109.9478
1784340000000,2026-07-18T02:00:00Z,135.09,135.92,134.64,134.86,4028.16,545025.6597
1784343600000,2026-07-18T03:00:00Z,134.86,135.76,134.7,135.27,3043.91,411785.4879
1784347200000,2026-07-18T04:00:00Z,135.27,135.63,134.47,134.98,2130.41,287940.4299
1784350800000,2026-07-18T05:00:00Z,134.98,135.01,133.36,133.47,3577.48,479753.8188
1784354400000,2026-07-18T06:00:00Z,133.47,133.68,133.06,133.43,2672.13,356305.4444
1784358000000,2026-07-18T07:00:00Z,133.43,133.93,133.21,133.89,1692.47,226166.8043
1784361600000,2026-07-18T08:00:00Z,133.89,133.89,132.22,133.59,6221.6,828055.0048
1784365200000,2026-07-18T09:00:00Z,133.59,133.81,132.36,132.76,4850.48,644716.9147
1784368800000,2026-07-18T10:00:00Z,132.76,133.04,132.32,132.6,1871.71,248265.4071
1784372400000,2026-07-18T11:00:00Z,132.6,132.79,131.75,132.64,4487.35,593146.7623
1784376000000,2026-07-18T12:00:00Z,132.64,132.68,131.92,132.1,1755.21,232093.0388
1784379600000,2026-07-18T13:00:00Z,132.1,133.92,131.51,133.62,5457.06,724950.2473
1784383200000,2026-07-18T14:00:00Z,133.62,133.77,132.92,133.14,3834.34,511199.4636
1784386800000,2026-07-18T15:00:00Z,133.14,133.39,132.56,132.89,971.12,129176.9559
1784390400000,2026-07-18T16:00:00Z,132.89,132.99,131.96,132.44,3709.89,490927.956
1784394000000,2026-07-18T17:00:00Z,132.44,132.44,130.9,131.22,3131.97,411948.2053
1784397600000,2026-07-18T18:00:00Z,131.22,131.8,130.58,131.1,3777.84,495377.6984
1784401200000,2026-07-18T19:00:00Z,131.1,131.42,130.9,131.19,1296.58,170062.3227
1784404800000,2026-07-18T20:00:00Z,131.19,131.6,130.96,131.4,1437.81,188618.7205
1784408400000,2026-07-18T21:00:00Z,131.4,133.33,131.06,133.33,1742.19,230095.7986
1784412000000,2026-07-18T22:00:00Z,133.33,133.59,133.11,133.42,2971.61,396260.8109
1784415600000,2026-07-18T23:00:00Z,133.42,133.91,133.36,133.71,2759.41,368886.1876
1784419200000,2026-07-19T00:00:00Z,133.71,134.34,133.19,134.21,3678.91,492170.1052
1784422800000,2026-07-19T01:00:00Z,134.21,134.86,133.57,134.44,3725.76,500401.8007
1784426400000,2026-07-19T02:00:00Z,134.44,135.1,133.89,134.72,4419.36,594826.9304
1784430000000,2026-07-19T03:00:00Z,134.72,135.05,134.36,134.89,2660.85,358458.1478
1784433600000,2026-07-19T04:00:00Z,134.89,135.7,134.46,135.01,6060.63,818799.8758
1784437200000,2026-07-19T05:00:00Z,135.01,135.33,134.5,135.11,2938.24,396465.5673
1784440800000,2026-07-19T06:00:00Z,135.11,135.46,134.88,135.12,2748.32,371745.6685
1784444400000,2026-07-19T07:00:00Z,135.12,135.48,134.99,135.09,1358.74,183733.7589
1784448000000,2026-07-19T08:00:00Z,135.09,136.1,135.09,135.7,4741.99,643820.0568
1784451600000,2026-07-19T09:00:00Z,135.7,135.72,134.25,134.96,7012.68,946219.649
1784455200000,2026-07-19T10:00:00Z,134.96,134.99,133.01,133.37,4476.03,598879.9071
1784458800000,2026-07-19T11:00:00Z,133.37,133.67,132.17,132.36,12013.48,1594708.9065
1784462400000,2026-07-19T12:00:00Z,132.36,132.81,132.04,132.55,5485.14,726007.4905
1784466000000,2026-07-19T13:00:00Z,132.55,133.19,132.29,132.6,4202.24,557385.7215
1784469600000,2026-07-19T14:00:00Z,132.6,132.6,131.61,132.01,8242.79,1088311.6469
1784473200000,2026-07-19T15:00:00Z,132.01,132.17,130.71,131.2,6955.56,913192.5917
1784476800000,2026-07-19T16:00:00Z,131.2,131.42,129.86,130.04,16471.23,2148692.8329
