ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,108.7,108.89,108.58,108.64,2533.24,275504.5692
1785632400000,2026-08-02T01:00:00Z,108.64,108.95,108.64,108.91,1461.35,158975.688
1785636000000,2026-08-02T02:00:00Z,108.91,109.19,108.79,108.98,11021.75,1201489.9896
1785639600000,2026-08-02T03:00:00Z,108.98,109.09,108.73,109.01,5108.32,556323.8941
1785643200000,2026-08-02T04:00:00Z,109.01,109.08,108.68,108.72,2536.59,276179.1141
1785646800000,2026-08-02T05:00:00Z,108.72,108.82,108.69,108.78,932.32,101396.3708
1785650400000,2026-08-02T06:00:00Z,108.78,108.92,108.77,108.79,1851.43,201499.2044
1785654000000,2026-08-02T07:00:00Z,108.79,109.05,108.78,108.96,1341,146089.0199
1785657600000,2026-08-02T08:00:00Z,108.96,109.04,108.76,108.88,2212.94,241006.5114
1785661200000,2026-08-02T09:00:00Z,108.88,109,108.76,108.85,2980.05,324322.8819
1785664800000,2026-08-02T10:00:00Z,108.85,108.91,108.78,108.85,1174.06,127777.4537
1785668400000,2026-08-02T11:00:00Z,108.85,108.95,108.59,108.62,3438.5,373859.9311
1785672000000,2026-08-02T12:00:00Z,108.62,108.8,108.62,108.74,2177.07,236602.2765
1785675600000,2026-08-02T13:00:00Z,108.74,108.82,108.67,108.79,1040.84,113183.8535
1785679200000,2026-08-02T14:00:00Z,108.79,108.82,108.65,108.73,1733.55,188507.703
1785682800000,2026-08-02T15:00:00Z,108.73,108.94,108.65,108.9,678.79,73863.7783
1785686400000,2026-08-02T16:00:00Z,108.9,108.98,108.74,108.79,9287.3,1011149.0498
1785690000000,2026-08-02T17:00:00Z,108.79,108.97,108.76,108.94,1645.48,179208.7918
1785693600000,2026-08-02T18:00:00Z,108.94,109.08,108.84,108.93,2296.37,250112.6901
1785697200000,2026-08-02T19:00:00Z,108.93,109.18,108.92,109.17,2024.75,220905.6814
1785700800000,2026-08-02T20:00:00Z,109.17,109.54,109.03,109.49,21179.2,2312714.9399
1785704400000,2026-08-02T21:00:00Z,109.49,109.69,109.13,109.33,13068.38,1428609.9263
1785708000000,2026-08-02T22:00:00Z,109.33,109.53,108.88,109.02,8780.31,957962.1459
1785711600000,2026-08-02T23:00:00Z,109.02,109.24,108.77,109,6388.54,696146.1794
1785715200000,2026-08-03T00:00:00Z,109,109.23,108.2,109.16,16350.06,1776609.6007
1785718800000,2026-08-03T01:00:00Z,109.16,109.19,108.75,109.11,21066.37,2293856.3968
1785722400000,2026-08-03T02:00:00Z,109.11,109.22,108.89,109.03,10072.11,1098304.3237
1785726000000,2026-08-03T03:00:00Z,109.03,109.18,108.84,109.04,20810.94,2268297.9308
1785729600000,2026-08-03T04:00:00Z,109.04,109.19,108.9,108.97,5910.75,644240.2649
1785733200000,2026-08-03T05:00:00Z,108.97,109.19,108.89,109.1,4595.68,501218.8245
1785736800000,2026-08-03T06:00:00Z,109.1,109.24,108.92,108.95,4790.98,522410.7804
1785740400000,2026-08-03T07:00:00Z,108.95,109.04,108.56,108.72,8629.01,939111.2321
1785744000000,2026-08-03T08:00:00Z,108.72,108.9,108.3,108.73,25680.62,2788800.3214
1785747600000,2026-08-03T09:00:00Z,108.73,109.13,108.55,108.97,9518.89,1036817.8389
1785751200000,2026-08-03T10:00:00Z,108.97,108.99,107.2,107.72,44566.24,4810141.5394
1785754800000,2026-08-03T11:00:00Z,107.72,107.9,105.04,106.62,76593.41,8134016.1394
1785758400000,2026-08-03T12:00:00Z,106.62,107.42,106.38,107.06,15855.7,1695863.988
1785762000000,2026-08-03T13:00:00Z,107.06,110.39,103.55,109.82,182418.45,19535385.7202
1785765600000,2026-08-03T14:00:00Z,109.82,112.9,108.93,112.27,273340.91,30377445.4743
1785769200000,2026-08-03T15:00:00Z,112.27,112.45,110.56,111.69,83326.46,9305370.2671
1785772800000,2026-08-03T16:00:00Z,111.69,112.13,109.53,109.62,50713.92,5616948.0826
1785776400000,2026-08-03T17:00:00Z,109.62,111.09,109.13,110.65,57977.8,6398327.9511
1785780000000,2026-08-03T18:00:00Z,110.65,111.21,109.77,110.19,26621.53,2937111.66
1785783600000,2026-08-03T19:00:00Z,110.19,115.11,110.11,114.71,95853.6,10805266.1682
1785787200000,2026-08-03T20:00:00Z,114.71,116.23,114.1,114.51,91587.81,10547555.8191
1785790800000,2026-08-03T21:00:00Z,114.51,115.19,114.38,114.68,15305,1757510.9588
1785794400000,2026-08-03T22:00:00Z,114.68,115.67,114.58,115.33,35136.87,4039781.0664
1785798000000,2026-08-03T23:00:00Z,115.33,115.51,115.08,115.22,14861.75,1712835.7056
1785801600000,2026-08-04T00:00:00Z,115.22,115.28,113.28,114.11,48362.04,5521498.477
1785805200000,2026-08-04T01:00:00Z,114.11,115.37,113.87,115.3,22096.09,2534122.6404
1785808800000,2026-08-04T02:00:00Z,115.3,115.33,114.63,115.22,14615.93,1680703.0125
1785812400000,2026-08-04T03:00:00Z,115.22,117.15,115.14,117.05,75863.8,8821174.3862
1785816000000,2026-08-04T04:00:00Z,117.05,117.57,115.63,115.97,34846.12,4058800.6513
1785819600000,2026-08-04T05:00:00Z,115.97,116.14,115.65,116.09,7237.15,838898.5474
1785823200000,2026-08-04T06:00:00Z,116.09,116.34,115.28,115.73,13620.27,1576520.3855
1785826800000,2026-08-04T07:00:00Z,115.73,116.05,115.55,115.86,17454.28,2022809.4663
